"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
66760,62973,78,15907,15376,50,840,638,0,740,918,0,2090,2007,24,3561,3612,31,89751,89952,79,0.00396251
38295,39498,62,12015,12137,44,355,415,0,1107,902,0,1819,1832,21,2021,2093,24,63883,63841,76,0.00495314
48142,46870,78,12672,12810,46,594,560,0,841,1097,6,1609,1387,18,1982,2143,26,60723,59020,79,0.00594376
38586,39396,71,10638,10874,42,377,386,0,797,747,0,1283,1249,15,2233,2257,24,56140,55814,78,0.00594376
219615,167922,102,68094,50899,97,2322,1641,31,4898,3962,40,11149,8394,64,15672,11483,73,423396,321083,116,0.00594376
137568,107339,99,52466,40894,90,1528,1325,19,2080,1967,26,4784,3787,44,7302,5891,48,169485,131464,99,0.00693439
331463,219596,136,215724,155173,129,7860,4886,49,11463,7891,71,23926,17377,97,34289,22960,128,785246,552308,137,0.00792502
84504,84781,78,28709,28085,66,885,973,0,1419,1464,19,3650,3333,34,4696,4297,39,117898,111908,84,0.00792502
65490,63427,76,19556,18513,58,644,748,0,988,1075,6,2253,2194,26,3724,3758,31,83900,79651,78,0.00990627
135255,122261,94,57831,53296,86,1377,1388,16,2875,2894,27,6443,6588,43,9621,8496,60,260117,224837,99,0.00990627
144759,125456,91,46995,40642,86,1238,1269,13,2255,1861,24,6107,5246,49,8849,7676,50,217522,189905,96,0.00990627
189308,133719,106,77415,56747,99,2802,1827,34,4116,3214,45,8700,6149,57,12266,8453,62,275064,197662,110,0.0108969
83782,74846,88,39925,35219,81,894,939,0,1077,1156,11,3161,3097,31,4725,4277,40,111473,96814,89,0.01585
137987,117484,98,52760,44602,87,1695,1514,19,3051,2619,29,6960,6273,52,10023,8880,58,282433,246708,98,0.0168407
247631,179240,116,108102,79747,105,3643,2581,36,5212,4289,43,11382,8216,63,15085,10741,71,361352,278214,111,0.0217938
177181,137361,93,62998,48319,92,2522,1922,29,4126,2980,43,8146,6011,53,10880,8720,59,273712,214777,99,0.0267469
223811,179574,107,85526,69618,96,2058,1862,23,4252,3856,37,8658,7073,52,12280,10199,61,302217,247680,103,0.0297188
334024,245150,133,251915,192211,132,9747,7051,47,13940,10977,67,28957,22509,118,42008,33791,129,938064,742770,138,0.0297188
131135,107380,94,53650,45277,89,957,968,0,2410,2443,26,5724,4879,44,8786,7336,54,223723,194906,99,0.0307094
202091,167204,102,86410,71793,98,3165,2669,32,4357,3541,33,8167,6579,52,12383,10598,61,291665,242348,106,0.0307094
183547,154125,108,59218,49269,95,1904,1674,26,3960,3166,37,8945,7837,55,12394,10189,69,346395,318395,96,0.0346719
199688,152236,101,76189,58180,97,2718,2010,31,3796,3071,38,7665,5774,56,10821,8215,60,261347,199688,104,0.0346719
121254,96326,93,47777,38592,88,1584,1143,15,1959,1880,20,4426,3698,40,6385,5856,44,151800,117977,95,0.0416063
90758,87177,82,29380,27596,83,1227,1160,11,1740,1439,17,3392,3423,31,4793,4605,39,111791,109793,89,0.042597
104066,94504,86,37132,32551,84,1242,1240,11,2129,1839,24,4521,4259,37,6478,6185,43,159336,143142,92,0.042597
42846,42581,74,11929,12017,44,211,236,0,549,382,0,1691,1694,21,2379,2549,25,60777,61415,76,0.0465595
209050,168563,108,49153,35567,102,3852,2887,35,5288,4353,44,9924,8139,54,13669,11495,63,297855,243682,107,0.0475501
