"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
197698,159978,108,72005,59317,97,2238,1989,24,4487,3641,37,9457,7930,57,14262,11861,73,333500,291176,110,0.00737273
220334,159274,107,83322,61270,103,1931,1579,21,4265,3079,43,9255,6833,56,12869,9367,66,329080,243151,115,0.0284377
271714,192975,133,101917,74127,115,2774,1965,33,5621,3743,46,11263,8509,64,15886,11160,71,383205,280613,125,0.0495026
214169,168384,106,91263,70817,103,2470,1879,30,4680,3733,40,11089,9156,61,15491,12704,74,419725,342605,114,0.0547689
56172,54701,76,24211,24300,65,626,703,0,772,611,0,2052,1891,23,3690,3434,35,77928,77641,80,0.0663546
190139,149789,98,93701,78059,97,1855,1520,21,4376,3467,38,6981,5595,47,11121,8143,63,243278,192854,101,0.0684611
101291,96488,85,30914,29481,79,1342,1179,11,2567,2478,26,6148,5961,42,5496,5410,42,191615,184158,95,0.0758338
62284,60781,83,24831,24391,69,578,485,0,825,868,0,2187,2135,26,3123,2931,30,77341,75535,84,0.0768871
36166,36353,72,13251,13162,46,339,267,0,401,429,0,1438,1499,16,2147,2132,25,57040,58505,77,0.0842598
59055,57626,75,20125,19803,58,460,532,0,1204,1033,4,2280,1912,25,3372,3342,31,85910,86375,86,0.089526
35344,35786,61,11818,11815,44,227,271,0,899,676,0,1422,1404,17,2021,2232,21,57097,56606,79,0.0905793
195693,160029,100,64639,52119,94,2178,1750,24,3936,3434,40,9849,8588,57,14159,11836,64,346739,290503,107,0.093739
261875,185825,111,116602,81992,110,2537,1816,28,5546,3590,48,10178,7105,62,15197,10416,76,353924,251375,117,0.093739
178348,143347,95,76341,61556,92,1993,1579,22,4289,3016,40,7916,6234,50,11623,9184,64,274211,217973,103,0.093739
180014,142387,102,61353,49190,91,1829,1547,19,3500,2875,35,7132,5711,48,11331,8644,61,266423,213212,99,0.0968988
54258,53857,75,20322,19814,58,685,518,0,950,906,0,2432,2337,27,3694,3905,32,90727,88190,83,0.0968988
44496,43120,72,19183,18572,57,556,564,0,643,902,0,2184,2055,24,3373,3122,35,79344,74025,84,0.0990053
70059,69712,77,25360,25126,74,656,626,0,1772,1421,18,2792,2711,29,3865,3906,34,93532,89067,78,0.102165
141904,115436,93,60313,48225,89,1582,1392,15,3186,2319,35,6792,5300,52,8597,6846,54,222657,183543,96,0.104272
129195,114449,89,49644,42909,87,1610,1486,15,2129,2515,27,6683,6074,45,10033,9356,57,247066,223440,97,0.114804
257774,180261,121,105230,72885,118,3807,3089,35,6575,4306,54,13436,9964,68,19969,15122,83,447818,327697,127,0.11691
90262,84973,85,38145,34585,81,953,916,0,1618,1785,19,3306,3165,33,5022,4429,45,123709,117209,84,0.134816
96420,89772,91,36818,33330,80,1062,861,0,2063,1896,24,3978,3863,33,6521,5921,47,156899,145549,89,0.166413
33939,32049,70,11198,11199,44,135,302,0,460,736,0,1476,1398,17,2648,2455,28,50449,50391,76,0.169573
173449,135297,99,60944,47639,93,1783,1530,18,3144,2640,34,8101,6542,55,10961,7897,63,301363,242035,104,0.20433
108879,94381,85,44567,37669,83,1210,975,0,1808,1792,27,4663,3875,39,6502,5231,45,170308,153388,96,0.218022
127360,105096,89,53136,43572,88,1303,1073,9,2670,1950,30,5683,4538,46,7742,6364,47,194447,168041,98,0.222235
87653,82747,82,34955,31653,77,1004,823,0,808,1050,6,3384,3252,33,5209,4920,39,146700,136618,82,0.230661
171779,141317,96,62011,51333,92,1820,1377,16,3136,2897,30,6942,6131,46,9862,8070,63,253136,212775,101,0.238034
142707,133624,92,45957,43464,83,1938,1610,23,3206,3090,28,7929,7503,49,10297,9686,53,303307,287999,97,0.253833
137413,109090,102,60525,47098,91,1294,1200,12,2595,1988,30,5880,4813,48,8563,6827,53,192622,159355,98,0.279111
79446,73392,87,35614,33083,78,850,934,0,2150,1520,25,3984,3739,38,3742,3544,32,114078,105739,89,0.287537
82317,81422,80,29531,28619,76,883,1006,2,1614,1386,13,3795,3588,33,5058,5010,38,119306,113896,87,0.287537
155688,124352,104,53565,42328,93,1566,1452,17,3688,2928,44,8369,7106,51,11861,9181,67,327169,266367,110,0.28859
41948,41902,74,22892,23033,65,364,415,0,1021,1052,6,1697,1752,21,2799,3073,26,66073,64197,78,0.300176
92037,90705,80,29641,27284,78,984,863,0,3357,3111,32,5326,5060,43,3807,3587,33,122379,113463,87,0.311761
112058,106510,83,42700,40484,81,1174,1084,8,2402,2637,26,5069,4803,38,7716,7368,48,210577,203004,95,0.318081
50067,49599,75,15434,15285,49,453,450,0,867,1130,7,1828,1892,20,3029,2912,31,79016,79901,82,0.329666
265570,206886,123,152908,123735,115,4365,3384,37,8106,6211,52,16056,13633,68,24287,20216,104,579778,485488,125,0.331773
94070,79638,91,51998,42966,87,800,790,0,1727,1394,16,3406,2976,33,5572,4642,49,129910,103971,92,0.365477
242271,177430,112,97659,74233,106,2657,1803,31,5544,4132,45,11193,8674,57,16374,12127,72,387485,285323,116,0.36653
71155,70241,79,12013,11817,45,392,306,0,592,878,0,332,493,0,388,446,0,254,220,0,0.368637
86938,82818,81,36950,33985,79,817,993,0,1976,1696,24,3653,3267,36,5740,5079,47,140161,129167,87,0.371796
67961,68421,78,32424,32418,74,637,546,0,1416,1478,16,2813,2965,30,4540,4904,38,106816,106120,83,0.381276
45562,46675,66,22722,22658,66,411,425,0,922,826,0,1876,1787,21,2593,2642,29,66648,68680,77,0.384435
146237,121887,96,40136,33470,87,1602,1330,18,3338,2420,35,6708,5543,48,9671,7376,59,220871,186178,97,0.386542
151766,121440,100,62239,49674,91,1360,1123,11,3100,2708,34,6413,5638,46,9332,7539,57,225333,178043,98,0.401287
112785,98213,86,49481,41820,86,1003,847,0,2339,1945,27,4519,4105,40,7054,5438,51,188284,153537,95,0.412873
211637,156829,110,87368,66157,99,2293,1690,26,4217,3279,41,8338,6609,54,11645,8652,60,307505,231624,109,0.419192
348414,246457,138,189952,139666,137,4709,3558,36,9428,6991,54,20124,15494,79,28070,20714,113,686889,522877,146,0.420246
124676,107884,88,50121,42760,87,986,778,0,2723,2215,36,6152,5247,47,8025,6771,51,216722,185498,97,0.421299
208390,139117,109,79690,54263,105,1767,1343,19,4300,3217,38,8675,5919,61,13144,9495,73,312775,215895,113,0.421299
131591,114713,91,39479,32897,88,1781,1521,22,3111,2502,36,5669,5022,43,8025,6842,54,189673,169434,97,0.45395
72887,68539,81,30696,28254,77,783,584,0,1558,1439,20,2773,2601,30,5000,4673,35,117088,111392,86,0.466589
90061,87031,86,22507,21986,60,1133,1283,12,2180,2295,24,5034,5280,38,7396,6852,49,214036,205104,89,0.483441
173464,139137,100,69498,55625,92,1892,1214,21,3505,3124,35,8014,6370,52,11284,8934,60,291601,233422,104,0.483441
243900,173800,111,98065,74279,107,3041,2008,33,7144,4867,59,14723,10718,69,21450,16288,84,588478,424358,118,0.493973
139958,123807,92,48490,42814,88,1338,1094,10,2817,2482,31,5490,5166,41,7688,6919,48,214267,190228,96,0.495026
117552,113446,83,49288,46925,81,1438,1438,13,2767,2524,30,6033,5973,40,8180,8316,49,205590,206166,85,0.503452
166591,133871,94,94958,79814,93,2233,1771,24,4152,3536,36,9254,7444,53,12299,9947,61,324932,281580,101,0.517145
