"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
103224,100745,82,51348,50128,80,883,912,0,2762,2446,25,4950,4855,37,7477,6944,50,202299,195039,90,0.00512009
419128,268275,144,193874,135682,145,8136,5631,46,12892,8830,64,27355,19656,100,39608,28308,144,806601,575083,156,0.00614411
29232,31946,47,15206,15118,50,302,468,0,612,615,0,1463,1591,19,2570,2526,28,60280,57399,81,0.00716813
131992,112011,87,49470,40702,89,1851,1503,23,3380,2713,32,6060,5111,45,8452,6962,54,170305,139579,99,0.0112642
40238,40152,68,11557,11304,45,433,389,0,759,1183,8,2037,1919,21,2635,2674,28,73536,72176,80,0.0112642
119469,86773,102,51025,37447,91,1331,1339,12,2671,2119,34,5504,4004,46,6785,4848,54,154887,109978,104,0.0133122
133631,106925,98,41205,32323,88,1882,1437,20,2731,1893,32,5315,3904,47,7445,6310,50,156129,124874,99,0.0133122
85746,78316,80,30938,27755,78,964,1192,8,1419,1471,15,3988,3798,36,6212,5518,44,141648,134343,84,0.0163843
274364,175403,120,198270,132459,114,11573,7487,57,18306,12212,76,34941,22959,113,49300,31860,119,988098,650866,131,0.0163843
237138,183740,108,88031,68608,102,1967,1489,22,4360,3235,39,9308,7557,59,13229,11038,65,357181,286411,111,0.0184323
96592,83805,87,31114,25527,81,1317,1140,11,1938,1858,23,3979,3750,38,6031,5212,48,132609,113311,92,0.0194563
124664,100882,106,46631,38258,87,1842,1442,22,2075,1721,29,5146,4062,43,7460,5915,48,168656,132701,98,0.0204804
315068,207939,145,120974,80587,126,3553,2149,39,8040,5288,52,14404,9825,73,20982,13354,88,539363,376949,137,0.0225284
50481,47924,84,13526,13367,47,299,440,0,1307,1314,12,1862,1918,23,2598,2808,26,73805,72974,81,0.0286725
176484,153859,108,54170,47747,89,2245,1907,27,4121,3750,38,9546,8573,58,13622,12464,68,378406,342822,100,0.0296965
128432,107464,90,44442,36265,89,1594,1469,17,3226,2579,34,5188,4233,42,7942,6958,54,167911,135225,100,0.0307205
122338,101421,89,47671,39079,87,1624,1370,18,2303,2021,31,5801,4945,46,7810,5744,49,171788,142768,100,0.0337926
233583,163587,109,92096,66295,108,2614,1773,31,4648,3048,43,10604,7543,60,14833,10283,73,406262,296710,120,0.0378887
151809,114702,101,49529,37116,93,1964,1406,21,3084,2488,33,5622,4240,44,8583,5980,63,183558,135149,104,0.0378887
44177,43657,73,20650,20760,57,829,572,0,1098,866,0,1856,2014,21,2470,2395,26,64031,63048,81,0.0419847
134917,111061,92,50357,42291,88,1644,1450,15,2563,2279,34,6087,4834,47,8257,7257,48,186622,152670,101,0.0430088
161166,123419,97,54855,41708,93,2039,1377,21,2232,2029,29,5584,4585,44,7969,6711,52,189637,148726,103,0.0440328
105275,95223,87,39349,34520,81,1467,1394,16,1931,1907,22,4468,3802,40,6222,5889,43,135844,122685,95,0.0460808
191795,151978,115,106719,89550,102,2359,2193,25,4384,3785,39,8367,6926,52,12165,10283,59,270622,221409,115,0.0460808
55322,55777,75,22113,22611,56,567,642,0,1486,1371,16,2658,2623,29,4101,3646,41,87517,86947,75,0.0460808
184019,147445,96,105812,85419,93,2039,1715,24,3979,3583,38,7400,6282,48,11091,8694,61,285907,229651,101,0.0471048
