"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
126309,98918,91,42193,32691,87,1575,1249,21,2589,2043,30,4151,3264,41,6905,5373,46,142265,113987,96,0.00319953
221681,162408,110,97592,74355,103,3208,1816,36,4801,3592,44,8912,6376,58,11700,8869,61,255246,182721,113,0.00319953
208392,149407,121,69779,50979,102,2718,2178,31,3654,2579,39,7850,5589,57,11287,7929,61,242221,170909,115,0.00533256
190892,151579,100,64437,50188,98,1844,1550,20,4096,2712,43,8637,6856,52,10755,8673,57,337630,268109,111,0.00533256
238315,162844,111,76845,52394,104,2897,2048,32,5144,3416,46,8801,6245,58,12842,8983,68,286011,198357,118,0.00853209
320606,230838,134,153520,115038,127,7958,5580,48,11803,9473,60,23012,18919,92,32229,25990,123,670608,552396,134,0.0106651
323344,227027,130,147919,108112,127,3613,2964,33,6239,4582,53,14072,10284,75,19113,13534,82,522987,377395,136,0.0106651
201712,156925,104,90404,71098,100,3447,2431,33,3561,2742,44,8123,6638,51,12267,9488,67,279363,218887,110,0.0117316
205690,154078,109,79865,60680,101,2542,1849,29,3852,2919,38,7631,6122,48,10353,7447,56,264326,208824,108,0.0138646
358766,174573,153,196737,116395,150,10122,6642,63,15250,10146,85,29539,19597,132,40336,26013,145,849285,548134,159,0.0138646
51235,54183,71,28234,28005,72,474,495,0,1134,1153,9,2143,2243,25,3176,3249,31,69664,68841,72,0.0149312
153616,121498,104,45760,37742,90,2443,2271,25,3090,2560,29,5762,5059,44,8465,6659,54,185739,153681,98,0.0159977
403820,239565,164,130726,80266,160,6090,3352,51,10486,6566,65,17926,11287,83,23869,14021,93,529839,316535,169,0.0191972
196118,156535,107,70335,56150,95,2165,1702,22,3595,2932,41,7488,5819,50,10503,7809,64,283133,223002,107,0.0191972
76157,69607,83,29454,26036,76,1082,880,0,1742,1491,18,2830,2353,32,3951,3355,36,97107,85118,87,0.0191972
87151,86314,79,31299,29847,76,1237,1164,9,1586,1579,22,3652,3619,31,5877,6011,39,118043,115539,75,0.0191972
48369,49019,73,12957,12651,46,487,545,0,414,651,0,1708,1749,20,2754,3062,28,65486,66529,80,0.0223967
124012,99862,93,48359,40144,87,1364,1332,16,2138,1958,29,4991,4194,44,6893,5321,50,143160,116014,93,0.0245298
124967,117728,86,65419,61741,85,1544,1516,16,2373,2258,29,6267,6007,41,8987,8376,54,233882,224463,88,0.0245298
91298,90007,80,25671,25441,62,1300,1201,13,1889,2398,22,4313,4298,35,6731,6863,40,184005,181925,89,0.0245298
247343,176802,132,94307,67867,119,2857,1936,32,4634,3433,42,9607,6894,56,13592,10230,67,326264,235526,128,0.0266628
232222,187431,105,73620,57367,100,3724,3224,33,5017,4030,40,9399,7508,58,14803,12147,64,314748,269468,107,0.0287958
278210,193590,116,85767,57333,113,3273,2269,33,6281,4196,47,14500,10225,71,23515,16944,89,625713,448582,122,0.0287958
128996,123351,85,59872,57243,84,1487,1458,18,2425,2199,28,6958,6985,49,10820,9691,56,282102,263895,85,0.0298623
189939,148032,100,62606,47918,97,1783,1487,22,3139,2434,36,6448,5408,47,8263,6387,52,190444,143709,109,0.0309288
180580,133069,98,63614,47777,94,2218,1316,27,3004,2347,35,5728,4224,51,8374,5643,57,185898,132775,105,0.0319953
146239,124823,90,63155,52470,88,2173,1884,22,2820,2353,30,5567,4231,44,8314,7395,51,192103,159420,98,0.0319953
53957,54833,75,10704,10917,43,786,626,0,845,1153,7,1816,1653,21,2622,2340,30,64238,65132,82,0.0330619
317948,219381,142,136768,98004,136,6220,4761,42,9901,7474,55,17659,13884,71,25658,19645,97,530903,399684,143,0.0341284
305177,198645,135,98548,65441,119,4285,2648,42,6197,3919,52,12226,7982,64,17620,11674,85,393255,251747,131,0.0351949
93494,78665,90,39713,33748,84,1250,1240,11,1934,1607,27,3771,3493,35,5363,4776,41,109856,93240,96,0.0362614
186837,145425,98,63535,49690,94,2159,1830,26,3505,2498,38,7281,6103,50,11165,8079,68,259014,200231,107,0.0362614
147355,123709,91,55650,45916,90,1407,1390,14,2676,2254,31,5722,4517,45,8489,6891,53,230774,196256,103,0.0383944
254679,180517,108,81899,56516,107,3856,2456,38,4824,3978,46,10406,7488,63,14359,9575,69,311117,223101,118,0.0394609
232206,179713,117,101912,79346,114,3170,2367,33,4954,4011,47,9567,7311,59,13433,10130,65,309488,241045,125,0.0426605
335018,200288,148,93585,56300,142,5326,3105,46,7651,4808,51,13930,8576,72,20008,11367,88,442320,266042,156,0.043727
31745,32083,66,15912,16169,49,345,314,0,486,726,0,1166,1140,10,1940,2067,24,53150,52659,78,0.043727
94758,80079,96,36657,30679,85,1094,1143,10,2049,1383,25,3520,3117,35,5438,4273,49,119562,100725,91,0.047993
89524,86680,82,37712,36211,79,1453,1202,12,2304,2113,23,3755,3339,35,5811,5452,40,118803,114413,87,0.047993
94616,90996,87,25112,24290,78,1038,992,0,1934,1976,23,4926,4937,37,6684,6426,43,183404,181509,91,0.0511926
303136,219035,122,88994,65452,115,5281,3834,41,7656,5360,52,14396,10336,76,19616,14319,79,410886,314046,126,0.0511926
34009,36019,60,7349,7504,38,399,316,0,738,658,0,1298,1503,16,2130,2273,22,58859,60183,78,0.0522591
149726,140319,90,41162,37898,83,1639,1386,16,3856,3244,36,8576,8055,47,12680,12339,62,311463,294617,87,0.0533256
148735,123467,95,47552,38289,88,1895,1496,22,2600,2032,37,6412,5354,48,10134,8569,54,246428,207322,102,0.0533256
175430,140657,95,59849,47704,91,2227,1887,26,3482,2723,35,6446,5521,46,9420,8202,50,225600,189066,94,0.0597246
130373,104656,91,44448,34945,89,1512,1537,18,2873,2521,31,5500,4351,43,7417,6098,50,166700,133810,100,0.0629242
97074,80059,87,46909,39085,84,933,761,0,1816,1683,21,3431,2783,35,5160,4253,42,132179,107965,96,0.0650572
278291,190870,118,156733,113122,113,7125,5238,47,9491,6829,60,19207,13926,81,26142,18259,111,620301,449758,124,0.0650572
324269,210627,129,103876,68644,125,4676,2963,43,6837,4450,53,13998,8979,66,20690,12107,102,430530,278727,138,0.0650572
271802,181649,118,90386,60849,115,2868,2037,31,5648,3379,56,13084,8789,70,16871,11878,81,465603,326937,121,0.0661237
132001,107764,101,50748,41428,89,1822,1592,21,2935,2457,29,4918,4115,43,7467,5974,52,153067,125968,100,0.0693232
96803,78919,92,40193,33223,84,984,599,0,1417,1475,20,3551,2755,35,5440,4409,45,135084,110897,97,0.0703898
245527,174215,106,82535,59177,102,3862,2815,36,5151,3612,50,10450,7835,58,15386,10680,83,329378,240727,110,0.0746558
76208,75352,77,21956,21821,58,996,769,0,1675,1703,18,4417,4279,35,6040,5476,41,153350,146236,87,0.0757223
200210,139137,106,72024,53944,103,2620,1969,29,3838,2767,47,7909,5431,54,11366,7772,62,229672,159111,115,0.0778553
