"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
82601,78385,95,39397,37553,77,914,1022,3,1568,1595,21,2917,2868,30,3767,4084,32,124393,123033,83,0.011011
64510,61993,79,35835,35091,76,440,546,0,1021,925,0,2154,1960,24,2977,2719,31,81645,80668,85,0.016016
202105,161754,98,73766,57773,98,2408,1804,27,4775,3614,38,9537,7851,54,10942,9184,53,367143,304273,108,0.02002
60181,61182,67,27433,27160,66,422,416,0,894,852,0,1747,1685,21,2322,2556,23,68392,66854,82,0.02002
154666,135279,96,74430,65986,90,1494,1285,15,3144,2926,31,7256,6497,49,7343,6863,50,267270,240444,97,0.022022
173666,142037,100,60451,49798,94,1621,1208,16,2947,2385,32,7780,6767,49,9747,8108,55,304836,254423,101,0.033033
34984,36229,61,19541,19528,57,320,392,0,370,555,0,1137,1581,15,1425,1566,22,48518,50274,71,0.036036
404869,242190,155,192550,115149,154,4868,3053,46,8331,5281,54,18417,11317,78,22970,13929,88,733048,449110,165,0.039039
54791,54640,75,18367,18234,58,609,466,0,1003,689,0,1670,1848,21,2204,1918,21,63276,64963,79,0.041041
132016,111581,89,55672,45070,88,1355,1165,11,3018,2190,33,5055,4659,42,6447,4770,49,188634,157692,97,0.042042
212097,178376,100,92869,78391,96,2663,2206,27,4627,4300,39,11040,9543,60,12949,10997,63,416390,361297,107,0.049049
194956,157166,97,98009,81495,96,1862,1632,22,4839,3536,39,9496,7964,56,11020,9153,62,359352,305300,105,0.049049
231829,172344,103,112928,85633,102,2864,2265,30,5105,3996,41,10192,8042,59,12934,10008,68,432959,341012,106,0.0500501
82502,79310,94,12830,12301,47,1123,893,0,2068,2090,26,7006,6935,45,5375,5770,39,235716,232931,86,0.0500501
99448,92512,85,31935,30590,79,729,706,0,1861,1831,20,4165,4003,36,5331,5244,41,146249,145013,86,0.0600601
146320,127704,91,60370,50825,89,2102,1780,22,2645,2339,30,8251,7175,52,8694,7191,49,302198,270883,99,0.0630631
285036,191375,130,139668,96361,122,2761,2086,31,6276,4221,51,11997,8326,68,14520,10138,67,473469,326023,132,0.0710711
125534,117120,88,59025,54224,87,1123,1050,6,2008,1915,27,4990,4663,40,6297,6137,42,198060,185949,95,0.0750751
250949,194598,109,101649,78639,106,3024,2292,30,5740,4625,46,11395,8792,63,13214,10456,67,452448,351056,119,0.0840841
164719,139643,94,53057,43788,92,1756,1664,20,2854,2608,33,8172,7230,54,9509,8743,55,324162,277973,102,0.0990991
212301,160683,100,79189,59096,99,2293,1817,26,4874,4120,44,10454,8096,59,12691,9640,70,429508,333462,107,0.105105
170238,137915,99,72091,58150,94,1806,1312,19,3530,2795,36,7191,6449,47,9059,7363,57,282206,238680,100,0.105105
156785,127896,95,58211,47131,90,1978,1303,19,2916,2626,29,7120,5784,53,8696,7151,53,286637,245471,102,0.114114
241004,187575,110,108188,85794,106,1784,1399,21,4145,3477,37,10221,8008,61,12271,9414,65,387893,307009,116,0.115115
120082,112965,91,68801,64074,85,1729,1633,18,3440,3343,33,7527,7180,46,8857,8423,56,298251,285873,85,0.119119
83120,80395,77,30588,29726,76,703,677,0,1781,1479,17,3558,3515,33,4078,4286,35,153360,146668,80,0.126126
58789,56337,86,25290,24711,73,473,413,0,1274,1069,6,2198,1951,25,2384,2459,26,94825,95138,83,0.129129
144257,133114,87,55720,50745,87,1925,1640,20,3610,3838,32,7370,7181,44,8049,7508,50,280506,265113,95,0.13013
160907,130734,95,62266,49936,92,1506,1153,17,3505,2565,38,7324,6337,50,7771,6726,50,299435,250380,103,0.138138
96874,92802,85,25832,24996,76,440,619,0,1830,1598,21,3195,3049,31,4264,3992,36,132797,131518,86,0.146146
381630,249857,152,166084,105282,149,3987,2790,36,7921,5311,57,17264,12361,73,24123,16457,113,734022,501506,155,0.151151
67770,65846,79,28688,28116,76,503,405,0,1044,1046,7,2089,2284,25,2930,2906,28,94329,90687,81,0.154154
65366,67439,74,25326,25337,73,428,433,0,1090,1006,1,2069,2101,24,2480,2424,28,84071,82910,82,0.159159
164321,148642,95,76494,70436,90,1950,1742,23,2982,3185,28,7729,7001,45,9920,8592,57,288011,270349,95,0.178178
203276,166282,110,76572,60892,98,1986,1495,22,4638,3765,38,8980,7931,52,12370,10460,62,391072,330478,104,0.191191
136059,117230,92,59118,50876,89,1135,968,0,3506,2528,36,7339,6570,46,7946,6472,54,286044,248593,98,0.196196
89673,84765,84,27584,26450,78,892,846,0,1092,1164,11,3265,3090,34,4224,4208,34,131808,129316,84,0.197197
111710,106194,97,23777,22781,68,1328,1412,15,2300,2504,27,5709,5616,40,7353,7117,46,249539,243379,87,0.198198
61181,59835,74,20760,20624,56,465,423,0,765,1073,6,2067,2129,25,3055,2917,29,94390,91980,81,0.214214
310935,206463,134,169411,116318,130,3090,2359,32,6035,4348,48,13919,9423,70,17072,11158,75,556768,375197,137,0.254254
196955,154217,97,75609,60154,95,2214,1664,24,4235,3092,42,9417,7539,57,11248,9057,59,374025,292939,104,0.257257
157417,134141,92,80431,69211,89,1109,1182,9,2216,2146,25,5174,4768,37,5735,4922,44,217624,190336,92,0.259259
139709,129224,89,87701,81408,90,1770,1662,20,3516,3331,33,7619,7029,49,9066,7975,60,274356,266218,88,0.262262
166617,135941,102,66848,55448,92,1407,984,0,2643,2489,31,6910,5927,48,6600,5862,48,260609,227004,101,0.263263
124917,111034,94,57013,49149,88,1424,1034,10,2135,1947,22,4587,4200,38,5857,4975,40,184789,171883,86,0.281281
113264,106911,84,46909,43441,82,1594,1462,18,3020,2587,31,6107,5861,44,7314,7205,43,260007,242346,91,0.291291
96442,93210,85,12410,12017,45,1155,1099,8,1834,2203,24,5316,5213,40,5247,4908,41,205088,197980,85,0.31031
85841,83766,79,38842,38168,77,555,698,0,1586,1615,16,3060,2725,33,3896,3937,31,128487,126112,84,0.311311
228755,175771,104,105184,82333,103,2025,1605,24,4328,3709,45,10077,8595,55,11444,8855,61,410301,328594,111,0.321321
191537,150452,100,78981,62467,97,1869,1340,18,3678,2840,38,7374,5616,53,8944,6953,51,268228,214495,105,0.326326
181156,149229,96,87560,76150,93,1542,1226,15,3380,2999,31,7508,6432,50,8413,6499,55,292367,253304,102,0.331331
130409,109858,96,56781,48236,89,811,760,0,1566,1347,22,5176,4287,42,5851,4954,44,187996,166340,96,0.332332
269588,179057,116,135450,91004,115,2734,1987,33,5009,3456,51,12408,8061,69,13911,9118,75,475430,321209,122,0.345345
110058,105492,91,56606,54378,81,1355,1473,15,2721,2527,28,5669,5331,40,7322,6922,45,234583,225982,82,0.356356
86679,82745,86,25711,24968,72,718,797,0,1602,1256,13,3798,3635,34,4771,4238,39,158575,156983,88,0.363363
203366,161848,100,88344,71713,98,1787,1458,20,4136,3738,36,8800,7718,55,9839,8116,59,310642,265299,107,0.368368
