"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
264449,185648,113,99226,70788,106,4500,3389,39,5194,3868,50,11542,8351,67,15636,10991,72,408768,286272,115,0.00598205
128626,119675,101,60214,55837,93,2264,2064,23,3738,3817,34,7580,7179,48,9336,8330,62,243142,230911,101,0.00598205
53579,52271,74,23649,22942,73,874,736,0,1294,1327,15,2332,2428,27,2735,2809,28,77741,74049,75,0.0109671
136548,129096,87,57123,53861,86,2419,2383,23,3528,3323,30,7311,6778,49,8382,7647,52,231891,217337,92,0.0119641
58276,60173,74,31311,31027,73,548,728,0,1298,763,0,2386,2223,26,3143,3323,28,89989,92730,74,0.0139581
44325,43292,76,15129,14997,48,414,415,0,727,972,0,1834,1799,21,2239,2425,24,71431,71785,79,0.0139581
137693,119042,89,59684,49786,88,965,1005,2,2327,2089,26,5741,5018,41,7895,6686,55,241226,208463,99,0.0179462
32289,33763,60,9838,9756,43,531,516,0,992,972,0,901,935,0,1667,1890,18,46779,48772,74,0.0239282
290781,192043,119,104868,68355,116,5359,3697,43,7182,5512,52,14707,10371,74,18519,12865,80,500653,364070,120,0.0358923
140756,121126,94,65300,56432,90,2057,1584,20,2633,2150,32,6064,5519,41,8481,7340,59,261518,226059,97,0.0388834
171872,131088,98,76150,58133,97,2059,1482,24,3110,2793,31,6634,5404,47,8548,6508,51,221402,173215,103,0.0438684
80651,79592,80,38971,37958,78,1202,1233,10,1589,1490,18,3852,3872,32,4524,4883,35,121566,118159,79,0.0568295
40273,40332,69,9605,9761,41,529,519,0,713,955,0,1441,1341,18,2680,2545,29,59494,59527,76,0.0598205
51314,50092,75,12121,11819,46,420,623,0,919,814,0,2217,2174,25,3153,3382,32,79050,78882,78,0.0648056
117535,114705,83,54422,52617,82,1493,1518,16,2278,2352,26,5833,5737,41,7825,7732,46,262565,250900,91,0.0667996
89421,85074,82,19260,18574,58,1249,1221,11,933,1208,8,3304,2967,34,4209,4026,37,129789,128993,83,0.0677966
200023,155273,98,66643,52663,97,3008,2125,31,3957,3203,37,9182,7241,57,12770,10084,67,321931,255463,106,0.0737787
48919,50162,72,20812,20966,62,560,636,0,575,586,0,1939,2031,21,2107,2433,25,71273,70958,78,0.0737787
249918,188539,112,111638,86949,110,4270,3239,37,6421,4608,52,11754,8569,67,14715,12044,71,462857,358893,116,0.0757727
307388,218213,115,135805,98828,112,6332,4850,46,8634,6908,51,18944,14957,78,25700,19565,102,697562,540109,121,0.0837488
322582,206526,125,120302,78177,124,4114,2963,39,6870,4133,53,13048,9079,67,17541,12100,77,481103,323834,134,0.0877368
42550,41492,79,14561,14568,48,509,769,0,630,1070,6,2226,2086,26,2774,3173,27,75782,75266,80,0.0897308
159111,134713,93,87635,76606,92,2144,1586,26,2655,2113,28,6320,5442,43,7946,6174,54,218491,181484,101,0.0957129
37624,36961,70,15364,15240,50,494,617,0,756,684,0,1447,1424,18,2686,2795,28,56522,54997,74,0.0987039
198046,146780,102,63880,47302,97,1882,1228,24,3412,2654,35,8026,6164,52,8941,6390,60,324398,251980,109,0.0987039
236004,175568,108,81882,61769,105,4335,3256,38,4681,3207,43,11112,8204,60,15444,11925,66,408536,305692,115,0.0997009
223860,161712,102,82333,60349,102,3879,2708,35,4593,3417,41,10845,7960,61,13129,9674,67,390475,295364,107,0.108674
112385,103401,84,41422,37400,82,1264,1543,15,1965,2068,22,4560,4067,39,5747,5537,43,149034,139537,89,0.109671
168422,130894,103,61676,49792,94,2673,2404,25,3043,2211,37,6961,5675,47,10127,8162,58,255059,211444,95,0.110668
300880,211109,139,150392,107921,129,5317,4249,41,7468,5933,48,16796,12871,71,20999,15728,91,571212,438298,138,0.111665
191117,153710,102,81973,66574,96,2845,2595,30,4838,3812,39,8511,6754,56,11157,9342,60,331744,271435,103,0.118644
339782,251475,141,258973,207769,125,10576,8266,49,13881,9765,79,30587,24152,111,42283,32047,123,1.04858e+06,852323,132,0.119641
84404,81268,91,31414,30415,78,1408,1343,16,1670,1592,21,3704,3782,33,5517,5845,38,141738,131382,86,0.121635
107214,101266,85,47779,45472,80,1090,986,0,1891,2020,23,5198,4738,40,6232,5905,39,229523,220278,89,0.125623
39258,40315,63,19669,19810,54,601,554,0,747,590,0,2095,1759,26,2666,2632,28,78637,80647,76,0.125623
47891,47341,72,12721,12571,47,363,472,0,1073,857,0,1693,1747,19,2702,2533,28,71967,70218,74,0.135593
125588,107933,91,47437,40405,88,1574,1306,18,2430,1934,25,5555,4982,42,6487,5682,45,191287,167265,95,0.14656
53730,51376,76,14841,14302,50,823,707,0,1358,1227,10,2289,2311,25,2764,2529,30,78179,77947,79,0.151545
45491,44660,71,10748,10586,43,810,761,0,1330,1117,9,2372,2575,24,3004,2781,30,91262,94815,78,0.162512
113091,105849,84,34443,32729,80,1378,1316,15,2745,2292,29,5694,5512,43,7025,6424,47,257583,246807,87,0.165503
99651,92668,96,53250,49564,80,1081,970,0,1733,1563,23,4245,4096,35,5561,4895,42,137379,130264,83,0.172483
188785,147348,101,76549,59884,97,2495,1728,26,3510,2524,37,7022,5148,52,9354,7715,57,238908,186966,103,0.17348
266099,188004,118,99419,68721,110,4078,3098,37,5142,3616,48,10576,7496,60,13973,10134,81,383540,277114,118,0.180459
123394,116704,88,47490,44770,83,2092,1675,24,2942,2556,28,6169,5908,43,8055,7903,48,226811,222413,82,0.180459
34719,34166,66,11496,11399,46,601,535,0,687,676,0,1588,1585,18,2220,2440,26,56510,58111,76,0.184447
252434,185654,106,106746,79771,104,4031,2676,37,5181,4142,44,10998,8241,63,14529,11098,75,374485,291866,109,0.195414
46502,45583,74,8289,8189,40,444,417,0,343,551,0,2007,1565,23,2434,2632,25,70140,69358,76,0.196411
61292,60383,78,25095,24782,73,665,824,0,1275,1215,9,1987,2281,22,2835,2928,28,80276,80700,80,0.204387
55130,54191,81,20286,20155,57,684,598,0,874,987,0,1964,1828,22,2587,2477,29,79253,80261,82,0.211366
141146,118430,94,54059,45202,88,2165,1795,27,2196,2107,23,5631,4902,41,9072,7891,54,221887,184620,97,0.21336
194189,168116,96,63189,55352,92,3323,3236,29,4571,4303,37,9317,8239,52,11420,10816,61,308551,280105,102,0.215354
238727,181526,109,97527,75412,106,2631,2093,30,4675,3331,41,8604,6844,54,10768,8540,65,312118,242025,113,0.216351
