"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
179453,146036,98,59081,48894,94,1683,1379,15,2598,2210,31,5754,4830,42,9243,7125,61,213737,175123,109,0.000979585
69448,66564,90,21672,21466,58,505,540,0,1259,1303,19,2204,2095,26,3032,2713,30,89410,90586,88,0.00195917
239768,168078,122,81460,56083,110,2867,1964,29,5115,3297,46,11818,8224,64,14484,9978,71,465897,330349,127,0.00587751
118971,112742,86,45397,43326,81,1539,1185,14,2386,2328,30,5452,5140,36,7388,6548,49,220678,205754,98,0.00881627
148246,131040,92,49983,44815,86,1072,813,0,2577,2149,30,5449,4820,41,7140,5835,48,219946,194315,100,0.0156734
272282,204058,111,102139,75488,108,3299,2420,36,5616,4566,44,12631,9294,66,18430,14459,69,479090,378366,122,0.0244896
70615,71672,78,28794,28402,74,683,750,0,683,898,0,2255,2380,24,3133,3175,32,99252,98147,92,0.028408
216395,164616,99,83092,62735,96,1999,1443,22,3154,2742,32,7601,5816,53,11893,9195,70,298577,234992,110,0.040163
106197,102279,83,38519,36864,80,1152,916,0,1738,1933,19,4297,4419,34,7005,7058,47,175612,164386,92,0.0460405
189301,155860,98,61075,47962,96,1956,1658,19,3766,3266,38,9192,8260,55,11933,9447,70,400128,333381,107,0.0499589
49400,48731,75,21513,21346,59,294,462,0,650,693,0,1614,1849,22,2579,2594,29,66641,63651,84,0.0509384
98625,96800,81,30136,29193,77,859,809,0,1654,1666,16,3654,3588,33,6285,5897,43,134230,128560,93,0.0548568
268761,202776,113,102296,77992,109,2814,2098,28,4163,3610,41,9725,7713,57,13165,10304,66,352418,270247,123,0.0577955
144055,123464,91,53786,46611,88,1345,1191,13,2570,2335,28,5052,4122,42,7477,5720,53,172362,138932,102,0.0587751
195445,163239,94,70741,58970,94,2298,1945,25,4284,3620,39,8728,7404,52,12870,9812,66,326944,271156,111,0.0617139
343692,216009,200,127692,85152,171,3567,2590,32,5513,3349,45,12452,7660,74,17474,11072,92,451542,289457,221,0.0764077
162091,130794,95,123096,102337,94,3278,2832,30,5936,4365,49,13183,11042,67,17171,14199,78,517919,434410,107,0.0783668
113249,111010,82,23526,22674,65,1586,1548,17,2403,2575,27,5795,5627,40,8039,7350,49,267820,252337,97,0.0793464
194611,158009,107,83407,69460,94,2134,1947,22,3267,2834,35,7540,6323,49,11062,9479,59,293659,252999,109,0.0822852
290986,206119,115,117004,84779,113,3237,2376,33,6519,4908,49,12964,9221,68,19139,14969,82,492226,358841,129,0.0911014
37012,37863,61,12085,11991,45,360,506,0,159,413,0,1101,1032,5,1737,1665,21,40404,40268,85,0.0930606
299700,210766,118,133202,99374,118,4728,3352,40,7590,6079,48,15768,11757,70,24853,18731,92,590273,444180,135,0.0930606
329005,225598,139,247003,181552,135,6723,5024,45,13026,9429,71,25054,19003,98,38818,28044,136,958629,708364,149,0.096979
146571,136078,89,51387,47700,84,1282,1414,12,3157,2993,28,7103,6490,46,8921,7963,52,312653,289780,101,0.0999177
236680,180554,104,110496,86595,105,2604,2173,29,5296,3493,46,11194,8473,60,15917,12276,69,405747,319465,119,0.101877
178990,143239,104,78439,63188,92,1990,1528,24,3261,2193,39,8448,6854,54,10474,8441,58,325261,256846,106,0.105795
317646,189701,136,171614,120889,131,4741,3426,40,9216,6691,63,19657,14192,78,29366,22236,110,719711,529695,143,0.107754
258244,187199,115,86522,63686,112,2922,1983,34,5297,4099,47,10328,7343,64,15604,11497,69,420780,316602,123,0.108734
232267,178755,103,71199,54020,101,2350,1871,25,3922,3356,39,8483,6580,56,13856,10384,72,324251,239272,114,0.116571
115052,109909,85,38989,37600,80,1022,1072,6,2222,2088,25,5761,6037,40,7264,7279,47,234850,225906,98,0.120489
198259,157635,110,73629,59380,95,1979,1629,24,3824,2735,40,7672,6646,51,11437,9348,62,316640,264766,109,0.121469
75618,76825,76,18620,18638,52,598,525,0,951,1068,7,2320,2506,25,4560,4575,36,93495,90772,91,0.121469
255709,187942,114,167125,131537,109,4203,2978,36,7735,6087,48,15737,12722,75,23867,18676,107,577406,451629,121,0.128326
230539,180464,104,99016,80340,101,3081,2652,30,5056,3755,41,10669,8148,62,16646,12773,68,389394,312600,111,0.128326
173009,146911,101,63003,53880,93,1584,1372,16,4273,3884,40,8920,7456,55,11642,10410,65,372966,318178,107,0.129305
258949,190707,114,83560,62937,105,2479,1785,29,5370,3953,47,12936,9677,66,16359,11781,73,528816,382016,122,0.133224
220836,175809,102,103621,82347,100,2407,2021,26,3827,3538,36,9175,7467,55,12339,9188,69,328096,258325,111,0.133224
247427,190392,117,99820,78548,116,2462,2014,25,5297,4276,41,11195,9010,56,15034,12014,85,407522,329819,126,0.138122
195947,162026,108,75655,62617,97,1428,1508,15,3566,3043,36,6887,6149,44,11226,9607,58,258294,220424,107,0.139101
253448,185526,122,82966,61002,104,2802,2118,29,4920,3246,46,9804,7770,58,15472,11213,72,387453,297727,118,0.14106
175374,148116,95,72826,60911,94,1814,1576,21,4421,3480,40,9304,8002,52,12353,10285,62,376492,316631,105,0.14106
112245,107434,84,45633,43829,82,1247,1303,11,2043,2024,22,5302,4742,41,7193,7019,49,192310,184905,87,0.14204
204623,157343,101,80331,62225,101,1847,1449,23,4825,3720,47,10213,8378,54,13648,10758,68,432329,343147,115,0.143999
105345,101545,81,42458,40810,80,1149,980,0,2007,1891,21,4208,3989,36,6286,5796,45,157282,153622,92,0.145958
84416,81190,80,28782,27802,76,635,663,0,1251,1353,17,3285,3074,32,4748,4591,36,140577,135623,89,0.150856
324353,221510,134,129641,88447,133,3784,2435,37,7438,4679,51,14486,10001,67,20501,14438,79,511367,359501,147,0.153795
143750,124755,98,58490,50602,89,1368,1237,14,2681,2406,30,6969,6497,46,9212,8146,51,285919,255004,103,0.157713
147358,133160,89,49926,44814,86,1617,1311,16,2165,2429,25,5908,5553,42,7675,6632,55,238943,214964,98,0.159672
422624,242043,169,150173,85873,168,5461,2990,45,10844,6539,63,22378,13139,93,31965,18859,118,773026,448202,182,0.162611
92128,89936,89,39547,38829,78,1686,1475,19,2076,2357,23,4005,4080,34,6138,5553,46,163385,160618,90,0.170448
65534,63966,91,26207,25857,74,384,466,0,910,1096,8,2041,1935,22,3171,3269,30,82777,83487,86,0.178285
