"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
124624,119774,93,65223,62714,85,1102,1050,7,2935,2698,32,6309,6027,43,8417,7671,50,223988,215875,90,0.00100291
256096,183195,124,71722,52897,110,3006,2266,34,6746,4758,53,12533,9145,65,17012,13344,75,433590,322434,126,0.00200582
227215,165560,109,78137,58107,107,2270,1681,24,3857,3214,39,9250,7115,56,14059,9826,71,344679,261565,119,0.00501454
60805,61725,75,20503,20035,60,512,537,0,1309,1649,16,2033,2102,23,3328,3168,33,79966,80089,84,0.00802327
65062,65248,77,21478,21277,60,675,555,0,531,1029,3,2594,2485,27,3666,3867,34,93880,95149,70,0.00802327
196271,150555,105,66156,50418,100,2297,1682,27,4298,3209,41,10423,8286,58,14408,11616,70,453149,355808,113,0.00902618
192699,152663,113,62626,47129,97,1697,1403,18,3680,2799,38,8592,7232,52,9194,6605,62,300767,239505,113,0.00902618
137277,113681,97,53191,44138,89,1633,1543,17,2678,1943,29,5057,4192,42,7044,6238,47,180746,152057,98,0.011032
65638,64793,75,20721,20218,62,710,817,0,1399,1212,14,2684,2548,30,4175,4233,37,94993,93494,76,0.0120349
144987,118368,102,39322,32742,87,1409,1233,13,2697,2345,30,5287,4390,40,7978,6696,52,194176,168749,93,0.0130378
169196,138525,110,64831,52941,91,1644,1476,17,3359,2744,35,6935,5878,50,9532,8354,57,255847,211916,101,0.0140407
254555,186937,111,118733,90893,108,3497,2610,36,5594,3987,45,11861,8865,64,18284,14152,75,463736,347055,116,0.0140407
178614,141141,96,62320,49289,93,1839,1600,19,2773,2163,30,6609,5288,47,10094,7946,56,242879,197860,102,0.0150436
153536,127147,93,50364,40852,90,2192,2028,23,3019,2514,34,7140,6329,49,10135,7919,67,257390,218151,100,0.0150436
50368,51029,74,19983,19760,54,541,568,0,697,949,0,1940,1707,24,2716,3288,26,67741,68011,77,0.0150436
127324,105215,104,47131,39278,87,1298,875,0,2452,1808,25,4677,3815,42,7106,6368,47,180097,155165,92,0.0160465
206552,155193,100,65290,49086,98,1744,1377,17,4350,3222,43,9815,7681,58,11226,8698,61,389889,295555,109,0.0170494
104220,89991,95,41828,35539,84,1050,758,0,2256,1926,27,3841,3794,35,4932,4434,42,150132,130246,91,0.0170494
185733,145247,108,66995,52646,94,2104,1565,24,3715,2933,42,7555,5938,53,10844,8848,58,266133,213670,106,0.0180524
23332,23325,68,7385,7522,39,143,163,0,817,896,0,1137,1106,10,1535,1628,17,42941,45426,69,0.0180524
