"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
61934,64260,72,23484,23060,67,702,477,0,806,904,0,2453,2307,27,2891,2982,28,81114,80927,80,0.0152446
124117,115014,94,40588,37615,84,1350,1178,12,3091,3129,29,6337,5957,43,7297,6650,46,266643,255080,97,0.0152446
147821,128910,91,44804,39701,88,1655,1558,17,3415,3151,34,7525,6526,48,9901,8418,57,307554,279259,94,0.0284567
209368,159217,111,80694,63841,101,1620,1446,18,2786,2479,32,6400,5274,47,9375,7489,63,230515,179953,108,0.029473
114255,93504,90,42280,35606,88,1264,1225,12,2005,1699,23,4371,3626,41,6926,5780,46,170793,140513,101,0.0335382
241740,164361,108,75941,51843,106,3503,2504,33,4958,3462,47,10845,7897,61,15667,10666,74,376840,255969,115,0.0335382
83354,79709,81,38843,36162,80,1008,1052,5,1519,1205,15,3424,3303,31,5379,5858,39,119391,116679,78,0.0376034
23987,24034,66,10498,10676,43,493,380,0,363,398,0,734,883,0,1737,1850,23,39008,39090,71,0.0386198
46797,46413,83,16537,16451,54,461,412,0,859,839,0,1425,1452,18,2141,2121,27,52350,55203,72,0.0396361
34828,35132,69,14324,14239,47,215,319,0,134,551,0,1003,1218,11,1687,1494,21,46657,46632,77,0.0406524
98717,95869,87,28172,27198,77,1401,1387,15,2757,2317,29,5963,5826,41,5693,5754,42,229198,218768,91,0.0457339
56276,56070,75,19686,19503,55,683,861,0,1703,1298,14,2216,2010,25,2744,2760,27,83702,80696,82,0.0497992
139798,110665,105,57434,45592,90,1156,1039,5,2920,2353,31,5219,4466,44,7664,5786,53,187019,151757,96,0.0640275
170969,134957,111,55221,43837,92,1706,1304,17,2899,2417,32,6093,4967,45,9131,8102,53,216466,172985,100,0.0650438
240251,159494,110,91997,62183,107,3355,2236,36,4794,3061,42,10587,6787,62,15262,9937,70,338706,219488,113,0.0670764
