"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
213284,167171,102,81849,64759,96,1936,1600,23,4575,3150,47,8868,7214,59,9397,7047,61,310928,248962,104,0.00206996
116243,108278,84,45578,40465,82,940,810,0,2553,2245,29,5537,4969,44,5867,5322,42,203378,184503,91,0.0124198
89025,88135,79,38137,37466,78,1057,1046,5,2173,1661,27,4116,4298,36,5125,5083,40,182802,185264,84,0.0165597
185910,153276,100,49779,40969,94,2525,2038,26,4121,3346,38,10710,9017,59,10301,8994,54,369134,335408,93,0.0196647
105807,96371,97,39993,36325,82,1172,929,0,1685,1907,22,3781,3680,33,5177,4703,44,161056,151686,87,0.0269095
70208,65344,82,29143,26561,78,453,326,0,1030,1092,7,3045,3030,32,3637,3268,36,99768,87474,87,0.0320845
103988,101807,80,46985,45474,81,1437,1350,17,2579,2782,28,6178,5839,46,7391,7483,45,229523,228396,85,0.0538191
126363,114101,87,58385,52458,84,1151,958,0,2851,2569,27,5717,5310,40,5650,5303,41,206170,189379,87,0.0548541
94142,91858,94,30275,29674,76,969,986,0,1746,1813,23,3865,3798,34,5863,5818,44,157615,158285,84,0.0652039
175941,136816,111,74605,58498,94,1375,1373,14,3369,2765,38,6699,5244,49,8615,7304,54,247127,192386,101,0.0683088
47028,46983,62,18525,18546,51,448,446,0,930,797,0,1578,1741,16,2191,2227,26,64848,65199,77,0.0683088
143977,126342,96,63806,55712,88,866,790,0,1704,1437,25,5166,4593,40,6048,6013,41,190019,170247,98,0.0693438
50901,49198,75,14194,14368,48,431,460,0,883,840,0,1845,1933,22,2066,2084,22,68582,67696,77,0.0807286
131496,113595,90,59181,50972,88,803,923,0,2185,1815,22,5247,4773,41,5814,4891,42,182698,159040,93,0.0838336
56253,55353,85,12253,11978,46,247,419,0,754,875,0,1869,2286,23,2298,2365,28,76985,74318,80,0.0848686
172505,140085,97,76400,63542,93,1566,1397,16,3288,2924,33,6445,5450,48,8028,6696,54,251145,214335,101,0.0921134
61498,62596,76,21705,21562,58,322,423,0,731,725,0,1960,1912,20,2417,2466,27,72718,73212,82,0.0931484
75226,75522,81,29153,28326,76,697,570,0,900,916,0,3456,3510,32,4376,4550,34,112469,111506,84,0.0952184
180837,146406,95,54177,41357,94,1565,1483,18,3694,3427,35,7349,6158,53,8907,7319,54,281704,227920,104,0.100393
76594,73631,80,16470,15662,51,566,340,0,1157,965,0,2382,2197,27,3673,3863,32,107411,100317,86,0.102463
206182,158608,100,64483,49138,98,1899,1612,22,3855,3149,35,8944,7236,53,10847,8432,60,375505,297589,107,0.104533
