"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
32468,33616,70,10071,10162,42,478,449,0,571,378,0,1581,1640,19,1748,1798,19,51396,51591,74,0.00209717
66807,64351,76,25096,24778,74,560,655,0,1104,1364,16,2408,2442,24,3394,3429,30,90556,91082,79,0.00314575
142476,118082,92,44573,35720,89,1612,1162,12,2374,2435,27,4584,3595,40,6484,5591,50,164494,140133,95,0.00629151
113135,99393,90,40907,33638,85,1512,1322,13,1751,1837,27,4921,4230,43,6183,5175,47,175110,152687,94,0.00734009
106130,94036,89,37634,32645,84,1561,1379,15,1758,1513,21,4055,3715,36,5172,4619,44,151572,133034,91,0.00838868
177080,134460,99,69540,53151,98,2300,1828,25,3478,2759,37,7013,5212,51,9721,7244,61,257404,197730,106,0.00838868
46012,44693,75,21017,20767,65,528,465,0,436,339,0,1315,1278,16,2690,2397,29,55481,55071,81,0.0104858
103182,98173,83,28004,27002,78,1348,1182,13,1756,1615,22,3872,3776,35,5330,5159,39,148129,142520,89,0.0136316
86811,74226,89,35289,29832,82,919,862,0,1533,1338,19,2709,2363,29,4528,3290,42,111646,96478,88,0.0136316
46256,49800,61,21092,20846,64,403,379,0,764,808,0,1683,1792,19,2570,2431,26,66564,67740,78,0.0146802
109822,98518,86,37163,32176,82,1237,1333,13,2295,1897,29,4781,4322,41,6464,5806,47,178693,164616,87,0.025166
188414,151941,94,66917,52712,92,2551,1994,31,4764,3486,43,9427,7697,60,12811,10154,70,354209,282092,102,0.025166
220795,170770,103,91950,72666,102,3569,2927,33,5023,3913,53,9370,7702,52,12352,10262,57,331409,271462,109,0.0283118
69818,62679,94,28158,24550,94,956,867,0,1114,1240,10,3070,2711,32,4183,3718,36,109556,96439,94,0.0283118
153077,124803,93,51749,40815,90,1978,1513,20,2745,2172,32,6875,5740,51,10096,8294,61,241334,207986,89,0.0314575
339295,235042,122,144285,102689,121,5538,4180,40,8919,5922,58,16844,11331,80,21478,14903,83,573213,418148,124,0.0314575
