"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
60723,59525,76,20417,20172,61,536,504,0,1003,944,0,2338,2311,26,3742,3568,33,75786,72613,82,0.00729927
79311,67760,94,28885,25225,80,883,885,0,2181,1296,22,3032,2653,32,4881,3908,40,105509,95609,87,0.00834202
154052,127901,94,56260,46503,91,1990,1680,21,2750,2482,30,5550,4555,44,8242,6716,51,164280,132070,100,0.00834202
49106,48303,74,19044,18704,53,489,453,0,936,1032,4,1720,1755,20,2134,2524,24,56736,55661,83,0.00834202
103154,99687,83,36622,35372,79,1375,1388,14,2285,2417,21,5167,4875,45,6681,6744,41,213104,202516,89,0.00834202
166209,129671,94,52992,41339,92,2509,1936,27,3875,2601,42,6530,5160,50,9984,7866,63,220548,172616,102,0.00834202
264210,175845,117,86967,58373,114,3898,2827,36,5373,3717,50,10593,7102,60,16722,11705,73,345634,235856,124,0.00938478
130410,100857,93,40257,30960,88,1944,1644,24,2552,2016,32,4920,3607,43,8814,6961,52,169880,135348,95,0.0135558
140464,111941,96,52676,41947,91,1608,1295,15,2396,2367,26,4820,3930,44,7893,6003,52,169534,136020,97,0.0156413
78636,75934,82,30049,28903,77,679,651,0,1156,1053,6,2970,2851,28,3655,3607,33,107953,103352,92,0.0156413
107573,89206,102,43887,37114,85,1491,1167,15,1777,1491,24,3892,3355,36,5349,4703,40,130808,109746,95,0.0177268
263308,188355,115,111107,82614,111,3128,2423,28,5482,3846,44,11083,8390,60,13349,10233,68,380556,271821,117,0.0177268
92483,78859,92,36309,32430,81,746,708,0,1258,1104,15,3447,2999,33,4335,3615,39,110666,95682,90,0.0229406
50333,50165,76,21901,21770,64,227,347,0,771,689,0,2117,1996,24,2007,1817,24,63735,61886,78,0.0281543
68829,65350,77,21545,20483,64,965,871,0,1282,1151,10,2707,2819,29,3622,3175,35,79652,76316,80,0.0291971
230766,174724,108,89184,65629,103,3790,2826,35,6288,4937,51,12474,9318,64,17869,14065,73,371478,294972,105,0.0302398
24271,23919,64,8950,9038,40,198,298,0,613,788,0,741,779,0,1463,1581,16,28469,30403,70,0.0302398
309372,178730,130,149364,97117,124,7494,5152,51,10849,7719,62,23153,17107,102,34314,24485,122,728186,498065,133,0.0323253
90086,80889,84,33196,27942,81,1058,944,0,1501,1837,20,3803,3006,37,5705,4743,48,118413,103913,83,0.0323253
94199,93289,82,35430,34119,78,1243,1069,11,1998,1925,24,4909,5019,37,5884,5902,41,219467,215129,90,0.0354536
205569,160330,117,76281,59921,99,2493,1898,29,3538,2451,40,7268,6101,48,11125,8131,62,225878,179720,107,0.0364964
134472,110129,93,47973,38832,88,1223,1077,8,2510,2128,28,4999,4326,41,7457,6262,51,167546,137097,97,0.0364964
227455,164987,106,74986,54662,104,2357,1737,27,5112,3991,44,12749,8989,68,15153,10862,69,493860,358509,117,0.0364964
76877,70865,84,19381,18600,60,1095,1107,7,1423,1420,15,3211,3112,33,4960,4916,38,101794,99242,83,0.0385819
123742,97868,94,47373,38065,89,1588,1317,16,2059,1647,24,3911,3088,40,5401,4236,46,123339,101302,97,0.0385819
83266,77012,84,34140,30440,81,952,628,0,1428,1239,11,3464,2789,34,4271,3772,41,109081,96712,91,0.0385819
154247,130091,93,53102,43634,88,1650,1486,18,3581,2960,35,8223,7306,51,11314,9185,63,327910,280773,97,0.0396246
47437,48206,71,7213,7094,38,333,292,0,848,734,0,1629,1772,17,2611,2517,28,62631,62233,73,0.0437956
70763,62558,81,31553,27553,78,1009,885,0,1130,1341,12,3303,3010,36,4978,4219,40,100253,86682,81,0.0437956
24213,24281,67,9907,10012,43,172,226,0,356,488,0,994,980,0,1464,1873,16,27302,27773,67,0.0490094
110861,104582,96,53067,51234,82,1699,1343,16,3130,2912,30,6421,6140,42,7995,7252,48,272482,265977,90,0.0490094
105665,89718,90,43486,37911,85,1568,1370,17,1718,1811,23,4694,3966,39,5850,4940,44,127833,110639,89,0.0490094
192798,151896,104,69728,54771,95,3224,2345,34,4929,4363,39,11011,8661,63,15513,11547,73,343811,278731,94,0.0500521
136340,122361,90,53998,49263,86,1447,1244,14,2468,2587,27,4717,4269,38,6651,5786,45,145926,133667,91,0.0510949
112559,98711,86,46786,40151,85,1094,1154,9,1762,1443,21,4414,3837,42,6025,5476,45,148789,130370,91,0.0510949
33464,33264,70,11476,11288,44,224,311,0,715,632,0,1114,1162,12,1736,1448,23,47689,50016,69,0.0521376
142993,128883,92,63430,57826,87,1620,1425,16,2697,2160,34,6021,5411,45,8199,7461,52,192249,186625,83,0.0521376
101345,90507,87,37745,33600,82,1151,1247,12,2015,1875,25,3881,3623,37,5456,5209,40,134490,121314,85,0.0542232
166216,142459,107,44665,37596,89,1641,1586,19,3074,2710,29,7521,6448,51,11700,10338,57,354244,316345,97,0.0542232
52906,51451,78,15332,15200,49,682,984,0,1127,1125,10,1820,1778,21,2456,2600,27,59289,57554,77,0.0552659
112856,94837,92,34720,28100,84,1155,1067,8,2060,1558,24,3821,3092,37,6072,4973,46,118138,101213,92,0.0552659
168952,127556,108,57548,44513,92,933,704,0,2766,1988,32,4587,3752,43,7600,5514,52,169321,132328,98,0.0552659
156972,120977,95,53145,40277,93,1517,1295,13,2828,2311,35,5620,4487,46,8312,6973,55,178971,132882,100,0.0563087
72140,65665,83,27864,24760,79,581,440,0,1003,1083,12,2410,2173,25,3527,3336,34,84232,74905,84,0.0573514
101051,87064,90,24119,19890,76,953,784,0,1328,1654,20,3691,3354,35,5850,5253,43,130308,108518,89,0.0583942
166101,140444,95,70480,59528,90,2077,1807,24,3407,2786,33,7157,5791,50,8384,6952,51,239587,197797,96,0.0583942
248015,181162,112,71612,52271,106,2694,2229,29,4824,3672,42,8884,6701,58,12826,9188,66,298572,208606,115,0.0583942
116804,108654,85,45001,41234,81,1582,1427,17,3082,2720,30,6415,6073,45,8420,8375,49,283762,268078,93,0.0594369
40972,40931,71,12147,12147,46,317,435,0,887,793,0,1216,1267,12,1631,1955,22,49542,48737,76,0.0604797
213931,155449,102,67151,49535,100,2201,1508,29,4902,3413,49,9823,7273,57,13118,9710,65,360028,256358,113,0.0636079
113323,107427,93,29245,28287,79,982,961,0,2209,2501,26,6070,5835,43,8292,8615,46,245322,237603,87,0.0636079
185985,143796,98,61179,46577,94,2530,1909,30,3050,2544,35,7045,5300,50,10198,7796,59,222141,169265,104,0.0646507
85794,74941,89,30697,26870,81,1081,928,0,1207,1453,12,2780,2343,31,4236,4168,37,99018,85179,91,0.0656934
173367,139926,96,63025,51282,91,2954,2135,31,3948,2774,45,8272,6797,53,11666,8857,64,268145,219091,101,0.0677789
107103,99862,88,30380,29268,79,1124,1074,7,2195,2064,25,6021,5748,45,6651,6489,46,217922,211199,90,0.0688217
156962,124809,98,53246,42245,89,1640,1405,16,2685,2407,28,5440,4322,46,8784,7294,53,187009,149168,98,0.0698644
