"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
216125,168836,109,68929,55370,98,2267,1925,24,4413,3995,38,11755,9379,64,14143,10858,72,474733,383836,107,0.0100097
346313,219201,146,103418,64732,143,3203,1985,33,7606,4844,51,18903,11706,84,22568,13847,94,736958,471051,155,0.0190185
283497,195910,126,224395,145750,124,7825,5074,53,17883,12281,77,44779,29814,120,55046,36808,121,1.04858e+06,1.04718e+06,131,0.0340331
161138,148764,95,39621,37105,83,1458,1259,16,3966,3399,38,8613,8049,51,11422,10323,58,366471,344055,96,0.0610593
122445,113870,86,33655,30759,81,1135,1083,7,2908,2801,30,6474,6243,44,7512,6607,53,265205,246263,92,0.0700681
208933,151405,113,52547,38708,99,1738,1364,19,4050,2858,40,9206,6713,56,12277,8667,63,366158,275289,106,0.0820797
117818,114670,82,31447,30374,80,814,894,0,1960,1726,23,5794,5134,41,6747,6360,45,223147,217661,90,0.0830807
92876,90922,81,21425,20793,61,999,965,0,2227,2042,26,5366,5353,39,6249,5873,44,202944,202113,89,0.110107
131633,120678,91,42301,38385,84,1253,1108,8,2745,2841,30,8622,8285,53,8952,8461,52,306848,283237,94,0.124121
112123,107220,91,31192,30110,78,841,942,0,2559,2057,27,5618,5260,40,6416,5657,45,214777,208488,90,0.139135
236636,171687,106,59246,43243,101,2357,1713,25,4523,3263,45,12252,9009,66,16441,11765,79,504382,369203,114,0.142138
121410,114255,85,21033,20411,62,1320,1404,16,2693,2733,27,7330,6603,53,9990,9524,57,285690,272231,90,0.14414
298313,201374,126,84955,58701,120,2485,1663,25,5422,3743,46,14611,10226,73,17538,11653,77,600298,404743,129,0.148144
106180,102778,80,39950,38469,79,1176,946,0,1989,1888,25,5790,5534,40,7928,8009,46,253656,242291,89,0.155151
125243,117969,87,64579,61081,85,1205,1020,7,2477,2502,29,6610,6366,44,8627,8041,55,263791,253072,82,0.169164
100138,95647,84,32805,31442,78,776,658,0,2337,1765,30,4790,4715,37,6283,6215,42,199618,195282,88,0.183178
199643,152685,105,63486,48348,98,1935,1397,22,3618,2779,37,10183,7858,61,12429,9688,64,388327,304165,109,0.184179
225080,180449,116,116847,99278,99,2301,2065,22,5430,4677,45,14039,11843,67,18430,15832,82,568706,479285,106,0.190185
