"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
179884,141627,93,77478,60949,94,2052,1643,23,4012,3203,38,7598,6224,53,9610,7714,60,310820,253274,97,0.00514091
188381,143635,98,71227,54022,96,2087,1600,23,3703,2659,40,8500,6732,53,10502,8307,58,328712,259206,105,0.00925363
207193,181647,97,74743,65102,94,3369,3051,29,5189,4883,39,11555,10240,61,19269,16827,86,473870,419522,102,0.0185073
62958,62659,75,8686,8841,40,946,692,0,1086,1180,9,2888,3041,29,4082,4206,34,120542,122613,81,0.0185073
108940,106687,84,46473,45055,80,1164,1171,13,2393,2262,26,5916,6216,43,6740,6762,41,223785,221425,87,0.0195354
256610,175079,123,73010,48544,106,4270,2815,40,5709,3901,48,12498,8493,73,17009,11651,79,456833,321841,115,0.0277609
42013,41341,77,12268,12398,45,263,390,0,554,770,0,1388,1539,17,2285,2170,27,63983,63523,77,0.0318736
127002,104647,90,50300,41182,86,1458,1236,14,2472,2290,27,5418,4537,44,6606,5195,52,210299,178585,93,0.0359864
269204,198355,117,110356,86139,108,3897,2969,36,5890,4875,47,13436,10125,67,18658,14533,78,553460,426877,115,0.0390709
116127,107293,92,43500,39727,82,1222,1180,10,2141,2099,23,4961,4763,39,6150,5800,44,199315,191599,80,0.0411273
83026,78652,84,27993,26985,77,1073,1320,12,1412,1392,17,3602,3572,33,5112,4914,40,150330,145035,85,0.0483245
191627,147918,97,66271,51417,94,2665,1872,30,4245,2692,46,8292,6290,58,12184,9323,64,320972,251207,105,0.0575782
154613,136281,92,63875,56619,88,2534,2179,28,4078,3548,37,8826,8193,49,11520,11042,53,304489,291831,87,0.0586063
74577,73548,77,21042,20792,55,762,753,0,860,1252,11,3014,3132,28,4012,3985,37,120614,120977,84,0.0586063
235055,175113,115,91701,69208,108,2280,1736,26,4533,3329,44,10505,8013,58,13796,10560,64,457457,355916,113,0.0616909
153095,125248,98,54400,44470,89,2299,1907,28,2688,1938,31,6594,5606,49,9958,8092,55,263066,218214,97,0.0658036
128417,110982,90,45088,38612,87,1733,1751,18,2340,2245,28,5676,5065,43,8621,7131,61,212117,190189,89,0.06786
174883,140182,98,59395,47045,93,2354,1799,25,3285,2712,35,7483,6269,53,9646,7720,53,305231,251258,102,0.0709445
118046,100844,94,53396,45709,86,1175,964,0,2058,1914,24,4889,4583,38,6452,5761,44,226763,203425,90,0.0730009
65243,63381,78,24288,23753,66,563,610,0,982,1138,8,2728,2682,29,3451,3417,32,100879,100823,73,0.0843109
25070,27033,64,16921,16881,52,47,215,0,396,638,0,894,969,0,1118,1240,13,47521,48627,72,0.0863672
86876,77397,98,34627,31091,80,992,1009,2,1779,1330,22,4139,3530,37,5407,5305,41,149006,134286,91,0.0884236
129577,108472,89,46210,37517,87,1367,1084,8,2824,2371,26,6309,5363,47,6993,6062,45,254883,214166,99,0.0884236
102991,91684,85,45243,40041,83,864,764,0,2095,1673,23,4106,3830,35,4948,4499,40,166114,152606,93,0.0884236
175620,142763,98,37481,29653,90,2758,2268,24,2874,2739,33,6825,5823,49,9551,7426,56,269370,226204,102,0.0956209
180610,152217,92,72830,59757,93,3239,2609,32,3882,3688,37,9019,7862,58,14140,11984,67,371194,327936,99,0.0976772
134544,116144,101,48470,40940,88,1568,1374,16,2335,1948,27,5098,4449,39,7162,6355,49,214531,187392,93,0.0997336
329707,241987,141,138951,102743,133,6118,4324,42,8381,6295,51,19055,14572,78,27775,20004,124,704328,515671,139,0.115156
220106,165565,102,76897,57430,100,2726,2098,30,4297,3326,41,9374,6930,58,12638,9485,64,337329,253307,105,0.120297
155631,129982,107,46820,38461,90,2025,1850,25,3336,2700,34,6155,5413,42,8933,7509,55,257663,218592,101,0.121325
268118,195952,116,105148,77911,107,3502,2510,33,5952,4770,47,11857,8986,64,16558,12709,71,441619,339366,115,0.125438
151965,135574,95,54829,48490,87,2129,1926,23,2855,2865,32,6566,5870,45,10261,9823,53,264912,245394,99,0.127495
111272,105129,84,59713,56516,84,1583,1526,19,2400,2458,25,6625,6141,49,8871,8683,50,254412,245012,88,0.129551
50725,50457,76,24640,24453,72,592,612,0,1026,1153,9,2299,2288,26,3338,3536,31,84344,86590,70,0.133664
166428,149197,95,98340,89988,93,2596,2196,28,3421,3347,33,7539,7255,46,10103,8840,59,257080,233267,88,0.13572
246451,188550,107,89347,66513,105,2547,2093,28,4524,3642,41,9960,7334,64,14639,10993,75,410150,320094,112,0.140861
209602,163046,98,85042,66707,96,2682,2071,28,4173,3045,37,10384,7877,61,14623,11348,71,392553,311590,109,0.142917
204276,158546,109,68260,53400,96,2261,1822,23,4649,3674,40,9182,6685,55,11462,9801,60,359897,290339,104,0.143945
28716,28522,67,12414,12472,45,410,364,0,843,576,0,854,1076,7,1325,986,0,49125,48678,72,0.159368
184735,149029,108,60017,47521,94,2224,1542,24,3341,2421,37,7104,5707,48,10304,8553,62,262034,214088,103,0.163481
192106,148939,100,57740,44687,95,2169,1846,25,3674,3011,38,8641,7037,53,9294,6940,63,316623,253120,102,0.163481
125998,109722,98,41387,35288,85,1627,1298,18,2472,2288,28,5530,5029,45,8594,6942,55,198564,175139,93,0.163481
173091,138139,102,58439,45379,93,2347,2017,26,3847,3210,38,7928,6190,53,11315,9024,68,297504,237542,105,0.166565
300552,204597,125,114307,77426,121,5451,3550,41,7245,5666,55,16342,11232,77,22083,15434,86,638108,451377,132,0.177875
49950,50134,75,17854,17678,52,830,561,0,441,451,0,2191,2112,23,3135,3458,30,80456,80641,78,0.178904
177108,155230,91,88929,75894,90,2204,1922,26,3285,3210,28,7748,6969,48,8948,8178,55,307964,263921,93,0.18096
67747,65049,88,24884,24433,67,855,753,0,1466,1194,14,2868,2869,29,4487,4107,40,105753,106144,75,0.18096
109761,102363,86,36017,34047,80,1174,1119,9,2606,1848,30,4659,4801,37,6731,6510,45,181123,177669,90,0.186101
216851,168889,108,81078,63072,102,3144,2327,32,4616,3775,42,10786,8861,57,16798,13597,67,423235,337060,111,0.187129
55699,53624,78,24357,24354,65,611,489,0,1522,1214,15,2398,2244,25,3132,3294,29,95919,96365,80,0.187129
181272,145854,95,70958,57633,95,1958,1508,25,3470,3233,35,8536,7187,56,9429,7686,61,320145,259027,106,0.190214
175078,147587,95,58585,48729,89,1990,1469,25,3458,2883,37,6822,5608,51,8972,8005,51,295925,252817,100,0.19227
32656,33726,58,13656,13623,46,360,445,0,497,602,0,1151,1209,10,2203,2399,23,57707,61477,75,0.19227
72063,70543,80,23338,22876,64,1167,924,0,1585,1602,19,3474,3347,33,4612,4358,37,127029,123465,85,0.193298
145244,122627,97,43569,36419,90,1922,1470,23,2479,2565,27,6255,5358,47,9714,8608,52,247786,216966,96,0.194326
339359,227034,189,126262,84373,172,7364,5468,42,10331,7481,58,22912,17801,100,31733,23689,138,882219,674622,197,0.209749
30024,30099,69,15082,15144,48,387,432,0,436,463,0,1452,1537,15,1258,1503,19,54120,54426,75,0.216946
