"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
220119,170413,106,90743,69877,101,2079,1764,21,3869,3155,40,7822,6559,53,11018,8017,66,322556,250118,110,0.00479492
37331,39326,56,17820,18390,48,367,373,0,989,646,0,1351,1437,15,2060,2019,22,49325,50084,74,0.00479492
38655,39357,73,14752,14489,50,419,421,0,381,629,0,1310,1548,16,2560,2412,29,47620,46029,75,0.0105488
240062,180449,108,111675,87421,107,2374,1897,25,3924,3284,36,8783,7371,51,11924,8873,61,316192,241541,114,0.0115078
324158,214749,127,136506,94398,122,3093,1990,37,6145,4144,47,13799,9476,78,17522,13050,90,523912,364365,130,0.0124668
64349,58601,81,22592,20628,72,606,558,0,1150,974,0,1938,2092,23,2845,2593,30,92045,84583,86,0.0143848
185134,153080,103,67170,55054,94,1309,1149,10,3106,2459,35,6398,5753,42,8800,7218,53,221352,200370,90,0.0191797
64326,65880,76,30323,29864,74,488,590,0,746,859,0,2172,2042,25,3543,3537,32,87171,86799,76,0.0201387
147977,119988,99,51069,40881,93,1449,1186,11,2768,2021,34,6344,5534,44,6739,4934,49,242943,202515,99,0.0210977
156885,138249,87,54464,48335,86,1159,1026,5,2439,1902,29,4705,4433,36,7582,7371,45,183018,166665,95,0.0249336
165656,154965,90,88559,83142,90,2847,2444,28,4367,4068,39,10634,10032,54,13531,12306,65,372669,347057,98,0.0287695
136478,125520,89,47383,43904,84,1660,1605,17,2878,2888,26,6521,6629,42,7754,7030,49,297264,284529,98,0.0297285
137799,116637,90,51630,43215,88,1039,742,0,2373,2066,27,4965,3856,42,6432,5921,47,182962,154689,95,0.0326055
103772,91957,86,47821,41976,85,821,728,0,2263,1504,25,3241,2938,36,5572,4524,45,151231,127315,94,0.0335645
69772,66037,80,26822,25396,76,617,620,0,817,794,0,2570,2438,28,3249,2896,30,88867,84919,83,0.0345235
60504,58147,77,15385,14808,49,549,510,0,1126,1182,8,2751,2867,28,3645,3529,34,103195,101069,82,0.0354824
320026,211963,131,160770,111883,126,3798,2484,38,5981,4478,51,13145,9523,70,18599,13325,79,490482,347295,132,0.0354824
88876,79294,88,29070,24851,80,439,596,0,1908,1422,20,3228,2819,33,4705,4101,39,127841,117561,78,0.0393184
137871,119843,91,58479,49197,89,1399,1345,13,2749,2661,29,7071,6346,49,7705,7272,51,268150,240766,94,0.0402774
138186,110783,93,50776,40810,90,1147,1048,6,2291,1817,33,4344,3606,39,6139,5696,41,180110,152720,97,0.0421953
82765,76994,81,33729,30653,81,1222,1153,10,1298,1425,16,3347,3270,30,4627,4186,39,140280,133154,86,0.0431543
63434,61623,80,24186,23498,73,536,437,0,1420,1037,5,2096,2050,22,3457,3474,29,88172,88692,82,0.0441133
98425,84907,85,38123,32539,83,910,918,0,1578,1522,19,3493,3071,35,4828,4401,40,136454,121914,91,0.0450723
77812,73666,93,20287,18703,59,397,550,0,1654,1569,20,3124,2817,30,4559,4255,37,117299,115311,82,0.0469903
66741,60109,85,24798,22595,76,274,444,0,1626,1399,20,2730,2565,29,3719,3868,32,84589,81619,78,0.0489082
119966,102885,87,47467,40026,86,995,869,0,1659,1392,25,3963,3185,38,5711,5015,46,154968,136069,94,0.0508262
29684,29808,67,13827,14008,47,166,228,0,536,479,0,1147,1053,10,1272,1443,16,34856,36134,70,0.0517852
83670,76378,82,41392,36676,81,695,558,0,1659,1209,13,2875,2607,32,5389,4692,41,116129,104536,89,0.0517852
59944,56221,79,26735,24382,75,710,676,0,835,714,0,2195,1903,25,3278,3095,33,81572,73931,84,0.0527442
132125,109972,97,50582,41056,87,1430,1235,14,1855,1373,24,4915,4248,40,6624,5645,45,179753,146876,98,0.0556211
339109,226617,142,149000,106953,138,3621,2397,37,6685,4687,50,14185,9726,70,18373,14078,82,530054,374429,148,0.0594571
156771,126782,100,72320,58490,91,1382,1064,8,2266,1852,30,5154,4332,44,6771,5543,53,204340,174245,94,0.0604161
63525,58407,81,24938,22133,72,586,489,0,1081,906,0,2793,2750,31,3519,3332,35,99362,92665,84,0.061375
147180,118586,107,59507,47754,91,1328,1002,2,2515,1880,33,5384,4378,46,7602,5620,52,205599,168348,101,0.061375
249331,172062,121,91076,62677,103,2476,1849,28,4441,3042,40,8262,5883,54,12320,9126,64,313950,223346,110,0.063293
74505,65861,96,27805,24071,81,665,450,0,1428,1198,18,2413,2055,29,3226,2932,34,86269,77087,83,0.0709649
61246,59064,77,24911,22953,74,536,562,0,735,828,0,1848,2194,22,3117,3107,31,80491,76199,80,0.0728829
221619,158697,122,74705,55808,104,1914,1245,22,3051,2330,36,7065,5256,51,10234,7347,62,259977,196092,111,0.0738418
54118,52556,75,20096,19909,57,199,210,0,828,836,0,1677,1770,20,2333,2392,28,61434,59479,70,0.0815137
111603,102408,85,51956,47597,83,674,900,0,1839,1799,21,3814,3693,34,4626,3810,40,137052,130657,91,0.0824727
109221,93305,87,48990,41147,85,1210,1124,8,1893,1805,24,4631,4086,39,6686,5520,50,147736,129845,88,0.0843907
71306,66444,79,25986,23645,70,511,543,0,835,958,0,2217,2020,27,3119,3128,30,90841,81039,84,0.0843907
32805,31711,66,15045,14540,50,421,356,0,768,582,0,1326,1328,16,1569,1805,19,53468,52660,73,0.0882266
49483,48006,70,12942,12935,46,234,327,0,682,896,0,1490,1611,18,1920,2086,22,62858,62456,77,0.0901446
112853,111779,84,57373,54991,81,1102,1305,11,1931,1782,22,3929,4122,34,4927,5301,37,143469,138727,89,0.0920626
104780,91832,85,44575,39232,85,1160,1049,5,1937,2013,22,4169,4135,35,6215,5670,46,154293,138154,92,0.0920626
122454,107761,92,44269,38269,86,1679,1563,17,2248,2199,26,4752,4264,38,7548,5946,49,186828,164745,95,0.0930215
115529,98365,88,53154,45259,88,1296,1114,10,2176,1895,27,4632,3687,40,5605,4957,44,180501,148972,98,0.0930215
68289,60329,84,28582,24269,79,654,496,0,1261,1090,8,2826,2444,31,3514,3316,34,94502,82640,83,0.0939805
80548,71090,87,38535,33995,80,540,574,0,1527,997,0,2785,2704,29,3510,3177,34,104042,91585,91,0.0949395
73547,68834,87,27885,25222,77,467,352,0,1154,1146,10,2435,2296,28,3461,3014,34,102460,98330,82,0.0997344
202319,148073,102,79366,57762,98,2174,1997,24,3410,2597,40,7452,5697,50,9777,7249,56,274179,203545,107,0.100693
180235,150966,97,76966,63792,91,1715,1501,21,3726,3373,37,8048,6484,55,10276,8369,55,271974,233179,101,0.102611
42155,42085,75,18042,17314,55,196,289,0,841,817,0,1370,1593,17,1544,1688,20,51325,50262,74,0.107406
118680,112641,85,35492,33725,81,1292,1380,13,2680,2464,30,5600,5501,40,6094,6482,43,234215,223248,92,0.108365
44254,42708,83,13929,13838,47,500,476,0,919,769,0,1630,1807,20,2441,2134,25,70001,70912,78,0.111242
149264,125343,92,57641,47820,90,1351,1173,10,2124,2084,24,4711,4059,40,6856,5873,46,196315,173940,98,0.111242
170442,147595,95,66854,59585,92,2215,1777,26,3964,3448,35,8956,7969,51,10691,9166,61,336654,301286,93,0.115078
152318,126374,94,74141,62219,93,1582,1135,10,2476,2118,27,5374,4185,49,6773,5580,48,222187,191774,97,0.116996
132053,113145,92,48775,41995,89,1514,1254,11,2207,2141,26,6375,5380,45,5890,4601,45,213504,184708,94,0.120832
145346,122096,96,63034,53279,90,1267,1113,10,2637,2631,29,5779,4701,46,6540,6355,47,228950,191313,100,0.121791
40642,41367,73,12130,11971,46,225,326,0,636,746,0,1484,1416,15,2064,2061,24,56573,54092,80,0.123709
21519,22726,55,12774,12635,46,439,375,0,576,580,0,959,898,0,1071,974,0,35486,36004,69,0.125627
63444,61204,82,24584,24037,70,334,438,0,1087,1166,11,1790,1850,20,2561,2790,29,75451,72513,76,0.129463
254143,190422,121,104408,79270,117,2852,2114,30,5054,4015,39,10519,8479,62,13437,10899,67,390811,310511,126,0.131381
107178,100161,90,32920,31809,79,1370,1232,11,1929,1653,22,3700,3427,35,5484,5467,40,151992,146517,87,0.135217
156081,142672,89,51127,47517,87,1811,1507,17,3162,3014,29,6036,5722,43,8976,8277,53,229359,208859,95,0.137135
56029,54003,77,23278,23002,66,572,388,0,922,865,0,2074,1944,25,2806,2727,28,81699,77855,78,0.139053
109988,97762,89,40958,35834,84,245,467,0,1654,1344,14,2926,2431,31,4203,4487,36,122239,105502,93,0.14193
108263,104354,82,36859,35629,79,806,762,0,1964,1856,21,3888,4030,32,5892,5579,42,164761,156517,86,0.145766
256930,197291,110,117792,92495,109,2865,2203,29,5233,4094,44,11349,8730,61,15800,12536,71,415842,343682,113,0.148643
294766,171084,137,130815,78143,130,2359,1598,26,4065,2497,45,9188,5439,58,13384,8117,69,371876,219467,136,0.149602
128380,121045,84,48664,46147,82,1265,1007,3,2180,2138,25,4283,4042,37,5793,5717,41,152911,142900,89,0.149602
37929,39061,58,19118,18934,59,168,220,0,832,778,0,1172,1268,15,2139,2295,26,50916,51158,76,0.15152
194568,151448,103,99077,80673,101,1716,1352,20,3522,3393,35,7661,6050,50,9289,7982,54,282416,227454,113,0.15152
248629,182057,105,112333,84581,102,2567,1654,33,3992,3033,41,9257,6743,53,13894,9397,71,348017,250245,114,0.152479
50646,50359,74,22618,22082,62,399,474,0,820,910,0,1771,1722,20,2239,2071,24,64727,62345,78,0.158233
231312,172066,113,126208,103241,100,3241,2419,33,7018,5315,54,12667,9817,68,17402,14094,73,447079,352062,109,0.159192
41550,41210,66,12073,11887,46,582,519,0,819,760,0,1733,1685,19,2093,2410,22,64922,65256,79,0.16015
202201,154906,97,91936,69365,96,2224,1667,27,3684,2782,38,8411,6522,56,10705,8048,65,313481,235171,102,0.161109
106723,101336,85,44610,42675,80,763,809,0,1215,1449,17,2927,2779,32,4436,4485,37,124974,117859,88,0.163027
104300,100726,81,39681,38818,79,884,804,0,2860,2850,27,6334,6263,44,7110,7133,47,238809,230481,86,0.166863
130993,107263,91,56891,46983,90,1093,1079,9,2087,1576,23,4791,3879,42,6182,5364,46,175644,143396,98,0.166863
261328,183655,116,116079,84443,113,3357,2412,32,5173,3871,42,11295,9228,62,16174,12918,70,480600,389627,114,0.167822
16545,15704,62,6923,6899,38,226,375,0,325,488,0,724,668,0,1058,1051,4,26604,27643,63,0.16974
170455,143391,97,70094,59096,93,1311,1263,14,3170,2534,36,6873,6020,44,7065,6382,49,259146,228245,102,0.171658
273035,210506,122,166382,130153,122,3400,2689,33,5985,5272,44,13279,10398,65,18605,14712,85,465894,387780,127,0.173576
66183,60981,82,29659,27123,76,351,606,0,843,978,0,2116,2014,25,3262,2992,32,90346,83405,82,0.173576
301736,212764,125,170033,125569,123,2935,2219,32,5451,4306,47,13477,9891,67,17039,12141,75,490643,349185,130,0.174535
78572,71341,80,27902,24250,78,441,396,0,1787,1538,21,2882,2587,30,3833,3343,35,104080,92198,87,0.175494
127991,109816,96,48510,41287,87,1255,1095,7,2325,2207,27,4732,4082,39,6741,5756,46,183559,161483,94,0.176453
201598,156374,99,70319,52614,98,1863,1614,22,3043,2803,31,6942,5689,50,9393,7874,54,262568,207308,104,0.177412
326551,221123,125,136735,95708,119,3384,2173,34,6464,4394,56,15258,10341,73,20590,13913,85,558727,399235,127,0.178371
37062,36445,68,9699,9542,43,435,450,0,447,591,0,1091,1084,6,2102,2103,25,47000,46008,73,0.180289
