"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
302945,188141,121,103023,63818,118,2485,1546,29,5798,3678,49,11639,7200,63,17306,10642,87,403741,252225,127,0.00609309
121009,102531,100,37710,31865,84,1079,843,0,1696,1608,20,4047,3776,37,5388,4596,41,145419,127441,90,0.00812412
52859,54066,74,22010,21719,64,189,352,0,911,1000,1,2026,1836,23,2756,2476,31,77546,77830,76,0.0111707
174166,129600,99,57328,42809,94,1700,1463,17,2957,2192,33,7536,5571,52,11068,8624,60,264258,199417,105,0.0142172
29178,30652,64,10615,10983,43,380,397,0,673,588,0,929,1063,6,1425,1747,18,36059,37275,72,0.0152327
42815,43649,69,17189,17228,51,330,327,0,524,781,0,1472,1758,17,2069,2104,26,54667,56708,77,0.0172638
139076,106661,98,43965,33894,91,1298,1162,10,2574,2131,30,5270,3948,48,7594,6494,50,185744,146051,101,0.0172638
280443,212575,128,103707,80252,110,3193,2527,31,5272,4239,46,12869,10456,66,16758,12677,78,450002,365834,116,0.0243724
56580,54667,75,21675,21236,62,408,419,0,680,970,0,1721,1927,19,2659,2603,29,65467,63873,79,0.0264034
257660,197659,107,145492,117382,104,2668,1971,30,6277,5106,44,11727,9400,65,17009,13357,71,425090,347143,112,0.0284344
133153,117062,88,48608,42286,86,1240,1188,9,2441,2203,32,5670,5432,41,6964,6061,50,242438,219026,96,0.0345275
28221,27732,63,9874,9875,42,415,389,0,452,425,0,1325,961,0,1390,1459,16,41719,42899,71,0.037574
202637,149086,103,70171,51925,98,1727,1357,16,3652,2950,37,7714,5576,57,10832,7551,58,268861,198392,100,0.037574
195791,168771,111,109610,97603,94,2096,1922,23,4227,4165,35,9324,8554,53,13575,12345,61,339204,307514,101,0.0385896
46793,44763,87,19862,19713,58,328,427,0,936,624,0,977,1312,10,1787,1860,21,48513,45455,79,0.0477292
238016,176839,105,78466,55977,103,2210,1598,25,3665,2923,38,8286,6066,54,13091,9916,68,276038,209322,114,0.0497602
116813,110662,85,46832,44741,81,1194,1133,10,2405,2568,25,5123,4931,41,6749,6355,45,233154,226221,91,0.0538223
290052,210378,110,110649,79619,108,3765,2682,38,6686,4980,52,14558,11217,67,21941,16482,86,525027,398815,119,0.0578843
267999,196163,113,110056,81079,110,2494,1940,28,4587,3252,45,10472,7996,61,16779,13160,71,394319,291160,119,0.0588999
290801,204780,119,112318,79327,115,2624,1950,32,4923,3814,44,11020,8217,63,16335,11553,71,383205,279142,121,0.0588999
56468,56299,75,19462,19398,55,365,527,0,1267,1053,6,2066,1783,22,2675,2286,31,72180,69270,87,0.0599154
204036,146538,105,79065,56939,100,2063,1295,25,3650,2729,38,8466,6229,56,12793,9874,60,276793,216187,96,0.0599154
48222,44673,74,14837,14716,49,389,326,0,535,802,0,1644,1819,20,2015,2069,22,59322,60959,79,0.0721016
256306,160495,120,101988,64288,112,2010,1236,22,3267,1987,38,8101,5141,59,10964,7588,65,286392,186295,116,0.0721016
