"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
42554,41037,74,16996,16919,51,265,374,0,571,647,0,1228,1269,11,1670,1766,22,49102,48952,81,0.0120124
160517,135428,96,60841,51501,92,1421,1085,8,3110,2737,38,6259,5349,44,7549,6734,48,245241,209779,102,0.0140144
150917,127422,104,63990,53921,91,986,888,0,3014,2076,33,6061,5423,45,6415,5872,44,239770,209201,98,0.033034
186390,146387,96,91800,71916,94,1907,1366,17,2803,1849,32,5965,4643,47,8890,7017,52,252736,196404,103,0.0740762
59774,59628,74,26248,25403,73,615,594,0,671,953,0,1966,1884,23,1954,2144,21,78925,76359,86,0.0740762
131707,113918,94,56718,49540,88,1478,1215,11,2678,2301,31,6651,5947,45,7954,6911,56,271322,237511,95,0.0920947
88779,78190,83,48501,42237,83,738,655,0,1301,1064,13,2766,2418,30,4255,4154,34,121030,107120,93,0.108111
147821,120964,102,73832,61940,91,880,711,0,2357,1687,25,5060,4226,41,6515,5446,44,197797,166282,99,0.115118
268956,186854,112,124927,87373,111,3009,2099,32,6761,4439,53,15327,10184,73,17362,12637,76,607951,423432,122,0.137141
190074,152828,103,97010,78972,101,1514,1383,15,3557,2669,38,7094,5881,48,8893,7319,49,270599,226290,105,0.139143
87307,84823,82,39443,38566,78,874,466,0,1234,849,0,2682,2561,27,3279,3351,31,101727,96817,83,0.161166
33782,32516,70,11270,11252,44,247,257,0,482,329,0,1134,1086,8,1198,1075,7,45731,46252,75,0.177182
65927,63312,82,26736,26234,74,370,455,0,1502,1285,14,1627,1665,19,2479,2540,26,83736,83296,83,0.188194
38726,38529,72,15701,15918,50,201,443,0,401,520,0,1450,1568,19,1674,1438,18,53540,53152,69,0.192198
150923,138279,95,58539,54852,87,1388,1358,14,2861,2565,32,7106,6551,49,8066,7165,50,268378,250965,98,0.200206
31637,33470,56,16961,16948,56,157,236,0,483,518,0,1191,1045,6,1181,1223,14,37835,40380,63,0.20421
62747,60749,78,27573,27426,75,85,260,0,1086,911,0,1722,1747,20,2101,2425,22,63081,62912,76,0.207213
157080,139614,92,66252,60354,90,1328,1017,4,3208,2502,35,6477,5850,47,7344,6901,45,228373,213455,99,0.229236
132339,125306,86,38018,36636,83,1305,1579,14,2778,2687,28,5786,5302,43,6845,6462,46,227320,211615,96,0.242249
124490,109419,90,49366,43462,86,969,915,0,1668,1386,21,3803,3279,38,5270,4917,40,151711,133705,95,0.268276
112425,107197,92,44843,43650,81,907,1158,8,2102,1968,24,4606,4446,37,6045,5884,42,188168,184063,89,0.278286
259850,187383,116,130615,97775,113,2490,1882,27,6379,4671,51,13383,9878,75,15724,11591,74,501526,368497,121,0.283291
74057,72477,81,19838,19493,56,894,806,0,947,920,0,2946,2807,29,3659,3536,32,107368,108521,85,0.288297
142544,123097,91,60645,50816,87,1025,1000,2,2210,1787,19,5630,5077,45,6417,5390,45,213682,190941,95,0.289298
86493,83995,81,38508,37646,77,892,744,0,1544,1267,13,3023,2905,30,4634,4075,38,117642,112296,84,0.31132
