"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
216096,162797,104,81472,62220,98,1683,1293,17,3231,2286,36,8623,6354,58,11569,8540,61,384314,293785,107,0.0280377
125216,118816,87,30538,29128,80,1301,1217,12,2089,2055,23,5368,4736,41,6831,6682,44,224312,209002,92,0.0500672
138701,119638,96,52552,46287,87,1612,1436,19,2813,2549,29,6664,6004,44,8637,7639,53,300675,275817,88,0.0510686
240301,193682,105,91995,73527,102,2116,1559,23,4420,3610,39,9227,7788,53,15089,12278,75,430218,380806,99,0.0771035
406453,234547,157,133644,77227,148,3915,2674,39,7603,4425,55,17793,11518,81,25156,16606,107,837426,519892,155,0.0841129
19236,18765,59,22166,22314,65,151,212,0,3074,3133,29,345,244,0,288,305,0,601,680,0,0.0931251
282282,222176,107,122547,98588,106,2456,2072,27,5581,4202,48,10964,8395,59,17231,13329,80,488494,377969,114,0.107144
270485,211707,107,85726,67866,105,2909,1925,31,6039,4909,48,12868,9922,70,19310,15405,83,603471,476997,114,0.112151
134918,127236,86,34216,32245,84,1309,1138,10,2175,2408,25,5410,5012,41,7804,8031,49,252492,234918,90,0.113152
167284,137174,95,60444,49159,92,873,896,0,1940,2014,24,5419,4398,42,9041,6666,60,252183,212118,101,0.123165
209984,164684,101,76421,59487,100,1713,1416,21,3746,3050,35,7626,6400,50,10969,8037,59,354381,278887,111,0.133179
125172,109017,88,49264,42102,87,765,767,0,2279,2201,29,5418,4820,43,6465,5655,49,214018,183635,97,0.137184
152123,140363,89,57752,54188,86,1340,1114,9,3317,2921,34,6644,6053,45,8252,7302,51,262768,250932,93,0.147198
114032,110124,82,28833,27717,78,893,914,0,2244,2318,26,4956,4842,40,6507,6225,44,227932,217573,91,0.160215
344840,224226,131,127284,87025,128,3441,2019,35,6412,4092,50,13758,8663,66,21244,13715,92,632003,404281,136,0.197265
109495,101229,89,43776,41467,83,1781,1751,21,3959,3560,36,9021,8559,52,13518,11906,72,359473,327802,80,0.20127
279566,187308,126,86097,58297,124,2333,1485,27,3815,3208,37,10396,6665,64,16125,10791,71,465695,328067,127,0.20127
257019,187264,105,74323,53556,102,2597,1647,31,4675,3473,45,11126,8257,61,14508,9940,75,519940,380055,112,0.226304
123319,119141,88,56269,53649,83,1355,1280,15,2733,2460,31,6160,6074,45,6996,6873,45,255483,240714,83,0.233313
241319,207791,118,79494,70249,103,2547,2127,26,5094,4517,41,11912,10281,60,19230,15920,89,594880,524364,117,0.246331
218181,175013,104,71795,57418,98,1818,1705,21,3418,2691,33,7592,6374,49,11765,9631,66,370153,295127,110,0.256344
130088,121614,84,44411,41404,83,1034,953,0,2262,2056,29,4788,4563,39,7526,6698,52,233854,219957,89,0.26836
115065,80885,94,271101,188465,100,1333,1027,4,10717,7935,67,1921,1242,20,1511,1204,12,2278,1908,24,0.271364
254852,188166,127,86907,63751,110,2573,1876,27,5362,4021,49,11396,8352,66,15753,10946,81,491083,358974,124,0.284382
221999,188727,101,83419,70969,101,1941,1631,21,3938,3284,36,8804,7415,57,13454,11142,67,413656,357215,104,0.291391
247080,174925,111,79108,55283,108,2227,1716,23,3629,2922,38,9218,6767,59,13383,9208,68,452598,329857,116,0.293394
228219,173867,100,88149,68603,100,2322,1832,25,4557,4388,41,11105,9058,57,14463,11281,69,456441,365374,101,0.293394
134833,129181,86,58989,55852,83,1048,918,0,2206,2233,23,4727,4894,36,7806,6998,58,215920,209348,88,0.295397
184046,160474,100,83066,70888,94,1780,1454,21,3410,2968,32,8785,7931,57,10620,9670,64,351452,303972,100,0.296398
139842,130829,88,49100,46279,83,1462,1506,15,2695,2336,30,5440,5426,39,9057,8247,54,266571,248771,93,0.300403
184872,152531,100,54586,42452,92,1386,1423,14,2924,2315,32,7661,5796,53,11515,8974,65,330956,268034,103,0.308414
122489,117763,83,48730,46749,81,1099,1179,11,2748,2645,29,5848,5586,41,6789,6625,44,238309,225883,90,0.309415
389937,245192,146,148268,90701,143,3804,2027,42,6977,4148,56,16350,10165,74,25295,15543,95,797873,491687,152,0.319429
186168,153076,101,44285,34621,95,1486,1299,19,2920,2888,33,7496,6183,53,10063,8321,64,324452,270532,102,0.322433
117921,113329,83,34111,32684,79,960,995,0,1660,1538,19,4272,4099,37,6153,5773,42,200968,187276,90,0.324436
172871,156669,91,67393,60967,89,1505,1266,13,2090,2297,24,5843,5904,39,9484,8657,52,277998,246903,97,0.329442
163259,142965,92,59124,51230,90,1231,1069,8,3196,2871,38,7989,6753,51,11432,9219,72,347849,316195,93,0.353475
120620,116318,83,26841,25745,79,1243,1106,9,2151,2178,25,6614,6023,47,7597,7197,53,272345,261584,88,0.360484
144613,134680,90,36660,33343,84,1558,1635,16,1927,1944,26,5615,5599,41,8141,7304,49,268240,260346,86,0.362487
113441,109673,84,38385,36909,80,1028,950,0,2574,2118,28,4310,4117,36,5465,5533,36,189235,180096,88,0.376506
131980,124242,85,30178,28459,82,1172,1042,7,2238,1959,26,5332,5262,38,7803,7523,46,276371,259900,87,0.389523
191743,168976,96,76415,67463,92,2026,1703,21,4460,3863,37,9146,8068,52,11532,10261,62,414789,369830,98,0.391526
134067,126153,90,52601,49628,84,1267,1240,15,2700,2728,26,6454,5980,45,7789,7873,49,253125,243254,86,0.392527
