"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
307277,213561,129,137240,105421,127,7063,5261,44,10400,8061,58,22739,17281,90,29232,21552,111,575512,426610,136,0.00328741
235293,199594,105,118066,99871,101,3971,3127,34,5531,4647,43,10818,8961,56,14449,12908,63,295141,251498,108,0.00438322
80730,73664,82,30972,27503,81,426,572,0,1440,1105,7,2558,2251,30,2766,2442,32,69954,60582,83,0.00438322
81040,80943,78,26043,25724,72,863,916,0,1734,1457,24,3420,3128,33,4842,4335,40,87372,85119,85,0.00547902
90446,87480,83,32170,30264,80,901,916,0,1737,1569,20,3040,3058,31,4246,4361,34,104428,98901,85,0.00657483
285719,193034,133,104597,70350,119,4270,2997,39,5792,3676,49,11958,8249,65,16497,11100,72,333930,226745,125,0.00657483
64164,62136,76,25392,23240,73,710,860,0,696,1136,11,2198,2068,26,3004,2423,32,66887,61330,81,0.00767063
210761,176365,98,75209,61075,96,3051,2472,31,4337,4106,35,9747,8098,55,12057,10464,59,239684,214497,94,0.00876644
171643,123196,106,49736,36634,95,1579,1461,15,2677,1691,35,5808,4178,47,7743,5477,55,166504,114905,102,0.00876644
114789,104336,89,41117,36122,84,1084,738,0,2162,2046,25,3613,3333,34,4453,4160,38,95379,87104,89,0.010958
137132,119802,90,47549,40360,86,1289,1240,11,2758,2337,28,6246,5604,42,9071,7892,55,303505,263376,96,0.010958
189127,142442,115,60894,46422,97,2267,1727,27,3160,2162,36,6990,5119,52,8286,6693,55,168621,129341,102,0.0131497
367234,241453,155,187630,126508,140,3598,2422,36,5889,4526,48,14498,9874,71,17899,11647,77,597719,393043,146,0.0131497
88230,85766,81,21792,21157,59,717,647,0,1102,1037,6,2882,2792,28,3373,3290,31,75363,75722,84,0.0142455
102041,88447,90,35013,30686,84,1018,924,0,1363,1158,20,2608,2489,28,4341,3734,39,90158,79887,90,0.0175329
84887,80207,82,35080,32800,78,1046,917,0,1403,1212,13,2778,2433,32,3747,3580,36,86560,78711,83,0.0186287
94664,89559,86,35210,32711,79,878,694,0,1646,1260,12,3313,3216,33,4253,4065,36,84409,75557,86,0.0186287
374027,254057,145,122701,87982,139,5194,3283,44,6945,4973,49,14601,10496,69,19029,13532,79,383405,269501,147,0.0197245
82467,79757,79,29535,28953,77,1063,681,0,1458,1486,15,3151,3102,31,5141,4747,39,139364,138037,75,0.0219161
39344,38931,71,10427,10503,42,291,332,0,773,518,0,1282,1437,16,2397,2515,25,36759,38231,69,0.0219161
120910,107342,95,45419,39733,85,1205,1058,9,2369,1434,32,3905,3515,35,4576,4537,37,108085,95095,91,0.0252035
115882,107892,85,35161,31957,81,1055,920,0,2253,1463,29,3629,3527,32,4233,4075,40,99099,87970,92,0.0262993
67908,67634,82,21680,21356,59,740,910,0,1090,1028,4,2339,2263,27,3011,3120,28,59723,61147,78,0.0262993
251284,180424,129,85220,62966,110,2962,2147,30,4198,2935,38,8372,6446,54,11444,8900,64,243601,185727,119,0.0317783
141453,124009,91,53704,46375,87,857,805,0,2091,1964,23,4197,3665,36,5832,5262,41,157952,138382,97,0.0328741
283113,197691,119,105863,74612,115,2990,2226,32,4430,3198,40,10331,7661,60,13425,8930,69,293709,207795,125,0.0339699
325970,210356,125,97095,63621,122,5268,3334,45,7258,5183,50,14719,9660,70,21529,13589,86,398923,266128,133,0.0339699
412396,263699,149,177992,121828,146,6479,4234,44,10351,6355,67,19842,13611,84,26618,18375,98,567293,396286,153,0.0339699
250678,209310,106,92828,76614,102,3566,2887,34,6129,5154,44,11817,10073,60,14964,12732,70,301148,250109,110,0.0339699
126378,121998,97,55876,53716,81,1258,1245,12,2848,2411,31,6231,5810,44,8595,8336,48,258260,246056,88,0.0372574
331881,213752,152,134569,84172,152,4803,3128,40,7952,4982,55,15772,10361,78,18699,12303,80,398874,259064,152,0.0372574
50463,50747,74,17201,17372,50,402,515,0,826,761,0,1954,1741,23,2476,2400,27,86780,83758,82,0.0383532
116817,99804,96,40503,33949,85,1146,1175,12,1685,1898,23,3736,3220,35,5156,4552,43,115052,99734,90,0.039449
37774,36771,73,15256,15305,49,293,376,0,758,1003,2,1338,1317,15,1704,1507,22,47568,49064,70,0.0405448
178547,151136,101,70619,59478,91,1918,1961,20,2823,2626,36,8198,6927,48,11424,9634,61,364633,312501,101,0.0427364
81053,80575,78,23718,23041,60,1131,902,0,1138,1210,9,3492,3147,34,4222,4553,34,81170,79184,81,0.0427364
79189,79498,80,36063,35651,76,681,615,0,1244,1597,16,2781,2652,28,3543,3451,31,119460,118572,84,0.0427364
294311,202119,123,95877,65025,119,3984,2941,37,6224,3926,52,13273,9341,76,17878,12478,84,350278,246526,129,0.0427364
169256,138363,96,50638,41163,92,1822,1520,20,2492,2128,31,5552,4744,47,7926,6409,52,163241,134422,99,0.0460238
136726,118586,93,49975,43506,87,1252,1025,4,1665,1628,21,4263,3337,40,5902,4705,47,116555,101183,92,0.0471196
175225,139195,97,62165,48840,93,2404,1903,27,2586,2230,33,5603,4665,43,7053,5631,48,163739,129680,100,0.0471196
67621,65421,78,24538,23886,74,804,697,0,1106,1198,10,3100,3013,29,3286,2886,30,66734,64690,69,0.0471196
138185,114102,95,49837,41228,88,1550,1403,17,2486,1900,32,4348,3906,36,6402,5089,48,115170,96180,94,0.0482154
118683,99768,90,40280,33418,84,1076,1188,9,1703,1948,20,3443,2810,37,4670,4213,40,102392,85320,90,0.050407
382896,252063,148,120787,77824,143,6924,4823,46,8430,5901,55,18971,13293,84,25055,17208,99,505154,355648,143,0.050407
345222,213791,132,139940,90363,128,4937,3009,45,6031,3651,49,12709,8093,72,16389,10289,73,357376,223988,133,0.0536944
234054,179033,111,73675,56036,105,2841,2181,29,4082,3432,38,8213,6696,54,11053,8332,63,224020,184035,106,0.0547902
196501,162607,98,56709,45688,93,2707,1989,29,3706,3436,30,7256,6460,46,10029,8146,55,197288,166309,100,0.0547902
144968,119069,108,44610,36666,91,1766,1455,18,2424,2269,30,5587,4327,46,7502,5961,52,145076,119121,108,0.0547902
43902,46273,63,13938,14179,47,575,542,0,495,733,0,1482,1613,16,2221,2323,23,73222,74372,75,0.0547902
85340,80677,92,31146,30572,77,1028,1029,6,1666,1334,14,2928,2907,30,4299,4467,33,88014,88085,80,0.055886
174363,145065,95,62812,51610,92,1896,1585,21,2627,2242,32,5393,4514,41,6744,5856,50,164739,138329,100,0.0580776
83066,81758,77,22821,22161,60,957,1060,5,1245,1500,14,3001,2850,30,3951,3572,34,90603,88497,83,0.0591734
