"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
130306,115112,91,58216,51568,88,1519,1211,18,2347,2323,27,4908,4719,39,5852,5754,39,165092,147395,89,0.000952139
94585,84263,90,30795,26731,81,1155,936,0,1883,1500,22,3580,3192,35,5442,4422,49,125734,112332,85,0.00190428
57810,56242,75,14983,14648,48,534,568,0,894,946,0,2075,2125,23,2630,3055,28,63349,62663,76,0.00285642
152351,138950,87,42028,36907,87,1883,2086,19,3003,2987,30,6564,6280,44,8302,7592,52,206146,192213,87,0.00952139
40181,38385,83,13644,13478,47,415,338,0,376,519,0,1449,1796,16,1765,1869,20,48697,46271,78,0.0123778
55159,53472,79,12506,12324,45,709,764,0,925,937,0,1882,1955,21,3084,3139,30,67625,65540,78,0.0171385
240205,173273,112,83044,60461,105,2419,1752,27,5497,4442,45,12915,9814,67,14287,10694,68,504937,370478,114,0.0247556
49465,48619,63,16463,16045,53,277,400,0,748,774,0,1486,1577,19,2445,2077,25,59301,60875,76,0.027612
178977,131273,99,65355,47974,95,2412,1496,27,2901,2311,35,5996,4582,50,9480,7272,58,217690,158947,103,0.0285642
41912,41472,74,19836,19991,57,523,467,0,940,868,0,1637,1522,21,1732,1730,21,47462,46320,70,0.0295163
190420,149097,97,86273,66658,97,2763,2219,27,4500,3721,41,8803,6724,56,12044,9083,66,310097,240412,102,0.034277
61032,57634,78,20488,18171,63,772,612,0,1258,1349,19,2555,2362,27,3812,3448,36,84416,80137,83,0.040942
81681,78689,81,32782,31296,78,842,763,0,1789,1481,16,3077,2999,31,4326,4306,35,106096,101094,83,0.0418941
38759,39793,52,24691,24339,69,514,389,0,557,582,0,1869,1768,23,2416,2282,27,66361,64765,79,0.0447505
93135,87551,81,25968,22969,69,1053,1022,4,2100,1518,21,3740,3528,33,4502,4175,37,117185,106070,89,0.0447505
37998,37740,67,12942,12804,46,181,271,0,1158,1201,11,1651,1484,16,1861,1857,23,59619,58417,76,0.0457027
129896,111192,101,48887,42436,88,1288,1180,13,2654,2215,29,4455,3645,40,5491,4630,40,125789,109314,93,0.0466548
91262,83453,82,35708,31288,80,1175,990,0,2001,1598,35,4116,3641,37,5269,4995,39,126645,112159,87,0.047607
36509,35507,72,15006,14218,54,432,358,0,849,682,0,1403,1291,15,2002,2053,24,44310,42285,84,0.047607
59545,59576,74,16317,16154,50,569,685,0,1137,1252,14,2152,2296,24,2671,2989,25,83146,81754,78,0.047607
30154,30142,68,15419,15528,51,252,253,0,444,504,0,1047,1090,7,1463,1405,14,41964,41812,70,0.0514155
85869,75699,83,29057,24427,79,1083,1081,6,1513,1357,16,3199,2890,34,4914,4288,41,105617,93620,86,0.0514155
221208,177977,103,86161,69273,100,3188,2296,31,4885,4223,42,9796,8379,54,12885,10521,68,375917,311739,106,0.0542719
179199,146365,95,70734,56771,95,1652,1229,17,3349,2956,37,8341,6857,55,9486,8508,54,328027,273198,97,0.0571283
148099,126736,90,51912,43741,88,1739,1603,18,2919,2486,37,6741,6024,48,7440,6678,55,271927,241078,94,0.0637933
119916,111160,84,46893,40796,82,1598,1352,17,2157,1861,25,4835,4662,38,6128,5799,43,162267,144027,89,0.0637933
171055,149378,95,87652,77972,91,2506,2392,25,3892,3234,42,7861,7005,52,9776,9171,53,246491,227151,91,0.0647455
181947,151764,96,58070,44774,94,3048,2362,32,3312,2866,35,7707,6483,51,10297,8846,58,248590,205576,101,0.0656976
120158,112359,88,29217,27986,80,1541,1507,18,2615,2129,28,4427,4218,36,6419,6513,43,167353,166042,87,0.0656976
348296,208953,139,357393,258244,142,9723,6925,49,13571,8958,66,26211,17207,98,36342,23706,137,862592,568088,148,0.0676019
191937,142637,101,71441,52823,99,2325,1707,26,2889,2148,35,6933,5022,51,8899,7192,58,208894,150594,106,0.068554
28379,28563,66,8178,8133,40,329,375,0,722,774,0,1270,1335,14,1904,2140,22,56444,54006,75,0.0733147
41981,43298,59,21043,20808,63,350,447,0,705,786,0,2033,2116,23,2852,2759,30,57430,57769,71,0.0742669
128359,111274,91,52234,45025,86,1347,1242,13,2316,2028,29,5665,5212,42,6384,5062,48,212100,185843,99,0.0771233
94305,90972,83,36933,36033,79,1037,917,0,2014,2251,22,4317,4430,35,5355,5270,40,185685,180769,91,0.0780754
104063,92085,87,34203,29796,85,1194,1060,5,2343,2163,27,3902,3633,37,4972,4445,40,121497,110930,90,0.0790275
93272,87068,85,34639,31899,77,1356,1359,12,1954,1975,21,4154,4037,36,6227,5928,45,146862,137668,87,0.081884
28509,28017,69,9283,9263,42,42,211,0,642,624,0,1012,935,0,1599,1685,19,45425,45220,74,0.0828361
136459,122554,86,61973,55678,86,884,898,0,2839,2356,29,6432,5682,46,7198,6996,43,231210,210905,97,0.0828361
103827,90585,84,30611,25771,82,1135,994,0,1505,1378,20,3719,3120,36,5259,4753,41,126693,104806,89,0.0847404
88693,79469,83,34188,30161,81,1018,756,0,1916,1724,25,3297,3089,33,4067,3677,40,107482,98936,85,0.0856925
148075,125281,91,45476,37690,86,1790,1457,20,3188,2784,32,5842,5185,44,7050,6251,49,206267,171317,95,0.0856925
92660,81872,99,40309,35736,83,1225,1026,3,1799,1849,19,3839,3364,35,4656,4139,39,117536,104228,89,0.0895011
65297,62683,77,24830,23460,74,907,786,0,801,961,0,2670,2609,31,3839,3935,33,91073,87989,83,0.0914054
72898,74080,81,28477,28281,74,748,971,0,1815,1730,20,2852,2809,30,3824,3662,35,97071,96341,81,0.0923575
301345,202074,136,125828,87030,128,4764,3316,39,6326,4428,51,12779,8674,68,18318,12110,84,418025,297944,134,0.0933096
80421,75237,85,34523,32381,78,807,712,0,1353,1021,5,2686,2563,29,3557,3493,33,82240,77133,82,0.0990225
79820,73640,84,33431,31039,78,867,1001,1,1355,1328,13,3452,3328,33,5112,4621,39,107488,100607,83,0.0990225
65041,59010,93,26718,23859,78,853,578,0,1100,1190,9,2523,2322,30,3448,2908,36,98732,89226,84,0.0999746
77672,70104,81,30232,26711,79,725,540,0,1201,955,0,3015,2618,33,3952,3803,36,103186,91286,86,0.0999746
53212,51929,76,17027,16796,50,813,1002,1,939,1026,3,2076,2159,24,2633,2506,30,81354,81203,81,0.101879
123030,101354,92,48849,40615,87,1393,1290,13,1932,1721,27,4547,3627,41,6328,4825,46,147306,123962,93,0.104735
255024,194391,108,127568,97164,108,4450,3194,37,6070,5014,47,13693,11093,70,18458,15355,85,439253,357536,113,0.104735
162919,146575,91,80474,71729,89,1809,1744,21,4275,3730,38,9357,8507,57,11592,10894,59,394159,367478,89,0.105687
74858,73295,79,45550,44223,76,864,1047,5,1138,1193,14,3182,3049,32,4046,4488,33,109382,107739,75,0.105687
150336,120746,107,59097,48631,90,1696,1561,18,2630,2330,31,6522,5596,46,8399,6960,56,210761,174979,97,0.10664
181586,145354,98,83785,68395,96,1675,1150,10,2616,2183,33,6532,5267,46,8640,6743,57,214208,169742,105,0.10664
123537,109613,87,39045,33685,84,1190,1050,5,1663,1327,22,4397,4173,37,6981,6602,47,175231,153877,94,0.112352
179295,142888,99,66557,53111,93,2068,1390,22,3181,2269,37,6080,4944,46,8570,6829,57,221696,176477,102,0.113305
154503,126128,95,59484,47429,91,2025,1639,24,3089,2162,35,6892,5548,48,9681,7963,54,217124,179132,96,0.113305
74194,73808,79,27655,26744,75,462,355,0,659,837,0,2450,2484,27,3326,3566,31,89657,89045,80,0.115209
50006,50984,71,18444,18102,54,457,364,0,189,328,0,1623,1564,18,1931,1994,22,56303,56512,76,0.116161
65146,62460,87,26993,25514,75,906,962,0,1201,988,0,2441,2496,26,3316,3383,30,94105,88997,79,0.117113
113613,93089,88,42848,35750,85,1784,1370,16,1783,1411,19,4530,3784,40,5948,5097,44,147599,124200,92,0.117113
