"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
113154,97506,89,45357,37784,85,1476,1100,10,1715,1501,17,4832,3951,42,6335,5428,47,181819,158655,93,0.0132037
180338,140695,97,68352,54538,92,1951,1754,24,4288,3497,37,7953,6220,52,11535,9158,64,322534,266830,102,0.0142193
158392,131914,100,70746,58743,92,2220,1783,24,3410,3059,35,7449,5896,53,10733,8869,57,257524,217247,98,0.0203133
211474,152775,100,75662,55121,97,2063,1635,22,3812,2958,39,9828,7370,58,13635,10300,69,422790,303871,108,0.0203133
196801,152244,100,71934,56029,98,2016,1607,25,3932,3350,37,8983,6953,59,12769,9515,65,332763,270663,101,0.0294543
72731,68199,79,31003,28455,76,875,748,0,869,1148,12,3015,2796,32,3903,4042,32,125016,119469,87,0.033517
71625,66540,93,24694,23062,69,918,658,0,1349,1317,15,2822,2552,30,4203,3994,35,110370,107143,87,0.0467206
71573,70490,76,25659,24573,75,916,838,0,1314,1111,9,2487,2507,26,4350,3995,37,100895,95443,85,0.0467206
208871,158353,101,78563,59182,97,2417,1952,27,4385,3308,45,9257,7392,56,12824,10069,63,344260,261431,107,0.0477363
118896,112930,83,47582,45238,81,1166,1086,8,1715,2413,21,5781,5643,40,8177,7622,47,266179,253043,91,0.0660183
76146,72882,81,26634,25027,75,798,771,0,1564,1204,16,3454,3089,34,5041,4514,37,133274,126429,83,0.0721123
178617,140906,103,54603,42040,93,1964,1508,22,3301,2768,36,7416,6305,49,10261,7855,54,270922,223395,102,0.0731279
59535,58267,80,23441,23069,70,518,484,0,1268,1136,8,2172,2009,26,3304,3245,32,79057,77013,81,0.0792219
169891,133002,98,65182,52403,93,1826,1337,16,3215,2407,37,6962,6095,47,10615,8507,64,276570,216223,101,0.0853159
66662,61725,81,27624,24537,76,1039,750,0,1494,1216,12,2670,2465,31,4540,4035,42,107620,93309,86,0.0883629
119766,111107,100,59635,56281,83,1426,1507,15,3082,2373,30,5933,5764,44,8147,8188,50,200011,193787,75,0.0914099
160403,125935,100,49303,38036,91,1737,1276,20,2273,2053,27,5680,4823,42,8520,6583,56,219920,174685,99,0.0975039
55426,55688,69,18255,17812,53,543,572,0,1228,961,0,2008,2119,22,3555,3611,35,91299,88871,78,0.113755
81830,80551,80,36033,34762,79,668,899,0,1482,1472,18,3051,3259,31,3839,3520,37,102383,97945,72,0.12188
213208,161115,104,62232,45685,96,2339,1525,25,4790,3366,47,9445,6881,56,12635,8980,74,399755,310716,104,0.12188
110327,104521,89,33823,32355,80,912,950,0,2335,2622,24,4686,4533,37,6546,6202,43,213048,203922,90,0.127974
95764,81518,87,42813,36218,85,1057,816,0,2129,1901,25,3791,3336,39,6578,5204,46,169165,142406,98,0.137115
85121,79728,83,33134,30158,79,724,718,0,1377,1666,18,3295,3126,31,4420,4005,36,123478,119448,84,0.14524
190140,153632,102,67982,54132,96,2185,1736,25,4147,3260,38,9250,7920,55,10665,9361,55,344446,292741,95,0.149303
99548,93305,83,23439,22407,68,1140,1098,10,2225,2197,27,3936,3691,36,5369,5220,41,145555,140789,85,0.15235
95284,92044,83,31479,30480,77,996,1058,5,1658,1319,17,4741,4450,36,5275,5557,42,192297,184180,87,0.153366
77827,72230,83,28589,25655,76,758,632,0,1239,1511,13,3089,2880,32,3534,3247,35,104983,100260,84,0.178757
84261,79388,81,30634,27681,81,891,696,0,1331,1123,12,3427,2904,35,4129,3738,35,113202,104337,89,0.184851
213972,158451,104,71482,52983,100,2718,2342,29,4600,3442,44,10519,8050,64,13890,11332,62,349232,260137,107,0.187898
112420,93745,92,44338,37211,88,1012,791,0,1751,1414,21,5157,4068,43,6674,6011,47,181152,147229,93,0.18993
264243,193952,122,81976,61208,114,2869,2298,32,5597,4372,39,10963,8230,62,15309,11978,70,402974,303147,123,0.192977
35997,32540,82,24964,21492,73,1804,1557,20,17045,15318,69,3115,2689,34,1764,1752,22,1470,1207,16,0.195008
116088,109245,93,68910,65502,84,1460,1510,16,2697,2577,31,7280,6928,47,8317,7972,53,289765,277416,82,0.196024
67802,61779,93,26862,24004,77,814,670,0,1222,1156,8,2553,2561,28,4425,4221,35,103638,95011,88,0.210243
185032,147664,107,76298,61748,95,1780,1371,24,3195,3104,33,7839,6502,55,11428,9155,63,270925,218633,105,0.211258
96769,85287,84,41340,36266,82,844,974,0,2121,1542,23,3494,3168,34,5257,4911,48,129856,111298,89,0.214305
91610,80953,86,33792,29021,81,660,762,0,1961,1733,23,3895,3462,37,5449,4442,45,134582,119286,83,0.221415
440287,240489,167,268438,163384,162,7850,4730,54,13145,7560,70,27181,15857,106,39803,23786,157,967291,564604,167,0.222431
100056,94627,86,38153,36793,80,916,844,0,2065,2099,30,4628,4942,36,5375,5484,40,198496,190067,85,0.226493
124562,115721,86,42334,37551,85,1368,1465,17,2692,2415,27,5409,4887,40,7654,7084,48,177385,159781,91,0.227509
85932,78125,97,26456,23920,77,868,766,0,1223,1395,14,3236,2850,33,4105,3596,40,112963,103340,88,0.22954
235692,178229,120,85943,64848,102,2514,1803,27,4363,3271,45,10520,8369,62,13872,10823,69,363877,274611,111,0.23665
178087,143036,97,61631,49696,94,1502,1201,15,3450,2654,36,7226,5779,51,9684,7890,57,243472,197162,100,0.242744
65030,63892,78,19784,19521,57,595,548,0,963,957,0,2553,2348,29,3733,3468,34,101761,99642,81,0.24376
181458,146398,99,69219,55472,97,2019,1450,22,4334,3610,40,9116,7508,53,12741,10938,61,405272,338412,105,0.248838
32811,31504,72,16661,16519,52,496,527,0,512,710,0,1096,1055,7,1838,1553,21,50712,49846,70,0.251885
67835,65886,79,22805,21241,68,667,706,0,1319,1234,13,2372,2496,26,4143,4319,35,104559,99881,82,0.252901
161313,127725,97,65475,52527,92,1846,1405,20,3179,2726,34,6298,5306,46,9495,7326,64,249831,203778,98,0.253916
239439,180099,107,102532,78033,101,3398,2638,32,4936,3943,44,10184,7903,60,15489,12593,77,393553,303958,107,0.254932
66518,64564,88,25250,24141,70,1098,1103,7,872,1117,8,2856,2474,30,4048,4075,32,102890,97415,82,0.270167
91682,90042,84,30636,30000,77,899,890,0,1731,1808,18,4433,4368,37,6093,6318,38,192570,185040,88,0.273214
78444,76126,80,16169,16030,50,694,595,0,1434,1020,6,2591,2471,28,3980,3553,35,102263,104717,80,0.278292
120234,100971,90,46003,38246,87,1264,1019,5,1986,1835,24,4399,3820,40,7080,5919,50,170522,147525,92,0.281339
81687,75883,95,29165,26794,77,785,692,0,1142,1210,11,2859,2674,29,4098,3674,35,106381,96759,83,0.281339
110993,104584,87,35143,34124,80,1271,1386,12,2226,2104,25,5896,5728,43,7920,8068,46,255988,248622,88,0.282355
104747,92122,85,38462,32879,83,1150,937,0,2210,1681,22,4784,4385,41,6712,6512,44,153514,137694,89,0.282355
133271,126067,85,37365,35592,81,1845,1676,22,2609,2924,28,7207,7018,45,10405,9474,55,275874,267106,89,0.285402
114995,109473,82,35172,33848,80,1192,958,0,2585,2097,26,5399,4971,41,7327,7417,46,258526,249029,90,0.289465
117272,101883,88,32197,27449,83,1237,943,0,2301,2068,29,5014,3860,41,6578,5520,50,174382,155016,93,0.291496
137586,116835,90,64744,55414,89,1275,1119,7,2505,2722,29,5476,4340,46,7827,7127,51,203740,170987,96,0.299621
94079,90309,92,22616,21986,67,817,634,0,2348,1869,28,4485,4321,36,6077,5925,41,199055,193624,88,0.302668
96024,81920,94,38351,33765,82,785,850,0,1598,1480,18,3402,2987,32,4875,4157,40,117332,97529,92,0.302668
143335,118367,102,50217,40871,90,1084,1078,6,2800,2035,31,6743,5557,48,8593,6831,51,249381,208136,99,0.303684
150938,132740,93,50729,43959,92,2048,1628,23,3084,3002,32,7693,7078,46,10088,9201,57,257939,234770,89,0.305715
106496,97713,87,37723,34165,80,1203,973,0,2105,1900,21,4756,4112,41,6394,6249,42,161844,147294,92,0.306731
396993,240387,149,200257,131365,145,6817,4413,47,11524,7830,63,23607,16026,97,36214,24451,133,899331,633236,150,0.306731
70135,66338,85,18091,17758,52,620,666,0,1008,1093,14,2746,2643,29,4558,4460,37,109399,111752,78,0.316888
119712,102204,90,41275,35218,86,1215,1087,12,2183,1930,27,4632,4100,39,6662,5759,44,192463,166834,88,0.321966
172173,157843,88,66865,60182,88,2145,1939,24,3454,2931,34,6801,5928,46,9688,8327,55,257158,232337,93,0.32806
214458,161701,119,70612,53703,100,2463,1850,27,3990,3029,44,7886,6257,54,10607,7903,59,303810,235516,109,0.329076
74587,66283,81,31650,27070,80,717,710,0,1734,1480,21,3288,3133,35,4648,4772,39,127919,114683,82,0.33517
55351,54554,77,12943,12701,47,937,873,0,1348,1534,15,2420,2422,28,2814,2609,30,87677,89055,82,0.339232
256455,183471,111,83162,61280,107,2771,2197,30,5539,3961,46,10518,7387,63,15136,11600,72,363086,273639,109,0.344311
77411,76502,79,26823,26405,75,617,769,0,1637,1536,16,3432,3302,31,3787,3908,32,123618,118581,80,0.346342
394456,234933,152,165069,109423,147,7236,4882,46,12779,9030,72,27216,19499,94,37998,28334,136,985923,706681,151,0.348373
105702,102226,80,42715,41037,79,1270,1061,8,1304,1692,18,4217,4133,37,5780,5365,38,143941,134587,85,0.350405
115528,108376,91,34513,33051,81,1579,1571,19,2333,2444,27,5707,5531,42,8501,8017,50,272371,261935,90,0.355483
172805,142444,94,43287,35245,92,1621,1463,18,3268,2776,35,7409,6405,52,9782,7980,59,264335,218572,100,0.368687
347002,205305,137,136028,73375,132,4980,3073,47,8259,5287,56,17701,11068,80,25615,15733,104,679434,414332,140,0.369702
63401,63089,74,22180,22073,59,630,543,0,853,1187,11,2729,2873,27,4078,4019,40,106416,105546,81,0.373765
164114,133732,102,56262,44893,91,1995,1487,21,3182,2605,36,7394,6033,54,10233,8623,58,236023,197539,95,0.389
105449,92386,89,44446,38251,82,1146,1155,9,1601,1614,18,3843,3113,38,5236,4832,45,143870,127772,92,0.392047
71314,70715,80,15399,14935,49,694,680,0,1494,1359,17,2927,2688,32,4424,4331,37,97199,93906,81,0.399157
63339,59897,79,27351,25291,78,493,575,0,1431,1341,18,2911,2720,29,3934,4278,34,88287,84507,75,0.408298
114417,104408,85,51338,45482,86,1114,1136,9,2563,1898,27,4478,4144,39,6159,5365,44,165590,152676,90,0.410329
