"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
208429,161974,116,66564,51062,97,1965,1775,20,4540,3902,38,9525,8148,57,9731,7827,59,332746,269092,103,0.0150142
85424,83649,87,22806,22433,66,790,789,0,1608,1349,18,3471,3143,34,3692,3849,34,114460,108908,81,0.0160151
38049,37209,68,15833,15417,50,357,371,0,665,568,0,1643,1592,20,2094,2290,21,59734,57646,72,0.0280264
38088,38549,70,8955,9028,41,376,519,0,639,548,0,1531,1549,17,1700,2278,19,63818,62615,77,0.0320302
34759,34163,73,13513,13582,46,354,331,0,141,314,0,846,978,0,1463,1600,18,43552,45417,73,0.0340321
24981,22093,74,15307,15315,49,364,378,0,532,456,0,915,987,0,1007,1084,8,30324,30105,67,0.0380359
76160,71834,88,30961,29053,77,569,560,0,1737,1749,21,3097,2895,33,3719,3407,33,103754,101167,82,0.0480453
168117,138715,94,62472,51433,92,1766,1444,19,2889,2352,34,6559,5815,47,8367,7003,54,251624,208287,100,0.0560528
283435,206251,124,131398,93449,124,3403,2327,34,6640,4435,53,13288,9487,70,16595,12234,74,471629,334386,130,0.0570538
172882,144403,96,62289,52150,93,1215,958,0,2924,2224,36,6850,5957,46,8220,8102,51,265621,222593,103,0.0640604
287868,199590,120,141787,103201,117,4770,3858,39,9039,7032,53,21014,16547,79,23571,18029,98,742764,596732,123,0.0680642
61827,62460,71,16730,17140,49,402,451,0,651,925,0,1436,1588,18,2616,2725,28,75599,75793,79,0.0690651
40325,39897,73,16161,15838,50,585,496,0,856,907,0,1394,1450,16,1740,1706,19,54690,54587,81,0.0720679
173239,145779,96,77159,65369,94,1814,1454,22,3674,3088,41,7539,6516,49,9756,8207,56,290352,248948,102,0.0860812
127448,109874,93,48670,40717,88,1148,1106,7,2585,2824,28,6151,5811,47,6742,5724,48,242794,219267,97,0.0860812
93985,88112,91,27868,26835,77,1088,1041,5,2062,1790,21,3801,3728,34,4579,4283,38,133937,128671,79,0.089084
45546,44366,77,18489,17828,55,164,453,0,810,795,0,1774,1781,20,2530,2936,27,68955,69132,75,0.0920868
175098,152128,93,57650,49634,91,1706,1324,21,3516,2834,37,6462,5941,45,8050,7445,49,258982,227746,99,0.100094
165588,146150,93,59102,51304,90,1773,1808,20,3066,3255,28,6409,6134,43,8244,7457,49,237346,218146,94,0.111105
164630,139205,107,61423,52019,92,1663,1342,18,3458,3063,34,8005,6709,55,8797,7594,50,301156,259103,101,0.118111
37360,37035,70,15277,15329,47,218,176,0,1032,1237,10,1299,1412,13,1365,1511,17,49802,51622,75,0.12712
49298,50215,71,8545,8395,40,610,635,0,616,639,0,1543,1445,17,2488,2085,27,62109,61062,74,0.133126
130972,118597,88,53245,46864,87,1098,1082,8,2665,2817,29,6164,5484,45,8048,7419,50,271800,241563,97,0.139131
355518,235974,141,151483,97128,138,5401,3323,44,10938,6424,60,22884,14437,93,29765,19022,113,899097,572967,149,0.163154
116293,97245,95,47114,38578,88,1155,730,0,2281,1793,25,3757,3309,35,4562,3836,37,150517,124777,91,0.165156
195427,162570,99,58321,47069,92,2129,1809,25,4020,3142,43,9248,7737,59,10869,8901,59,311726,264784,101,0.165156
201845,170099,98,78720,66291,95,2372,1614,28,4535,3714,38,8297,7264,56,11251,9225,67,298631,271901,92,0.172162
73743,70277,82,24041,23249,68,761,676,0,985,1211,11,3113,3287,29,3516,3201,33,120577,116105,83,0.183173
171869,141466,95,62281,50441,92,1590,1235,11,2595,2056,29,5678,4572,46,7794,6567,50,227147,187941,98,0.183173
179527,151633,99,43266,34144,94,1640,1259,15,3301,2603,36,6990,5961,49,8918,7432,53,249697,216698,99,0.184174
95082,94120,79,32408,31395,77,1292,1300,12,1681,1677,19,4192,4094,37,4877,5165,36,158248,150822,86,0.184174
142688,135320,91,52548,49489,84,1525,1469,17,3339,3454,29,6007,5834,42,6598,6107,42,209395,201579,86,0.187176
51875,51257,74,11984,11801,45,518,519,0,597,886,0,1514,1532,18,1840,1825,22,58803,58268,74,0.189178
52963,50981,80,17125,17097,50,199,248,0,539,584,0,1713,1619,21,1959,1674,24,65050,61960,79,0.196185
113684,108523,85,51718,50101,81,1105,1197,10,2286,2347,24,6456,5942,44,7120,6654,47,245789,243382,89,0.198187
140839,121502,96,49831,42709,89,1246,1116,9,1812,1757,23,5472,4996,41,6899,6084,49,222320,195003,97,0.202191
91574,81720,88,38898,34669,81,877,758,0,1979,1576,17,3119,2809,33,4138,3821,36,141245,127181,89,0.202191
106984,101828,82,29354,28201,78,1066,1031,4,2056,2079,26,5834,5628,44,5588,5665,40,217533,206792,89,0.204193
48402,49032,71,26479,26186,72,291,297,0,258,564,0,1833,1718,20,2045,1895,22,59897,58063,69,0.205193
214492,170817,109,50681,38862,101,2107,1730,24,4727,3629,43,10746,9362,57,12451,10261,74,383946,317655,106,0.22321
170533,145636,99,60771,51322,91,1642,1336,19,3401,3015,31,8490,7742,51,9316,8201,58,317802,279306,96,0.245231
110556,107312,83,44471,42564,80,1441,1210,12,2199,2170,25,5251,5375,39,6207,5991,47,214240,208588,87,0.247233
168573,140963,97,57963,47104,92,1454,1225,11,3114,2784,32,7367,6400,48,8649,7522,57,280735,239231,100,0.251237
241709,182741,119,75017,56105,110,2884,2059,33,5130,3964,51,10368,8346,55,12179,9492,63,351181,268958,115,0.253239
93854,84536,84,40704,35240,81,1085,831,0,1820,1676,19,3364,2743,35,4934,4084,42,124552,112332,82,0.253239
57302,58036,75,23267,23098,68,346,246,0,1040,926,0,2057,1873,24,2434,2327,25,73410,76578,71,0.25424
116833,110543,95,48681,46246,82,1408,1076,12,2669,2658,28,6123,5993,42,6872,5985,46,236783,227829,82,0.259244
115147,105473,86,43989,39407,82,1253,1144,8,2622,2077,30,5353,5129,40,5758,5574,43,231508,222912,89,0.262247
151236,139505,87,67058,60900,87,1208,1273,16,3827,3019,34,8504,7777,50,9744,9237,57,310604,291146,88,0.263248
84350,79608,82,28776,27287,79,825,858,0,1335,1162,12,3305,3244,32,4002,4085,35,127143,123010,87,0.271256
295714,208992,119,164753,116130,121,5084,3683,42,11760,8392,61,24559,17355,101,28107,21574,112,868888,636514,129,0.27526
162946,132998,98,60523,49887,95,1667,1264,15,2983,2695,35,7933,6537,52,8130,6598,48,305728,249683,101,0.278262
287785,206562,114,137222,104971,112,3358,2897,32,8006,6753,52,18818,15383,80,19543,15190,82,705239,563670,118,0.283267
192228,154266,102,57346,45302,96,1744,1428,20,3071,2619,33,7881,6301,54,9324,7809,57,279831,236818,105,0.291275
181116,145863,96,73351,58910,95,1909,1718,16,2680,2437,34,7990,6311,52,11096,8693,63,321501,262665,104,0.299282
167068,154767,91,86397,80681,90,2657,2504,26,4322,4361,37,9812,8997,53,12155,11781,62,351131,317395,88,0.301284
61853,62887,73,24857,24768,71,556,387,0,894,853,0,2515,2356,27,2791,2426,30,88019,83810,81,0.320302
113818,98748,94,38132,32210,86,827,889,0,1843,1573,24,4168,3880,37,6008,5175,46,165625,148047,91,0.336317
67803,67283,86,26520,26003,74,457,648,0,931,1079,7,2402,2349,26,2847,2696,32,92107,93079,72,0.364344
104025,99983,85,26710,26139,78,1063,905,0,3351,3085,36,5951,5929,43,5463,5951,35,222741,216988,92,0.369348
51356,52442,74,20786,20504,61,377,332,0,985,1103,8,1827,2030,21,2280,2613,25,68054,67902,77,0.37135
189019,163950,96,67674,58261,92,2084,1880,24,3577,3097,37,7802,7060,47,10169,9197,57,312803,279580,97,0.38136
104299,95498,87,42923,38277,81,814,637,0,1694,1644,22,3611,3634,34,4440,4106,37,146151,135458,89,0.383361
134268,121736,89,39233,34376,84,1203,1288,12,2901,2313,29,6722,6407,43,7018,6061,50,235583,219990,91,0.399377
169894,151505,92,72107,62944,89,2092,2080,21,3101,3125,31,8274,7785,53,9939,8627,63,298506,264648,99,0.404381
146635,125694,94,51483,42443,89,1114,990,0,2653,2393,31,5679,4769,42,6679,5523,46,198572,174761,96,0.410387
38660,37598,83,8742,8707,40,54,294,0,239,249,0,457,351,0,93,143,0,717,764,0,0.414391
36447,36919,61,14626,14342,51,250,274,0,270,364,0,1257,1228,12,1510,1601,18,47476,51059,62,0.421397
106259,96708,89,22751,20705,63,840,828,0,2007,1593,25,3890,3838,33,5103,4963,39,161359,151775,85,0.422398
161773,139493,96,48202,41453,89,1589,1409,18,4272,3610,38,7924,7257,47,9156,8037,51,306825,271791,97,0.4244
33026,33343,69,15728,15979,49,172,260,0,493,784,0,1459,1449,17,1659,1577,16,48704,49515,64,0.425401
163210,137104,95,61250,52318,91,2062,1603,21,2878,2654,28,6880,6321,44,8465,7268,51,263190,226143,97,0.425401
65941,63300,78,25591,25108,75,343,422,0,1241,1297,10,2057,1958,23,2524,2293,28,79630,77603,82,0.427403
321000,220329,125,140690,101454,123,4274,2854,39,6981,5102,55,15397,11212,83,20559,15148,80,568405,421152,130,0.438413
79624,74819,88,24589,23593,74,713,753,0,1027,1167,11,2985,2900,29,3643,3533,35,114801,106569,84,0.454428
44188,44220,70,20673,20294,64,274,424,0,405,790,0,1699,1754,20,1942,1952,22,61205,63625,75,0.455429
139661,118797,91,57727,49603,89,1305,1103,11,3198,3028,33,6473,5885,46,6953,6180,47,221128,193676,93,0.465439
202065,160785,98,87427,70546,96,1948,1595,21,3557,2959,38,8842,6987,58,10923,8962,57,338714,272726,103,0.478451
169929,156617,93,37901,35611,84,1430,1253,13,3177,3227,33,7280,6600,47,7408,7198,46,257306,246862,90,0.478451
215532,162575,99,62314,45756,97,1745,1529,17,4225,3167,41,10272,7915,56,10805,8130,62,409668,310646,106,0.479452
183238,145628,99,61399,48106,95,1743,1205,19,3545,2964,33,7244,5986,49,8816,6611,54,265003,217987,103,0.481454
115983,104830,89,41135,36644,84,1056,815,0,2064,1732,22,4144,3903,37,5791,5728,39,166768,155226,92,0.485458
44331,46455,71,20812,20973,57,420,401,0,706,717,0,1764,1582,18,1769,1827,22,59719,61495,77,0.490462
170250,141290,101,59109,48831,93,1197,1229,11,3275,2540,34,7031,6385,50,7631,6023,53,277006,235808,101,0.494466
181153,148611,96,81816,69598,94,2086,1501,23,3275,2753,33,6881,5788,49,8508,7704,49,255588,212508,101,0.495467
76132,74159,82,28365,27656,76,674,627,0,1639,1433,16,2489,2599,28,3337,3618,30,94594,91600,80,0.504476
139715,120581,98,46041,39884,89,1439,1048,7,3102,2897,29,6127,5432,44,7430,6719,47,225781,204995,93,0.50948
244794,181312,103,96763,71318,102,2455,1739,31,6001,4289,52,12535,9115,67,15615,11526,74,506126,369922,113,0.50948
74255,73571,78,31661,30763,76,824,907,0,1279,1161,13,2781,2830,29,3667,3205,34,105168,106667,81,0.510481
132353,114380,92,39295,32874,88,1640,1404,17,2525,2522,28,6372,5386,47,7353,6068,51,230877,203187,93,0.51949
100736,86500,91,40501,35600,83,1120,1082,6,1973,1774,24,3498,2978,35,5571,4555,44,140058,124324,90,0.524495
55821,54251,70,32787,32532,73,634,565,0,642,695,0,1941,1683,22,1887,2024,21,70423,71817,79,0.5305
53133,53720,71,17528,17318,53,657,660,0,287,704,0,2207,2269,27,2355,2610,24,82160,80401,76,0.533503
115834,110407,87,45793,44098,81,1253,1388,11,2682,2563,30,6304,5383,48,6205,5810,44,241247,229623,92,0.548517
317036,221922,133,131553,93119,126,3348,2517,35,7086,5046,54,14687,10254,73,19390,13052,85,573530,381893,133,0.552521
122878,112265,88,42898,38194,85,1279,1145,11,1890,2048,21,4549,4299,38,5945,5629,47,168772,158904,87,0.553522
239883,172936,101,87731,62758,99,1931,1723,23,4692,3678,41,11823,8570,66,14095,10155,66,468370,345898,108,0.557526
33717,33636,68,13053,13119,45,439,302,0,603,978,0,1153,1144,12,1812,2179,19,43144,45971,71,0.56253
132314,125242,87,38220,36419,83,1550,1467,17,3261,3619,31,7215,6873,47,7931,7182,47,276728,267213,90,0.568536
177710,144996,99,62738,51060,93,1496,1302,15,3758,2908,35,7476,6034,49,9257,7179,57,267072,219602,102,0.57254
77237,74471,80,39343,38614,78,466,607,0,907,911,0,2696,2850,26,3420,3739,28,96772,93471,85,0.581548
186570,152827,97,53304,42320,93,1844,1529,19,4166,3108,39,8318,6823,51,9320,7754,57,290022,245697,100,0.599565
101260,96171,85,37403,36112,79,880,951,0,2069,1702,22,4233,4234,36,4258,4381,36,138774,134075,87,0.603569
164819,152050,93,49294,46248,86,1699,1559,19,3520,3426,30,7137,6712,46,8787,7964,55,278061,260624,98,0.606572
57438,58232,82,38908,38609,74,595,496,0,749,811,0,1965,2122,22,3122,3069,29,74964,74608,78,0.609575
37882,37900,75,12119,12131,46,268,295,0,222,307,0,1755,1668,20,1420,1440,16,39163,39606,71,0.610576
43294,43423,75,12159,11880,45,323,412,0,1167,1088,8,1758,2035,21,2196,2279,23,69054,69370,80,0.613578
150723,124478,92,59334,49067,90,1694,1433,19,2768,2494,32,6296,5414,47,6407,5410,47,220755,189584,97,0.619584
55242,54225,76,20905,20655,60,264,425,0,1076,931,0,1701,1598,22,1975,2440,24,59275,57478,67,0.620585
140342,116099,95,51584,41375,88,1257,1153,10,2352,1891,28,5201,4331,47,6578,5426,46,203900,172090,92,0.626591
79965,79010,79,24552,23854,73,797,746,0,1424,1525,17,3131,2835,31,4055,4016,36,113759,109120,81,0.630595
28286,28781,50,10574,10466,43,210,224,0,653,552,0,1376,1363,13,1508,1522,16,41033,39337,71,0.638602
152745,131666,91,58655,49028,90,1993,1690,22,3402,3225,32,9443,8610,53,9812,8507,59,335772,286281,96,0.640604
184810,152014,95,80924,66595,94,2216,1926,24,3669,2974,33,7732,6872,51,10009,8090,57,295049,246912,101,0.644608
45397,43931,74,11549,11429,45,352,574,0,828,729,0,1951,1830,20,2407,2241,28,69903,69805,77,0.645609
142603,124921,92,54738,48053,89,1446,1532,19,3116,2816,32,7523,7119,47,8167,6903,53,277002,251835,96,0.645609
161848,134315,94,64307,53387,92,1958,1729,21,4129,3249,36,8424,7355,50,9694,7562,66,340086,287936,98,0.650613
169738,142021,93,55235,46236,91,1519,1437,15,3589,3343,35,7547,6143,51,8022,7221,49,271667,229069,97,0.650613
161408,131604,99,54372,44132,92,1444,1328,14,3479,2899,33,7858,6774,48,7615,6834,49,275476,232288,99,0.651614
272699,196468,126,95271,69467,113,2712,2052,29,5078,4005,41,10849,7736,62,13067,9206,66,380512,277990,119,0.653616
116893,104957,91,44441,38512,86,1180,814,0,2341,2221,27,5864,5734,40,5989,5703,42,223152,206805,92,0.654617
129982,115792,91,47057,40728,86,1474,1215,17,2149,1957,27,5107,4724,40,7234,6299,52,182629,162506,94,0.658621
45262,43801,75,15618,15533,51,353,464,0,604,658,0,1593,1469,20,2237,2001,26,58791,59726,77,0.66863
174363,159556,95,48425,44823,89,2194,1787,22,3599,3765,32,7542,7123,48,9278,8417,54,276531,258718,97,0.670632
307903,206516,129,112826,75900,127,2987,2276,31,5908,4467,51,12645,8887,69,16899,12113,80,475191,336423,137,0.671633
34302,34708,60,14959,15068,47,424,450,0,663,530,0,1541,1559,18,1858,1961,20,54787,54478,75,0.671633
103963,97619,88,41215,39250,80,583,700,0,2042,1900,24,3732,3721,31,4823,4182,44,152679,143602,91,0.672634
144396,121691,94,45209,37435,90,1507,1405,19,2095,2093,25,5786,4817,45,7386,6420,51,228772,192353,99,0.675637
30721,31715,63,11796,11878,44,260,305,0,351,556,0,806,930,0,886,1139,9,41302,42671,72,0.680642
324339,223418,124,136436,97903,121,3841,2912,36,7578,5469,50,16187,11783,71,20254,14837,86,585525,430330,129,0.684645
194014,161457,103,65945,53547,95,2076,1569,26,3664,3430,33,7275,6159,51,9474,8244,53,266082,226470,99,0.690651
441828,255902,165,184093,109987,157,7265,4180,49,11257,6528,66,23755,14578,93,29520,18373,113,821734,521888,164,0.692653
33950,33274,68,14655,14695,48,203,289,0,113,489,0,935,951,0,1314,1381,17,39459,40978,70,0.693654
138374,119957,97,51373,44521,88,1376,1135,12,3347,2956,37,7013,6172,47,8092,6611,55,273279,240723,93,0.697658
58283,58322,85,30218,29778,74,514,379,0,1227,1198,10,2256,2326,26,2454,2798,27,88184,88186,72,0.701662
33864,34221,71,11566,11575,44,182,255,0,244,245,0,1370,1164,14,1428,1391,17,44642,47029,75,0.703663
47819,47386,76,21276,21161,59,405,360,0,706,727,0,1579,1550,19,2113,2045,27,67127,64030,78,0.703663
178822,155021,102,52330,42238,91,2005,1643,20,3629,2986,35,8028,7044,54,9605,8382,60,286812,255892,99,0.719679
52411,52453,64,21298,20911,61,313,438,0,688,811,0,1544,1860,19,2642,2722,28,61674,60587,79,0.728687
97052,89560,86,36869,33872,80,724,719,0,1919,1569,18,3583,3262,34,4394,3961,40,138408,134566,88,0.732691
145580,122817,93,64586,54284,91,1378,1097,13,2758,2499,30,5750,4831,43,7361,6020,49,207188,171020,100,0.732691
125212,116261,91,46351,42593,83,1128,1270,10,1805,2071,21,4478,4129,38,5970,4995,46,152676,139409,90,0.745703
133076,118931,91,43718,38476,85,1492,1299,15,2626,3190,26,6665,6337,47,7427,6665,47,252349,230383,94,0.748706
113767,107026,84,38342,36525,80,1175,1019,4,2870,2756,29,5208,5211,41,6831,6911,42,232316,219834,86,0.75271
242217,176814,104,92229,67685,101,2781,2049,28,6322,4847,52,12810,9396,67,15611,12098,69,464342,348269,109,0.75271
129052,118377,87,44665,40026,85,1324,1068,10,2677,2492,29,6981,6476,47,6732,5880,47,264152,239129,94,0.762719
164138,135023,97,51597,42419,89,1450,1306,14,3375,2774,38,7177,5903,47,7491,6569,49,272494,229628,96,0.771728
300988,209526,135,113525,82731,127,3257,2484,34,6166,4312,49,13104,9475,70,14967,11430,72,466732,334071,136,0.780736
73345,71237,80,27977,26954,76,545,477,0,679,832,0,2468,2541,26,3370,3178,32,100406,98217,80,0.781737
35513,34258,64,16856,16717,51,338,473,0,723,881,0,1527,1426,18,1413,1667,18,56052,57523,74,0.783739
90430,86339,80,25712,24949,70,829,779,0,2046,1747,19,3269,3190,31,4473,4270,38,128478,123540,83,0.783739
99941,94182,82,37342,34281,80,1073,1329,10,2172,1998,22,4683,4068,39,5556,5432,39,178269,172572,88,0.78474
150856,129994,92,56681,47854,89,1564,1227,11,2967,2795,30,6487,5703,45,7250,6112,51,236555,206452,95,0.785741
92107,92059,78,14719,14648,47,1033,918,0,1891,1890,24,3898,4043,33,4833,4885,39,151492,147808,85,0.785741
149049,120097,97,68707,57142,91,1191,1015,6,2472,1913,35,5895,5070,43,7061,5645,47,216147,167824,97,0.786742
166154,152534,94,53195,48124,88,1624,1581,17,3788,3534,34,7780,7496,47,8918,7945,55,284791,265944,97,0.797752
218771,170446,100,78818,60945,99,2772,2133,30,4179,3242,42,9478,7378,62,10939,8902,58,336891,271095,106,0.801756
322485,185520,149,150176,91304,135,7600,4627,50,13297,8785,80,27442,18499,109,35970,24533,120,944538,626493,143,0.808762
171908,139954,104,55868,44802,95,1927,1133,18,2907,2703,31,5834,4864,44,8263,7274,51,232997,196891,98,0.81677
54451,54494,86,14701,14747,47,572,644,0,821,964,0,2073,2096,25,1952,2038,23,77864,76846,83,0.825779
224296,171155,109,69954,54031,102,2195,1615,25,5073,3801,41,10093,7546,59,11415,9330,56,367452,285904,111,0.831784
145837,135983,86,39804,35349,84,1390,1165,13,3100,2578,31,6972,6450,45,7642,6613,51,230277,215370,92,0.83779
160214,136937,103,61645,52225,92,1611,1453,20,3932,3197,37,7067,6577,47,8372,7177,53,273009,234040,101,0.842795
96214,91287,82,34956,32534,80,965,874,0,2351,1845,28,3588,3480,35,5218,5272,43,141107,132895,86,0.843796
69053,69007,83,28740,28340,74,575,631,0,1347,1153,17,2550,2498,28,3694,3582,35,100226,99509,78,0.845797
65349,63338,82,25023,24183,73,550,602,0,1263,1105,9,2124,2236,24,3830,3449,35,98869,92619,83,0.855807
101579,97376,82,38827,37700,78,998,1068,10,2402,2444,23,4772,4800,38,5551,5550,41,194470,191451,88,0.860812
56165,55247,81,14782,14639,48,605,622,0,759,528,0,2114,2071,25,2887,2550,29,83263,81885,77,0.861813
120413,110520,87,44335,40550,83,1252,969,0,2527,2455,29,6021,5269,46,6477,6151,46,219902,201215,92,0.868819
187932,154882,98,60116,47733,96,1771,1693,18,3398,2733,35,7064,6035,47,8823,6628,57,267727,220149,100,0.871822
146065,126986,89,60817,51822,89,1376,1161,11,3783,3176,33,6765,6089,46,7180,6026,46,269534,231865,100,0.877828
41620,41621,64,16747,16815,50,411,350,0,1012,627,0,1328,1206,13,2079,2172,25,55181,55505,71,0.878829
197062,155227,99,68437,53355,97,2426,2184,25,3644,2617,34,7434,6140,48,9738,7602,62,264271,205889,104,0.881831
125942,106598,93,50251,41810,86,837,822,0,2318,2003,24,4755,4441,39,5473,4630,44,168953,146516,91,0.886836
155692,129491,94,44104,36035,89,1509,1372,18,2765,2367,30,7557,6859,48,7333,6934,52,289579,240843,99,0.89084
55449,54475,83,18657,18368,55,384,389,0,934,1195,11,2157,1997,24,2088,2018,21,72306,70723,79,0.892842
309586,203034,127,107821,71720,123,3678,2369,38,6424,4322,53,13147,8760,68,17761,11321,81,505417,351015,131,0.892842
103043,95039,84,36938,34473,80,904,734,0,1550,1880,21,3785,3907,33,5727,5376,42,162427,149769,89,0.903852
88399,88125,82,40320,39621,78,953,879,0,1336,1520,18,3408,3412,32,5125,5515,38,142261,135509,85,0.904853
195506,143562,102,71415,51106,98,1931,1420,19,3384,2785,37,8609,6752,55,9853,8079,60,325253,249093,103,0.905854
145215,127887,97,51149,44541,87,1338,1262,11,2734,2296,32,6477,6058,44,7261,6370,52,248138,220739,96,0.908857
153794,127917,98,56966,47860,91,1539,1237,14,3262,2886,33,7201,6187,51,8364,6762,54,279845,241417,96,0.909858
88895,86017,87,26471,25700,76,971,812,0,1844,1701,22,3604,3522,33,4414,4420,36,121625,122201,82,0.912861
71740,70006,83,24409,23639,73,690,913,0,671,899,0,2751,3008,29,4275,3716,35,109979,110401,84,0.918866
292872,211367,120,158180,112940,120,4937,3764,41,10534,7354,65,24574,17689,83,23245,16303,90,779102,564147,127,0.923871
355321,234683,139,198269,138213,138,7442,5025,47,11738,8838,58,25616,18569,86,32791,24535,135,901185,663515,146,0.93288
72315,68641,87,26765,25943,74,429,563,0,1068,1185,13,2291,2311,25,2860,2836,31,85763,83996,80,0.945892
81959,78228,85,25359,24596,76,655,662,0,1943,1856,18,2962,2989,32,5257,4600,44,121707,113624,84,0.950897
157356,142498,96,61592,55523,90,1780,1721,19,3981,3352,40,7421,6779,49,9590,9085,54,270422,247597,95,0.962908
148956,137349,104,46486,44183,85,1403,1221,17,2541,2355,29,6414,6165,43,7232,6899,48,221873,208611,91,0.966912
74468,64449,95,17880,14673,95,624,581,0,1085,1174,9,2560,2148,25,4205,3407,38,110848,94371,95,0.966912
83732,82806,81,37859,36827,78,573,672,0,1703,1914,21,3670,3659,33,4534,4467,35,134764,130315,81,0.969914
173983,134253,102,56048,42421,93,1694,1502,16,2708,2327,29,6556,5268,48,8961,6836,56,249989,197470,100,0.97592
185982,154601,100,70491,57885,92,2539,2138,25,5150,4422,40,11348,9896,57,12933,10719,61,443366,390331,101,0.980925
86158,82939,81,32835,31274,78,714,911,0,1272,1123,11,3110,3329,30,4602,4150,42,125718,121880,87,0.991935
182519,152084,96,55376,45844,91,2056,1542,21,3790,3082,38,9847,8300,55,10658,8824,58,336072,286366,101,0.995939
107336,101164,93,38571,35637,81,796,701,0,1445,1518,20,3944,3768,35,5289,5199,39,151654,145135,85,1.00995
65081,62496,79,26217,25539,75,665,644,0,901,958,0,2084,2217,26,2960,3031,30,78266,76655,76,1.01195
34834,35329,67,14025,13907,48,357,357,0,697,588,0,1416,1386,19,2201,2258,26,57021,56080,76,1.01396
132823,114976,91,31578,26809,85,1089,1172,10,2759,2337,34,6239,5705,44,6851,5883,48,246453,217518,92,1.01896
100175,96510,85,36563,34347,79,1397,1320,16,2178,1987,29,4112,3922,36,5421,5234,39,161746,159731,81,1.01996
63648,61076,79,19518,18842,58,401,496,0,950,1215,10,1737,1763,22,2338,2283,26,71793,74121,79,1.02697
365310,237156,154,125912,83522,147,3725,2181,38,7956,5170,56,16604,10304,78,18204,11402,81,574726,377424,155,1.02797
130684,122990,89,40698,38680,82,1411,1371,13,2394,2267,27,5683,5534,42,7621,7474,45,213577,200301,90,1.02897
233327,167266,108,90459,66585,105,2723,2052,30,5350,3840,42,10538,8092,60,13293,10261,66,389927,290941,114,1.03297
139218,120414,89,54844,46756,86,1555,1358,14,2543,1978,28,6268,5280,45,7838,6784,56,232536,198372,93,1.03297
81615,78783,94,25723,24888,74,767,772,0,1285,1546,15,2955,2599,31,4128,3943,34,101063,98632,87,1.03998
87461,84839,79,19633,19096,58,884,882,0,1236,1094,10,3014,3176,27,4113,3753,36,119603,115997,81,1.04398
