"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
57177,57163,75,26596,26555,72,670,678,0,1326,955,0,2266,2182,25,2510,2165,29,74640,75155,76,0.00197775
135829,114063,97,51872,42640,87,1844,1617,22,2135,2083,26,6090,5422,45,8666,7875,58,231552,202913,91,0.00296663
76236,69665,83,33120,30720,80,688,670,0,1762,1432,15,3061,2880,31,4832,4468,38,104047,96965,84,0.00494438
64051,56404,85,25631,22453,79,835,721,0,1250,995,0,2534,2578,27,3828,3789,33,83704,76521,82,0.007911
76025,72690,80,17750,17282,54,689,617,0,1866,1661,19,3072,2897,31,4326,4220,36,109398,106712,79,0.00889988
30653,30226,60,13051,13057,47,386,375,0,778,717,0,1190,1402,14,2012,2166,21,46765,44870,68,0.0118665
149025,127503,92,57581,49727,89,1319,1300,13,3453,2919,31,5595,4757,44,6483,5638,46,192825,168775,93,0.0168109
177820,144733,98,71138,57174,92,2284,1806,29,2815,2267,34,6382,5042,47,9384,7823,59,236621,189042,103,0.0207664
184815,159948,89,57388,45974,89,2159,1956,24,4155,3676,36,10372,8834,56,12882,11470,63,427561,367341,101,0.0207664
14867,15173,45,9235,9306,41,289,261,0,348,332,0,572,730,0,1225,1247,11,23728,24370,63,0.0217553
178865,144495,106,77087,63341,97,1737,1446,21,2854,2120,34,6060,4815,47,8874,6686,66,197277,168538,99,0.0227441
69767,63892,79,31189,27575,79,651,646,0,1405,1166,14,2840,2603,30,3662,3799,31,92639,81287,84,0.023733
72420,70387,81,26955,26281,75,622,610,0,1252,1370,15,2839,2843,28,4037,4155,32,98860,97280,81,0.0257108
162582,142402,92,56455,48575,90,1818,1800,21,4000,3226,38,8031,7105,49,10135,8844,54,331256,296794,94,0.0266996
58902,55766,78,14240,14044,47,756,566,0,1487,1015,5,2023,2166,23,3169,3426,30,75782,74996,81,0.0276885
193932,147124,103,82922,63475,100,2235,1543,26,4157,3119,40,8955,6994,54,11167,8728,61,328079,243977,107,0.0336218
39239,37989,76,14555,14451,48,327,304,0,693,1019,3,1674,1715,19,2279,2209,26,56708,59246,72,0.0365884
100833,85041,86,42051,35627,85,1153,796,0,1730,1796,22,3905,3355,37,5051,4457,42,140381,123170,86,0.0375773
85541,77620,86,25917,22723,77,926,1038,5,1481,1404,16,2556,2228,29,3590,3281,31,103208,94964,81,0.0444994
59106,55357,77,30039,27067,75,736,612,0,916,1062,6,2327,2257,29,3324,3169,33,85690,76304,78,0.0464771
95968,80448,88,37012,30750,84,850,847,0,2100,1459,30,3182,2536,35,4894,3868,43,112144,93648,91,0.0494438
47375,46993,86,17175,17081,54,453,517,0,840,765,0,1550,1420,15,1740,1734,24,57171,55834,67,0.0514215
166332,121394,102,57087,41443,95,1405,943,0,2878,1897,33,5308,4010,45,8266,6206,53,200516,149872,102,0.0524104
122844,101433,101,49635,40359,88,981,824,0,1660,1252,16,3656,3366,34,4396,3807,42,128576,109850,85,0.0533993
137006,111920,94,60691,48927,90,1323,881,0,1896,1965,27,5854,4975,45,6904,5484,51,218599,187274,94,0.0573548
178671,150846,98,75730,66249,93,2542,1941,29,3372,2719,39,6779,6083,44,9854,8593,58,233184,211865,93,0.0573548
76579,71906,80,27620,25424,78,985,706,0,1560,1524,17,2734,2777,29,4070,3941,37,101203,94586,87,0.0583436
66160,65428,88,27185,25884,77,507,492,0,1311,1284,11,1986,2292,21,3531,3333,32,82259,79205,92,0.0583436
209773,159380,100,84084,61982,98,2018,1688,20,3643,2867,37,7814,6407,51,10594,8083,59,282251,219250,106,0.0593325
108925,104804,84,27701,26378,78,1513,1347,14,1838,1880,19,4619,4533,37,6496,5982,52,163864,160857,85,0.0593325
68277,62967,89,22895,20783,69,727,705,0,1448,1570,18,2794,2952,30,4864,4678,38,125869,126590,75,0.0622991
76115,72727,80,25616,24793,77,563,554,0,1379,1671,19,2582,2498,28,3362,3010,32,88949,88708,72,0.063288
64768,56871,93,25001,21973,75,513,396,0,1490,1060,6,3065,2774,32,3337,3150,32,79656,74680,79,0.0652658
36177,34085,85,13506,13353,46,253,284,0,576,711,0,872,939,0,1619,1294,15,39796,39209,72,0.0662546
196190,136242,103,76605,56489,99,2733,1788,33,4137,3026,40,8386,6030,55,12241,8951,67,306754,228332,108,0.0682324
71443,68633,82,20517,19928,62,658,519,0,1504,1342,15,2654,2829,27,4246,3720,37,94579,94831,80,0.0692213
104763,100269,90,39393,37702,80,1300,1169,11,2697,2409,26,5920,5757,39,7358,6973,47,228040,222314,86,0.071199
154127,140481,89,52478,48708,86,1946,1722,20,2768,2917,30,6506,6044,48,9476,9167,56,221511,206192,93,0.0731768
139793,118174,89,63598,53577,87,951,1006,2,2881,2455,27,6330,5344,50,6931,5360,51,218987,182972,94,0.07911
68288,60000,83,28080,24398,77,741,648,0,1323,954,0,3051,2661,32,3829,3909,33,102518,91892,89,0.0820766
211073,153191,110,89493,67302,104,1953,1548,17,3359,2261,39,7808,5945,54,10228,7458,56,265108,196531,112,0.0830655
102761,83711,98,39608,32080,85,1474,987,0,1790,1636,23,4290,3689,39,6538,5662,48,152704,121289,95,0.0880099
151619,125980,94,56262,46909,90,1630,1394,16,2906,2209,34,6911,6085,50,8324,6910,56,304369,253659,103,0.0880099
71798,68884,78,31669,29384,76,876,806,0,1168,1341,15,2478,2660,29,4500,4729,34,99682,95791,77,0.0909765
