"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
306824,202462,124,137335,92141,119,3211,2221,35,5753,3642,53,12165,8172,68,17534,12231,78,457726,305640,127,0.0200269
59886,57811,81,17993,17683,53,681,472,0,844,850,0,1991,2007,24,2869,2780,30,73882,71147,75,0.026035
147396,115849,93,70157,56098,92,1481,994,0,3121,2404,36,6627,4869,50,7687,5646,54,220291,176680,99,0.0330444
81000,70285,90,36821,31944,80,578,508,0,1880,1408,14,3165,2544,32,4443,4517,38,104503,91446,90,0.0420565
195178,155523,99,79104,63836,96,1735,1392,22,3852,3318,34,7772,6346,55,9024,7078,53,288556,238115,105,0.0560753
52568,52697,79,19435,19296,56,660,663,0,947,1091,7,2436,2340,27,3455,3271,31,81156,81261,77,0.0570766
75934,71721,86,29329,26919,78,865,736,0,1328,1196,11,2944,3050,29,4780,4733,37,108014,101825,82,0.0700941
49985,48691,88,24179,24100,72,166,270,0,1052,969,0,1604,1506,19,2097,2290,24,58877,58472,72,0.0841129
120049,105255,102,48987,42077,86,1174,1262,10,2230,1878,28,4785,4368,40,6288,5102,51,160547,136558,91,0.0851143
82329,72855,97,34158,30010,81,1126,970,0,1510,1471,20,3650,3246,36,5135,4588,47,118274,107627,88,0.0991331
133482,117885,94,45358,40439,89,1852,1714,19,2512,2238,29,5216,4479,41,6591,6139,45,166035,154520,86,0.103138
132847,127185,88,72937,69903,84,2207,1934,23,3470,3026,33,6960,6880,45,9998,9362,55,267013,259437,92,0.129173
71298,65672,78,29853,26942,76,1077,982,0,1125,786,0,3010,2705,30,4105,4184,35,103333,95784,85,0.138186
298149,207676,128,187346,131392,121,5378,3679,45,8578,6510,56,17712,13108,70,23349,16598,104,601407,429289,127,0.144194
