"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
51668,50602,74,12400,12336,45,528,485,0,598,961,0,1616,1840,20,3107,3118,30,60294,59093,76,0.00295185
294199,198382,118,99226,70690,113,4368,3054,41,5277,3750,52,12012,8257,66,19063,12270,84,400041,270115,123,0.0039358
225970,173153,111,111691,85993,100,2670,1972,30,4954,4078,41,10263,8373,60,13783,11171,70,345105,280349,108,0.0059037
68758,64678,79,31307,28674,80,734,654,0,1591,1303,17,2657,2237,31,3311,3303,33,77578,73078,84,0.00688764
83007,77558,87,36825,34386,78,952,968,0,2150,1573,24,2957,2808,31,4475,4447,37,100483,99678,76,0.0108234
88786,85307,81,34246,33317,78,801,763,0,1141,1290,13,2994,2862,30,4039,4192,34,88247,87662,76,0.0118074
93222,84777,86,32115,27870,80,1208,922,0,1703,1511,21,3262,2981,34,5027,4418,41,120573,110275,92,0.0137753
147668,122882,91,70383,61543,88,2499,2262,28,4377,3597,40,9158,8200,55,10997,9295,55,276485,240409,86,0.0167271
186274,152879,97,55719,48487,92,2917,2384,27,4087,2955,42,8943,7293,52,12191,11117,56,264561,223914,102,0.0177111
195516,143089,100,67563,49496,97,2492,1928,27,4182,2826,44,7838,6060,54,11645,9128,59,251314,187290,107,0.0177111
76191,77538,75,30298,29703,75,803,1004,1,1576,1506,21,2846,2853,31,4439,4790,33,91210,92198,78,0.018695
92877,79615,88,48539,42012,84,1228,1063,8,1723,1397,18,3728,2934,36,5666,4850,44,110914,99339,91,0.0226308
156034,87556,127,54977,29767,121,1372,770,0,2759,1459,17,4834,2535,58,7139,4177,65,162695,91211,126,0.0226308
76011,69484,89,29250,26628,79,727,574,0,1543,1020,4,2708,2754,27,3714,3599,34,88813,80743,84,0.0236148
133149,114072,97,54645,46789,88,1417,1245,17,2754,2894,29,5798,4783,45,7354,6545,48,195450,168469,93,0.0236148
407753,216452,171,163060,87310,155,9032,5034,57,11665,6645,67,23360,13336,99,34406,18706,148,687287,385937,158,0.0255827
103322,97030,89,28668,27616,79,993,990,0,2747,2177,28,4862,4807,38,5960,6075,38,217428,206886,91,0.0295185
146399,114625,97,43960,34678,91,2095,1628,27,3002,2151,36,5735,4316,47,7866,6323,55,163553,134242,97,0.0334543
188789,137881,104,57822,43648,97,1759,1257,18,3432,2483,36,6710,5091,48,10074,7629,60,218060,166375,102,0.0334543
117557,97196,91,34934,27810,85,1535,1396,17,1794,1699,20,3822,3401,37,5771,4669,42,126223,110517,94,0.0354222
85620,77815,82,28995,25790,81,1195,972,0,1958,1843,22,3502,2956,33,5467,5397,44,107146,98010,89,0.0403419
103332,90270,85,39786,34207,84,1037,945,0,1734,1641,24,3471,2850,34,5755,5004,45,109750,95000,89,0.0413259
57384,57413,67,21838,21358,64,477,541,0,1055,768,0,2089,2094,24,2952,3090,30,67020,66333,78,0.0432938
265084,192585,115,95636,69605,109,3476,2511,37,5736,4503,46,11227,8832,60,15646,11835,72,348756,267565,115,0.0452617
155733,118789,99,50015,38976,93,2036,1612,24,2688,2214,35,5876,4192,49,8013,5936,55,176898,137502,100,0.0501814
83745,75503,84,30092,27567,80,945,661,0,1223,1051,5,2794,2514,30,3823,3505,35,92528,90517,76,0.0541172
99330,91731,83,45972,41705,81,866,846,0,1773,1780,22,4186,3700,37,4722,4102,39,145669,136584,85,0.0551012
62005,60152,76,16016,15790,49,465,443,0,1001,689,0,2458,2106,31,2660,2628,28,89201,90215,81,0.0551012
278175,202374,122,95959,70243,115,3878,2951,36,5779,4363,50,11697,8924,65,17334,13262,81,362108,274862,124,0.0560851
153625,126598,92,66105,54166,90,1772,1511,16,3096,2059,32,5666,4888,44,8531,7245,53,202191,168177,92,0.058053
178919,140509,97,62240,48649,94,1377,1040,5,3030,2412,35,7228,6096,50,9367,7049,57,300710,241623,101,0.059037
195791,139732,103,70523,52079,100,2684,2046,30,3998,2759,41,8747,6170,60,12188,8338,63,274270,193063,107,0.0600209
52966,53551,72,25613,25512,70,481,719,0,846,1095,10,1911,1738,22,2650,2407,30,67064,65617,78,0.0639567
144971,126910,90,41102,33774,88,1317,1216,12,3007,2581,32,6559,5472,49,8563,7601,57,288808,248592,98,0.0649407
125823,107034,103,45144,37422,88,1374,932,0,2303,1936,26,4838,3891,42,5437,4701,45,147174,130007,94,0.0669086
35861,34925,80,13357,13205,48,266,422,0,828,679,0,1428,1162,10,1916,2069,23,51152,51513,77,0.0688765
240441,168505,117,91044,62700,110,2787,2092,29,4951,3073,55,10374,7494,61,14061,10293,68,292779,216664,121,0.0698604
63838,60677,78,14489,14132,48,324,428,0,1462,1261,15,2273,2041,24,3201,3253,31,79140,81627,78,0.0728122
109586,98849,86,45672,41029,84,1117,965,0,1797,1451,21,4505,3994,37,5671,5125,41,144655,139685,83,0.0728122
138215,120877,94,40638,34500,88,1551,1337,15,2291,2152,28,6103,5584,40,8313,7578,51,275868,247888,97,0.0728122
