"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
62602,56921,78,27811,24712,78,748,878,0,748,908,0,1809,1653,22,3143,3367,31,78999,71693,84,0.00200687
118534,113572,84,56414,54750,83,1404,1278,13,2821,2815,28,6241,5981,44,9426,9134,52,208762,199794,87,0.00200687
57365,54467,69,24033,21846,73,399,518,0,748,929,0,2359,2318,25,3078,3007,34,73727,68320,85,0.00702404
108917,93698,97,46829,41100,84,1430,1049,6,1806,1705,23,4170,3695,38,6345,5077,52,137309,118744,92,0.0190653
179462,136744,102,60504,47317,93,2438,1888,28,2952,2595,31,6736,5153,52,9847,7762,57,240008,188620,99,0.0200687
58267,55470,79,20305,20283,58,699,705,0,788,787,0,1842,2066,20,2451,2352,28,59591,58918,80,0.0270927
103021,89715,89,40349,34918,84,842,811,0,1872,1712,23,3046,2444,33,4225,4133,35,106807,95744,90,0.0321099
73203,65145,84,33387,29563,80,667,516,0,1826,1279,16,2790,2428,30,3891,3643,35,98157,82788,91,0.0341168
62678,61918,78,10390,10055,43,568,638,0,926,1248,11,2308,2126,27,3649,3685,32,71163,67226,81,0.0451546
121207,103278,87,35012,29375,86,1106,1098,6,1712,1664,22,4175,3382,41,5713,5292,41,127158,110252,92,0.046158
263118,184945,120,107157,75639,117,2353,2002,28,4482,3519,45,9876,7291,56,13887,9506,65,298157,216314,126,0.0471614
142011,122033,96,45265,38617,88,1522,1354,19,2779,2435,27,4295,3722,42,6988,6105,45,141270,120573,94,0.0501717
191159,156399,96,72842,59759,94,2289,1747,24,3027,2736,33,6679,5632,46,10110,9121,63,204305,181199,91,0.0531821
74694,74685,77,12049,12271,44,630,596,0,1010,1260,13,2686,2447,29,3173,3492,32,85786,84348,82,0.0652233
75810,68075,80,25582,23200,79,578,540,0,1628,1555,17,2714,2538,29,4107,3779,37,104156,98637,80,0.0672301
198638,155973,96,81059,64865,95,2294,1946,24,4312,3798,38,10099,8204,60,11956,9787,63,412877,326763,105,0.069237
105083,100800,81,30153,28771,79,975,876,0,1806,2112,21,4385,4242,38,4637,4976,34,163231,155236,85,0.0702404
131315,108094,92,51187,42027,88,1320,1065,7,1790,1741,26,3765,3042,37,5302,4511,43,126235,105648,95,0.0722473
220687,163713,106,93681,70744,101,2582,1978,30,3988,3027,42,8547,6327,56,12071,8999,60,291781,230021,112,0.0752576
41555,39454,74,17338,17286,52,296,349,0,606,1000,1,1492,1262,14,1890,1703,24,48023,48236,76,0.0782679
183300,143040,97,76444,59857,95,1771,1607,20,4066,3104,37,8936,7261,59,10913,9508,60,372896,299833,104,0.0792714
176147,139792,101,65334,52595,95,1837,1489,21,2848,2341,28,5996,5075,42,8555,6913,56,198654,162833,103,0.085292
86648,83240,94,17248,16936,53,758,965,0,1601,1419,18,3884,3495,36,5763,6063,38,111334,103504,83,0.085292
136127,126038,87,46965,43755,83,1135,1116,10,2752,2428,29,5173,4287,44,6592,5946,44,156822,146441,93,0.0963297
163076,138841,93,74850,62723,92,1361,962,0,2637,2245,29,5706,4818,44,6020,4679,48,198405,172043,97,0.0973332
105163,95996,85,42149,39167,82,1012,960,0,1733,1703,22,3876,3588,34,5594,4986,42,114800,111273,79,0.0983366
63280,62527,81,29417,28990,75,421,469,0,1247,1014,2,1768,2003,23,3381,3482,33,73033,72580,83,0.105361
59490,57471,86,13382,13056,46,501,641,0,1132,1133,9,1581,1579,20,2873,3010,27,67108,67074,83,0.107368
20133,20935,47,9671,9870,42,317,229,0,284,462,0,874,897,0,840,798,0,25393,25277,66,0.116398
123311,109179,87,54024,47208,86,1104,889,0,1779,1758,21,4023,3522,37,4723,4421,43,134421,119948,91,0.120412
181609,143487,98,64807,51073,93,1718,1441,18,2338,2132,28,5867,4670,45,8368,6881,51,199192,160613,101,0.121416
135691,112727,91,45900,37568,86,1521,1002,1,2629,2186,28,5217,4201,43,7501,6190,56,162340,131502,93,0.121416
322576,202369,137,109616,68045,135,4880,3094,43,7249,4724,57,14558,9976,68,21024,12525,89,462943,300367,142,0.127436
65980,64473,91,17365,16948,52,395,408,0,1275,1226,10,1911,1831,23,2389,2273,27,68973,68814,85,0.12844
324085,212622,133,98913,61520,131,3214,2271,36,5469,3742,44,14084,9032,75,19367,12933,93,417958,289305,139,0.130447
29499,29072,68,8015,8075,39,112,187,0,407,393,0,787,989,0,1459,1280,20,40997,39574,74,0.135464
74919,72859,78,30592,29399,76,827,802,0,1383,1361,11,2465,2375,28,3789,3671,33,96481,92237,83,0.138474
76662,73900,81,20510,20208,58,637,762,0,1258,1480,14,2219,2258,25,3333,3081,34,86627,86392,83,0.139477
139565,108817,91,53286,41417,90,1261,825,0,2215,1793,27,4962,3606,45,7098,5760,52,164905,126594,97,0.140481
162011,147329,94,48293,42857,88,1318,1214,14,2890,2938,30,6753,6335,47,8163,7401,49,254757,227993,97,0.140481
66506,66864,77,34889,34199,75,883,790,0,1269,1083,7,2366,1981,26,2852,2963,27,80998,78165,78,0.144495
123374,109476,103,42278,38355,85,1311,1270,12,2299,2227,26,4555,4284,40,6365,6002,43,150187,139431,96,0.148508
200333,152259,110,67901,51822,100,2359,1902,29,3335,2682,36,7475,5642,53,9447,7229,58,219440,165931,106,0.149512
97045,88936,85,34608,30884,81,718,656,0,1716,1590,20,3274,3058,32,3277,3037,33,109929,101039,87,0.151519
410144,252525,158,176776,114984,154,6282,3838,46,10081,6128,61,21894,14497,91,31386,20548,117,716836,478034,160,0.153526
51662,51293,72,15290,14928,50,412,554,0,940,985,0,1805,1673,21,2679,2426,28,60564,59450,78,0.154529
252203,179663,109,87962,62714,104,3260,2007,36,5142,3797,47,10195,7499,59,13940,9763,78,324650,234755,110,0.155532
117516,100244,89,52024,45159,85,943,725,0,1802,1827,22,3909,3578,37,5357,4508,43,142358,127755,92,0.157539
73238,72569,78,23625,23261,71,814,714,0,1097,1017,3,2226,2371,26,3348,3027,31,77527,75234,83,0.159546
203571,160000,101,85678,67965,99,2022,1915,23,3515,2801,36,7401,5864,53,9572,7555,57,211263,168986,106,0.16055
59430,58307,77,19619,19244,56,586,458,0,1009,1464,12,2067,2116,24,3124,2553,32,58442,56854,77,0.168577
121337,97196,97,52333,42359,88,1177,1151,10,1719,1447,20,3496,3233,34,4978,4624,43,127488,103493,95,0.16958
89292,80646,83,42146,38236,81,743,765,0,1731,1553,23,2793,2779,31,4265,4516,36,115324,104060,91,0.175601
78808,67264,83,29604,25682,80,512,671,0,1742,1228,12,2583,2276,29,3522,3158,37,84899,74091,87,0.185635
134164,127355,84,44204,41382,82,1791,1809,19,3279,2706,36,7142,6645,46,7004,6616,46,269043,253213,93,0.192659
111604,104567,92,44430,40990,83,1302,1076,9,1602,1783,20,4716,4391,38,6451,5454,50,146800,138088,81,0.193663
82576,74428,81,31190,28882,79,751,618,0,1218,1199,14,3165,2871,33,4096,3756,34,108785,101688,83,0.199684
132649,107976,106,46331,37044,87,1597,1262,13,2647,2495,28,4975,3891,42,7076,5898,50,138905,115696,92,0.216742
230945,168966,115,106911,79079,107,3426,2640,34,4735,3384,46,9729,7487,59,15239,11867,69,309137,230723,115,0.216742
98664,88428,92,45594,39752,83,847,827,0,1230,1381,16,3216,2675,33,4528,3666,43,108941,96760,86,0.217745
114508,94800,95,44628,36534,87,1345,1113,12,1973,1917,25,3824,3099,39,5600,4752,44,132608,110982,92,0.220756
93451,89730,82,26835,25750,78,556,604,0,1605,1176,12,3519,3676,32,3792,3774,32,145844,138828,85,0.224769
78042,76656,77,23112,22664,66,799,784,0,1346,1348,15,2688,2376,29,4379,3861,42,88945,89422,85,0.22778
59754,60156,76,22198,22091,63,230,295,0,892,773,0,1751,1710,20,3244,3726,28,70093,67985,82,0.22778
313729,221025,130,166966,123003,127,5551,4401,42,8498,6227,65,18690,13682,80,28129,19969,116,591691,427468,135,0.23079
81808,82300,77,28711,28066,76,786,961,0,1883,1878,22,3301,3096,34,4925,5106,37,102872,100364,82,0.234804
149334,124472,91,52168,43353,89,1439,1233,17,2469,1962,25,5672,4776,46,7592,6077,49,191345,169103,92,0.239821
191059,151877,95,101110,79076,96,2135,1506,24,4092,3039,42,8258,6101,58,11312,9016,62,259089,204421,103,0.241828
116644,95432,100,41595,34571,85,1221,1141,8,1797,1387,17,3709,3094,37,6324,5201,48,121382,98616,92,0.245842
54333,53491,75,24643,24101,70,478,498,0,385,545,0,1485,1476,17,2285,2443,23,62108,61323,72,0.247848
306266,222441,128,134187,99431,125,4871,3636,39,7335,5547,52,14777,10966,69,22268,17815,87,484246,372449,131,0.248852
232313,170813,113,84116,62450,105,2348,1701,26,3859,2469,42,8633,6435,56,11659,9160,63,273733,205120,115,0.250859
104654,97912,89,36574,33830,81,1219,1188,10,1728,2112,22,3979,3780,36,5581,5232,42,133820,128696,82,0.250859
92234,77703,85,39664,33446,83,1140,946,0,1934,1572,27,3531,2960,37,5828,5073,46,115563,97040,88,0.253869
121258,103020,99,37702,31931,86,1453,1261,13,2686,1877,26,5042,4576,42,6576,5570,49,133921,112842,96,0.258886
85420,84379,77,51935,50749,78,1052,1113,10,1558,1462,13,2871,2812,31,4370,4014,38,91760,90339,85,0.26591
48603,50397,67,19722,19475,55,274,403,0,923,657,0,1366,1488,15,2302,2351,27,62971,62360,83,0.266914
