"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
182213,147214,102,68297,55648,94,2223,2073,26,6671,4481,62,8557,7168,47,11715,9519,81,217328,193651,103,0.00100829
158386,144155,90,56403,52274,86,2130,1769,22,4505,4918,36,8608,7987,49,10488,10052,56,178840,169581,98,0.00403316
194224,170181,95,96157,86653,92,3789,3193,34,9086,7452,65,15995,14530,63,18536,16469,84,324804,288785,110,0.00504145
173289,134342,102,53161,41481,93,2122,1709,25,6186,4255,62,8703,6458,57,10232,7546,64,192741,148142,111,0.00504145
69831,67719,90,16157,15947,51,1009,1186,9,2871,2364,36,3415,3304,32,4194,4408,34,74791,70395,86,0.0120995
85166,84065,80,18906,17996,56,1335,1450,16,2381,2987,24,5899,5166,46,6354,5687,45,132101,123806,90,0.0131078
69301,67842,89,28087,27961,75,1224,1072,8,2302,1914,37,3330,3373,39,3821,3901,32,79369,73964,86,0.0131078
97693,93876,85,35739,34948,80,2450,1886,23,10959,10341,63,4065,3149,33,4341,3966,38,40663,39467,90,0.0171409
176813,141011,97,54488,43382,94,2696,1914,29,4519,4427,40,8539,7092,52,9426,7122,57,185792,152663,109,0.0201658
168573,142434,94,74830,65354,92,1900,1762,22,6562,4284,72,8346,7366,57,10468,9190,61,203935,176589,108,0.0211741
322200,216710,136,105460,70748,131,5009,3133,44,12408,7432,76,20399,14180,85,24883,16999,118,461805,315153,147,0.0231907
134793,111922,90,40231,32330,89,1162,1305,11,3893,3321,35,6525,5059,47,8076,6160,57,143566,119677,99,0.0252073
377164,215027,144,131252,74640,137,5161,2737,46,12945,7107,99,23788,13492,114,31420,18259,122,607045,368249,154,0.0252073
179755,150193,95,72643,62889,92,2683,2366,28,8245,5956,57,13407,10369,82,16221,13727,86,294836,247256,107,0.0272238
101403,95217,85,26463,24808,79,949,868,0,2034,2415,31,5273,4610,43,6046,5794,42,122325,112266,95,0.0292404
158069,146055,92,43315,38552,86,1799,2362,22,6158,3638,72,8359,7716,48,10649,9678,58,203409,184838,102,0.0302487
62383,60982,79,15571,15330,49,922,748,0,1500,1771,18,1875,2081,22,1909,2909,22,56958,54182,88,0.0332736
187717,156805,94,78559,64257,94,1976,2157,23,5068,5056,41,10446,9072,58,13572,11468,71,247719,200189,109,0.0352902
136187,118403,94,49764,43590,88,1795,1667,20,4995,3720,44,7558,6311,50,8065,7284,50,144209,125517,103,0.0362985
200207,179095,93,113006,102872,92,5293,4930,36,12851,10910,63,23120,21060,79,27939,25111,91,578338,499274,107,0.0423482
219817,189952,105,94092,82365,93,6875,5964,42,30753,25972,89,10167,8772,58,11724,9487,71,118488,99828,97,0.0423482
102940,98734,97,39680,38161,80,644,1381,15,3231,3779,30,5772,5601,44,7650,7177,55,138030,129694,90,0.0473896
107029,102055,85,42309,40463,80,1851,1383,15,2598,2554,30,5922,5540,45,6534,6017,42,123720,119321,94,0.0534394
224962,187484,100,114851,97953,98,2794,2143,31,6376,6325,45,12893,10621,75,15195,12108,72,271190,225267,109,0.0564643
143627,110945,97,60795,47876,92,1458,1241,13,3880,2644,56,6079,5094,45,7390,5854,55,150989,114935,104,0.0564643
80772,80471,78,28512,28401,76,1022,1341,14,2007,2057,28,3803,3850,35,5338,5061,38,93923,91023,85,0.0574725
227796,175761,110,80842,63658,105,8471,6235,50,34262,25541,117,11245,8432,63,14519,10612,74,159052,125780,123,0.0685637
225652,188908,100,98065,82993,100,4335,3557,39,10609,8475,70,19765,16941,85,23763,20505,96,442059,386698,116,0.0685637
161569,123709,94,45607,34060,94,2232,1479,25,4434,3923,45,8948,6675,56,11781,8259,74,206540,163987,106,0.0766301
85678,82781,81,35020,34309,77,603,694,0,1270,1668,19,5596,4975,42,5483,5349,42,105121,99909,91,0.0786466
168564,136368,95,66822,54795,92,2282,1810,24,4585,2860,60,7935,6801,49,9631,8616,52,193806,162238,106,0.0796549
105212,99664,88,60301,58511,82,84424,80708,83,20131,19205,78,11327,10956,57,6152,6071,44,60458,56344,92,0.0796549
100520,82102,85,39331,32628,85,1005,1076,7,944,1518,19,3832,3797,37,5552,4627,45,102607,85558,98,0.0806632
193274,158753,98,83116,70165,95,2594,1878,28,7471,5710,59,10960,9549,52,13253,10728,72,230708,193793,110,0.0806632
