"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
141867,127545,97,49348,43851,85,2618,2332,27,4442,4327,43,9163,8700,51,13004,12370,65,281977,273516,93,0.00102669
111556,107937,83,44127,42572,80,1775,1622,19,3556,3368,30,6692,6281,44,10947,9802,57,211968,198457,89,0.00308008
172831,146580,110,86084,75813,93,2866,2365,30,4379,3902,37,10167,9816,52,15889,13678,72,318979,298738,96,0.00410678
104522,98806,81,36766,35221,80,1972,1922,23,3657,3070,36,6875,6236,46,10435,10609,50,205849,192321,87,0.00513347
92124,85609,84,36279,33834,80,1398,1464,14,2815,2600,28,6807,6419,48,10311,8914,54,204008,186959,85,0.00718686
186335,162216,96,169842,150919,94,7004,5999,41,12218,10067,64,28051,25055,87,43862,38882,91,870238,761819,100,0.00821355
95882,89290,83,36489,33411,79,1876,1625,22,2522,2477,30,7062,7162,43,10307,9567,57,216058,203548,83,0.00821355
96707,94681,79,37525,36168,79,1706,1869,18,2239,2510,28,6177,5692,42,9412,9025,50,187480,184530,84,0.0102669
175565,148899,98,68667,57511,92,2693,2464,29,4552,3638,45,9864,8356,57,14194,11512,65,282307,244158,98,0.013347
137461,128285,86,54004,49655,86,2140,2002,24,3798,3528,35,9002,8626,52,12624,12423,58,262844,250096,89,0.013347
92484,89622,80,22558,22083,65,1736,1760,19,2572,2563,29,5346,5081,38,7803,7455,46,158578,149457,85,0.0143737
189190,164373,106,91195,81284,94,3875,3184,33,6773,5624,47,13832,12475,65,19663,17506,90,398250,355751,103,0.0154004
96201,93061,84,33111,32408,78,1145,1330,13,2538,2379,26,5250,5058,40,8041,7948,50,177550,170106,87,0.0195072
158979,132091,102,62248,50906,91,2773,2519,28,4196,3932,38,10498,8683,63,15683,13762,73,320093,270323,100,0.0205339
188140,143312,100,76218,58081,97,3178,2307,32,4623,3802,41,10763,8543,63,17013,13439,77,325148,254886,107,0.0225873
120622,111617,85,45538,41916,82,1800,1945,22,2707,2762,30,7390,7041,49,10960,10491,56,216712,202336,85,0.0256674
138687,130975,87,56140,53426,84,2970,2708,29,4330,4612,32,9670,9103,53,14980,14048,66,310678,289946,96,0.026694
113685,102233,87,42688,37947,83,1772,1653,20,3393,3279,34,7403,6611,46,11713,10898,56,235163,210563,93,0.026694
108049,104948,89,34368,33701,79,2144,2058,22,2937,3048,28,6386,6115,42,11899,11382,58,219971,208774,93,0.0297741
112623,108049,95,64805,62758,82,1711,1777,20,3057,3429,31,6763,6550,43,11530,11257,71,217143,201610,89,0.0308008
222740,184932,99,88884,74715,96,4245,3234,36,8207,7227,50,17639,15711,77,26869,24461,91,570412,518342,104,0.0328542
111615,107120,83,52621,51040,80,1885,1857,22,3529,3302,33,6964,6499,45,10896,10252,51,217244,204051,86,0.0338809
205499,163470,109,80727,65211,98,3545,2692,33,5935,4655,46,11401,9520,59,17737,14719,75,340737,276952,108,0.0359343
149323,130679,92,52695,45763,88,2706,2406,30,4061,4017,38,9446,8510,54,15604,14795,73,323082,302274,97,0.0390144
100648,95848,82,35925,33995,80,1867,1869,22,2880,2985,31,6641,6808,42,10876,10721,56,212859,202841,86,0.0420945
48979,46717,75,22194,21830,58,423,471,0,1046,1177,10,2114,2308,24,3278,3285,29,89446,88982,73,0.0431212
124433,117911,88,49741,48304,82,2045,1926,22,4256,4131,32,7475,7279,45,10665,10378,61,231048,216408,90,0.0472279
247086,167872,109,90428,62828,106,3749,2358,39,6757,4789,51,15190,10430,71,25610,17457,97,509004,379216,114,0.0482546
120425,111056,87,33237,31205,82,2556,2248,27,4455,3952,43,9549,9025,49,14006,12980,67,287389,259090,86,0.0492813
161855,135032,93,55906,45297,92,2957,2497,30,5024,4057,38,10408,9267,54,17068,15353,71,345355,303624,100,0.050308
153606,128517,95,71733,62070,90,2272,2107,26,3957,3183,37,8139,6971,48,13181,11076,71,250987,222058,98,0.050308
166725,147434,100,62287,55580,88,3161,2752,30,4842,4461,40,10631,9372,59,15985,14013,74,339886,284060,91,0.0554415
96660,94461,79,38066,37136,78,1504,1182,15,2894,2809,29,6470,5807,42,8521,7461,50,190247,180661,88,0.0554415
99395,94943,83,33735,32927,79,1753,1535,19,2734,2739,31,5882,5739,41,9674,10153,54,191299,187059,90,0.0595483
167451,146215,96,60275,52907,90,3103,2434,31,5176,4645,45,10526,9773,51,17493,16021,71,328256,309443,98,0.0616016
186309,160197,93,98262,87005,93,4962,4666,36,8337,7517,50,19291,16833,79,27705,23996,91,546350,451514,103,0.0616016
