"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
93719,90190,80,26347,25789,76,1393,1427,16,2218,2231,27,4996,4740,37,7616,7275,47,151204,144732,87,0.00557973
214347,186432,97,60517,52754,95,3732,3222,33,5783,5304,39,11608,10333,58,17834,14799,77,327689,291375,99,0.00669568
135973,121730,89,61431,54138,85,2171,1937,24,3711,2813,32,7644,6630,47,13709,11622,68,272402,230622,84,0.00781163
138232,124061,88,54068,48469,86,2369,2412,26,4088,3456,35,8793,8262,51,15330,14157,64,290686,267983,94,0.00892758
122161,114724,96,38250,36652,80,2165,2078,22,3101,3013,30,7058,6488,49,10976,10001,57,197782,179952,89,0.00892758
216698,172094,108,81899,65165,101,3371,2779,32,5705,4508,44,12236,9855,63,19057,15140,91,386140,325027,107,0.0111595
73625,74453,78,25997,25987,74,807,892,0,1803,1568,19,3990,4023,34,6657,6352,47,129111,123856,84,0.0122754
308734,238962,125,160034,129263,121,7546,5985,44,11612,9445,56,24069,18936,91,35286,27034,118,670118,512362,129,0.0145073
112225,108065,83,34769,33968,79,1917,1966,20,2863,2572,30,5799,5701,40,9590,9549,55,186855,174679,89,0.0145073
142678,129612,91,64665,59477,85,2557,2286,29,3816,3334,39,8572,7458,51,15493,13837,70,288453,245556,85,0.0178552
118285,108217,87,51273,47851,82,1855,1619,23,3386,2939,35,7254,6613,47,11750,10769,64,229664,204836,87,0.020087
108712,102861,84,39816,37977,81,1689,1465,20,2729,2294,28,5089,4686,39,7647,7713,44,158637,148922,89,0.020087
148167,124168,92,47012,39304,89,2191,1999,25,3556,3406,35,7811,6800,50,11849,9645,60,231267,198278,95,0.021203
138130,129063,102,48641,46375,83,1925,1778,23,3353,3072,33,7161,6495,48,12759,11602,66,226312,206999,93,0.0245508
177181,144451,94,60238,48129,92,2966,2455,31,4514,3915,43,11341,10029,63,17516,14369,75,363902,317255,99,0.0278987
142028,126447,87,56448,49645,86,2036,1804,24,3315,3352,31,8721,7581,52,14327,12985,74,277195,250803,95,0.0323625
54473,54682,74,21989,21516,63,708,849,0,1104,1173,16,2702,2451,28,4175,4119,38,96196,92283,82,0.0334784
143084,124995,89,56998,49205,87,2363,1992,26,3376,3261,34,9228,8201,54,13619,12270,60,295408,268539,97,0.0357103
159808,129516,93,50903,40869,91,1847,1619,21,3841,3020,39,7766,6620,51,13271,10923,62,243339,198982,83,0.0379422
93738,88629,87,30514,29635,79,1433,1363,17,2177,1770,31,4264,4166,35,6531,5914,46,122329,118845,78,0.0390581
120662,112832,84,46653,43960,83,2563,2284,27,3587,3441,35,8872,7997,54,14378,13020,68,289758,270115,88,0.042406
59819,59210,76,13751,13702,46,688,704,0,1040,934,0,2482,2664,26,3801,4024,33,73037,72259,78,0.0457538
129820,116946,88,54373,47794,85,2044,1995,21,3611,3041,36,7520,6819,49,12234,10550,67,237457,206499,85,0.0457538
190497,144892,109,70541,53892,99,2616,2027,30,4231,3262,42,9829,7977,60,15911,12798,68,322043,265505,103,0.0479857
282013,218486,124,134933,106668,118,7622,5944,45,13208,10272,66,27672,21867,98,44169,34983,116,867504,650206,122,0.0479857
100549,98103,80,40092,38643,80,1029,852,0,1996,2058,23,5363,4899,39,7518,7113,47,160016,155705,84,0.0502176
90903,83455,81,37426,33803,82,1338,1178,12,2291,2013,27,4538,4003,41,6231,5843,42,123994,108399,79,0.0502176
85720,83876,80,32500,31849,77,1167,1130,8,1808,1597,22,4502,4265,38,7395,7328,43,132211,130185,83,0.0513336
165438,148984,107,47158,43889,88,2731,2302,28,4297,3750,39,8489,7567,49,12919,11309,68,230884,203068,95,0.0513336
106954,103425,88,47598,46524,80,1816,1731,21,3002,2545,31,6540,6366,42,11286,10897,57,214151,199404,86,0.0546814
86264,79888,96,27378,26494,78,1369,1179,13,2024,2155,23,3979,3842,34,7489,6849,47,142752,135181,85,0.0557973
166089,133289,98,57098,46656,91,2818,2247,32,4270,3472,38,8677,7167,53,13651,10833,75,242925,209499,92,0.0569133
208162,158372,103,83676,64208,101,2921,2440,31,6107,4759,46,10952,8362,65,17834,14266,67,350913,272264,110,0.0591452
104933,99242,85,29095,27552,79,1395,1398,15,2664,2539,26,5121,4998,38,9482,8854,49,171204,164948,87,0.0602611
152459,135163,91,50710,44804,88,2223,1855,26,3790,3392,33,8824,7979,52,13157,12286,67,256940,235533,97,0.062493
98322,95817,84,23793,23000,67,2084,1871,24,2331,2976,25,6356,6073,44,8914,8505,46,170991,164046,86,0.062493
99381,91889,84,35938,34412,79,1470,1416,15,2269,2467,23,5559,5155,41,7913,7702,47,178566,165075,82,0.0758844
112725,105923,86,39430,36723,82,1499,1563,17,2257,2342,27,5958,5538,42,9500,9022,54,181414,174135,90,0.083696
172199,143094,111,59947,48977,95,2641,1833,29,3104,3109,34,7621,6485,49,11318,9305,60,227077,191900,111,0.083696
151825,136556,90,51747,47002,86,2432,2036,27,4245,3632,39,9384,8809,52,15737,13955,72,302095,285208,92,0.083696
164419,128837,96,60725,46562,95,2295,1880,25,3195,2401,37,7889,5557,54,11154,8318,61,218739,175052,100,0.083696
53602,52086,86,26069,26042,74,806,776,0,923,969,0,2239,2286,25,3344,3314,31,73004,73297,78,0.0859279
213239,181801,111,109736,93154,94,5233,4340,40,8299,7301,48,16703,14874,75,25729,21957,93,525338,454206,111,0.0859279
144210,115438,105,59283,47793,90,2133,1691,23,3928,2922,34,7725,6341,53,13580,11184,64,257223,221988,96,0.0870439
