"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
172193,152934,104,87319,78797,91,2769,2305,30,5200,4145,43,11665,10812,60,18369,17637,75,367793,336450,98,0.00211356
190710,140406,102,82601,62017,100,2087,1732,27,5082,3577,44,9132,6579,55,14383,11194,67,316916,236820,107,0.009511
119103,107144,86,34673,31005,83,1545,1366,19,3726,3045,40,6297,6096,42,11107,9603,63,216712,196927,93,0.009511
107332,104211,81,47807,47001,80,1261,1088,14,2446,2057,28,4651,4654,37,7924,8228,47,166336,159405,84,0.0105678
171108,142950,91,57015,47080,89,2144,1651,27,3130,2866,33,7570,6394,49,12963,10744,70,261191,229510,92,0.0137381
267755,202129,118,95191,71124,118,3241,2404,34,6936,5255,53,14766,12298,69,25981,20453,101,491376,398438,120,0.0169084
250975,184193,107,84411,62585,103,3552,2423,35,5955,4839,46,13872,10872,71,24665,18821,100,492902,382907,108,0.019022
178022,144245,111,94224,80665,93,4456,4139,35,8147,6224,53,16614,14251,74,25446,21193,85,524439,433705,92,0.0200788
173460,142033,95,66538,54915,94,2455,2098,25,4355,3938,37,9085,7643,55,15302,12125,75,305216,258990,100,0.0211356
177924,152241,101,78171,68123,92,2485,2342,27,5498,4757,43,10618,9256,60,17141,14719,72,346962,315127,95,0.0211356
127476,119709,86,62085,58377,83,2162,2062,24,4520,4021,42,8869,8263,49,13582,12666,64,289276,261938,87,0.0221923
347994,203455,149,176189,108453,145,4805,2810,48,9748,6089,61,20472,11933,81,34175,20416,129,738601,454117,153,0.0232491
170427,145858,95,63013,54513,92,2291,2003,27,3812,2911,35,8782,7691,53,14264,12306,70,271240,255937,97,0.0232491
167273,146955,92,51088,45028,89,2669,2309,28,4659,4215,36,10484,9919,56,17596,16584,75,335296,306245,93,0.0243059
125571,117720,86,40742,37698,84,1798,1428,20,3417,3349,34,7510,6975,44,12625,11784,70,249287,233955,92,0.028533
209784,163304,101,104789,84460,100,3381,2279,35,5385,4510,44,11894,9527,64,18593,15838,83,402868,332108,108,0.0295898
149380,139328,92,76245,73165,86,2616,2551,26,4479,3967,39,10313,9273,51,16868,16145,72,341819,310850,91,0.0306466
175366,155375,93,92273,84182,92,3721,3397,31,6584,5485,47,14160,12205,67,23498,19336,87,463663,394881,96,0.0317033
67952,66144,78,22099,21644,61,795,864,0,1779,1480,15,3081,2883,31,6013,6243,39,107449,104257,85,0.0348737
120827,111812,92,43842,41662,83,1816,1603,22,3783,3551,35,8478,7921,53,14888,13751,67,265200,239947,91,0.0359304
91637,89215,80,39256,38528,78,1267,1248,14,2285,2127,25,4774,4750,37,8135,7685,51,163343,155652,87,0.0359304
125993,114661,87,48631,42933,86,1564,1671,19,3980,3571,35,7521,6739,49,11721,10692,57,240162,227012,91,0.0359304
174190,144495,97,69190,57488,94,2297,1791,27,5601,4068,45,9879,8246,53,16908,14289,76,333826,285823,102,0.038044
95264,92154,91,24586,24138,67,1641,1578,20,2042,2342,23,4678,4358,40,7367,7310,40,164482,156895,85,0.038044
149561,131556,89,53561,46629,88,1912,1723,21,3777,3420,35,8294,7190,51,12888,11641,65,276347,249174,97,0.038044
155670,124504,93,59391,47390,91,2403,2007,28,3227,2541,37,8851,7305,58,13450,11160,63,275712,222771,103,0.0422711
151846,131481,92,53799,46943,89,2148,1835,24,3734,3189,35,7785,6904,47,14264,12216,70,283068,243347,99,0.0422711
125555,119087,91,73279,71567,84,2165,2232,23,4343,4167,35,8486,8402,45,14211,12946,70,285485,260314,89,0.0433279
105867,99486,88,24863,22796,80,1529,1405,16,2578,2728,29,6302,5898,44,11035,10092,61,210306,192783,98,0.0433279
190224,145956,99,77605,60264,97,2700,2088,29,4853,3958,40,10872,8343,58,17087,13392,77,349606,281090,102,0.0464982
215463,184174,97,112334,96956,96,3629,2873,33,7058,6209,45,16450,14123,74,26362,22190,92,539033,473073,102,0.0464982
114109,109425,85,66399,63174,82,1428,1596,17,2832,2951,31,7138,6582,47,11233,10653,53,225974,212386,85,0.0486118
242824,186254,123,110765,86870,106,3617,2714,35,5498,4858,42,12569,9968,62,20231,16935,75,395305,344781,105,0.0496686
