"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
63914,62656,76,26491,25203,75,972,1084,7,1588,1887,21,3935,3825,34,6230,6380,41,121895,119036,70,0.00106454
137902,113063,97,49547,41176,89,1737,1644,20,3290,2764,33,7207,6482,49,12037,10484,63,245544,212173,90,0.00106454
190887,161618,110,84934,73617,92,4210,3822,33,7618,6972,48,17228,15653,71,28783,25715,91,561349,501535,91,0.00212908
151077,133093,99,74076,66359,88,2875,2629,29,5095,4149,45,9516,8736,52,16183,14082,75,294118,250899,87,0.00212908
132981,111477,90,60163,50188,89,1941,1660,23,3738,3304,35,7746,6507,54,12353,9501,68,229145,189266,81,0.00319361
177772,136930,96,72029,57124,96,3535,2447,37,5534,4484,42,11145,8943,59,17873,14784,79,367797,296538,97,0.00319361
156910,127789,92,66754,54524,92,2828,2033,33,4123,2994,39,9290,7400,57,14595,12577,70,296028,248140,96,0.00425815
142892,123264,90,53583,46348,88,1712,1810,22,3982,3571,35,7951,7560,48,12584,11129,57,247317,227908,93,0.00638723
120532,111717,86,56616,53653,84,2033,1817,24,3741,3641,35,8739,7957,53,14198,12566,70,270030,249973,93,0.0085163
139973,125351,89,43465,38258,85,2264,1910,27,4944,4346,40,8680,7869,51,13004,12225,63,250743,239009,90,0.0085163
115596,107053,85,39543,37163,80,2054,1999,23,3892,3561,35,8021,7260,53,12317,11089,63,243307,213885,85,0.00958084
71448,71993,76,30514,29939,75,1100,1010,3,2279,2444,24,4279,4032,37,6868,6829,43,135742,131134,79,0.00958084
110867,106927,86,58935,56550,83,1433,1614,17,3567,3392,34,7512,6667,48,11583,11337,61,206471,193549,88,0.00958084
57942,56296,77,14347,14013,47,997,1013,3,1534,1553,20,3425,3171,33,4952,4729,36,114612,114493,79,0.0106454
162663,136664,103,59789,53112,89,2532,1892,26,4136,3875,34,9074,8002,52,14589,12493,66,301117,274969,99,0.0117099
86461,83472,81,28610,28071,78,1109,1067,8,2454,2349,25,5330,5049,41,7930,8004,53,163376,156004,86,0.0117099
156856,137205,99,79547,68624,89,2512,2139,28,4549,4118,38,10040,9032,56,16675,14915,72,330649,303924,93,0.0149035
169558,132266,101,61492,47724,92,2889,2253,31,3962,3016,51,9224,6949,58,14069,10221,67,277802,221051,102,0.0149035
248485,197039,118,83852,66095,100,4251,3243,40,7150,5000,51,14312,11489,69,24811,18979,92,479221,344944,101,0.0170326
88693,85471,81,40683,38410,79,1267,1189,9,2635,2386,31,5165,5153,40,8179,7557,57,157581,143732,83,0.0170326
137909,126626,91,56883,52603,85,2069,2107,22,3276,3071,32,8639,8258,49,13269,11880,68,265526,254907,90,0.0170326
108037,101801,83,44008,40807,82,1360,1263,14,3570,2920,34,7060,6391,49,10570,10135,59,202673,190842,83,0.0180971
92630,90583,78,20931,20472,57,1861,1866,21,3252,2985,32,6937,6916,43,10621,10277,54,223060,211172,88,0.0180971
93636,88248,83,45381,42678,81,1578,1281,17,2598,2611,28,5507,5102,39,8762,8198,48,170246,162993,82,0.0180971
82756,76954,82,31817,30686,78,1427,1496,17,2005,2313,24,4865,4966,38,8047,7862,54,174948,170484,82,0.0202262
239801,172868,120,86762,61474,108,3534,2359,35,5263,4474,42,12970,9476,66,19193,13719,77,405388,309759,117,0.0212908
249920,173040,138,115208,81518,138,4656,3187,42,7142,5194,46,16914,12587,83,26856,19454,111,566772,438057,138,0.0223553
167955,144399,92,72489,61983,89,2720,2141,30,4692,4234,41,10894,9889,55,16808,15040,74,335006,314891,91,0.0223553
59989,62335,55,24794,25004,58,737,899,0,1895,1839,22,3207,3276,30,4828,4985,36,112283,112432,79,0.0223553
