"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
197345,152179,100,95208,74518,97,3578,2571,35,5473,4481,46,11823,8974,66,18307,13398,87,382854,288067,101,0.00319187
48205,47615,75,15140,14984,47,782,655,0,990,1460,15,2806,2768,30,4053,3808,36,84617,81868,78,0.00425582
98193,93836,80,25047,23939,71,1388,1378,15,2150,2278,21,4651,4795,36,7784,7309,46,160156,148054,83,0.00531978
157088,135817,92,81574,72455,90,3379,2913,32,5679,5175,40,12685,11188,65,21121,19523,84,412337,386275,96,0.00531978
188276,164291,96,96909,85225,93,3772,3360,33,5922,4555,47,13139,11344,59,19519,17303,80,370893,307764,98,0.00744769
264851,179737,119,99611,68163,116,4997,3168,44,7673,5321,55,16162,11069,72,23667,15331,110,444907,284867,121,0.0106396
92572,88495,81,26343,25636,77,1309,1513,14,1891,1804,23,4197,4190,35,6220,6045,40,139839,137652,82,0.0117035
74672,72433,83,32562,31415,76,1264,1321,13,1196,1438,17,3838,3658,35,5945,5720,46,116472,112280,77,0.0159593
200051,150527,98,68931,50505,95,4247,3013,38,6019,4798,44,12219,9594,63,16838,13603,72,337699,256969,98,0.0159593
161174,136517,93,55885,48181,91,2726,2244,29,4460,4066,36,9639,8872,49,14255,13089,62,303386,283564,89,0.0170233
134974,117965,88,56899,49013,88,2380,1913,27,3536,3017,38,7940,6693,48,11650,10185,66,250939,226520,89,0.0191512
90813,87589,82,48421,48031,78,1532,1439,17,2653,2615,27,4982,4676,37,8082,7970,46,171173,162185,80,0.0202152
143927,128312,89,65545,59466,87,2123,1869,26,3304,3241,32,7095,6827,49,11457,10927,58,213109,194314,82,0.0212791
180688,153277,94,78413,66289,92,3068,2421,30,5279,4497,49,10877,8891,58,15253,13026,67,304769,268691,91,0.0212791
52280,52175,73,17223,16848,53,493,476,0,1069,1146,8,2423,2473,27,3518,3374,34,76174,72445,71,0.023407
94736,82501,87,41976,36339,84,1520,1112,13,2638,1915,33,4530,3920,41,7515,6517,50,142478,125415,80,0.023407
103187,95472,84,54651,51568,81,1337,1320,13,3191,3245,32,6061,5782,43,9372,9160,50,200425,191268,82,0.024471
153307,134123,100,66163,59009,88,3202,2790,32,4003,3734,38,10098,8614,63,15701,14226,66,323670,268594,87,0.0276628
180366,140668,99,72693,57484,96,2731,1976,30,5107,3720,40,9943,8293,56,14829,12431,63,290696,242569,96,0.0297908
151197,115102,95,60906,45396,93,1821,1488,23,3560,2471,39,8345,6749,52,13917,10822,80,285824,224153,100,0.0308547
138475,121483,89,42523,37346,84,2584,2019,29,4311,4178,34,10896,9766,59,16915,15316,69,323482,301462,87,0.0308547
63919,62940,75,28050,26583,72,1224,960,0,1485,1767,20,3554,3434,33,5643,5657,44,110221,107265,77,0.0319187
89138,88357,79,32177,31449,77,1844,1951,21,3699,3653,32,7671,7508,47,13599,12737,61,262633,242826,87,0.0319187
235794,165950,103,114953,86200,102,3483,2468,37,6353,4072,57,12149,8783,66,17644,12953,78,337351,241442,105,0.0319187
106840,101871,82,44881,42874,80,2397,2136,25,3810,3963,34,8573,8435,48,13603,13422,66,263062,251191,82,0.0319187
250517,200659,109,100851,76929,106,4428,3600,37,8375,7636,56,17402,14141,74,27527,21828,101,531266,442063,111,0.0319187
156305,139748,91,70374,63373,87,3074,2649,32,5283,4817,43,11120,9501,61,16436,14832,70,328948,276324,91,0.0329826
143997,122426,107,62654,53234,89,2489,1997,27,3708,3094,37,8760,7277,53,13650,11982,62,267457,217224,107,0.0329826
196101,165461,105,92585,79276,93,4233,3538,37,6827,6092,45,13171,11638,61,18463,16203,67,372198,341282,97,0.0329826
114462,106125,86,50604,46828,81,2078,1810,23,2605,3044,28,6030,5568,43,9635,8794,51,172027,149964,82,0.0340466
182792,158770,100,78567,67457,92,3438,2894,32,5534,5186,38,11609,10278,58,17566,15554,67,334711,315902,95,0.0383024
99711,91441,94,35639,33796,80,2134,1894,22,2244,2328,23,5429,5074,39,9539,9018,51,186955,180912,86,0.0404303
85282,82316,83,36825,35260,78,920,1057,5,2446,2178,28,4617,4454,37,8177,7689,51,148078,141620,80,0.0404303
160151,135315,96,56791,48302,91,2590,2218,26,4312,3732,40,10384,9311,56,15067,12892,75,303009,279665,94,0.0404303
162187,130273,98,64471,50768,96,3156,2496,32,4917,3561,46,9447,7937,53,13566,11534,64,253287,215598,99,0.0414943
148384,120521,97,53268,43957,91,1838,1542,21,3562,3075,32,7875,6932,47,12655,11036,55,252771,223795,93,0.0425582
91109,87476,85,46749,45343,80,2281,2102,25,2919,2570,30,5970,5778,40,10146,10234,53,181392,174214,83,0.0425582
84362,80219,83,33593,31632,78,1345,1366,15,2419,2486,28,5784,5501,43,9079,9097,47,179575,179763,82,0.0436222
166569,140655,93,98486,83156,93,2617,2233,30,5786,4704,50,10712,8812,59,15259,12553,74,322767,260973,92,0.046814
88963,84105,81,26112,25481,70,2035,1956,21,3262,3333,31,7465,7113,51,12514,11897,65,239197,225190,85,0.047878
83576,80808,87,30420,30036,77,1278,1585,15,1849,1766,21,4783,4518,37,8491,8389,48,156292,150283,80,0.047878
116169,103459,86,53719,47236,84,2184,1697,24,3333,3252,32,7510,6482,49,11518,10597,55,222317,205109,87,0.048942
129337,115996,88,45320,40050,85,1861,1851,21,3051,2912,31,7820,7541,49,12132,10658,61,242176,227029,91,0.0500059
146394,126782,93,50680,43600,88,2951,2804,29,4232,3741,35,9507,8157,53,16451,14132,77,305285,257957,84,0.0500059
153233,130964,95,82426,70796,92,3244,2841,31,5733,4474,49,11057,8935,59,15335,12844,65,308378,262510,89,0.0510699
110294,103001,87,43148,40667,82,1986,1731,22,3061,2771,26,6530,6065,43,9774,8803,58,186270,174105,80,0.0510699
143308,120368,90,53153,44087,89,1915,1510,23,3591,3088,39,6948,5633,51,10779,9241,55,205467,172584,90,0.0521338
97399,88632,82,36870,34051,79,1544,1258,16,2580,1969,31,5228,4880,40,8662,7427,55,171161,156163,78,0.0521338
110891,106551,91,52661,50753,81,1904,1833,21,2777,2604,28,5759,5708,39,8734,8335,49,182318,169573,82,0.0521338
131341,116746,90,57744,50321,88,2362,2056,27,4564,3884,37,9394,8994,48,13315,12795,59,293178,271846,88,0.0531978
110736,101924,90,42022,38319,83,2194,2054,25,3841,3713,35,8450,8542,49,13245,12397,61,254277,241036,84,0.0553257
201639,157368,104,104766,82568,101,3584,2800,35,4893,3469,46,10462,7987,65,15651,12641,70,310703,244023,88,0.0553257
81272,78023,80,34826,33452,77,1417,1416,16,2052,2244,23,5130,4867,39,7832,8434,44,152175,146659,77,0.0585176
86295,82893,80,29157,27990,78,1944,1548,20,2761,3187,27,6624,6099,48,10486,9528,55,205395,196218,76,0.0585176
131031,114217,86,44402,38877,85,2705,2221,30,4879,3998,41,9781,8615,54,15034,13246,72,296688,240451,83,0.0585176
180064,151294,94,48225,40042,93,2935,2448,30,5453,5058,43,12453,11843,59,19645,17297,75,356763,332396,90,0.0595815
142446,126574,91,57599,50690,88,2578,2231,27,3872,3291,38,8596,7812,45,12992,11498,64,248778,229861,92,0.0617094
144854,119360,98,63380,51804,92,1978,1561,24,4174,3508,43,8652,7665,51,12050,9701,61,244217,211326,95,0.0638373
215575,162074,105,85751,64363,103,3432,2563,36,5771,4639,46,13017,9889,65,19502,14426,79,372026,301612,106,0.0638373
59963,56926,81,30993,29696,76,755,743,0,1266,1178,13,2749,2701,29,4910,4731,41,85927,83982,70,0.0649013
208421,162661,100,83051,64914,98,3109,2588,33,6027,4656,47,13209,10373,67,21336,17567,86,408098,340422,103,0.0659653
