"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
186850,152045,97,79422,66166,95,3031,2306,33,5861,4572,46,11945,10350,64,18344,16597,79,368708,331343,100,0.00098401
237514,177949,102,105536,79782,100,3991,3201,36,5868,5185,44,13750,10787,62,22902,18370,92,459729,382634,106,0.00098401
87004,82949,83,40566,38509,79,1369,1181,11,2067,1826,22,4416,4421,36,7401,7023,47,159164,151716,82,0.00492005
210798,173752,102,93913,78381,100,4260,3594,37,7607,6709,50,18121,16291,75,26936,23541,90,544699,490546,100,0.00492005
95751,90332,83,31965,30351,81,1661,1421,22,3228,2488,33,6293,5550,43,9973,9712,53,215494,204107,87,0.00590406
150229,128466,96,72434,62027,90,2046,1819,24,4375,3511,41,9097,8036,49,14219,12884,69,276184,248471,92,0.00688807
193385,158999,98,72458,59684,97,2565,2232,30,5454,4310,42,11402,9841,62,16994,14035,76,344067,295592,103,0.00885609
101509,95404,83,39931,38361,79,1484,1326,18,2688,2507,30,5647,5493,39,7982,7707,48,175827,167185,83,0.0108241
165484,125383,97,72188,55281,94,2342,1662,27,3957,2985,40,7959,6086,52,14218,10856,62,277261,218088,96,0.0147601
35085,35761,55,18129,18107,55,406,510,0,949,875,0,1307,1430,14,2928,2740,28,55181,57256,72,0.0147601
96966,92382,97,34051,33265,79,1432,1497,18,2674,2889,24,5625,5424,42,8238,7636,48,172366,160698,84,0.0147601
96500,92476,81,34235,33917,79,1147,1184,11,2577,2759,24,6122,5731,44,9072,8828,51,186447,176782,87,0.0177122
133482,116271,89,48146,41338,86,1776,1431,20,2731,2700,29,6202,5636,42,10090,8308,57,210565,183554,93,0.0177122
144642,125598,91,49741,41747,89,2129,1702,25,3570,3182,38,6948,6523,46,11271,9767,59,224227,201546,92,0.0177122
102946,96419,86,31527,29620,81,1970,2048,21,2948,3003,27,7082,6305,47,11331,10450,58,234074,213142,99,0.0186962
150459,128484,98,61712,52883,91,2254,2052,25,3452,3084,35,7474,7062,45,11733,10697,60,247701,228628,94,0.0196802
56859,55434,76,25450,24942,72,957,855,0,1931,1768,17,3130,2983,31,5319,5240,37,101457,100042,80,0.0216482
307762,233275,129,161217,124438,126,7350,5834,45,12342,9372,62,27581,21319,107,43278,33240,120,849424,640849,130,0.0226322
80819,78865,78,29643,28846,77,1255,1147,12,1646,2100,18,4872,4348,39,6887,6588,49,158953,154179,85,0.0246002
194572,167509,101,119725,104701,95,3296,2766,32,5766,5043,43,12775,11306,62,19656,16807,84,385286,321263,110,0.0246002
182415,147441,98,76425,65099,98,3660,3057,34,5442,5298,40,12417,10770,62,18358,15708,80,383200,351825,101,0.0265683
97349,93975,80,56214,54052,82,1677,1366,19,2629,2684,29,5732,5590,43,9160,8552,52,192312,179913,96,0.0265683
100658,89931,85,47932,42760,84,1649,1375,15,3388,2363,34,5504,5316,40,9215,8266,52,166893,155725,86,0.0305043
40448,40071,70,21495,20870,62,794,711,0,1485,1397,18,2267,2139,25,3389,3516,32,69409,67951,68,0.0314883
82080,78417,80,29714,29246,77,1326,1425,16,1841,1937,25,4139,4058,34,6581,5959,45,143513,141688,77,0.0324723
105012,101496,80,46903,45649,80,1862,1868,22,3347,3083,34,6928,7013,48,10197,9322,60,211142,196453,82,0.0354244
94995,86770,90,38279,36403,80,1389,1169,13,2467,2150,27,5294,4994,40,8849,8573,47,185103,179850,80,0.0383764
321802,202130,136,130267,81789,126,5700,3279,46,9697,6663,56,21253,14043,87,31559,22215,119,653970,449753,127,0.0413284
99119,91416,89,34294,32935,80,1452,1589,17,2965,2958,30,6175,5643,42,10477,9397,60,199476,189933,83,0.0423124
113307,104588,85,52289,48324,83,2142,1888,25,4305,4101,40,8918,8431,52,15255,14228,68,284309,267513,85,0.0442804
118973,113129,98,51202,48654,82,1486,1425,17,3076,2646,30,6124,5763,42,9583,9036,53,192852,185560,83,0.0442804
71343,70458,77,27495,27549,75,1246,1077,10,1485,1736,18,4219,3956,36,6167,5818,41,127403,121571,82,0.0442804
107546,99087,89,30256,28043,81,1972,1563,23,3031,2565,29,7410,6927,49,10957,10290,53,234554,228597,77,0.0462485
89609,86410,90,21084,20507,58,1658,1656,18,2616,2111,30,5425,5161,41,8570,8311,52,156216,151646,84,0.0462485
111888,100692,87,44177,39283,84,1891,1605,22,2976,2710,32,7685,6884,48,12343,11344,58,238546,210752,85,0.0472325
164538,138221,96,66547,56904,89,2840,2367,29,4232,3732,39,10454,8781,59,16032,14735,70,308783,279170,92,0.0472325
89151,83888,83,40218,38675,81,1556,1402,17,2979,2906,30,6569,6422,41,10082,9708,55,206262,189304,83,0.0482165
92654,85407,87,96930,92641,83,2690,2389,29,4868,4412,39,9795,9530,53,15213,13127,69,294998,278063,89,0.0492005
