"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
292672,212549,138,149481,111945,120,5189,3756,40,9334,6838,56,20059,15273,86,29980,22441,116,599571,481332,126,0.00500278
78702,78483,77,27937,27593,76,921,792,0,1609,1821,21,4259,3687,40,6641,6929,39,144071,138908,89,0.00700389
90043,86239,80,52898,50957,80,1420,1330,15,3401,2692,35,5635,5497,40,9885,9448,53,197980,189535,83,0.009005
82099,80427,78,25884,25751,73,1062,874,0,1949,2066,21,4132,4265,34,6746,6165,44,126835,124464,84,0.009005
109315,102106,90,37219,35001,82,2062,1872,24,3414,2500,36,7439,6632,53,12451,11761,59,242834,222965,93,0.0100056
104137,98477,82,52894,49208,82,2115,1855,22,2886,2882,32,6992,6500,45,11514,10244,57,213615,201678,89,0.0110061
139408,123809,92,59798,53521,87,2771,2271,28,3804,4057,33,9150,8072,52,15408,12927,67,319939,287389,97,0.0120067
190370,154034,99,64013,51413,94,3252,2693,32,4740,4409,37,10535,8935,59,17259,15427,72,346462,316332,95,0.0120067
100722,96790,83,38214,37163,80,1717,1782,20,2409,2471,29,6151,5940,41,10600,9793,55,206010,195588,91,0.0130072
88425,86889,78,34328,33459,78,1479,1638,16,2014,1925,25,5268,4965,38,9019,8953,52,175677,165540,88,0.0140078
121734,108953,87,56575,51521,85,2124,1661,24,3543,3145,33,6515,5692,44,9136,8238,51,180464,164862,94,0.0150083
109074,99690,96,46164,42441,82,1402,1447,14,2264,2155,23,5657,5123,41,8338,7936,48,176248,159566,89,0.0150083
182391,158693,96,73176,64858,93,3009,2389,31,4663,4130,45,10815,9610,61,15198,13711,74,312187,289892,99,0.0170094
161957,135725,91,53079,43084,91,2768,2298,27,4078,3759,38,9810,8291,56,16375,12575,76,310066,253479,104,0.0200111
104097,90216,92,46109,39445,86,1721,1299,23,2633,2589,27,5699,4708,44,8861,8012,51,180961,155186,98,0.0210117
156182,129419,94,62498,52688,92,2007,1731,24,3600,3189,38,8475,6664,53,14270,11428,64,251134,209113,105,0.0230128
90741,88171,85,41458,40212,79,1559,1403,18,1900,1850,22,4842,4527,37,8444,7942,59,156622,143789,93,0.0230128
205030,173586,97,95947,79012,98,2930,2377,30,4695,4062,41,9096,7165,53,14004,12182,66,264991,233380,102,0.0260145
99087,84114,87,56292,48197,85,1976,1404,23,2922,2292,33,5731,4955,43,10367,8911,58,206621,178649,75,0.0260145
207512,181412,104,99677,89581,94,4466,3613,39,6355,5947,42,13320,12241,68,19454,17746,82,361173,331046,93,0.027015
74603,70140,82,25464,24489,77,1029,939,0,1051,1443,20,4161,3932,34,5517,5663,41,132320,129440,78,0.027015
178522,153273,93,69592,59548,90,2775,2387,29,4389,4097,37,10244,8937,58,14605,12780,64,311033,270173,96,0.027015
230368,188880,103,66194,55284,100,4053,3405,36,6307,6205,44,12727,11122,64,18517,15525,73,374334,340164,106,0.0280156
177951,145724,102,73644,59349,93,2650,1941,27,4145,3255,37,8988,8027,53,13896,12056,68,298194,270042,93,0.0290161
102007,96239,82,36161,33199,81,1932,1668,20,2460,2571,26,6132,5910,42,9619,8875,49,196748,189749,88,0.0290161
85156,77063,84,33025,28917,81,1788,1750,19,2220,1973,23,4333,3653,38,6843,6050,48,136607,126263,89,0.0310172
154972,142663,92,61106,58214,86,2596,2612,26,4893,4135,42,8629,8082,48,13808,12582,62,262451,236416,100,0.0320178
112274,102136,86,34732,29745,86,1552,1274,13,2473,2415,27,6099,5630,42,9038,8260,51,190857,174481,93,0.0330183
115133,100667,88,53374,46348,88,1652,1453,18,2476,2148,29,5136,4839,40,8050,6659,54,159707,145870,93,0.0340189
145088,128114,94,48994,41600,89,2885,2449,28,4182,3788,32,8206,7062,53,12492,11674,60,247252,228169,94,0.0340189
104776,100291,83,40243,38386,80,1497,1295,20,3271,2989,28,5922,5654,40,9407,9278,50,182876,171109,93,0.0340189
364442,226828,137,157842,95897,137,6937,3997,50,12991,8664,65,28572,17818,106,44116,28812,136,972730,622636,151,0.03602
