"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
68136,64454,80,29598,28865,75,815,738,0,1642,1760,16,3478,3327,33,5499,5234,40,108404,105138,82,0.00494027
100866,92783,82,44276,41024,81,1555,1371,13,2430,2290,25,4990,4716,42,8290,8110,46,178583,163835,83,0.00592832
102247,93959,88,38144,35521,82,1434,1623,19,2462,2275,27,5797,5098,44,9140,9159,56,191912,173718,83,0.00691637
178981,149560,96,110836,95925,94,4679,4267,36,8028,7057,49,18226,15274,73,27639,23006,89,528786,426839,101,0.00691637
121548,104278,90,55589,48164,87,1844,1610,22,3012,2689,32,7400,6292,51,11213,9444,57,234878,198629,96,0.00790443
146324,126505,96,57023,50319,88,2229,1952,25,4277,3646,37,10066,8813,57,15871,14087,71,311803,270491,99,0.0118566
120962,116501,83,58387,55283,83,1848,1956,19,3244,2947,31,7239,6229,53,10763,9668,57,213380,198003,93,0.0128447
99892,95994,83,30923,29676,79,1243,1252,12,2795,2450,30,5165,5087,38,8626,8066,48,173260,166033,91,0.0138327
133354,117784,87,53242,45685,88,1942,1693,24,3351,2619,36,7520,6402,48,11589,9845,62,246758,214407,87,0.0158089
99034,95598,83,39691,38349,80,1373,1343,14,1878,2109,20,4537,4686,35,7905,7639,50,148111,137492,91,0.0167969
165494,133874,101,67967,53820,94,2310,1981,27,3287,3123,35,9234,8230,51,14159,11541,64,306906,259848,99,0.017785
101298,95516,97,35499,34348,79,1545,1320,17,2332,2476,28,5759,5330,43,8932,8020,53,171758,163198,86,0.018773
165701,123566,96,73078,55240,96,2431,1832,27,3958,2717,39,8154,6093,53,11635,8535,60,231020,171755,100,0.018773
107892,103330,84,38232,37345,80,1987,1931,21,3080,3191,31,6666,6456,46,9361,8941,51,201789,187817,90,0.0197611
175725,152012,97,101848,90209,92,2997,2561,31,5113,4862,37,11862,10676,58,18346,16169,73,393064,354258,94,0.0237133
