"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
94128,91555,87,34983,33711,78,1275,1141,10,2653,2801,30,4770,4743,37,7316,6999,47,165737,158368,86,0
154456,134319,99,62603,55289,89,2195,1920,24,5129,4553,38,9160,8660,50,15891,14561,71,304711,284251,98,0.00205198
273427,186571,110,104113,70771,109,4071,2729,40,8156,6308,55,15502,10589,70,23959,16424,92,489735,362840,114,0.00307798
200722,163368,97,57006,44392,96,2932,2170,33,6529,4955,54,11917,9911,57,18253,13730,83,369927,300575,107,0.00410397
165773,147241,92,58254,52043,89,2673,2352,28,5309,5016,39,10774,9813,56,15332,13926,69,311555,285715,98,0.0102599
156004,130986,92,58918,49676,91,1555,1352,16,3966,3278,38,7265,6370,47,13040,11110,61,230799,202306,102,0.0102599
120923,115240,88,54612,52939,82,1679,1705,18,3882,3440,35,8584,7479,54,12878,11912,63,269860,238470,92,0.0123119
178109,155887,91,65807,56371,91,3070,2757,31,6837,6056,48,12748,11165,66,20867,18041,79,418622,346906,96,0.0184679
122859,117657,85,40840,38730,81,1410,1207,15,2862,2137,33,6537,6089,42,10251,9847,50,201419,192204,86,0.0194938
170006,146931,94,65533,54217,91,2391,2073,27,4800,3948,42,8950,7868,56,13537,11376,63,253132,220371,95,0.0194938
103094,97936,86,17748,17211,53,1581,1474,16,3074,2619,32,5664,5720,37,9556,9544,50,163566,153022,89,0.0205198
114627,109322,85,26160,25613,80,1802,1835,20,3014,2871,33,6573,6020,48,10697,10388,51,201227,187263,88,0.0215458
101040,95910,82,35202,33928,80,1441,1342,15,2609,2263,29,5826,5239,42,8519,8153,46,176968,169577,90,0.0215458
376256,242993,142,147474,99926,133,5531,3620,44,11427,7890,58,21994,14689,84,33477,23378,113,693563,498833,142,0.0225718
108018,104350,82,41060,39699,79,1810,1615,22,3762,3740,32,6736,6613,42,11376,11681,56,226047,209376,94,0.0266758
189499,154645,99,74468,61818,96,3109,2638,31,6153,5523,41,13008,11214,62,19242,16598,82,398468,356236,105,0.0318057
119988,113476,83,34153,31513,82,2135,1992,22,4580,4532,38,7902,7280,51,12525,11736,66,252355,238203,96,0.0338577
98006,94930,88,33952,33256,79,1659,1384,17,2454,2889,28,5418,5059,41,7644,7442,50,171129,160017,88,0.0359097
86026,80592,96,45856,44726,79,782,894,0,2013,1519,16,3621,3459,33,5748,6292,37,144661,143285,85,0.0369357
293910,216374,129,101676,78007,125,4710,3612,40,9022,6888,58,17794,13935,79,26814,19706,102,550247,444520,132,0.0369357
