"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
86334,83220,81,30199,29474,77,1217,1343,14,2135,2064,26,4590,4676,36,7188,6828,43,157680,153996,85,0
126950,114267,87,50978,45114,86,1386,1243,14,2962,2537,31,7263,6482,45,10173,9017,53,225059,202415,95,0
168686,134759,95,58583,46764,93,2464,2040,28,4415,3530,39,9268,7419,55,13335,10706,58,287836,241326,98,0.00274949
101524,95418,92,44425,41534,81,1170,1284,12,3546,3134,33,7244,7021,45,10221,9585,50,232709,221496,87,0.00366599
117459,111546,83,39834,38186,79,1993,1728,22,3109,3166,29,6359,6113,42,10179,9977,54,205591,191232,83,0.00366599
132368,115256,96,42948,37460,86,1838,1657,20,3792,2722,37,7649,6820,49,13283,11707,62,242475,218121,97,0.00458248
101097,97139,84,35949,34648,79,1436,1596,17,2457,2570,30,6124,5665,43,8404,8151,49,188694,181540,86,0.00549898
126980,111566,89,54498,47878,87,1686,1409,20,2990,2561,32,7405,6780,47,11439,10244,57,240365,209784,94,0.00733198
101351,95874,83,43853,41716,80,1346,1192,11,2007,2011,24,5385,5103,40,9377,9069,53,181889,171373,87,0.00916497
78196,75179,78,26978,25992,76,1192,1413,14,2089,2186,24,4551,4447,37,7252,7088,45,152798,147466,82,0.0119145
65029,62828,80,12640,12616,46,792,684,0,1546,1357,15,2879,2977,30,4123,3909,33,88153,85513,86,0.0119145
118463,110216,86,56788,53017,85,1989,1948,22,3345,3512,31,8684,7737,53,13136,12102,63,274405,260025,96,0.012831
126630,115362,86,55820,51026,84,1992,1664,22,3057,3307,29,7460,6867,45,10702,9337,57,237513,220905,96,0.012831
158131,138525,100,53815,46646,88,1993,1859,21,4059,3956,33,9083,8211,50,12957,11846,67,271233,249462,98,0.0137475
131238,124325,86,67473,64898,83,2318,2196,24,3698,3274,36,8402,7624,48,13229,12548,67,277323,260071,95,0.0137475
209192,169193,105,87773,73450,101,3447,2808,31,7753,6277,50,16155,13838,65,23935,19473,99,506494,451849,111,0.0137475
143119,121908,89,55597,47728,87,1896,1879,20,3424,3145,37,8099,7687,48,13543,11468,63,258799,227461,98,0.014664
120291,104306,91,43798,37809,87,1447,1467,15,3806,3124,37,7108,6004,47,11169,9904,62,231122,201207,99,0.014664
226424,177678,102,86818,69530,99,2860,2619,28,5504,4455,43,13773,10703,68,20039,15670,79,435506,350978,112,0.0229124
123992,104542,90,52266,44461,87,1952,1706,20,3269,2663,35,7885,6505,51,12946,10927,74,260617,219727,99,0.0229124
105281,101908,84,27625,27309,74,1663,1542,19,2653,2471,28,6950,7003,42,10347,9498,60,228423,221513,91,0.0229124
180953,139889,96,72332,57254,94,2709,1962,29,4639,3545,47,10302,8003,62,16116,12819,76,321226,258608,105,0.0238289
131668,114112,98,43684,37718,87,1836,1695,20,3583,2731,39,7153,6420,48,9986,8875,58,227324,203324,100,0.0238289
155900,129752,103,51333,43157,92,1955,1587,23,4320,3530,39,9227,7707,54,13615,11717,65,294671,254589,101,0.0247454
174223,139758,96,66359,54135,93,2140,1805,26,4023,3048,39,8583,7085,54,12695,10233,65,274335,231788,106,0.0256619
123867,109217,91,44488,39465,86,2012,1948,23,3567,3123,33,7734,6627,53,11527,10217,63,252221,220403,88,0.0256619
103384,98646,81,35413,33967,79,2051,1838,23,2810,2432,30,6414,6007,41,9456,8790,51,199171,188166,90,0.0265784
172595,136911,97,74706,59712,94,2262,1848,25,4164,3195,39,10757,8863,57,16143,13203,68,354706,291436,106,0.0274949
183413,142206,99,70045,54196,95,2402,1943,29,4453,3451,40,10729,8592,61,17967,13961,72,339833,268801,104,0.0302444
94174,90371,81,38337,36921,79,1521,1423,18,2401,2601,24,5234,4808,41,7573,7574,46,161911,156052,88,0.0311609
193507,156392,98,140922,117856,96,2557,2284,27,4740,4086,42,10716,8511,57,16581,13735,78,340303,265101,92,0.0320774
115682,110321,85,33872,32228,81,1794,1767,20,3024,2962,29,8046,8011,46,12238,11966,57,255132,241306,88,0.0348269
228752,168311,105,90011,66509,104,3052,2302,33,6099,4902,42,13628,10286,62,20261,14641,94,407904,313272,109,0.0348269
82488,80741,81,32341,31503,78,1203,1318,12,2228,2076,28,4610,4325,37,6812,6775,46,143194,136657,86,0.0366599
167042,136349,95,75803,65265,92,2518,2015,30,4881,4176,41,10587,9111,63,15853,13329,65,341607,289410,103,0.0384929
146692,125218,90,56226,46589,90,1827,1480,21,3328,2832,31,7801,6830,53,11778,10712,59,260536,229596,98,0.0394094
102066,97163,85,39770,38245,81,1117,1241,11,2809,2649,27,5879,5377,45,8910,8709,47,173845,160266,90,0.0403259
96930,91562,82,24491,23062,78,1491,1292,16,3094,3149,30,7527,7631,44,12587,11435,66,230004,217165,92,0.0412424
144494,124270,98,51538,44668,89,2345,2064,26,3858,3436,34,8402,7591,48,12315,10968,64,270112,228239,104,0.0430754
117080,107962,84,54901,50228,84,1467,1612,19,3427,3094,32,7110,6560,44,11163,10536,55,236531,220674,95,0.0430754
155868,135268,91,72032,62499,89,2457,2110,26,3352,2864,34,6730,6047,47,9883,8761,56,287808,253670,91,0.0449084
32160,31448,69,11155,11400,44,444,369,0,695,709,0,1696,1664,21,3123,3204,31,59651,58358,82,0.0458248
97837,95986,84,46678,45795,78,1647,1593,22,2557,2509,28,6167,5990,42,9751,9469,52,204464,196715,92,0.0458248
95155,91932,82,28557,27801,78,1675,1485,20,2886,2604,31,5541,5096,41,8348,8471,46,182235,171902,91,0.0467413
93912,91453,82,49905,49089,80,1048,1259,11,2072,2340,27,4720,4655,38,7365,7567,45,155875,148960,92,0.0476578
55051,53075,76,21905,21405,72,733,586,0,1122,1581,13,2866,2739,29,4015,3978,36,88562,84697,91,0.0476578
71302,69316,80,23652,23301,68,928,863,0,1232,1689,15,3549,3397,34,5753,5658,37,118260,110343,88,0.0494908
104620,96893,87,44416,41039,82,1873,1838,22,2766,2934,29,6707,7034,41,9560,8906,55,213872,200704,93,0.0504073
80082,79386,80,28569,27699,76,972,989,0,1494,1704,23,4048,3993,35,6552,6242,46,122939,119701,90,0.0513238
185816,161540,95,100905,88952,93,4300,3791,36,8642,7340,52,19471,16914,76,28091,24143,93,582654,477672,106,0.0522403
244996,188491,109,108966,84076,122,3567,2720,35,7602,5431,52,15507,11704,72,23771,18682,97,526832,426262,122,0.0522403
130813,115796,90,44576,39498,85,1773,1463,20,3509,3414,34,8113,7408,46,11883,11053,61,257106,234892,96,0.0531568
90493,86441,84,30083,29008,79,1033,1192,11,2087,2037,26,4458,4689,35,7740,7548,46,152726,145491,90,0.0540733
82780,82076,78,30816,30692,77,1088,995,0,2131,2181,23,4706,4587,38,7821,7674,45,154469,148705,93,0.0540733
178289,139488,117,60185,47031,100,2243,1862,24,4319,3244,40,9754,7821,56,15485,11745,75,313023,249562,114,0.0540733
72628,72278,78,26271,25808,75,1033,964,0,1957,1712,23,3950,3927,33,5904,5758,45,131942,129090,88,0.0549898
103205,100206,85,35803,34885,79,1355,1245,16,3505,2928,39,6719,6435,41,9496,9432,48,202916,196712,92,0.0568228
94306,93273,79,51638,50864,79,1509,1207,17,2121,2352,24,5521,5392,41,8736,8137,52,172426,165072,91,0.0577393
127565,110709,96,48306,40669,90,2110,1727,24,3178,3054,32,7677,6620,47,10963,9161,57,251509,214252,103,0.0577393
96315,95202,80,39536,38598,79,1372,1553,16,2561,2688,29,5120,5196,38,8330,8601,48,176727,171195,92,0.0577393
29927,28998,74,12866,12926,45,269,212,0,766,595,0,1476,1597,16,2315,2110,26,46439,45600,80,0.0586558
171617,147064,105,76025,66307,92,3310,2669,33,6393,6325,43,13297,12298,61,20193,17909,76,410634,385437,102,0.0595723
138896,127307,86,47394,44143,83,2033,1850,22,3961,3740,39,9001,8336,49,13186,12281,60,289366,278055,89,0.0623218
79404,78434,78,39889,38908,78,777,702,0,1489,1402,16,4361,4365,37,5913,5848,41,129172,128434,86,0.0623218
182047,146388,108,63671,51253,95,2932,2417,30,5169,4159,41,11595,9976,56,18810,16405,76,371182,316202,103,0.0650713
112131,98684,87,50466,43994,87,1350,1389,14,2997,2566,34,6824,6483,44,10723,9360,56,218846,198494,95,0.0659878
107461,102138,85,31687,29670,81,1396,1473,18,2954,2782,34,5789,5648,39,9308,9403,50,193480,175424,87,0.0669043
92475,91098,80,34714,33422,79,1436,1237,15,2392,2450,27,5619,5211,40,8627,8439,47,176365,166773,90,0.0687373
212029,162432,103,107363,85923,98,2953,2300,33,6734,4637,48,12771,9856,65,20061,15597,90,404072,314041,110,0.0687373
164694,139153,108,59157,51035,91,1567,1228,20,4022,3118,38,8006,6725,53,12357,11168,64,264751,239718,101,0.0696538
100603,95122,87,47446,45249,80,1693,1659,16,2250,2199,29,5954,5796,41,9329,9087,50,200671,187327,92,0.0705703
68421,67422,75,28168,26914,76,1389,1563,16,2469,2170,27,4576,4583,37,7939,7472,46,167494,158330,85,0.0705703
136107,113094,98,64922,56100,88,1838,1402,21,3567,3116,35,8471,7371,50,12978,11155,62,279643,243607,102,0.0724033
109673,105149,85,34329,32712,81,1984,1992,23,3440,2661,35,8014,7620,49,12638,11754,65,240468,227386,97,0.0733198
122137,110681,88,39043,34398,85,1726,1613,21,3330,2931,34,8008,7739,47,10965,9578,62,250793,234742,96,0.0733198
78325,74033,80,29730,28516,77,1066,894,0,1694,1527,20,3766,3954,31,5802,5199,44,125160,120577,87,0.0751528
221741,171127,102,86313,65588,101,3250,2167,36,6314,5093,46,14662,11392,68,23310,18631,91,488424,391565,113,0.0769857
135409,119345,92,56491,50206,86,2464,2124,26,3630,3667,37,9597,8779,54,15701,14392,67,283103,261654,98,0.0769857
171684,131942,99,70203,53791,94,2359,1917,26,4721,3892,39,9208,7457,56,14659,10989,73,306446,244733,106,0.0769857
178097,155779,103,76903,68491,92,2964,2622,29,5914,4864,44,11244,10201,53,18673,17105,69,387902,355845,102,0.0788187
175727,136995,99,85910,66191,96,2161,1674,26,4810,3601,43,9862,7337,58,15255,11459,68,339383,264948,109,0.0834012
212761,167124,102,71487,55159,99,2613,2175,30,5738,4689,43,12967,10525,59,18640,15420,76,396123,335415,111,0.0843177
166704,146207,92,74493,64896,90,2544,2101,27,4529,4347,39,10152,8562,58,15747,14494,74,333810,300946,103,0.0843177
178163,142498,96,64228,52421,96,2774,2057,29,4869,3862,47,9453,7325,56,14979,12350,69,308894,247171,106,0.0852342
113282,103739,93,37292,34292,82,1977,1902,22,3656,3273,34,7797,6847,49,13237,11943,64,249538,232872,96,0.0861507
112769,104721,86,50168,46230,83,1581,1715,20,3240,2897,32,7054,6556,47,10103,8696,59,232986,207051,89,0.0889002
111932,111531,82,63463,62148,81,1941,2028,21,3336,3128,28,7087,6603,45,11600,11501,62,243795,232831,87,0.0898167
121452,113372,86,44050,41305,83,1932,1738,21,3894,3738,33,7774,7413,45,11672,11473,56,252174,238426,93,0.0907332
173692,155947,93,87367,79582,90,2541,2413,25,5092,4880,39,11113,10554,54,16395,15866,67,328910,304158,95,0.0925662
193266,153223,105,82984,67461,97,2614,2170,25,5005,4470,43,11430,8974,60,18179,14588,78,358670,295206,105,0.0934827
117454,103477,89,39650,33558,86,1979,1782,22,3382,2635,33,6125,5473,44,10056,8475,56,198041,175214,94,0.0934827
114181,101082,88,47780,42898,84,1647,1500,19,3235,2782,34,7760,7060,49,10816,9815,57,239543,215100,92,0.0943992
72152,71096,79,31646,31101,75,853,955,0,2048,1581,23,4272,4291,34,6273,6072,41,123071,115591,85,0.0962322
180531,160774,98,79277,71881,89,3245,2889,30,5560,4451,44,12939,11559,63,19455,17146,74,385040,327166,98,0.0971487
101609,96739,85,44860,43296,80,1898,1793,20,2685,2698,25,5624,5617,39,9644,8749,56,198471,189149,91,0.0971487
89778,82203,96,34330,31574,81,1084,1116,10,2894,2649,28,5579,5302,40,8515,7401,53,180463,163877,91,0.0971487
165114,128332,99,66349,53170,93,2103,1425,23,5166,3513,47,10192,7860,55,14706,11476,76,323416,250915,102,0.0971487
166925,150233,90,54134,48545,88,2690,2456,30,5446,5480,39,12603,11705,59,20271,18842,77,442715,407284,97,0.0980652
121774,109787,88,50241,43126,86,2007,1474,24,3216,3028,32,7817,6903,49,11789,10187,75,253868,228464,98,0.0980652
243386,196614,120,157305,132803,103,6853,6128,41,13790,11998,72,31670,28712,98,48055,42564,101,978650,848377,112,0.0980652
76361,73585,80,25477,25130,65,1123,1105,8,1930,1433,22,3974,3638,35,6238,6119,43,137824,132444,85,0.0989817
101022,94817,87,34344,33372,79,1473,1432,15,2443,2670,26,5141,4721,40,7843,7476,49,169885,165757,91,0.0989817
122929,110287,86,43028,38297,84,2007,1733,21,3329,3091,30,7320,6366,47,11899,10441,57,230841,210627,97,0.0998982
177401,151957,93,71697,61350,92,2517,2122,28,4446,4335,37,10566,9432,54,15972,13748,73,317818,285605,100,0.100815
222691,184174,107,72857,63113,96,3811,3410,33,6321,5810,42,14240,12651,72,21379,18596,78,468298,426760,111,0.101731
158924,146299,91,75038,68516,89,2223,2027,23,3436,3853,32,9818,9277,53,14720,13656,64,316630,301265,99,0.102648
201414,158020,116,63662,48953,101,2670,2254,29,5264,4416,44,11887,9801,68,18824,15041,84,372648,307173,116,0.102648
126563,118162,85,72203,68152,84,2982,2746,29,5283,4737,39,10777,10708,54,17007,15777,68,338798,307147,91,0.102648
139097,126064,90,50367,45348,86,1963,1757,23,3886,3124,35,7612,7028,50,12880,12070,58,262752,238539,98,0.103564
106344,104188,82,37533,36726,79,1726,1454,20,2863,2671,28,5413,5337,38,8887,8925,48,170840,161413,92,0.103564
179330,149291,92,81075,68636,92,2465,1948,27,5179,4908,37,11745,10017,57,17968,14980,76,388250,342993,103,0.103564
85543,83783,80,27932,27487,68,1584,1791,19,2303,2572,26,6136,6039,44,10829,10375,61,213535,203609,88,0.103564
108964,101851,95,43834,41416,81,1971,2041,21,3393,3033,33,7532,7352,45,12008,12171,59,250618,239662,91,0.104481
133650,107623,92,48402,39593,90,2226,2144,25,8012,6435,57,8709,6986,53,8235,6908,51,225871,184332,102,0.104481
86611,82066,90,28187,27279,77,1150,1065,8,1530,1989,19,4938,4980,39,6438,6552,45,146550,139521,89,0.106314
237587,160061,114,113701,84837,110,4218,3160,38,8950,6973,57,20023,14616,85,30864,21942,107,641712,478322,120,0.106314
146134,121798,96,52982,43203,92,2270,1796,25,3978,3222,37,8141,7035,51,12682,10308,61,251675,203719,102,0.10723
142782,130667,91,59981,55847,86,2392,2539,25,3818,3995,35,8306,7866,48,12924,12443,63,277159,262605,98,0.109063
181396,146234,95,88962,73031,94,2924,2172,32,4295,3716,37,9957,8099,56,14485,12675,69,304987,251626,105,0.10998
155771,132055,101,63539,54176,91,2430,1825,26,3605,3419,37,8889,7486,52,13318,11781,64,285654,254697,103,0.10998
126758,120278,84,47272,45705,82,1821,1882,20,3296,3063,35,7739,7023,46,11134,10765,57,225989,208621,93,0.110896
195594,146937,118,74903,56493,118,2774,2028,29,4498,3925,37,11173,8413,57,16616,11598,80,345244,261719,118,0.110896
159555,134683,101,70592,61044,90,2096,1874,24,4749,3862,41,9503,8069,57,13921,12188,71,299872,238389,92,0.111813
43031,41727,77,19696,19134,61,520,548,0,1225,1250,11,2273,2097,25,3882,3295,36,71566,71023,77,0.112729
219165,165987,101,80902,60187,100,2975,2008,35,5396,3859,45,11447,8672,60,18582,14517,86,365371,278748,111,0.114562
177845,140281,97,70489,57420,95,2395,1907,27,4773,4211,41,11199,9594,59,17271,14337,75,383696,319413,103,0.117312
133714,116855,87,63627,56254,86,2261,1856,27,3917,3564,35,9050,8074,52,14116,12944,58,295319,273264,92,0.117312
152766,136264,106,67198,60956,88,2353,2056,24,4868,4235,39,10019,9380,52,15676,14538,69,322953,300747,95,0.118228
89282,85299,95,31481,30543,77,1503,1390,15,1681,1650,21,4093,3872,37,6853,6714,45,151931,146949,83,0.120061
123537,116399,87,55754,52477,83,2597,2493,27,5249,4543,45,9888,9374,59,15563,14603,70,331287,298879,90,0.120061
86599,78538,85,36992,32654,82,1254,1178,10,2864,2675,27,5882,5205,44,8651,8196,51,184721,165655,91,0.120978
132163,113629,90,55253,47649,88,1877,1851,21,3875,3439,31,8368,7283,49,11971,10352,59,253837,226868,95,0.122811
174593,134129,100,66525,50067,96,2097,1465,27,4037,3281,40,8518,7048,57,12362,9448,71,271007,209514,103,0.123727
80211,75772,89,26089,25690,72,1298,1427,13,2372,2633,23,4748,4337,39,6683,6336,42,133374,129658,83,0.123727
104324,99040,89,36904,35319,80,1453,1559,15,3350,2802,32,5822,5880,38,9283,8544,50,199101,191683,89,0.124644
128722,117707,91,52176,47596,86,1536,1487,19,3568,3545,34,8321,7791,49,14183,12766,74,269007,238148,93,0.124644
159859,127155,97,59148,46586,92,1622,1439,21,3641,3210,35,8428,6987,55,12088,9242,61,266067,216427,100,0.12556
94730,86454,86,36682,33467,81,1557,1518,18,2460,2099,30,5730,5360,41,8733,8522,51,200426,192632,91,0.126477
127383,116853,87,55148,51080,84,2056,1959,21,3618,3210,34,8075,7430,48,14570,13629,64,261895,243969,93,0.127393
115961,107438,86,46936,43500,83,1704,1466,21,3793,3671,33,8112,7607,47,13041,11820,63,264452,251639,94,0.127393
