"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
132213,123973,87,59839,55860,84,2524,2147,29,4696,4229,44,8544,8023,49,13217,12619,64,269607,258523,92,0.000972161
25179,25365,61,15614,15526,49,460,338,0,821,898,0,1569,1498,20,2445,2450,24,50973,49667,72,0.00194432
124353,115273,84,62817,58513,84,1804,1970,19,2941,3037,29,6766,6141,45,10273,9660,53,226051,197028,95,0.00291648
118097,112211,85,44228,42394,81,2075,1979,24,3153,2935,31,7343,6858,45,11416,10854,61,231194,216198,94,0.00291648
81715,80094,87,39616,38762,78,1264,1220,11,1466,1872,14,4597,4512,36,7149,7216,43,161215,160541,91,0.0048608
155273,125627,95,65022,52399,92,2053,1533,24,4117,3378,36,8230,6893,50,13278,10261,71,263432,219012,107,0.00583297
76088,72701,78,35651,34444,76,1130,1289,13,1566,1808,21,3688,3753,33,6512,6048,44,127013,125881,80,0.00583297
138480,124850,91,63667,57047,87,2092,1824,25,4086,3719,36,7213,6251,47,10752,9438,57,231892,213817,98,0.00680513
157123,143655,103,63275,58176,87,2517,2543,26,3967,3938,31,9453,8444,55,14116,11853,78,295710,256851,97,0.00680513
279638,203349,116,109291,80303,110,4595,3190,41,7627,5695,60,16708,12983,69,27528,22023,109,545637,432262,123,0.0106938
150592,138486,97,66912,62794,86,3116,2728,30,5343,5124,37,11937,11171,58,16932,15664,75,369544,342748,99,0.0116659
145594,131658,88,60854,55636,85,2492,2018,30,4500,4366,36,9635,9175,53,15987,15172,68,303570,287029,94,0.0116659
108076,100075,93,54459,51067,82,2090,2377,22,3041,2521,31,6509,6263,43,11589,10790,60,222493,192375,86,0.0136103
178367,139329,101,67574,52419,95,2588,2032,28,3956,3249,35,8999,7281,51,15608,12443,71,283900,228744,104,0.0136103
205124,167906,97,68168,56931,93,3481,2867,35,5760,5294,43,12851,10208,63,20945,16935,80,420842,333416,99,0.0174989
58214,57232,78,21959,21387,63,876,700,0,1002,912,0,2855,2835,29,4518,4713,35,110731,110643,81,0.0194432
178874,144381,103,72267,57079,93,2827,2177,28,4250,3686,35,9756,8101,55,15811,12777,70,314414,258167,104,0.0194432
95657,91267,82,40967,39369,79,1542,1523,18,2626,2487,28,6098,6076,41,9307,9415,49,193112,184796,82,0.0223597
