"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
245677,191450,108,72325,55430,103,3471,2897,31,7003,5584,45,14840,11866,73,24251,19756,86,487981,407174,117,0.0142151
78562,75862,78,21965,21262,64,650,749,0,1560,1420,23,4581,4172,36,7664,6896,57,155590,146441,89,0.0162459
100122,95401,81,22303,21457,60,1494,1553,18,2348,2114,25,6395,6226,41,11129,10284,72,212977,202055,90,0.0182766
79253,75949,81,26872,25938,73,846,814,0,2061,2083,20,4633,4255,40,6319,5997,42,147572,137532,93,0.019292
174107,137407,97,65574,52384,95,2120,1667,23,4099,3353,39,9687,7676,57,15632,12475,71,329922,262403,108,0.022338
107489,102261,87,14991,14485,48,1922,1600,23,2978,2779,28,6792,6550,43,11535,10712,63,230032,217449,94,0.0243688
92334,91241,81,17634,17272,52,1502,1262,16,2490,2526,27,6573,6420,44,9677,8950,51,209596,200946,94,0.0253841
130305,118351,91,38414,34469,85,1814,1695,18,3324,3176,34,9340,8732,50,14436,14052,65,289863,274300,92,0.0253841
174947,145168,99,65218,53747,92,2252,1852,24,4399,3869,39,9652,8169,54,15620,13509,76,324934,269116,105,0.0263995
107348,103759,84,31420,30034,79,1699,1751,20,2862,2414,34,6023,6153,41,10171,9143,52,212165,202442,95,0.0274149
191978,143378,102,64341,48593,98,2370,1743,28,4018,3184,40,9952,7288,59,16193,11759,72,342223,253690,113,0.0294456
103232,99853,81,28893,27520,79,1733,1672,19,2878,2695,30,7577,6898,48,13059,12479,68,254153,241184,94,0.0294456
245762,185962,116,94145,74014,105,3373,2561,34,7110,5274,47,16068,12461,69,26998,21770,93,561013,436994,116,0.030461
105941,102824,81,39801,38234,79,1280,1146,10,2700,2595,28,4718,4785,36,9467,9079,61,199398,190158,91,0.0355378
194220,151689,114,62703,48070,96,2762,1978,28,5128,4594,41,12029,9911,59,18978,15042,81,412220,344095,100,0.0375685
86859,83452,81,23333,22760,58,1298,1253,16,3147,2896,32,6212,6150,41,10215,9784,55,216383,205315,85,0.0375685
166809,143789,93,47162,40312,89,2280,1902,29,4427,3886,37,9911,8743,58,17095,16672,70,344888,318883,91,0.0375685
114569,109967,84,40378,39068,80,1530,1585,17,2685,2468,31,7275,6867,45,12469,11640,62,240974,224913,93,0.0385839
246148,162891,109,80920,53381,105,3025,2005,33,6485,4315,51,14882,9980,71,25802,16678,104,500587,339022,114,0.0385839
97822,93604,92,27693,26918,77,1302,1234,14,2116,2102,29,6914,6794,44,9399,9203,48,207528,194395,90,0.0456915
84410,82716,81,20578,20172,58,1098,1190,10,2331,1902,27,4408,4108,36,7559,7549,50,156847,151714,91,0.0467068
196774,164278,100,70973,59748,93,2492,1871,28,5372,4631,40,12707,11322,63,20978,17934,83,421667,376522,106,0.0477222
151008,135254,93,50272,44060,89,1994,1640,20,4408,3919,36,9678,8797,52,15991,14054,70,325039,290207,102,0.052799
69403,68305,78,18252,17799,54,595,734,0,1585,1693,20,3335,3244,32,5494,5331,39,107404,101403,89,0.052799
85808,81951,80,25390,24609,69,920,1103,8,2199,1681,25,4660,4351,36,7843,7594,52,166444,157833,94,0.0538144
93951,92351,84,35258,34431,77,926,1020,4,1953,1828,20,5356,4853,39,8009,7783,50,174105,165788,89,0.0568605
163234,129124,99,60158,48156,93,2369,1814,28,4253,3104,46,8600,6563,53,14701,11957,65,290913,229842,108,0.0588912
87490,85332,80,30954,30362,78,1093,1115,9,2364,2209,29,5299,5239,38,9621,9603,47,192559,180256,93,0.0599066
142613,136420,84,55427,53169,85,1716,1592,19,4192,3825,38,7307,7164,43,11203,10204,55,240635,220697,93,0.0599066
107081,93341,85,39734,34302,84,1234,1182,11,2585,2074,30,5511,4673,44,10072,8488,55,212205,187258,98,0.0599066
81273,77486,82,26479,26038,75,1057,900,0,1996,1672,23,4660,4383,39,7343,6401,49,156579,147130,90,0.0599066
127983,113033,88,41791,36573,86,1675,1514,18,3172,2641,33,7980,7275,50,12265,10808,66,251693,225623,98,0.0659988
103344,97547,87,32178,31092,79,1225,1202,11,2546,2147,30,5608,5434,39,10602,9771,52,197895,186759,92,0.0680295
146749,127264,92,49484,42731,88,2091,1851,24,4064,3002,38,9211,7920,50,15197,12041,68,304680,252577,90,0.0680295
150773,124093,93,53822,43923,92,1634,1499,19,3672,3160,33,7834,6531,50,13553,11513,65,275901,230025,103,0.0690449
131305,117516,94,51316,47123,84,2046,1845,21,3060,2848,33,8219,7185,48,12500,10693,64,267661,226681,84,0.0690449
89957,88008,83,29319,28678,78,1148,1211,11,2265,1980,24,4897,4826,41,7959,7678,47,179518,169189,88,0.0700602
109360,106130,83,23134,22809,66,1399,1368,15,3194,2910,31,7072,6570,46,11513,10906,54,224444,211343,92,0.0700602
237765,175996,104,72385,52665,100,3035,2345,33,6235,4321,48,14300,10528,69,22336,15530,91,452188,328082,111,0.0710756
103456,89519,101,35366,30720,101,1342,1183,11,2381,2327,26,6679,5445,48,10767,9026,68,224351,188928,101,0.0710756
119617,109885,87,30692,27223,84,1571,1306,17,2909,2666,29,7250,6784,49,10732,9655,55,237998,225800,97,0.072091
208857,163206,104,62910,49216,96,2730,2064,31,4542,3942,38,12623,9646,61,20060,15923,96,411628,336913,110,0.0741217
144289,120648,98,54779,46072,90,1860,1404,22,3449,2849,40,8958,7836,52,14967,12249,66,318881,267448,106,0.0761524
198048,167392,103,56372,48725,93,2570,2011,30,6021,5016,44,11955,10863,59,20909,18587,90,411814,366886,106,0.0771678
109962,103585,82,26554,25599,78,1599,1436,19,3664,3648,32,8062,7542,50,14007,13066,64,284030,264836,98,0.0771678
118151,112470,88,41211,39432,81,1813,1690,20,3721,3686,34,8295,8089,47,14122,13370,63,276293,260160,97,0.0781832
116489,106460,86,36062,32860,84,1826,1559,18,3228,2872,32,8003,7950,46,13210,12495,71,274565,254475,96,0.0781832
132652,114720,87,50012,42927,87,1719,1529,19,4012,3255,36,8437,7176,54,14192,12597,62,276667,244283,102,0.0903676
110796,101831,93,41582,39933,80,2012,1804,21,3040,2784,29,6762,6413,47,9746,9453,55,207806,195956,90,0.0934137
18770,18219,60,11566,11446,46,-63,64,0,-174,137,0,114,112,0,62,168,0,1183,1221,10,0.0954444
100112,97496,81,39853,38592,81,1368,1367,13,2326,2359,25,6411,5827,44,10647,9745,55,211933,200960,92,0.0974751
203291,177071,99,63566,55102,93,2683,2337,29,5640,5238,39,14188,13093,69,22225,20955,84,477913,439209,101,0.101537
70138,68843,81,25450,24989,73,1022,949,0,1979,1858,24,3906,3915,34,6667,6419,45,137434,130214,86,0.102552
68862,65070,88,28525,27986,76,862,992,0,1389,1483,16,3481,3774,31,5980,5575,42,141519,138104,82,0.103567
187979,149489,95,59664,46815,93,2356,1762,30,4532,3853,37,10565,8520,60,17439,13955,83,347609,277068,106,0.104583
111827,104224,99,44655,41739,81,1639,1435,17,3014,2647,34,6472,6324,43,10992,10478,61,221494,207219,86,0.104583
156350,127575,96,56274,45979,91,1703,1395,21,3923,3373,38,9871,7921,60,15304,12639,76,301515,251127,101,0.105598
151087,120853,94,48723,38196,91,2339,1573,28,4454,3439,38,8539,6688,53,13505,10248,69,289262,231871,102,0.106613
122469,112868,85,44323,39409,85,1996,1986,23,3246,3409,30,7842,7417,48,14424,13103,69,267019,246977,90,0.107629
88197,83912,91,29661,28684,78,1172,1202,11,2241,2390,24,5480,4941,41,9306,8865,50,186458,174617,93,0.107629
182721,153724,102,61211,52273,91,2826,2483,28,5725,5072,44,12580,10945,64,20111,17282,89,412494,359789,105,0.10966
134835,122587,89,46495,42079,85,1546,1286,16,3999,3849,32,9135,8386,52,14175,13320,63,302651,277985,96,0.10966
148600,130944,92,46770,40798,87,1941,1553,20,4284,3724,38,8609,7717,48,15924,13895,67,295181,264781,99,0.10966
113569,107938,90,26733,26121,80,1678,1632,17,3512,3155,34,9465,9074,54,14207,13308,58,288679,268436,98,0.11169
342071,199214,139,113878,64815,135,5361,3265,46,10066,5974,69,24508,14679,94,36520,22547,135,779601,473044,148,0.112706
134695,118593,89,42146,35525,88,1701,1590,18,3376,3014,33,8528,7597,51,13999,11860,68,275909,246512,102,0.114736
160456,129733,95,58615,46736,91,1895,1563,23,4466,3603,44,8454,7060,51,14268,11391,72,302231,245170,104,0.117782
115568,110734,95,48725,47161,81,2020,1947,20,3420,3314,34,8284,7717,53,13206,11500,67,273651,258594,93,0.120829
119936,109380,89,41656,37331,82,1871,1747,21,4584,3671,41,8845,8307,51,13493,13100,62,279763,264175,97,0.122859
71382,66155,78,49929,49179,78,1798,1709,20,4510,4016,37,9095,9012,52,14131,12755,66,279413,260121,92,0.12489
119285,113336,84,40662,39203,81,1307,1445,15,3235,3186,31,7693,7630,46,12839,11671,61,257160,244745,95,0.125905
103418,99229,80,30154,28986,80,1403,1369,16,2655,2217,28,6263,5860,41,10542,9873,55,215529,206764,92,0.127936
82704,81636,77,30976,30644,77,1408,1500,16,3251,3046,29,6576,6632,42,11228,10589,67,205572,195695,90,0.127936
82718,79846,79,27929,27283,77,804,896,0,2288,2632,25,5031,4858,38,8041,7726,47,166697,155611,85,0.129967
131400,121443,86,38340,35797,82,2224,2068,25,3268,3312,32,8427,8256,52,13398,12050,63,276476,251763,95,0.135044
108481,103606,84,28470,26999,78,1586,1634,17,2598,2649,30,7621,6858,51,12799,12181,59,243731,231358,87,0.135044
109635,103770,81,38093,35965,80,1315,1264,14,2543,2980,27,6856,6429,44,10552,9954,54,224174,209992,91,0.13809
172488,140260,95,58028,46686,92,2663,1863,31,4316,3849,39,10235,8690,56,16048,12473,71,352668,293973,107,0.139105
76389,74010,79,27050,26263,77,767,772,0,1983,1962,23,4081,3970,34,6533,6740,41,130014,127356,86,0.148243
121192,117342,85,52652,50929,81,1856,1827,20,3743,3974,31,7668,7267,50,11681,11644,57,258159,243270,92,0.149259
95221,91972,80,27588,26826,78,1162,1163,10,3373,2948,32,6779,6537,43,10026,9787,52,209914,199198,91,0.150274
67475,68031,75,25824,25258,74,917,884,0,1889,1761,22,3659,3584,33,5919,6020,39,136229,132189,85,0.156366
157791,134700,96,64931,56142,91,1982,1645,22,3883,3599,32,9777,8899,57,14161,12232,69,314368,290940,94,0.156366
190539,160814,97,55873,46342,93,2909,2511,30,5427,4894,39,13070,11590,64,20050,17877,76,401380,363813,103,0.158397
104294,99660,82,27014,25983,79,1789,1894,18,3383,3359,32,7846,7749,46,14251,13435,67,260228,246675,88,0.160428
106483,102490,87,49494,47832,81,1404,1287,14,2677,2666,27,6923,6714,46,10963,10188,60,217795,206241,88,0.162459
77639,75326,77,28777,27853,76,1353,1050,9,1876,1661,20,4058,4029,36,6944,6355,46,155459,152076,82,0.165505
95077,90922,81,27624,26421,77,1210,1140,12,1732,2313,21,5230,5048,39,9413,8985,57,187953,174956,86,0.16652
115592,102822,93,41064,36323,85,1454,1186,11,3096,2484,30,7651,7014,45,11782,10363,58,222648,200473,91,0.168551
249264,191514,107,62949,48868,104,3929,3018,38,7004,5679,48,15932,13112,68,25847,19669,96,525673,417208,115,0.168551
188487,161994,95,60615,52464,92,3073,2529,31,6105,5537,40,13151,12173,67,21386,19518,77,448105,418665,96,0.169566
124868,117448,92,31641,29807,82,1812,1754,21,3702,3428,35,8549,8105,51,13582,13075,64,287579,264652,95,0.170581
120315,116642,87,42958,41506,80,1887,1869,20,3175,3075,31,6950,6520,47,12538,12356,64,258929,248725,91,0.171597
74797,71250,79,25026,24594,76,871,746,0,1223,1190,13,4352,3858,38,6665,6388,43,141386,133619,87,0.174643
159398,132073,103,58803,48133,91,2020,1752,26,4652,3721,42,9977,8207,58,15842,12979,70,322015,273147,100,0.175658
140586,123818,92,40258,33980,86,2038,1741,23,3471,3471,34,9100,8001,51,15472,13958,70,299709,273499,96,0.17972
59718,57704,91,19440,18945,55,670,858,0,1241,1379,13,3476,3127,32,5746,5814,37,115615,107339,82,0.18175
104443,103811,82,32543,31489,79,1528,1430,17,3421,3183,32,7411,6971,47,12293,11098,63,233597,223942,91,0.187843
244567,200041,109,113720,96662,104,3988,3020,34,8359,6921,50,19247,16741,74,29727,24740,102,595771,526227,111,0.187843
120057,113536,85,36037,34286,81,1624,1627,20,3548,2984,34,8279,7548,48,13441,12874,63,264919,248445,91,0.188858
136859,108350,95,44108,34717,90,2009,1427,23,2920,2802,32,7309,5912,48,13254,10260,64,268606,215897,98,0.19292
135688,119339,89,49562,44129,87,1690,1627,20,3921,3493,36,9644,9032,48,16611,15247,74,305633,281690,91,0.19292
87722,82385,81,34563,32111,80,1003,948,0,2531,2139,33,5804,5358,40,8949,8312,50,185346,173225,80,0.193935
200620,150186,107,75185,56574,100,2733,2119,29,5028,3941,43,11075,8568,59,18654,15266,81,373403,286482,107,0.19495
136739,123537,87,47975,43659,86,2368,1813,26,3985,3554,35,9423,9024,50,14860,14305,66,319491,302546,87,0.195966
152007,132871,90,55573,48474,87,2142,2029,23,4235,3600,37,8685,7568,50,14486,12591,66,301893,250889,87,0.196981
149911,140041,95,36233,34514,85,2310,2275,26,4904,4310,37,12380,11570,58,20693,19300,74,412994,364456,96,0.197996
110661,103244,85,35661,33994,81,1740,1507,21,3586,3288,31,7272,6948,45,10375,9915,51,209709,193124,89,0.199012
119326,114530,84,46969,45033,81,1736,1798,21,3086,2951,31,7346,6811,46,12319,11380,63,242980,224195,91,0.200027
199261,165753,97,70111,57644,93,2513,2226,27,5466,4091,47,11948,9499,64,17899,14532,82,385488,301880,98,0.202058
95232,92611,80,22350,21714,66,1493,1481,14,3359,2756,36,6836,6535,45,11045,10026,61,237815,218495,92,0.203073
82045,78152,80,31114,29380,78,1046,1107,7,2077,1772,25,5258,4978,39,8219,7448,46,166706,154971,85,0.203073
