"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
102816,100417,79,52846,50705,79,1782,1631,21,2851,2557,30,6872,7047,43,10866,9739,59,219495,205825,88,0.00104554
98808,93385,83,44631,42051,80,1695,1512,21,2716,2724,27,7004,6591,47,10564,10152,55,211973,206289,86,0.00418216
256747,190661,105,115287,88564,102,4295,3317,37,7933,6074,54,17550,13190,73,28452,21954,94,560099,414564,111,0.00418216
217291,179031,104,113317,98411,102,6693,5396,42,11569,9652,57,23630,20629,85,33476,29401,99,685255,572811,107,0.0052277
280895,192012,111,182023,133020,110,6997,5175,47,10562,7556,60,21806,15855,87,31056,23013,97,597667,445157,103,0.00627323
78223,78783,76,38182,36749,77,959,852,0,1667,1748,23,3886,4159,34,6970,6750,41,143212,137995,77,0.00627323
65851,67469,63,32241,31808,69,1089,1001,2,1316,1751,16,3760,3443,36,5974,5831,39,123171,118204,81,0.00627323
136999,123814,87,60699,56273,85,2348,2402,24,4557,4092,39,9413,8275,54,13074,11480,62,292180,249591,86,0.00627323
104978,101054,82,41296,39692,80,1597,1468,19,2724,2768,27,6799,6709,41,11542,10703,67,229137,214993,90,0.00836431
264633,198592,116,249603,197116,116,9872,7557,52,18299,14361,76,35848,28564,111,53064,42486,113,1.03611e+06,838638,125,0.00940985
297191,203001,130,160454,115123,128,5051,3281,43,7644,5351,50,16022,10832,77,24937,16922,103,483490,329814,137,0.0104554
159192,145300,87,110187,99572,88,2782,2502,29,4220,3637,35,10725,9596,55,15524,13756,65,286472,246341,95,0.0115009
76530,73630,83,32270,30953,78,1141,1109,10,1599,1857,22,3993,3813,34,6976,6875,43,143686,137588,89,0.0146375
94543,90466,83,27876,26870,78,1487,1280,14,2283,2122,24,5615,5586,40,9591,9131,52,174175,167610,91,0.0156831
215794,178354,101,91704,76615,96,3792,3344,32,5892,5018,43,12675,10891,65,19125,15859,88,387123,322090,111,0.0167286
158092,140851,88,79462,72363,87,3650,3380,32,6041,5742,41,13111,12001,61,19887,18229,87,384078,355377,99,0.0167286
91820,90270,79,45442,43999,80,1525,1276,15,2372,2268,26,5069,4953,38,7545,6640,46,172669,163461,93,0.0188197
60745,59948,76,20003,19631,58,1021,874,0,1397,1540,20,3342,3172,31,4779,5031,38,102950,99966,87,0.0198652
121304,116244,83,55466,53631,83,1961,1726,22,3055,2838,33,6901,6733,45,11781,10988,57,198971,183965,94,0.0209108
96299,91673,84,31787,30515,78,2122,1884,23,2918,2885,30,7169,6627,47,11489,10811,58,245113,235665,89,0.0219563
177028,145127,96,71963,58286,94,2497,1758,29,4286,3380,39,8537,6975,50,11762,9442,56,228924,188352,107,0.0240474
136468,110389,106,58540,49271,88,1935,1680,22,3089,2258,36,7848,5896,52,12031,9394,66,252557,206990,106,0.0250929
163680,141024,94,77868,66456,91,2102,1905,24,3429,3027,35,7484,6763,47,12895,10494,64,269282,239455,103,0.0261385
155454,126578,100,82233,69625,93,2081,1571,26,3564,2632,40,7067,5688,47,10219,8146,60,204976,163441,105,0.027184
72241,71252,76,30847,29807,76,1035,970,0,2034,1893,20,4579,4269,37,7108,6743,46,134463,124246,91,0.0282296
116137,105434,94,48698,44190,82,1414,1481,15,2997,2860,28,6069,5744,40,9318,8813,49,181353,165766,94,0.0292751
122525,114312,99,56989,53129,83,2164,2018,23,3602,3528,33,8257,7592,49,12806,12145,63,268495,252287,95,0.0292751
181142,149212,93,72227,59128,92,1967,1768,22,4098,3270,42,8424,6926,50,13365,11180,65,256925,213870,108,0.0292751
41597,43632,68,20243,20938,52,436,628,0,766,816,0,1843,1709,21,3234,2962,31,56806,57661,78,0.0292751
123693,117899,99,77499,74619,83,2875,2794,28,4811,4280,38,10030,9455,57,16647,15235,70,336830,299112,88,0.0292751
136896,125390,87,56869,51109,85,2248,1962,25,4120,3813,36,7755,7039,48,13122,12176,63,264226,234974,98,0.0334572
144098,129282,93,74635,68908,86,2474,2315,28,4121,3870,38,9256,9045,52,14521,14176,62,293803,273543,87,0.0334572
105685,94671,89,30073,26940,81,1560,1290,17,2861,2646,29,5804,5304,42,8903,8101,55,174457,167965,90,0.0334572
138746,125537,89,53253,48322,86,1705,1598,21,3190,3194,34,7622,6824,46,11575,10324,60,259598,233641,98,0.0345028
99444,95395,82,27055,25599,77,1502,1751,17,3434,3154,33,6363,6131,43,10140,9836,58,198051,192358,90,0.0365939
125982,110889,92,40367,35184,85,2091,1941,23,3133,3054,30,7272,6569,46,11848,10487,61,247894,229791,96,0.0376394
134858,121472,89,38668,33935,87,1748,1529,19,3481,2975,36,6607,5897,44,9909,9579,54,211662,189325,103,0.0376394
222564,181961,119,145291,123638,109,4249,3299,37,7431,6831,46,16239,13583,70,24267,20067,101,479061,408287,116,0.0376394
126185,112071,90,37043,33761,83,1979,1967,21,2932,2717,32,5970,5528,40,9373,8328,59,174506,166002,94,0.0386849
202659,154603,102,61971,48717,98,3101,2377,32,5329,3815,42,10307,8155,59,13425,10680,63,258127,205640,107,0.0386849
89965,85134,91,37331,35764,80,1090,977,0,2451,1965,28,4226,3807,34,6536,6228,43,129575,122723,91,0.0397305
181153,160963,93,91171,80375,91,3899,3393,35,6426,5534,49,14581,12819,69,22933,19871,87,443067,383841,100,0.040776
209709,173915,103,100883,84279,98,3351,3048,30,5153,4745,38,12575,10886,61,20855,17707,79,406278,357455,106,0.040776
80736,80439,79,30732,29990,76,1687,1520,17,2665,2786,25,5281,5040,42,8079,7243,48,165904,155967,91,0.0439126
79872,74982,81,34014,30672,80,1190,1290,12,2208,2317,24,4820,4437,38,6027,5251,42,130940,119351,94,0.0439126
91909,89698,80,33046,31449,78,1269,1391,16,2962,2516,31,5951,5611,42,9049,8815,54,198911,187752,90,0.0470493
95150,90966,92,31633,30799,78,1414,1470,17,2105,2271,25,5826,5517,40,8935,8531,52,186370,173571,95,0.0470493
91147,88769,81,42705,42184,79,1110,1112,10,2452,2009,27,5025,4666,40,7292,7221,47,158537,150084,93,0.0470493
154378,126659,95,64994,53506,91,2400,2111,24,4376,3482,40,10055,7821,54,15408,12299,71,313035,255168,108,0.0470493
153354,142793,90,67190,62108,87,2003,1699,23,3325,3224,34,7907,7277,51,12513,11382,61,243747,226708,99,0.0512314
64128,63381,77,19424,19023,56,914,946,0,1211,1114,9,3272,3147,30,5437,4951,40,97382,89685,88,0.052277
102641,97009,85,41651,39802,81,1329,1620,15,2703,2679,28,5910,5569,41,9423,8754,51,191356,178204,94,0.054368
108497,105361,81,28520,27778,78,1848,1743,20,3283,2945,32,6655,6154,43,9988,9520,51,205864,192833,95,0.0554136
94619,89111,82,28239,27181,78,1722,1394,21,2657,2655,28,5784,5822,39,9668,9068,51,197138,179426,88,0.0575046
153407,129148,105,66194,57007,92,2438,2014,27,4212,3655,39,9463,8182,58,15414,12778,67,323921,272375,107,0.0585502
179676,139487,98,61519,46340,94,2674,2306,30,4278,3499,43,9621,7497,58,14431,10767,72,282114,218913,108,0.0585502
253022,199616,106,154445,130555,106,5710,4593,40,10177,8384,58,20987,17903,79,32024,25532,108,625473,497707,120,0.0585502
45751,47248,68,21518,21782,55,862,966,0,721,948,0,2104,2178,24,3306,3713,29,69739,66652,75,0.0585502
97920,93471,80,40839,39133,78,1517,1245,15,2794,2574,29,5233,5037,39,8757,8066,47,166860,157881,87,0.0595957
232068,182251,102,139457,114165,100,5389,4111,39,10217,9102,53,22630,18768,90,33275,28224,100,679427,577303,115,0.0595957
217809,166073,109,101484,79730,105,3426,2578,33,5828,4773,41,12277,8974,67,19037,14975,76,391237,313657,113,0.0606413
166904,140219,94,57480,47591,91,2501,1917,30,4024,3285,38,9451,7799,54,14831,11957,76,302614,259415,103,0.0606413
201382,142772,107,85565,61911,99,3248,2309,37,5356,4101,47,10645,7636,58,15359,11415,69,277108,196541,112,0.0627323
200212,147284,113,76853,57985,97,3178,2334,36,4904,3637,43,9779,7250,57,14848,11692,73,285296,214008,110,0.0627323
171800,138399,95,53257,41645,93,2249,1822,25,3881,3056,36,7573,6317,49,11783,9304,61,231210,187939,104,0.0669145
106984,97824,85,41145,38863,82,1486,1119,17,2523,2536,26,5199,4747,41,9497,8241,58,175783,157838,86,0.0669145
189164,141209,98,76520,58155,97,2557,1990,30,3656,2908,39,10686,8313,55,15414,11092,77,304239,235598,106,0.0669145
112005,105312,83,44290,41368,81,1663,1543,21,3510,2874,36,6646,6430,44,10421,9746,57,202271,177867,84,0.0669145
237869,171055,127,86408,63313,113,3688,2710,34,6861,4684,50,13770,9818,66,19176,14050,86,348666,247045,122,0.0700511
137327,118040,91,52006,44017,87,2278,1959,25,3378,3080,33,8766,7789,51,14596,12529,72,274312,236891,99,0.0710967
184265,158784,93,67326,56998,92,2470,2012,27,4135,3359,39,8945,7629,52,13774,11423,65,298586,254932,101,0.0710967
252714,178642,106,121390,89223,105,5250,3662,43,9403,6735,59,18459,13830,73,27593,20544,101,515138,390037,113,0.0710967
137086,118840,89,60245,53025,88,2599,2274,27,4310,4062,35,9661,8540,55,13618,11762,62,262410,238537,95,0.0731877
124709,113089,88,53633,46169,86,2128,1898,24,3521,3192,34,8395,7601,52,13334,12292,68,271891,256738,97,0.0763244
131404,123599,84,63086,58716,84,2362,2119,25,3864,3999,36,8531,7844,50,14420,13218,63,266950,247434,96,0.0773699
164804,126604,98,60303,47207,94,2338,1540,31,4361,3040,41,9866,7171,59,16837,12755,77,326453,248097,109,0.0784154
85190,82966,79,30821,29800,77,1175,1341,11,2106,2177,25,5788,5336,42,8004,7923,44,176102,166811,91,0.079461
179219,150169,97,67336,55445,94,3112,2730,30,6073,5530,43,11629,10484,57,17354,14543,72,367673,321894,105,0.079461
86948,82425,85,38332,36362,79,1589,1382,20,1924,1888,23,4590,4694,36,7620,6954,47,152591,145513,83,0.0805065
123048,114872,87,39664,36602,82,1640,1448,18,3389,3187,34,7388,6872,45,10214,9328,53,218463,211777,90,0.081552
62454,61161,75,11803,11398,45,1106,1094,7,2264,2027,27,4015,4000,35,5641,5554,42,100353,100063,85,0.0825976
79911,77644,78,27188,26099,78,1754,1725,21,3435,2787,35,6547,5974,44,9730,9506,52,173774,164574,86,0.0825976
177349,137938,100,74970,58773,95,3048,2252,30,4701,3766,41,9747,7719,52,16167,12735,71,307146,243946,102,0.0836431
152919,138767,98,85021,78021,90,2183,2094,24,5203,4906,37,10560,9878,52,15515,14661,67,323778,300456,105,0.0846887
143735,114710,92,56969,45151,92,2440,2057,26,3746,2600,41,8428,7287,49,13412,10654,62,275663,226862,102,0.0857342
80891,77953,81,33638,32655,77,1250,1297,15,1268,1385,12,3805,3988,32,6319,5943,44,128427,116457,91,0.0867797
104921,101458,82,36987,36038,80,1707,1715,19,3017,2914,28,6076,5831,42,10773,10287,59,200570,186376,96,0.0878253
160219,142297,96,83766,74316,91,2643,2316,29,4711,4451,38,9710,8928,54,14516,12938,67,273079,249496,102,0.0878253
94317,92505,80,30622,30215,78,1731,1871,20,2973,3002,32,6603,6566,41,11065,10593,50,210517,195370,90,0.0878253
99067,93520,91,44835,43578,81,1601,1445,16,2106,2394,23,5455,5189,38,8193,8008,48,164407,155873,94,0.0888708
169136,143409,93,70346,59237,92,2818,2439,29,4650,3890,42,10124,8590,60,15780,13515,70,311827,264956,103,0.0961896
159218,147341,88,87222,81496,88,3120,2850,30,5485,5139,45,13134,12438,61,19826,18758,85,391311,357767,95,0.0982807
299100,208446,146,221244,166548,130,7832,5909,47,13860,10162,68,29865,22545,111,46604,35008,129,925391,691414,140,0.0982807
186724,139850,109,77052,57216,98,2838,2144,32,4484,3381,42,9066,7028,56,13121,10196,67,296443,217041,106,0.100372
86813,85554,79,34929,34139,77,1335,1389,14,2531,2683,24,5981,5770,40,9150,8818,49,182134,173056,87,0.101417
321790,208584,132,140436,99011,132,7101,4782,48,11281,7168,73,21682,15083,82,31761,22111,127,607041,442256,139,0.103508
97015,95119,80,49133,47609,80,1697,1761,19,1960,2566,25,5679,5807,40,9107,8378,55,188026,178662,89,0.104554
272749,192645,129,102878,72696,118,4002,2611,39,7225,5144,51,14425,10692,70,19757,15153,71,395773,291979,124,0.104554
152630,121183,97,65400,51425,91,2209,1804,26,3958,3433,35,8864,7021,52,13947,11187,70,282322,229606,102,0.105599
150885,121137,95,66746,52631,92,2420,2003,27,4390,3346,40,9110,7737,52,13561,10159,66,281722,240083,96,0.106645
123567,115679,86,50756,47538,83,1769,1577,18,3489,2920,32,7226,6854,51,11104,10049,59,233979,217542,91,0.112918
135737,118030,97,54112,46537,89,1593,1399,18,4438,3362,40,7574,6372,48,12026,10407,58,237371,200876,100,0.115009
97560,93488,96,42019,40568,79,1479,1521,20,2947,2833,32,6289,6158,44,10508,10216,49,211390,201043,94,0.116055
173288,137996,111,76486,61380,98,2352,1935,25,3821,3239,40,8312,7041,49,13044,10659,63,265369,208102,101,0.1171
