"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
167092,143643,95,92797,81807,91,3317,3001,31,5039,4115,41,10598,8557,61,15985,12747,72,376137,303595,94,0.00596644
31593,32047,59,15993,15931,50,903,689,0,1360,1041,6,1621,1786,19,1884,2181,21,61872,63617,68,0.00696084
91773,85731,83,48958,45307,82,1556,1255,20,2694,2428,32,5839,5677,42,9014,8209,48,249239,225216,87,0.00795525
216252,167169,106,172690,143715,105,6701,5518,43,8895,7154,54,19086,16034,74,28376,23251,98,691219,581540,103,0.00994406
149184,120173,92,79807,64621,92,2137,1739,21,3818,3477,42,8132,6729,54,10779,8842,61,297274,239257,89,0.00994406
106716,97036,90,41404,37398,83,1759,1661,21,3238,2905,33,7365,6392,50,11112,9512,56,310931,277603,90,0.0119329
315167,197593,138,240502,160914,133,10407,7225,53,15910,11385,80,32391,21742,119,46257,32013,127,1.04858e+06,777266,139,0.0119329
110269,97316,92,52030,44361,86,2024,1698,23,3667,3169,37,7231,5951,49,10130,8563,53,247246,213367,84,0.0119329
30381,30008,71,15894,15840,51,448,407,0,885,741,0,1496,1484,17,2019,1959,25,65634,60459,82,0.0119329
233475,167405,107,143999,110232,104,7811,5728,47,10016,7684,59,21327,16325,88,30373,23477,97,745602,580673,106,0.0129273
38383,35641,74,18895,18578,56,446,463,0,763,645,0,1834,1878,23,2212,2268,26,82225,81029,75,0.0149161
79941,76597,82,36521,35529,78,1606,1367,16,2650,2840,28,6635,6285,45,8929,7695,55,252918,235192,85,0.0159105
22039,21955,65,13457,13478,47,399,331,0,684,621,0,864,998,0,1715,1563,21,46130,48550,64,0.0159105
122093,108618,91,47259,42607,85,2182,1862,23,3323,3100,31,8087,6916,52,11928,10506,60,332709,283597,90,0.0178993
32942,34316,66,17109,17295,51,547,537,0,1134,1362,15,2203,2228,24,3397,3154,32,83270,83505,67,0.0178993
77902,70296,88,49125,43219,85,1519,1353,15,1751,1712,21,4642,4412,39,7386,6965,45,183836,161844,96,0.0178993
83353,76834,82,37619,33515,83,1452,1388,16,2140,2014,25,4870,4637,40,7737,6885,51,196393,178182,88,0.0218769
78683,72533,90,32811,30244,78,1447,1420,16,2252,2189,26,4866,4430,41,7074,6728,44,178663,160103,83,0.0218769
58312,57436,78,33949,33280,76,1294,1516,14,2429,2127,26,4079,4285,35,7590,7342,48,165009,144308,82,0.0238658
177283,120425,103,133891,99182,103,4066,2606,40,7196,5556,51,13710,10562,69,18383,14662,77,463318,357333,96,0.0248602
