"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
81669,78023,90,39830,38492,79,1254,1344,14,2195,1971,25,5393,4884,41,8362,8162,48,224549,220461,84,0.00506997
71699,65902,82,28920,26301,79,1371,1132,9,1981,1856,19,4004,3571,36,5579,5478,40,119311,106412,78,0.00811194
191663,112470,135,97428,62146,128,2983,2227,22,5409,3527,56,12375,8068,86,17735,11210,94,478525,303062,139,0.0101399
121871,104074,91,55166,47279,87,1996,1626,21,2591,2229,31,6554,5299,48,8575,7267,49,194914,159864,84,0.0101399
32611,32457,61,13616,13416,48,388,364,0,514,626,0,1861,1519,23,3173,3020,32,72874,74631,77,0.0121679
65799,65952,77,29321,28933,75,1195,1343,13,1313,1754,15,3504,3273,34,5058,4969,37,104299,105776,72,0.0141959
57775,55494,82,22044,21294,62,1117,906,0,1629,1607,19,3259,3173,33,4418,4110,38,88620,86621,80,0.0162239
61430,59628,78,20923,20497,61,1291,1254,14,1710,1487,19,3833,3842,34,5201,4964,41,109733,109715,74,0.0172379
236870,180607,107,94108,71453,102,4430,3515,37,6935,4947,51,14078,10341,72,17895,13150,75,391415,277667,104,0.0182519
100280,93559,92,50707,48082,81,1416,1332,16,2335,2242,29,5592,5288,45,8763,7788,57,232094,220404,85,0.0192659
87649,81552,83,34946,31804,81,1329,1153,11,1968,1771,27,4111,3674,38,5346,5052,41,127246,120290,78,0.0192659
42474,42165,70,23254,23104,64,582,681,0,978,732,0,2098,2052,23,2980,3145,29,77604,77522,69,0.0202799
100118,81529,101,56077,47847,87,1516,1305,17,2148,1712,27,4930,3921,41,7138,5798,51,168747,144979,83,0.0212939
136957,123284,90,67638,61344,86,2669,2262,31,4406,3825,39,8641,7613,50,10440,9016,58,229504,191704,90,0.0253498
114190,98359,88,34598,29646,87,2554,1964,27,3441,3132,34,7493,6913,45,10425,10034,51,228545,220800,86,0.0283918
68714,67384,78,30771,29357,77,1327,1085,10,1830,1719,22,3333,3307,32,4269,4650,32,105810,102010,75,0.0294058
103795,93594,84,59371,53553,84,1475,1288,18,2375,2564,24,5587,4904,44,9477,8743,62,238173,214356,87,0.0304198
102789,98772,82,66269,63921,82,2462,2102,27,3317,2889,32,5966,5529,41,9040,8230,56,195430,174244,87,0.0354898
202118,162185,96,188874,162446,98,4601,3849,36,6608,5164,51,11260,8470,65,15821,11788,71,322924,250190,97,0.0365038
102877,94731,93,33545,30420,82,2062,1722,21,2721,2563,26,4646,4426,37,6348,6181,44,147334,139663,86,0.0385317
59056,58696,65,24748,24347,74,1163,910,0,1756,1771,19,3347,3229,32,4012,3618,36,88585,84867,76,0.0425877
112340,100396,86,64371,56353,85,1714,1444,18,2779,2814,32,6580,5440,49,10808,8952,58,304073,254260,85,0.0425877
65385,61360,80,34810,32501,78,998,1103,8,1320,1339,14,3011,3098,30,3775,3756,33,97518,90782,78,0.0436017
189566,164756,101,126185,112301,96,3474,3108,32,6616,5840,47,13210,10833,65,19203,15442,85,541557,434627,101,0.0446157
80440,77701,79,43269,41869,78,1999,1954,20,3239,3086,33,6839,6463,46,10007,9080,57,273629,251918,82,0.0456297
54950,52313,80,33656,32507,76,539,548,0,636,1023,4,2381,2671,25,3944,3692,34,94216,94204,74,0.0486717
45964,47083,59,17080,16846,51,611,593,0,693,815,0,1785,2037,22,3509,3507,32,86042,85632,73,0.0496857
140991,125872,90,49482,44728,86,3437,3170,30,3703,3192,35,8820,7440,50,12242,10471,60,277754,232335,90,0.0506997
154925,133197,94,52632,44325,88,3124,2627,31,4151,3589,42,8226,6813,54,10956,9134,62,228364,188951,91,0.0506997
193259,162701,92,122720,104187,93,3956,3368,35,6697,5613,47,16458,13696,77,21866,17288,86,641049,511495,98,0.0517136
65588,62360,81,22757,22741,59,870,780,0,1489,1198,10,2397,2517,26,3938,3764,34,81410,81080,70,0.0527276
134227,117861,91,51219,46254,85,2919,2258,32,3222,3089,30,6774,6037,48,9602,8411,55,206234,173181,85,0.0537416
165937,123479,104,85484,65508,96,2785,2192,31,3796,3299,36,10711,8101,56,14043,10562,71,397920,311342,96,0.0547556
226975,182287,105,102649,84166,102,5200,4322,37,6924,5609,47,14224,11139,68,19915,15423,82,409164,318425,102,0.0557696
119273,104261,93,53568,47857,85,1997,1821,22,3085,2637,32,6011,5040,45,8625,7792,52,183772,159136,85,0.0577976
142720,127701,88,54918,49899,85,4147,3408,35,5226,4374,39,10989,9477,58,15410,13540,68,307252,249546,90,0.0577976
63796,63764,76,22437,22306,66,864,931,0,1727,1499,17,3005,2988,31,4153,4407,33,129183,128671,73,0.0577976
178395,147407,95,88687,71316,92,2851,2323,28,5541,4431,47,11114,8887,61,14682,12289,67,418387,331196,93,0.0598256
270690,185873,119,228114,181966,113,6157,4417,45,10757,8141,57,20224,15314,89,27932,20941,103,587875,449599,110,0.0638816
111144,97206,92,53378,47362,85,1791,1516,20,2285,1930,28,4773,4108,40,7149,6392,46,157598,137071,84,0.0638816
88143,84690,95,38339,36937,78,1464,1454,15,2021,1810,24,4923,4997,37,6985,6774,43,145577,138663,72,0.0689515
102162,90725,86,38424,33693,81,2026,1807,22,2517,2230,31,5321,4688,41,7955,6270,52,169157,143741,82,0.0689515
135827,121396,101,75378,67451,86,2221,1871,26,4252,3584,42,9090,7917,52,14580,11630,77,375325,312096,90,0.0699655
200893,153326,100,101024,80086,99,5317,4230,40,8134,6633,53,15869,13016,72,23053,18629,91,463538,374155,101,0.0709795
91629,87303,83,42448,41183,79,1441,1447,18,2785,2632,29,6283,5997,44,9610,9239,56,253791,250737,76,0.0740215
37180,38042,63,14735,14700,48,707,522,0,737,1023,3,1792,1960,23,2904,3101,27,69012,70879,68,0.0740215
90478,84877,82,44538,40571,81,1240,1459,14,2049,2210,26,5859,5014,44,8664,7591,53,235671,214181,85,0.0780775
95555,89657,84,77405,74798,81,2632,2596,26,3456,3775,33,8635,8605,52,10527,9872,58,240796,221201,84,0.0790915
123125,106352,87,80373,70114,86,2671,2406,28,3700,3089,33,7502,6246,49,9189,7501,55,229388,205028,74,0.0790915
106590,101200,82,54059,52032,80,2418,2173,27,4474,4056,41,9231,8262,55,11942,10406,63,238340,207753,83,0.0811194
59065,55996,79,20725,20101,57,784,904,0,1305,1114,8,2599,2678,28,3271,3428,29,77157,72742,72,0.0811194
128997,111497,104,57197,49221,87,2379,2079,25,3576,3002,31,6791,5746,51,8664,7383,55,215117,182134,88,0.0821334
75904,72816,79,40906,39036,78,1000,1039,4,1651,1658,16,4261,4217,36,7042,6757,43,191504,187149,80,0.0841614
302181,208460,141,174714,121558,132,6339,4556,44,10626,7607,68,20414,14089,82,29293,19428,119,657540,430297,131,0.0851754
158539,129035,95,74405,61874,93,2692,2105,29,3663,3136,35,7793,6028,53,9515,7304,58,206861,167905,89,0.0892314
82230,81396,79,46981,45708,79,2325,2317,24,3417,3324,31,6214,6173,44,9047,8420,52,182055,169253,79,0.0892314
70864,65859,81,33535,30976,79,1399,1167,10,1534,1538,17,3761,3559,35,5460,5049,41,109259,103749,76,0.0902454
87152,79137,86,37304,32991,83,1835,1763,19,2309,2051,27,4742,4403,40,7075,6468,46,138114,122152,77,0.0922734
260101,178092,113,159355,123570,110,7283,5111,45,10524,8083,57,22135,16564,82,30806,23629,100,683960,517736,111,0.0932874
91135,87750,79,39945,38506,79,1537,1477,18,2374,2493,27,6390,6129,42,9219,9188,48,261069,248377,84,0.0963293
