"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
113664,104298,87,60053,54923,84,1481,1277,15,3347,2865,34,6586,6131,47,10628,9535,54,288140,262774,86,0.00400063
211766,166678,98,107289,83903,97,3514,3012,31,5537,4597,42,13207,10297,67,20901,16452,80,569156,435409,100,0.00900142
158500,143169,92,53093,49360,85,2606,2402,26,5241,3893,46,10343,9008,59,17498,14555,76,475278,434099,90,0.0170027
105073,100729,82,46973,45414,81,1650,1630,19,3252,2707,33,6136,5897,43,10135,9625,58,251939,244603,86,0.0220035
104070,98458,84,61546,59681,82,1340,1352,12,2081,2058,22,5519,4731,40,8487,8265,47,238745,222921,90,0.0240038
83419,81004,81,35724,34566,78,1212,1146,10,1926,1741,26,5411,5291,40,6866,6070,45,211665,209825,71,0.0240038
77123,76289,78,35952,35270,77,1150,1050,8,2576,2391,25,4815,4525,39,7102,6853,48,197654,189834,80,0.0250039
180626,151439,101,126484,107622,95,2510,2113,28,4892,4575,43,10570,8920,56,15052,12215,70,443370,360278,100,0.0270043
115641,104454,85,60942,55202,84,1613,1402,15,2998,2856,31,7029,6210,51,11680,10207,58,311807,279238,91,0.0320051
185257,161341,110,83194,73757,95,3156,2855,29,5613,4738,42,12901,10590,63,18779,16208,75,537796,445934,101,0.0340054
94866,92646,80,61767,59192,81,1310,1202,13,2354,2009,25,5312,4876,42,8635,8073,55,238698,227904,77,0.0350055
83287,76165,84,34623,32853,80,1222,1219,11,1770,2346,18,5013,4739,38,7913,7890,47,230767,218228,80,0.0360057
154649,132926,92,84084,74525,90,1969,1745,23,4695,3764,44,10615,9368,58,15601,13331,74,402298,332664,93,0.0360057
108395,98239,87,56752,51683,84,1364,1232,13,2507,2326,30,6164,6046,43,10065,9186,56,259740,245656,83,0.0390062
170467,142188,108,83932,71837,90,2323,1892,27,4532,3376,40,8975,7673,53,14354,12273,65,382123,310736,93,0.0420066
76317,74397,77,31253,30688,76,760,1082,6,1982,1723,20,3936,4061,32,5995,5170,45,174560,167992,73,0.0420066
131122,113110,105,73293,64639,88,1833,1358,20,3999,3244,39,7767,6312,52,12024,10924,60,341956,292949,88,0.0430068
96586,89965,83,42576,41098,81,1323,1271,13,2564,1762,34,5710,5480,40,9156,8925,63,248413,247349,74,0.0430068
96139,89919,82,38448,36564,80,1178,1277,13,2557,2472,27,6553,6169,46,10071,9562,51,270624,260201,80,0.0450071
134846,122967,90,67520,62317,86,2056,1800,23,3980,3380,36,8938,7432,56,12728,11200,60,375948,323436,90,0.0460073
188954,159625,111,101839,87786,95,3267,2659,32,6322,5082,47,14321,11832,71,25668,20952,89,685770,577537,102,0.0530084
117941,108187,84,50439,46067,83,1901,1725,19,2987,2925,32,7054,6431,47,11324,10605,59,308247,285238,89,0.0550087
109957,96715,86,68202,61047,85,1906,1656,23,2551,2335,33,6910,6240,49,9788,8322,60,281786,263703,81,0.057009
125300,102360,93,81391,69000,90,1682,1399,19,2997,2516,31,7061,5782,48,12609,10207,62,341422,298632,83,0.0640101
117080,106969,89,47083,44848,82,1865,1608,19,2780,2472,26,6930,6541,46,10429,10243,55,280106,262327,85,0.0650103
