"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
94221,84290,88,59001,51384,86,1225,1131,10,2664,2305,29,6172,5326,44,8185,6914,50,230490,206594,84,0.00216967
147359,118723,95,91737,75386,93,2375,2091,24,4577,3452,41,9040,7220,53,11851,9665,62,349546,287957,101,0.00759384
104429,90096,97,55161,48837,85,1680,1652,19,3019,2676,30,6980,5924,47,10278,9003,58,259867,226362,94,0.00867867
85510,80847,81,47837,43706,82,1283,1349,13,2674,2715,27,6360,5815,47,8239,7951,49,230326,213988,83,0.00976351
108229,93245,88,72737,62377,87,1779,1489,18,3221,2793,34,6737,5797,49,9268,7870,59,246088,212500,88,0.0141028
183771,141315,103,105397,84675,96,2826,2478,29,6027,5097,45,13100,10117,69,18259,13399,80,503558,400316,100,0.0151877
89267,77025,88,54297,46457,86,1414,1283,15,2490,2297,25,5302,4818,40,7368,6899,49,197027,177726,84,0.0151877
314513,203872,140,210839,142232,133,5506,3649,44,11392,7903,62,23801,16311,94,34129,21495,122,897061,589085,139,0.0216967
127386,111830,92,76361,66029,86,2103,1866,23,4198,3472,38,9816,8652,51,13734,11254,68,369204,308787,92,0.0249512
94741,84919,84,58191,53442,82,1809,1476,19,2394,2279,26,6043,5053,44,7521,6924,48,226038,192956,89,0.026036
90489,79141,84,45787,40629,84,1745,1616,18,2371,2166,27,5692,5155,43,7749,6777,48,215031,184221,91,0.026036
97467,88110,84,60128,54227,84,1656,1692,18,3189,3198,32,6592,6143,47,8814,8448,51,253508,251832,69,0.0282057
150495,126936,98,73903,64515,91,2946,2497,31,5523,4398,43,10709,8816,59,16560,13534,74,408077,338776,95,0.0282057
245132,174556,114,232612,175077,108,6378,4636,45,11936,9093,68,28107,21672,98,39357,29871,101,1.04858e+06,839072,111,0.0314602
112029,99168,87,63022,56263,85,1760,1602,19,3719,3476,34,7117,6136,46,9168,8065,50,256414,225872,89,0.0314602
38636,36691,80,23026,23336,58,491,613,0,907,887,0,2267,2230,25,3076,3064,33,81470,83839,63,0.032545
