"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
191922,153482,97,98196,80646,96,3107,2370,34,5700,4727,43,12985,10642,68,18038,14213,79,498251,409571,105,0
68366,65882,77,35186,33077,77,1648,1440,18,2563,2679,24,4069,4080,34,6111,5582,45,135734,129937,83,0.00108722
180115,146601,106,140489,121255,97,4195,3658,37,7067,6781,45,14962,13858,64,22066,20187,87,492665,453225,98,0.00217444
53015,51614,76,21427,21777,54,1136,954,0,1225,1423,14,2689,2484,29,4082,4154,34,98869,96410,77,0.00217444
55665,55221,74,33858,33052,75,721,688,0,1794,1318,14,2831,2821,28,3537,3502,34,95415,92273,77,0.00326166
101998,89939,87,48747,44181,84,2301,2001,25,3739,3074,36,7564,6706,46,9796,8498,56,242060,207769,90,0.00434888
79326,74573,81,46306,42976,81,1103,1099,8,1378,1884,22,4328,4266,37,6216,5748,43,173362,164512,84,0.00434888
186346,154418,99,173933,146980,96,5003,4205,40,6704,5446,50,15908,13389,64,23621,19585,88,553025,462142,99,0.00434888
146072,118130,96,63346,49818,93,3033,2708,29,4245,3483,38,9306,7789,58,12719,10406,60,275869,230890,88,0.0054361
54235,52217,77,24529,24454,66,871,698,0,1088,1200,11,3155,3139,30,4488,4199,36,108683,105516,78,0.0054361
111415,100376,95,50373,43979,87,2293,2102,24,3719,3478,35,8101,7516,52,9439,9180,50,233388,222455,75,0.0054361
36524,33311,75,22991,22466,70,555,505,0,551,800,0,1553,1605,19,2953,2776,30,67968,68129,75,0.00761053
100384,92775,83,50972,45886,84,1609,1657,20,2539,2503,33,5854,5010,43,8335,7270,55,217960,192945,87,0.00761053
87299,77519,84,47558,40705,85,1880,1506,20,3352,2734,36,6453,5887,44,9192,8141,52,255926,223239,86,0.00869775
69022,63692,86,38281,35438,79,1329,1222,11,2100,1723,23,4357,4224,38,6520,6005,48,161215,156499,72,0.00978497
69565,65545,81,41823,39684,79,1569,1515,18,2505,2224,27,4708,3988,38,6902,6187,46,163188,146048,83,0.00978497
93917,85276,92,52350,47511,81,1596,1341,17,2355,2262,27,5753,5404,45,9067,8164,54,236847,217988,87,0.0108722
56825,50950,91,33274,29275,91,947,762,0,1252,920,0,2731,2449,27,4675,4303,38,108268,91682,91,0.0108722
106142,96556,86,60553,55820,83,2867,2551,27,3478,3003,33,7607,6839,49,10118,8325,61,229167,192234,86,0.0108722
108721,98429,84,60019,54052,84,2041,1909,25,3523,3108,35,7146,5898,49,10511,9445,60,258617,218434,87,0.0108722
292359,194341,122,212956,151511,118,12194,7933,57,17221,11938,79,34808,23762,111,47511,32333,114,1.04858e+06,750263,119,0.0119594
