"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
36056,33551,73,17298,17239,54,577,704,0,826,732,0,1915,1992,22,2251,2650,23,69808,69343,77,0.000988386
159777,125811,108,94232,74688,95,4454,3375,37,5269,4059,47,10828,8608,60,14223,12766,64,322282,258901,100,0.00197677
111287,101458,86,44085,39830,83,1593,1359,19,2591,2280,27,6851,6145,46,9085,7406,60,253837,218143,95,0.00494193
92315,85939,83,55126,49603,81,1749,1447,18,2853,2951,33,7155,6595,48,10499,8964,62,305571,282658,94,0.00691871
91410,86423,82,35298,34623,79,1910,1796,22,3284,2968,32,7315,7045,45,10198,9378,56,286096,274491,91,0.00790709
77679,72771,87,46141,43994,79,1245,1302,14,2509,2165,28,6642,6257,44,10152,9144,55,266020,237201,90,0.00889548
87429,82145,97,27702,27179,77,2435,2403,26,3612,3471,33,6738,6542,45,10686,9665,55,203441,191350,89,0.00889548
37731,38748,62,20686,20696,62,466,434,0,1157,818,0,2178,1918,25,3567,3557,34,90063,92221,71,0.00988386
93918,88155,89,45306,43494,80,1908,1668,23,3259,3076,31,7005,6682,43,9942,9212,51,292749,277554,91,0.0108723
155022,133272,93,85014,73563,90,3310,3012,32,5286,4487,45,10177,8314,56,13936,11169,63,322171,264382,98,0.0118606
57264,57083,75,29436,29752,65,871,639,0,1181,1528,16,3353,3592,32,4553,4204,37,129895,129964,83,0.0118606
71587,66489,87,35662,34744,77,2910,2712,29,3202,3142,32,6718,6783,45,10721,10231,54,213947,195693,87,0.012849
91954,86735,86,51505,48657,82,1647,1609,20,2812,2338,34,7384,6874,47,9943,9375,60,284674,269238,97,0.012849
42029,39377,75,21096,21112,59,1026,1079,8,1255,1001,2,2816,2818,29,3696,3566,34,79195,80389,77,0.012849
35804,35169,67,22186,21400,67,541,512,0,805,812,0,2075,2149,22,3185,3358,30,80857,76550,78,0.012849
61427,57743,87,35385,33583,78,1363,1007,5,2138,2251,26,4134,3833,37,6749,5927,47,155885,137523,85,0.012849
117508,100683,96,57905,48999,89,2360,2163,27,3939,3101,38,8969,8046,55,12580,11027,66,364206,335829,77,0.0138374
85811,78802,87,45026,42510,81,1614,1365,17,2543,2414,30,6493,6266,43,10822,9900,59,264869,259183,78,0.0138374
100442,90616,88,59413,52428,84,2218,2005,23,3610,3368,34,8143,7053,51,11436,9820,57,319723,269777,91,0.0168026
123424,99539,104,73569,60886,90,2876,2481,29,4635,4130,40,9973,8506,56,13170,11299,62,322824,280799,89,0.0168026
230256,153723,121,148424,109118,105,8156,6083,49,10537,8510,62,20417,15209,79,27672,20807,99,582919,441821,109,0.0197677
