"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
27128,28266,60,16674,16817,51,503,478,0,1058,1041,3,1832,1804,20,2282,2442,26,70592,72445,65,0.00303098
48223,43944,75,31658,28729,76,864,954,0,1182,1159,14,3217,3221,32,4246,4226,36,116318,106721,75,0.00303098
91004,81927,90,58602,53742,83,1285,1361,14,2978,2527,32,6339,5627,46,8504,7070,61,205208,181114,84,0.00303098
92436,81149,89,48715,43202,82,1414,1549,15,3131,2815,32,6820,6283,45,9255,7880,53,268816,243215,85,0.00505164
119833,105408,92,65347,57272,85,2249,2008,24,3824,3233,36,8536,7550,54,12665,10611,64,334590,277192,91,0.0070723
118975,107572,86,56625,50663,85,2127,1891,25,3640,3515,35,9950,8781,54,14400,12671,61,382345,342794,92,0.00909295
91393,83232,90,49165,44693,85,1891,1746,22,2472,2117,30,6320,5152,50,8679,7666,51,212824,172247,98,0.00909295
265755,154659,120,161324,87570,117,4556,2905,47,9415,6003,63,19954,12376,83,29277,18044,109,670206,437088,115,0.00909295
78999,68711,82,48939,43510,83,1515,1234,13,2318,2316,30,4899,4281,42,7345,6667,47,172379,149124,84,0.00909295
40119,39440,74,24167,23991,66,534,551,0,1253,1022,5,2397,2142,27,2903,3224,28,79126,79020,72,0.0101033
138528,127355,87,59831,55227,85,2578,2268,27,5902,4434,45,11626,9864,57,15673,12997,65,459603,389122,94,0.0121239
110331,95218,89,55126,47083,85,1377,1297,14,3350,2653,35,6472,5326,49,9307,7630,55,227706,194340,91,0.0121239
66687,64591,76,35630,34797,76,974,778,0,1836,1799,20,3848,3943,34,6005,5728,40,163660,164940,82,0.0131343
167749,142953,93,161601,140215,95,4263,3779,34,8806,7988,47,18938,16808,83,27209,24121,88,768117,693632,98,0.0131343
144702,129843,90,60131,53651,85,2455,2128,25,4988,4616,40,10277,8435,56,15187,12524,69,380430,314876,91,0.0141446
68236,65241,81,60051,59345,78,1636,1339,16,2353,2790,26,6453,6463,44,10040,9596,51,241351,220349,83,0.0141446
158070,121828,99,86356,68329,95,2357,1529,26,5047,4635,40,10082,7766,63,13787,11837,65,319859,277485,78,0.0141446
62546,59142,80,35135,33668,78,772,802,0,1478,1738,19,3596,3452,35,5411,4835,41,123818,120251,77,0.0191962
157760,118805,97,123057,89580,99,3410,2517,35,6256,4444,50,13041,9902,72,17819,13277,85,416403,312716,100,0.0202066
