"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
30178,31066,63,24339,22890,72,602,567,0,1000,933,0,1855,1976,22,3672,3523,35,76601,79505,59,0.00104357
93428,77654,93,52560,43890,86,1512,1223,18,2205,2093,24,5199,4482,43,6864,5605,49,169188,137536,77,0.00208714
122177,116255,85,92057,88059,84,2513,2573,26,4807,4297,38,10187,9477,56,15149,12698,69,406487,353045,88,0.00313071
107848,90145,89,58775,48186,87,2063,1679,24,3377,2889,38,7774,6452,51,11218,9426,60,306994,252363,81,0.00313071
89247,79524,88,46890,41792,83,1766,1495,20,2549,2131,28,5778,5214,42,8090,7017,52,197142,171693,84,0.00417428
111304,98900,90,63777,55647,86,1873,1778,21,3137,2925,34,7082,6298,50,9794,8500,54,279156,251196,83,0.00521785
186242,142794,109,94751,74039,98,3352,2469,34,5256,4645,42,13417,10888,65,18155,15372,75,498598,440292,84,0.00834855
96233,87961,84,70310,64966,84,1839,1726,21,2656,2236,29,6049,5286,42,8882,7739,54,191680,163489,87,0.0104357
137885,121228,90,60708,54587,87,2795,2357,30,4778,4250,39,10212,8602,63,14830,12631,67,421035,371121,93,0.0114793
114393,101711,89,50757,45303,84,2237,2137,25,3930,2806,36,7157,5924,50,10890,9360,63,251516,203142,84,0.0125228
70223,64361,80,52324,47881,80,1577,1318,16,2063,1901,26,5043,4309,41,6845,5536,46,197314,175167,79,0.0125228
99757,91941,84,65507,59543,83,1582,1455,17,2536,2796,26,6164,5524,44,8643,8128,50,234763,212771,83,0.0125228
146662,121170,96,76075,63360,91,2761,2383,28,4484,3467,40,8537,6807,56,11704,9176,63,283546,231157,91,0.01461
82327,77376,91,56947,54142,81,1981,1999,23,2962,3340,29,7113,6948,46,10348,9444,56,233365,213711,87,0.0156535
201180,138777,114,140513,102797,104,5554,4236,42,8885,6226,59,17484,13592,77,23030,17399,92,500974,379946,97,0.0156535
53778,51307,77,27290,26465,75,848,928,0,1328,1086,11,2718,2814,28,4178,4031,36,98777,95592,74,0.0166971
70156,64875,85,41613,37670,78,1509,1326,13,1622,1512,18,4236,4021,36,5878,5617,42,131231,118504,80,0.0166971
125181,106942,91,60183,48269,89,1595,1389,19,4431,3705,40,6877,5570,48,8661,7124,54,270320,212627,87,0.0177407
46772,46952,73,27429,27308,71,826,775,0,1045,1142,7,2169,1986,25,4001,4071,34,85232,87589,71,0.0177407
60485,56610,83,29201,28689,76,919,771,0,1603,1052,6,2937,3178,28,5192,4940,39,124220,122632,79,0.0187842
67833,64469,79,29104,28286,77,1349,1268,12,1738,1924,20,3842,3733,33,4950,4566,40,118500,113240,77,0.0187842
129935,108375,91,93093,77864,90,2130,1802,25,4905,3820,43,8689,7311,51,13177,11217,64,315433,259129,90,0.0198278
79232,76367,85,43380,41587,78,1361,1076,12,2226,2290,27,5963,5510,44,7646,7276,45,220923,212985,80,0.0198278
39885,38918,64,25966,25305,71,768,658,0,1308,1135,11,2416,2640,27,4842,4772,40,100116,95620,74,0.0208714
136584,113585,97,61276,50227,91,2285,1996,24,3919,3346,39,7869,6778,48,10737,8869,60,238186,201312,89,0.0208714
120051,94691,106,59843,48562,89,2348,2008,27,3169,2791,35,7321,5649,54,10182,8609,59,239166,189534,87,0.0219149
111278,97622,89,50371,43836,86,1762,1514,19,3536,2800,40,7137,6290,49,9549,8867,54,281286,244626,88,0.0229585
162168,120043,98,83571,62380,95,3282,2383,32,4529,3296,45,8316,6136,55,12464,9493,64,257366,188289,85,0.0260892
109097,100008,89,71115,64684,83,2059,1964,26,3296,3187,32,7158,6183,47,10154,8659,63,266588,220076,85,0.0271328
78712,71944,94,44540,40126,81,1183,1050,5,1367,1365,18,4166,3775,37,5457,4707,40,149545,141358,80,0.0281764
82196,74375,81,53396,46491,83,1257,1188,10,2147,1769,30,4764,4229,39,7300,6223,52,170988,149375,83,0.0323506
153997,124065,95,81455,65450,91,3407,2579,35,4888,3694,45,9435,7131,54,12262,9747,64,307377,239877,93,0.0333942
92403,64549,92,36938,25968,88,1980,1416,19,2683,1757,34,5312,3623,49,8348,5804,60,166425,111290,87,0.0344378
56105,52693,91,27423,26198,76,1360,1092,9,1222,1258,12,2933,2566,32,3912,3883,32,87379,82791,72,0.0354813
86705,79731,84,51142,47532,81,2204,2115,24,2716,2406,31,5563,4835,43,7823,6993,46,180549,155703,80,0.0386121
227411,179259,107,130272,99893,105,5114,4182,41,9375,7258,56,19745,15015,81,25445,19834,94,635533,489188,103,0.0396556
78672,73182,85,47023,44910,80,1455,1209,16,2655,2440,30,5281,5458,38,8610,7974,49,237477,231063,77,0.0417428
88830,84287,85,52018,49484,81,1551,1591,22,2901,2598,31,4433,4153,37,7171,6719,44,168254,160202,81,0.0417428
130171,108658,94,67197,55455,91,2026,1632,24,3507,2718,37,6784,5212,47,8600,6592,56,225030,183243,85,0.0427863
49419,47431,82,19355,18398,58,1282,1114,11,1473,1211,13,2813,2808,30,3812,3599,36,81564,80372,70,0.0438299
