"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
108426,100318,82,45701,40037,85,1608,1509,19,2811,2759,28,5793,5484,42,8428,7651,51,240191,218580,85,0.00106418
21169,21665,66,12433,12499,45,538,448,0,689,839,0,826,960,0,1598,1408,18,40106,42610,65,0.00212836
149542,118718,93,88257,70947,93,2579,2309,28,4181,3399,37,9951,8551,56,13823,11140,66,402704,327065,93,0.00212836
58680,57331,84,22192,21798,68,860,962,0,1552,1335,18,3380,3459,32,4793,5270,36,131152,132790,69,0.0095776
42256,42313,71,21541,21170,60,456,507,0,1412,1138,12,1698,1421,21,2738,2929,30,71041,73423,67,0.0138343
107324,97145,84,43477,37689,83,1517,1300,16,2277,2092,26,5190,4456,42,7444,6780,48,200972,183791,84,0.0159627
81997,74766,90,37376,35485,78,1111,989,0,2242,1846,21,3754,3727,32,5632,5804,40,169424,163883,78,0.0159627
111330,100600,86,66858,60525,86,1574,1270,16,3106,2911,33,7061,6186,47,9510,8456,51,245287,216312,83,0.0170269
117664,107645,93,56490,51900,82,2311,2354,22,3694,3189,39,8174,7373,51,11166,10557,59,320177,283395,89,0.0234119
83542,75632,83,44230,40129,82,1446,1308,12,1777,1775,22,4544,4227,37,6618,6500,46,173086,160454,78,0.0276686
112920,103878,84,51005,45405,84,1841,1690,20,2989,3075,26,7707,7061,49,9207,7457,50,274063,246592,88,0.0319253
29446,29762,62,14346,14557,47,659,767,0,1105,940,0,1749,1712,20,2728,2401,29,69000,71753,65,0.0319253
100879,94507,86,44299,41231,81,1496,1475,16,2668,2320,31,7104,6344,51,8513,8105,47,243024,217362,86,0.0319253
49768,48030,77,25513,24863,72,872,814,0,1108,1240,12,2786,2865,28,3783,3649,33,115167,114298,75,0.0319253
118518,104461,90,59147,53713,85,1871,1808,23,3673,2840,33,9428,7935,53,11287,9714,59,359976,299358,94,0.0340537
78619,75330,82,19634,18878,54,1122,994,0,2051,2102,23,4580,4222,38,6058,5556,45,157559,159071,81,0.0351179
105452,95216,84,43595,39589,84,1549,1593,19,2783,2965,29,7645,6946,47,9835,8235,54,300869,278203,89,0.0372462
72483,70908,86,29220,28468,76,831,803,0,2107,2357,26,5359,5161,41,6759,6661,40,214545,212800,81,0.0393746
38151,36943,71,8412,8354,40,587,553,0,920,916,0,1840,1686,22,2368,2714,26,63386,66034,68,0.0415029
106249,98470,92,54297,50965,82,1827,1805,22,3901,3437,36,8256,8027,50,11522,10333,61,325496,295482,86,0.0425671
124369,108071,95,77300,68374,87,1855,1620,22,4747,4140,43,7656,6877,48,11311,10184,60,341405,294251,87,0.0446955
98599,86608,88,44755,38490,85,1761,1567,19,2954,2620,29,6513,6226,43,10190,8987,60,278188,246213,79,0.0457597
97028,81357,86,87741,78541,87,2705,2281,29,5021,4302,42,10234,8927,54,13244,11868,61,381142,338197,86,0.0468238
144364,113444,95,65757,51277,91,1817,1379,26,4452,3545,41,9340,6938,59,12459,9890,64,357244,282498,82,0.047888
34839,34438,64,15665,15546,50,495,589,0,355,573,0,1428,1266,17,2346,2312,28,67881,67603,57,0.0489522
139692,118171,93,59901,50416,91,2137,1954,24,3868,2953,38,7970,6856,53,11473,9563,62,300680,257167,83,0.0500164
118416,104879,93,67965,57790,88,1968,1842,23,3810,3373,35,9365,8158,53,12130,10394,64,361116,318263,92,0.0564014
106523,100029,83,48461,45232,82,1983,1739,22,3213,2842,30,7166,6515,44,9574,8892,51,283752,272215,84,0.0564014
129144,112982,91,58004,51499,87,1757,1516,22,3146,2739,32,7365,6580,47,8658,7332,52,264750,225544,91,0.0574656
35364,35498,70,16828,16730,52,360,410,0,153,626,0,1534,1506,16,2200,2417,24,60732,63219,74,0.0574656
127451,101056,97,56038,44975,90,2042,1571,22,3806,2771,41,7236,6109,49,9232,7170,59,257327,220925,81,0.0574656
62385,59281,91,24810,23450,75,1021,899,0,1734,1789,23,3809,3621,32,5873,5609,42,155867,145057,83,0.0585298
78173,80470,70,43247,42358,77,1167,1324,15,2303,2175,25,5525,5369,46,6977,7362,45,212666,216623,70,0.0617223
56983,54819,90,22932,22876,73,395,489,0,1285,971,0,2818,2834,28,3565,3491,34,91217,95019,71,0.065979
106906,103414,87,53383,52096,81,2683,2495,27,4988,4865,41,11500,10746,59,16855,15744,73,461987,426046,94,0.0670432
143746,120771,90,54065,44612,87,2240,1743,28,3925,3124,36,7941,6452,49,11508,9663,61,306681,255234,97,0.0691716
166625,140267,95,76128,63969,93,2592,2386,27,4961,3496,44,10691,8437,59,15361,12042,70,401767,318762,99,0.0691716
35197,34359,70,21810,21965,63,357,483,0,850,877,0,1868,1948,23,2581,2498,29,71784,72901,73,0.0723641
32304,30719,71,19123,19095,57,632,654,0,828,683,0,1630,1634,22,2633,2479,29,72751,72733,66,0.0755567
99859,88639,85,50273,43533,85,1855,1433,22,3010,2528,32,6995,6124,48,9033,7760,50,275141,242017,86,0.0766208
116414,105824,94,44102,40650,83,2017,1869,20,4010,3550,37,8686,7553,55,10740,10052,56,336326,303397,88,0.077685
95580,89645,82,38225,35407,79,1707,1567,19,3909,3049,38,7785,6579,50,10435,9534,58,299710,272080,82,0.0787492
94325,92078,80,40688,39695,79,1983,2018,20,3580,3167,30,8164,7428,49,10130,9592,51,304362,278567,81,0.0787492
109089,98853,100,49004,45183,83,1702,1659,18,3118,2614,31,6629,6534,42,8217,7587,52,254684,238861,81,0.0798134
69928,67201,80,22599,22210,63,1013,925,0,2135,2422,20,3879,4204,33,6272,5951,40,167322,163175,81,0.0819417
139852,123268,88,68970,57626,90,3237,2644,30,5890,4843,44,12238,9980,65,16864,14281,76,421667,351199,91,0.0840701
53472,52782,75,23698,23153,73,923,787,0,978,977,0,2797,2884,27,4184,4090,35,115413,116875,78,0.0883268
178284,146492,99,109914,96351,93,2377,1955,28,4974,3623,45,10485,8882,58,13851,10968,63,413056,340857,99,0.089391
132773,116264,87,58369,51248,86,2141,1893,22,4628,4128,42,9968,8667,55,14048,11852,65,385075,326118,94,0.0915193
99773,90379,86,30976,27731,83,1446,1211,17,2644,2374,28,6645,5895,43,7916,7157,47,253293,225797,99,0.0915193
168998,138575,93,84629,68113,92,2514,2159,28,4791,3813,42,10098,8319,57,12943,10238,63,382918,305954,96,0.0915193
175323,139775,103,78619,64845,93,2727,2266,29,4806,4021,40,10703,9073,58,14743,12123,67,400979,325491,98,0.0936477
205857,180908,92,115833,105459,91,4968,4245,37,9277,7597,56,20190,17279,76,28417,23472,90,738255,585831,102,0.0936477
78580,76297,81,33903,33005,77,1351,1124,12,2663,2856,28,5524,5326,39,7434,7445,44,208546,203478,85,0.0936477
116140,107128,84,48760,44710,83,2318,1974,26,3842,3448,37,9404,8753,52,14216,13023,70,376873,324847,93,0.095776
107860,97221,84,45218,39901,84,1778,1871,20,3861,3251,36,7553,6915,48,9770,9318,56,301993,280530,83,0.0968402
93827,84884,84,48612,42571,85,1390,1281,13,2816,2453,31,6684,6274,45,9725,7885,57,271511,242527,87,0.0968402
87367,80382,83,36491,33285,79,1128,1102,10,2190,2231,26,5115,5011,40,7363,6903,47,206015,187486,86,0.0968402
118452,106127,85,47111,40964,86,1910,2014,20,3103,2680,33,7587,7000,50,10936,9447,59,298021,269547,91,0.0979044
155379,139758,91,105277,94073,90,3236,3019,30,6497,5828,46,13100,11448,60,17825,15081,70,514952,447273,97,0.100033
98663,94720,83,34923,33199,82,1715,1701,21,3468,3299,31,7716,7765,47,10691,9995,60,318956,298410,91,0.104289
117447,97548,92,65992,54662,89,2209,1837,25,4201,3925,36,9104,7989,55,10954,9360,57,320725,292084,77,0.105354
99810,95024,84,48984,45746,82,1472,1349,16,2418,2179,29,6018,5686,43,8752,8450,48,230841,224138,85,0.107482
61164,59283,80,28155,27646,74,689,930,0,1263,1285,19,3375,3304,32,5040,4972,39,117657,116702,62,0.111739
20901,22242,44,13679,13522,48,213,218,0,697,579,0,1217,1271,11,1798,1924,22,42747,43369,62,0.112803
25279,24035,66,12436,12457,46,170,292,0,932,1034,5,1633,1753,19,2627,2688,27,57752,55505,64,0.113867
113787,102817,84,62236,55934,84,1817,1674,23,3946,3343,38,8216,7524,51,11277,10421,55,325169,293103,86,0.114931
161267,128153,99,71036,56726,95,2088,1575,23,4094,3457,41,10668,8245,68,14388,11423,66,383844,306542,93,0.118124
124027,114534,87,46505,42324,85,2132,1851,24,3471,3229,34,8344,7802,47,11487,9764,56,316051,287581,88,0.119188
114269,105517,85,60068,54315,85,1537,1532,18,3059,2672,30,7579,6884,49,10247,9206,57,275555,258387,87,0.119188
173765,151092,94,70565,61612,90,2658,2146,29,6059,4932,44,12131,10433,63,17229,14511,73,470947,394788,92,0.120252
110092,104545,83,67463,65341,81,2195,1966,22,4397,4012,38,9600,8881,51,12542,11685,56,377321,325780,84,0.120252
101289,94319,89,44522,41044,83,1706,1616,20,3115,2237,36,8312,7815,50,10118,8746,57,304152,270355,99,0.120252
94053,87051,93,46413,43962,82,1387,1490,17,2421,2484,29,5718,5272,41,8137,7486,47,216890,204532,84,0.121316
226288,144132,117,166204,110674,113,3532,2056,40,6089,4204,50,15346,10538,75,22060,15649,93,594486,400474,113,0.121316
91839,86895,83,44198,42135,81,1246,1212,13,2248,2008,26,4405,4299,36,7028,7035,45,199234,190179,87,0.127701
97055,93227,81,39643,38264,79,1578,1616,18,3182,2992,31,5558,5412,41,7897,8061,46,202483,198479,82,0.128766
110008,96269,89,50764,44811,85,2048,1804,22,3125,2914,33,7519,6812,49,10109,8624,54,301929,276666,88,0.12983
110209,97012,90,62018,53349,87,1709,1625,18,3103,2895,34,7952,7238,51,10194,9189,58,302556,280622,78,0.12983
122574,113208,91,62823,59677,83,2200,2067,23,2881,2919,29,7661,6848,53,8996,8720,49,260871,244236,87,0.130894
140897,104382,99,64383,47067,94,2286,1906,28,4213,2860,43,9497,7174,57,12567,9418,64,368755,291303,84,0.131958
44156,45819,62,13433,13779,45,406,422,0,703,1012,2,2456,2547,27,3878,3904,32,96301,94030,73,0.131958
81065,80142,81,28765,28103,77,1294,1327,15,3053,2582,29,5991,5802,42,7886,7517,47,243114,234970,84,0.133022
135547,116362,90,53770,46660,87,1967,1818,22,3214,2767,33,8212,7179,50,10774,10065,52,308382,271588,94,0.133022
74112,71984,79,17868,17760,52,961,1014,4,2425,2398,27,4702,4713,35,6761,6976,42,194439,190591,82,0.135151
184188,148659,98,86819,67002,97,3097,2296,33,6187,4500,47,11466,8895,66,16472,13120,78,462693,354931,95,0.135151
145169,127539,105,65654,59021,88,2413,2496,24,5453,4609,40,11184,10033,62,14795,12975,76,408662,340875,95,0.137279
67607,64691,80,39033,37824,76,1158,891,0,1432,1538,18,3635,3408,33,5234,5754,38,148847,142859,78,0.140472
89292,83008,80,29356,27246,81,2011,1981,23,2928,2535,30,6610,6328,42,9076,8590,47,256172,233720,85,0.140472
136450,119261,104,67549,59266,89,2501,1986,27,4452,4039,37,10218,9939,55,15377,14145,73,413171,379260,90,0.143664
137368,116826,89,57235,50070,88,2362,2023,25,4617,4048,40,10542,8780,57,12337,9719,64,398605,328594,88,0.146857
191514,145656,99,89627,70650,98,3460,2699,35,5917,4762,47,13315,10347,62,16888,12308,75,491764,375852,99,0.147921
62521,63376,69,40544,39853,75,930,1085,7,1342,1471,13,3693,3763,33,5167,4766,37,130245,130155,73,0.150049
94052,86926,82,51541,46412,82,1297,1348,14,3214,2561,35,7221,6985,50,10759,10139,58,288513,258491,84,0.150049
193694,155219,103,85650,69344,96,4363,3181,38,7645,6275,50,16622,13051,75,20663,16381,81,606473,474853,100,0.152177
156428,133189,98,71487,61608,90,2041,1705,26,3830,2861,39,9261,8010,56,12025,10207,64,343453,285626,94,0.158563
99230,91087,89,47950,43753,81,1659,1523,17,3437,3104,35,7459,7060,47,10436,9119,59,297465,266323,85,0.163883
85916,81382,81,44326,42661,79,1196,1197,11,2285,2259,27,5256,5054,40,7796,8044,48,225114,224650,81,0.166012
160393,124691,95,86057,66969,93,2982,2218,33,4914,3645,44,11071,8281,64,15389,11981,70,448052,363165,86,0.167076
57223,54781,80,30293,29184,76,1017,1179,11,1462,1625,17,3434,3312,32,5019,4963,39,134311,124740,79,0.16814
101118,97613,82,58760,57117,81,2613,2478,27,4825,4831,35,10119,9487,52,13925,13088,66,428417,387047,83,0.16814
