"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
85204,81072,81,41042,40047,78,2497,2250,26,3152,2996,34,6011,5662,41,9962,9195,50,220269,204595,82,0.00311607
89249,85731,84,46961,45050,81,1476,1364,15,2355,2409,29,4974,4497,40,7230,6730,47,203358,192536,85,0.00727084
179899,161131,108,84079,75957,90,3242,2778,31,4863,3987,43,10540,9080,58,15714,13943,66,392233,332146,94,0.00934822
29929,30302,56,17402,17748,50,407,401,0,934,1129,7,1122,1340,13,2026,2113,25,49178,48921,68,0.00934822
51578,50942,83,23039,22935,68,234,256,0,945,897,0,1808,1860,21,3287,3014,33,84819,89511,59,0.0103869
96317,92850,82,40388,38917,80,1083,1032,5,2036,1791,25,4818,4637,37,7353,7075,50,205583,198657,84,0.0145417
227866,162684,107,114245,81756,107,3740,2708,39,5354,3636,47,11237,8791,64,19280,15029,86,418428,313775,105,0.0186964
41800,41887,73,22964,23388,55,500,492,0,1096,980,0,1566,1612,20,2551,2946,25,63608,63054,68,0.0186964
88433,83415,79,45705,43769,79,1177,1114,8,2661,2342,28,4983,4891,39,7745,7742,49,213027,210580,78,0.0228512
135530,125673,86,72548,67596,87,2345,2233,26,3501,3462,35,8467,7983,53,13552,12730,61,316276,301785,84,0.0238899
154256,117914,100,80298,60327,95,2411,2025,25,4177,3070,39,8559,7087,57,13090,10250,71,317905,259264,73,0.0238899
164533,138970,99,102708,90203,92,4110,3717,35,5683,4609,45,13061,10714,63,20115,17089,76,477386,394151,94,0.0249286
95815,91483,97,55287,52943,81,1766,1654,20,2618,2414,33,6206,6266,43,11068,10640,61,292736,272516,83,0.030122
104036,97473,85,50149,47211,82,1690,1549,16,3339,3370,31,6206,6015,41,10109,9537,57,269392,254699,85,0.0311607
117804,102803,87,72275,62334,88,1710,1474,18,2735,2480,32,6397,5642,46,9969,8913,55,283840,254080,79,0.0321994
86479,83077,83,48072,46457,80,1803,1577,20,2196,2105,25,6732,6411,46,10811,9986,56,282750,260053,83,0.0342768
101759,96123,82,52258,49713,81,1667,1384,16,2616,2502,30,6941,6356,47,9213,8708,56,291463,281969,86,0.0363542
120294,113530,85,54918,52170,82,2527,2395,27,4337,4122,35,10269,9486,57,14847,13968,72,435991,390762,83,0.0363542
53973,54590,76,17963,17749,53,489,595,0,1122,1076,10,2140,2602,23,3736,3857,33,100405,102922,70,0.040509
104534,99494,82,52440,49794,81,2280,2161,24,3759,3322,34,8478,8172,50,13670,13219,60,372387,351952,85,0.0415476
171228,140645,102,60872,50118,95,2851,2391,30,4562,3854,38,8522,6929,55,14553,11990,79,349920,293448,92,0.043625
124131,116026,88,73296,69778,85,2592,2359,27,4310,3851,36,10002,8982,52,15612,15168,70,416865,388271,88,0.0457024
55910,54694,82,29749,29222,74,498,611,0,953,1099,7,2485,2358,26,3129,3341,29,87420,87264,74,0.0477798
67342,62365,84,27974,27310,76,668,777,0,987,1026,4,2785,2520,29,4425,4800,34,99640,100347,76,0.0519346
148840,131303,91,84537,76124,90,2169,2217,25,3518,3086,37,8004,7107,50,12172,11084,60,308329,266562,89,0.0560893
218902,170182,102,116114,90719,100,3457,2584,35,5197,3496,46,10647,7508,66,16457,12531,76,370416,278915,93,0.0581667
87354,83830,82,44108,42643,79,1317,1184,15,2320,2164,23,5318,5376,38,8669,7859,51,215745,206200,81,0.0612828
129523,111953,88,48658,41531,86,1897,1651,21,3019,2762,34,8631,7695,53,12384,10166,67,371999,325789,79,0.0623215
144903,126613,96,76738,69805,87,2487,2048,28,3634,3327,37,9244,8291,51,14301,12690,68,393711,333540,92,0.0654375
139488,123245,96,73397,65429,86,1766,1687,21,2672,2323,29,5974,5272,45,8374,7616,54,212920,182626,85,0.0664762
106791,96117,84,40491,35193,83,1776,1187,20,2646,2042,33,6554,6082,43,9487,8693,55,278041,246269,83,0.0737471
159592,131022,94,71888,59899,91,2252,1958,24,5086,4198,44,9969,8772,50,14772,13150,74,422279,402707,94,0.0747858
107385,101207,83,54105,49824,83,1777,1731,19,2988,2451,32,6807,6431,43,9276,8388,58,289380,263357,84,0.0747858
96840,95119,82,75073,73061,82,1747,1752,20,3342,2926,31,7373,6985,48,8490,8203,55,273519,255364,85,0.0747858
114378,109812,84,50943,50016,80,2136,2208,23,2681,2826,29,7001,6600,46,12276,11607,64,283981,267753,83,0.0747858
119703,107837,90,62006,56669,85,2427,2226,28,4029,3280,34,8093,7622,46,13291,12709,67,308287,297212,88,0.0768632
114246,106161,93,68883,64639,83,1678,1322,21,3015,2657,31,6962,6365,45,9912,7960,59,303251,270665,89,0.0779018
153606,140328,88,93176,83533,88,2542,2468,26,4916,4151,41,10307,9446,60,16093,14371,73,445832,402518,88,0.0830953
161201,140611,94,71593,63292,90,2900,2477,29,4544,4188,37,10628,9621,57,16258,15762,73,459873,443142,91,0.0830953
140676,130149,86,75917,70507,87,2846,2701,28,4251,4056,36,8765,8280,50,16020,16251,67,357894,332619,84,0.0830953
363969,242370,139,244630,174910,137,9046,6907,49,12500,8701,64,28052,20270,100,43268,30945,127,980900,697583,137,0.084134
32657,32325,69,13494,13147,48,420,452,0,587,542,0,1788,1608,21,2547,2728,25,77044,76530,69,0.0851727
