"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
178067,154263,98,85573,76520,91,3258,2667,32,6872,4998,53,14386,12335,68,19377,16731,79,550013,444746,92,0.00908458
31148,33787,50,26239,26330,70,454,403,0,730,913,0,1901,1978,21,2402,2598,26,68502,71535,55,0.0171598
118104,108601,85,47983,45161,82,1563,1315,19,3794,3583,37,7500,6906,47,10274,10044,55,278414,256112,86,0.0333101
107418,99370,87,46065,43989,81,1656,1614,17,3872,3778,33,8392,8148,49,11875,11639,59,308424,295150,82,0.0333101
99711,94210,88,38447,37425,79,1450,1366,15,3780,3366,36,6782,6619,48,8836,8378,53,241671,239979,69,0.0353289
133766,121612,89,54182,50661,83,2164,2130,24,5008,4874,39,10025,9163,51,14330,12634,68,400306,355081,87,0.0373477
178067,152627,99,70454,62168,93,1995,1738,20,4927,4184,39,9718,8612,54,13021,11327,63,364382,326009,93,0.0383571
98957,91174,95,33191,30995,80,1790,1627,21,3895,3816,36,7613,7218,49,9807,9549,52,276373,252777,82,0.0413853
150063,121558,96,57573,45529,90,2423,2218,26,5476,4140,45,10055,8780,55,14579,12569,67,388964,336075,90,0.0494605
133039,115470,93,46882,40825,87,1713,1452,21,4542,4655,37,8297,7185,50,12244,10156,66,329102,289778,90,0.0494605
167990,150726,92,86603,78254,87,2987,2911,29,6324,5399,45,12626,10958,68,17975,15065,81,472601,395666,92,0.0504699
184914,155917,97,73903,62067,92,2706,2132,28,6264,5170,47,11412,9636,59,16363,13920,71,446553,365217,97,0.0534981
102776,96001,96,51418,48261,82,1598,1546,17,3345,3090,32,7215,6957,45,9055,8852,51,290846,282659,83,0.0555169
129331,114837,90,54289,47461,85,1875,1596,23,4315,3398,40,8356,6823,56,10618,10155,57,289461,244839,88,0.0565263
122201,114582,85,65136,61751,83,2301,2412,24,4883,4502,39,8846,8056,51,10673,9898,53,321245,285583,87,0.0565263
101931,96544,81,55443,52790,81,1378,1554,16,3398,3104,31,6291,5853,44,8806,7770,48,245156,231172,84,0.0605639
149692,127705,106,87507,76626,90,2795,2340,30,4761,4215,43,12261,10878,65,15668,13663,68,439957,389063,96,0.0635921
119921,108143,91,46514,42129,84,1959,1846,21,4051,3528,39,7793,6824,47,11124,9712,57,298771,266484,86,0.0676297
44418,42589,74,20676,20251,59,265,326,0,909,1176,9,1836,1851,22,3247,3257,29,87646,87760,77,0.0817612
85037,80951,86,44173,42951,79,1737,1804,20,2554,2541,27,5926,5727,42,7603,7160,46,208286,206206,72,0.0878176
90742,84896,82,54387,51475,81,1157,947,0,3084,2869,35,6670,6123,47,9250,8608,50,241842,220036,86,0.0918552
157318,132314,97,63603,54810,91,2386,2147,25,5098,4376,39,9567,8271,53,12914,11145,60,359771,295434,96,0.093874
226924,186862,116,91996,76500,97,4341,3291,37,7893,6900,48,17323,13778,76,23156,18139,88,599251,454376,109,0.0958928
128333,120743,88,54755,51906,84,2101,2034,24,4834,4727,40,8922,8723,50,12311,11963,64,338310,321839,85,0.102959
216938,169819,104,99045,79143,104,3269,2396,33,7197,5613,52,13799,10479,66,17705,13381,78,466783,365094,106,0.103968
112899,107887,86,48895,47235,82,2229,2127,23,4146,4314,35,9306,8794,55,12897,12052,60,354864,330546,85,0.108006
147770,122542,94,72204,61054,92,1958,1404,25,4975,4053,45,8438,7010,51,11270,9238,60,299780,246114,87,0.108006
168742,139709,106,52056,43593,92,2314,1779,27,4795,4018,42,11207,9670,59,14864,12444,69,412647,352496,95,0.115071
147818,131613,89,87242,79942,89,2445,2252,26,6374,5815,44,11195,10731,56,14639,13863,71,428256,410721,96,0.11709
111112,102799,85,34992,32746,80,1608,1659,18,3784,3552,34,7700,6901,49,10656,8972,59,300079,269039,91,0.124156
139806,127470,91,49578,46156,84,3199,2962,30,5682,5608,41,11762,11466,62,14682,13721,76,439232,411616,91,0.126175
150613,133557,94,70199,63768,89,2268,1759,27,4857,4436,39,10774,9919,54,15729,14759,65,404528,366361,93,0.129203
