"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
144541,127161,96,91383,81773,89,2274,1999,23,4121,3150,40,9214,8334,50,11206,9945,63,353710,313381,95,0.00299103
143144,126999,99,59715,52332,87,2200,1862,24,3574,2696,38,9324,7700,58,13061,10196,75,343374,280046,90,0.00398804
36427,36700,70,21689,21678,58,799,810,0,1006,975,0,1884,2005,21,2941,2805,31,79259,76718,74,0.00398804
128597,117152,86,64084,60054,86,2003,1797,22,3135,2736,36,7755,6994,52,10696,10142,54,313116,292052,90,0.00498504
109806,102802,83,86580,80938,85,1513,1647,19,3388,3288,36,7378,6744,46,9999,9030,53,307887,279759,86,0.00897308
256832,181619,118,150633,107232,114,3939,2758,39,8011,5499,62,18613,13139,80,22761,16496,89,667436,481256,123,0.00997009
95236,90271,85,70313,67181,82,1705,1459,18,2633,2649,30,6500,6048,47,7878,7264,54,251692,228295,85,0.00997009
121880,114356,88,88811,85328,84,2579,2590,25,4229,4148,37,9150,8423,52,12685,12054,65,363467,317684,87,0.0129611
51790,51159,76,22749,22418,65,584,513,0,1181,1098,7,2352,2518,28,3610,3925,30,111932,114806,72,0.0169492
177386,141315,103,85602,67801,93,2872,2401,29,4707,3780,48,12443,9243,68,15301,12077,72,437927,349013,89,0.0179462
27423,26345,71,15749,15706,50,405,455,0,597,758,0,1510,1734,19,1711,1827,22,58126,61391,55,0.0199402
91712,88824,84,34539,33377,78,1087,949,0,2258,2274,24,5194,5203,36,7203,6944,45,205728,201358,81,0.0199402
131819,120363,86,74595,68971,85,1956,1718,23,3841,3707,36,9914,9036,56,13715,12475,66,393591,365438,86,0.0209372
100226,89580,95,55196,49881,84,1621,1362,14,2802,2537,26,5720,4777,48,7467,6809,45,218029,191616,82,0.0219342
113370,104303,88,55416,51974,86,2417,2255,25,4112,3540,43,9533,8689,53,12413,10205,63,364880,312206,101,0.0219342
136133,116229,87,54355,45625,88,2197,1948,25,4686,3620,41,10327,8606,60,12333,9822,64,365478,318520,88,0.0219342
144496,112502,102,69565,55160,92,1575,1365,20,3347,2917,36,8356,6528,54,10014,8560,56,305090,250987,79,0.0229312
109325,101439,90,55969,52578,83,1928,1757,22,3717,3581,37,8503,7881,52,11564,10468,62,351509,310032,87,0.0229312
111809,105129,81,90940,87374,83,2247,2263,23,3725,3550,35,8754,7715,55,11905,10213,59,343195,312660,88,0.0239282
147477,134942,90,104019,94756,88,3246,2856,29,5937,5610,40,13971,12833,67,18649,17001,80,550646,491210,92,0.0239282
70394,66230,80,37719,35410,79,1262,1044,6,2507,1901,26,4494,4242,38,6031,5703,47,168897,157468,81,0.0269192
88968,85488,80,47908,44708,81,1263,1136,10,1916,2367,25,5488,5285,43,7802,7709,47,217193,213578,87,0.0299103
179260,147763,95,127417,112169,92,4123,3540,35,8342,6781,50,16805,14097,71,24808,19224,88,679997,538335,98,0.0299103
77738,75577,82,37071,35575,78,875,896,0,2153,1752,20,4732,4588,39,5927,5421,47,178241,174042,78,0.0309073
105535,97880,91,59280,54644,82,1543,1336,16,3118,2520,35,6763,5972,48,9514,8761,59,278017,254816,88,0.0329013
110903,101495,86,67543,62885,84,1778,1859,21,3773,3424,34,8131,7222,49,11941,10488,61,341874,296824,90,0.0329013
79969,75299,80,34552,31215,78,1039,917,0,1728,1561,17,4878,4425,39,6226,5823,43,178721,160371,80,0.0329013
198973,169173,102,86461,74380,93,3062,2699,33,7178,6007,50,16255,12811,74,20375,16002,80,592482,467450,99,0.0338983
92796,88319,94,46102,44506,79,1525,1354,16,2293,2444,24,5527,5265,43,7634,7379,48,219505,206143,86,0.0348953
130594,113704,96,60528,52529,88,1897,1618,21,4325,3582,39,9571,8342,53,12414,10557,75,366468,309156,93,0.0348953
137567,121591,94,70781,64335,87,2095,1854,24,4156,3924,38,9528,8218,54,13475,11100,65,389199,330802,93,0.0368893
96019,92103,85,44112,42926,80,1061,1036,6,1664,2055,20,5720,5320,43,7093,6376,46,209258,208107,78,0.0368893
114090,104549,88,55358,50631,84,1905,1600,21,2967,2398,33,6708,6134,47,8015,7490,48,254674,224576,91,0.0378863
17898,18034,50,11318,11551,44,317,246,0,669,757,0,957,1178,9,1767,1906,21,42855,43979,66,0.0378863
97214,92957,87,45366,43611,79,1571,1469,16,2305,2253,26,6489,6472,42,9563,9637,49,273441,262298,87,0.0388834
187152,142468,101,125630,101947,99,3222,2290,33,5986,4568,47,15230,12150,65,19854,14971,87,585623,450353,103,0.0398804
178334,143486,95,117647,99325,95,3057,2721,31,5822,4779,46,13824,11368,64,18654,14335,74,543248,435759,100,0.0398804
83869,79787,85,35354,33307,79,1295,1274,13,2680,2437,27,5411,5544,40,7126,6438,42,213053,200108,83,0.0418744
82066,79485,78,42744,40954,78,968,927,0,2067,1696,26,4626,4582,35,5929,5588,42,161771,153167,85,0.0418744
124698,111448,87,87689,78893,87,1891,1928,21,3437,3302,33,9205,7821,54,11505,9904,61,348522,289836,93,0.0418744
172439,131754,98,85126,65814,97,2348,1890,26,4731,3723,44,10785,8627,64,12701,10468,64,380369,308358,84,0.0438684
124786,105878,105,69079,58476,105,1561,1390,19,3657,3417,31,7432,6219,52,10995,9422,61,314124,258341,105,0.0438684
53480,52844,76,21090,20770,61,710,636,0,1307,1114,16,2884,2863,28,3730,3724,32,116089,116650,74,0.0438684
53952,51196,72,21863,21485,64,470,461,0,1382,1154,13,2791,2785,29,4496,4072,36,128434,126779,77,0.0448654
104238,96321,83,55906,52871,82,1662,1497,18,2937,2617,28,7333,6965,48,9493,8641,54,299471,271933,87,0.0448654
50105,50036,77,26352,25946,73,803,622,0,1095,1335,14,2585,2780,28,3725,3511,34,103977,102425,76,0.0448654
96041,91616,82,56864,53763,81,1509,1524,19,3945,3177,41,8102,7622,50,11685,9991,64,318514,292045,84,0.0458624
139684,124820,97,71332,64194,87,2398,2279,24,4200,3751,35,10468,9199,60,13701,12228,67,386357,335700,90,0.0458624
120748,107306,97,63399,56222,85,1739,1713,20,3589,3213,32,7159,6678,48,11453,10384,60,326491,281990,86,0.0468594
35691,35095,70,15523,15467,51,191,305,0,516,841,0,1787,1894,22,2098,2037,24,68764,72193,70,0.0478564
30063,28881,69,11744,11767,45,404,332,0,1030,1078,6,1535,1582,17,2344,2786,25,58172,61128,63,0.0498504
22435,20917,70,10493,10570,43,57,128,0,450,786,0,1219,1258,13,1646,1804,21,49067,49337,62,0.0498504
125900,108290,90,61140,51036,88,1791,1628,19,3774,2990,34,8129,7321,54,10810,9023,64,303988,263534,82,0.0498504
123886,107330,89,88854,79369,88,2615,2353,28,4364,3778,39,10013,8684,57,14156,11581,68,393566,337758,90,0.0508475
127458,113776,91,73806,66912,86,2250,1999,23,3657,3076,36,8212,7407,50,10778,9369,63,326673,291091,88,0.0508475
87306,81296,90,49740,46209,81,889,868,0,2665,2335,25,5872,5593,41,7420,7369,43,221019,210451,81,0.0528415
59384,59388,76,16983,16683,51,993,1089,7,1806,2147,22,4502,4424,35,7251,7706,42,211954,203921,80,0.0538385
99371,92976,84,51204,47167,82,1375,1276,15,3192,2479,31,5355,4848,40,7037,6226,43,207654,197645,82,0.0538385
15794,15051,54,9290,9458,41,201,140,0,370,334,0,868,1056,5,1356,1534,19,38998,40419,54,0.0538385
44199,42906,76,25817,25040,73,662,532,0,719,588,0,2063,2091,22,2453,2671,25,79117,78073,70,0.0548355
85740,82125,80,38684,36929,79,1364,1231,11,2199,2135,30,5910,5527,41,7935,7891,48,230468,223802,82,0.0558325
95291,89556,82,35408,33538,78,1110,981,0,2604,2182,30,5748,5681,42,7560,7032,44,214674,205554,83,0.0568295
94260,87714,85,31842,30573,79,1146,1360,14,2535,2516,28,5446,5364,40,7485,6916,50,215422,210920,82,0.0578265
44337,43626,73,17744,17776,51,586,569,0,846,1040,4,1983,2037,22,2803,2717,29,86967,87413,74,0.0588235
121484,112024,88,83353,79543,86,2153,2078,26,3927,3857,35,10318,10212,52,13906,13570,69,370428,346955,94,0.0588235
101653,97576,82,36383,33911,79,1513,1413,17,2873,2855,29,6877,6961,43,7713,7837,48,249596,236751,87,0.0608175
77520,71480,84,36298,32990,79,1375,1362,17,2153,2378,28,5437,5190,41,7766,6718,49,220923,197890,86,0.0628116
47223,43676,86,32008,32220,73,741,641,0,959,1292,12,2170,2139,23,2699,2841,28,86482,88258,72,0.0628116
34701,34439,63,16284,16672,48,292,288,0,223,695,0,1889,1902,20,2118,2157,24,67137,68158,72,0.0628116
86945,80526,89,52313,48752,82,927,1057,5,1960,2013,20,4894,4178,44,6663,6100,46,179909,166042,86,0.0628116
104963,96820,83,61130,56424,84,2140,1996,24,4172,3687,37,9480,8485,54,13294,11987,64,366648,320721,93,0.0677966
129767,107914,87,76419,63981,89,1867,1626,22,3361,2822,34,8789,7046,54,11028,9013,68,335930,291658,84,0.0697906
85105,79551,85,57181,53998,81,1784,2021,19,2537,2519,26,6820,6135,46,8341,7788,51,253778,228296,88,0.0697906
88135,77697,86,46281,39887,86,1429,1409,15,2320,2086,27,6054,5503,46,7833,6830,49,222720,214467,68,0.0707876
97372,89052,84,55809,49702,84,1356,1308,12,2998,2006,35,6871,6052,48,9639,8047,52,258247,224028,88,0.0717846
36692,36595,72,13709,13961,46,551,573,0,948,786,0,2070,2149,24,2786,2920,28,76155,75103,73,0.0717846
35937,37582,61,18202,18592,52,508,514,0,768,1140,7,2297,2141,27,3191,3303,30,93304,93547,67,0.0717846
48232,46613,75,18798,18688,54,341,561,0,1212,1194,12,2519,2376,29,3329,2940,37,94726,92742,80,0.0727817
36980,35190,73,13323,13537,46,369,416,0,1100,1143,10,1985,2037,23,3391,2999,36,90241,88844,69,0.0777667
91263,88266,81,45003,42533,80,1165,1139,12,2000,1761,27,5675,5435,40,7471,6963,44,223790,217002,84,0.0787637
156343,127656,104,71934,60800,91,2699,2071,30,5352,4075,45,11850,9972,62,15738,12645,79,464261,386642,89,0.0797607
52909,51828,77,21797,21338,61,587,546,0,1436,1580,16,2755,2843,27,3676,3812,32,123242,122494,74,0.0797607
127259,116896,92,73507,68861,86,2024,1926,23,4005,3988,34,9010,8096,50,12279,10646,60,336676,291379,88,0.0817547
92225,87049,83,43004,40185,81,1181,1166,11,2281,2264,27,5565,5271,42,7793,7138,47,218354,203499,82,0.0827517
28534,28243,68,13139,13164,47,280,402,0,680,685,0,1523,1500,20,2514,2465,30,62519,63859,70,0.0857428
180463,130571,101,79683,57397,101,2699,2018,28,4719,3442,44,9838,6648,64,14284,10774,72,393048,292856,86,0.0867398
75825,74068,79,30491,29590,76,1125,980,0,2685,2556,28,5813,5958,40,7754,7550,45,241413,241325,82,0.0877368
102133,93147,89,69335,63991,84,1307,1178,13,3076,2939,31,6467,5552,46,9185,8062,51,248427,228586,90,0.0887338
51726,51597,68,22109,22267,59,573,761,0,1170,1043,7,2663,2624,28,3095,3770,27,96871,96106,74,0.0887338
186144,156134,110,120033,103455,93,3147,2766,31,5882,5017,47,14034,12106,66,19489,15534,82,534138,429386,102,0.0897308
162963,139764,92,78391,68909,89,2625,2026,29,5023,4085,41,10500,8659,55,14144,11237,62,433796,339019,97,0.0897308
130113,121242,88,103510,99346,85,2726,2672,27,5465,4448,42,11064,10032,60,14926,13866,69,432896,372195,91,0.0907278
121408,112329,100,65873,60668,86,1778,1733,21,3851,3147,37,8137,7546,45,11229,10430,56,321715,296208,92,0.0917248
132860,117466,104,63249,57450,86,2108,1886,23,3161,3126,32,8526,7657,50,11528,10447,57,338888,298197,94,0.0957129
103411,99106,84,45654,43667,81,1359,1249,14,2520,2341,27,6144,5715,45,8698,8117,53,250198,239084,86,0.0997009
72308,72344,78,38336,37744,77,1161,1147,11,2027,2121,24,4884,4691,39,6633,6228,44,194457,194195,79,0.0997009
80885,79373,78,39172,38474,77,871,943,0,2948,2264,34,5256,5369,38,6991,6908,45,205148,202329,72,0.100698
107331,98423,86,44114,40312,83,1265,1109,9,2365,2157,26,5809,5822,40,7877,7352,47,216216,194989,85,0.101695
120461,107371,89,50907,44977,85,2188,1916,23,3365,3195,35,7587,6321,47,10473,8944,69,284584,249723,91,0.102692
101999,90215,86,51588,45095,86,1388,1164,10,2204,1998,28,5467,4836,42,7252,6438,47,203365,181619,85,0.103689
149820,121687,107,71639,57980,89,2484,2041,28,4053,3186,37,9494,7532,57,14371,11774,76,379113,322741,85,0.103689
124838,101730,90,54986,44614,88,1712,1506,18,3066,2586,26,7474,6089,54,8370,7393,54,276299,232368,85,0.103689
97672,90629,82,45534,41753,83,1307,1186,10,2878,2832,33,6833,6163,49,10042,8927,55,276712,245304,86,0.104686
26257,25795,66,12724,12516,47,330,407,0,546,570,0,1605,1864,18,2176,2324,23,53332,50293,69,0.107677
147822,126410,97,59595,50698,90,1662,1490,19,3685,2952,37,8992,7529,54,11855,9604,58,331523,264475,101,0.107677
83448,79116,84,47640,44600,81,1114,1173,8,2490,2467,26,5767,5213,43,8574,8068,52,219044,205841,80,0.109671
76138,75117,77,39376,38379,76,1102,986,0,1610,1793,21,4804,5119,36,5914,5955,38,184719,180008,78,0.109671
