"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
92683,88172,81,51384,49738,80,1930,1800,23,3284,3389,30,5774,5709,41,7993,7589,50,232427,224026,84,0.00486204
65544,61958,75,33478,30699,79,1301,1100,8,1458,1871,17,3732,3278,33,5708,5407,41,142722,138124,78,0.00583445
148158,121678,107,96799,79964,92,2206,1905,25,4294,3579,40,8929,7461,56,13876,10932,70,345220,285175,90,0.0116689
90778,87205,81,64983,62412,80,1739,1743,20,3471,2923,33,6725,6596,45,11071,10235,58,278724,258867,83,0.0155585
110400,105501,84,85446,81351,84,1738,1646,19,2906,2573,32,6695,6390,42,9204,8037,51,248349,224431,88,0.0155585
171208,134340,99,105625,83737,97,2616,1980,27,4564,4002,38,10760,8546,56,13639,10538,72,389058,304510,98,0.0175033
82948,78022,81,51655,49974,79,1912,1714,21,2659,2279,27,6437,6495,41,8030,7571,48,224120,201910,84,0.0243102
119045,107641,86,59106,53055,85,2067,1887,24,2894,2873,29,6347,5051,49,9954,8533,58,247095,211954,88,0.026255
235641,182803,110,147658,111979,111,4087,3046,38,7414,5840,50,15701,12113,71,23472,17933,93,581942,461201,114,0.0291722
123625,111829,86,77735,72177,84,2239,1636,27,4020,3773,36,7792,6603,52,13124,11477,69,333115,286756,86,0.0291722
47226,44792,74,26268,26205,74,571,600,0,834,844,0,2118,2040,27,3279,3175,31,86429,84539,75,0.0320895
162911,131093,94,115402,94765,93,2810,2182,32,4161,3072,41,9260,7358,56,15042,11541,71,380289,296724,93,0.0320895
118773,102165,101,70403,61460,87,1535,1405,17,2821,2401,31,6808,5912,46,9351,7550,56,249907,212526,85,0.0340343
85877,82535,79,47202,45271,79,863,823,0,2276,2352,21,4473,4935,34,6410,6151,43,169362,166597,82,0.0350067
178069,160560,90,95713,86499,89,3354,3167,30,6379,5283,46,13826,11615,66,20623,17627,82,513544,417097,93,0.0398687
267078,201317,118,130699,103843,112,6029,5002,40,9740,7342,61,22263,17520,86,29995,24280,105,871663,708339,111,0.0408411
115787,100407,102,58850,52516,86,2310,2207,26,3597,3138,32,7210,6192,47,13013,11116,76,340347,292717,88,0.0418135
106813,100535,84,57615,55044,81,1745,1796,19,2717,2418,31,6294,5941,45,7342,6547,46,230288,223432,81,0.0437584
236768,164936,119,108698,76897,115,4794,3320,41,8410,5634,66,18341,13313,81,24051,16625,87,660715,485034,117,0.0447308
124117,110261,86,57483,50242,85,2065,1785,24,3215,2687,33,7833,6952,50,12050,9658,69,330463,284537,89,0.0495928
122382,114197,87,81107,77965,84,2479,2395,26,4199,4310,34,8968,8534,51,12480,11931,59,358862,326098,91,0.0534824
