"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
171966,147747,100,85223,75133,92,2120,1929,23,3912,2715,37,6260,5142,47,7901,6498,52,187869,154326,87,0.00131234
166021,149234,94,61561,55169,89,2855,2586,27,4029,3239,37,6868,6271,47,9902,8799,51,220500,202698,87,0.00131234
209290,170266,97,77963,64063,96,3319,2882,31,4359,3888,40,9875,8631,53,13077,11989,61,284497,249484,96,0.00131234
256357,176324,137,95284,72593,118,3760,2574,37,5680,4280,47,11268,9065,56,16812,11574,80,339044,271781,117,0.00262467
118734,114499,85,34332,33064,80,1648,1634,19,2433,2221,23,5267,4890,41,6453,5783,42,158425,151110,81,0.00393701
122172,117951,84,51882,49999,81,1306,1181,13,2344,2230,28,5711,5233,40,6133,5611,46,244783,235824,87,0.00393701
214526,164923,113,113896,89417,103,2831,2207,31,4380,3932,38,11655,9161,63,14411,11645,66,500326,407116,103,0.00393701
36543,36514,69,14602,14632,48,270,398,0,677,441,0,1073,1125,8,1561,1491,15,56470,55103,71,0.00524934
123586,113457,102,52417,49355,84,2034,1951,22,2626,2605,29,5255,4776,40,7276,6867,47,152165,144936,84,0.00656168
125891,117384,86,70346,64390,85,1683,1547,20,2722,2467,30,5705,5267,42,7892,7035,50,174902,159094,86,0.00656168
53209,54623,73,20434,20703,55,442,564,0,578,987,0,1840,1751,21,2603,2637,28,60981,60694,75,0.00656168
122061,120702,83,46433,44543,82,1892,1856,21,3328,2980,35,7817,7411,49,11056,10114,60,365452,351858,79,0.00656168
129320,118347,86,51157,45892,85,1858,1656,22,2229,2427,29,5884,4821,46,7050,6111,49,159216,146268,78,0.00656168
293058,212851,144,96403,68446,126,4604,3434,40,7141,4861,52,12449,9386,63,18652,13407,76,403572,309210,125,0.00787402
234835,147720,126,87020,58655,119,2871,1821,25,6072,3737,64,11913,8239,75,14227,9270,76,451174,339448,121,0.00787402
143983,128981,87,46072,40632,84,2227,2049,26,3172,2641,30,5436,4982,41,7742,7165,42,162132,150320,82,0.00787402
115663,111059,84,41138,40057,81,1243,1160,10,2600,2507,27,5434,5078,42,6480,6216,46,235470,222087,84,0.00918635
205974,160239,108,71425,54831,105,2745,2250,31,4693,3301,40,7993,6598,52,11697,8997,68,234935,198592,102,0.00918635
85033,80691,91,26808,25112,77,1192,1147,7,1211,1584,18,3564,3303,33,4493,4318,34,109641,108206,79,0.0104987
105522,100801,82,31630,29993,80,1166,1051,10,1849,1725,18,3454,3317,33,5439,4965,41,110510,103453,79,0.0104987
124482,122606,84,55430,53787,81,1196,1054,6,2614,2977,33,5844,5450,44,7842,7202,49,266763,252251,76,0.0104987
127429,121520,88,49314,46537,82,1675,1546,18,2434,2272,30,5292,5054,40,7080,6294,45,161921,150580,79,0.011811
65754,62677,92,16652,16660,51,850,856,0,1122,923,0,2307,2315,26,3185,3194,30,80482,79392,73,0.011811
177985,156030,100,77944,68521,92,2086,2002,23,3011,3030,29,6309,6035,44,8484,7015,57,190257,156889,83,0.011811
60584,60796,76,25036,24939,73,954,1121,8,1155,1389,12,3053,2922,30,3449,3543,33,83307,82466,71,0.0131234
