"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
209080,184578,94,110247,97687,94,2514,2274,26,4438,3848,39,10536,10031,53,16145,14255,71,501102,470955,93,0
168767,152492,99,117193,109207,91,2307,2105,25,4121,3895,36,9965,8759,52,11172,9969,59,420120,350237,80,0.00100575
290205,208023,121,134071,97063,122,3209,2324,34,5261,4049,43,14070,10226,68,21019,16161,82,663377,502953,124,0.00301724
181964,165811,93,74909,69744,89,2329,2333,23,4060,3925,36,11351,10488,59,13234,12057,68,495134,464923,91,0.00502874
213045,182649,104,87207,74965,97,2104,1854,23,3887,3586,34,8671,7898,51,12010,10973,68,425424,387096,95,0.00704023
122476,116211,89,45296,43272,81,1451,1480,15,3174,2864,33,8231,7657,53,9094,8383,50,335706,314363,84,0.012069
211532,186526,108,79773,69660,106,2789,2355,27,4973,4468,41,10970,9871,59,15628,13609,71,524393,468713,107,0.0130747
91830,90080,82,35945,35205,78,613,767,0,1161,1150,8,4193,4134,35,5002,4672,39,180938,172484,80,0.0150862
150409,138339,102,44672,41680,84,2067,1787,23,3742,3720,32,8360,7951,48,10488,9544,58,375369,358274,87,0.0181034
125749,118807,88,36741,35305,82,1616,1369,16,2845,2435,32,6565,6075,42,8941,9293,49,304715,291514,85,0.0181034
121865,117481,82,40666,38848,79,1349,1224,12,2282,1678,25,4360,3852,40,7151,6364,49,224771,212848,82,0.0211207
218538,179306,105,113039,96144,102,2339,1836,28,5015,4330,43,10976,9526,58,12771,11108,60,491876,434140,104,0.0211207
183201,163894,95,66807,59367,90,1609,1209,14,4076,3436,39,9224,7773,59,10830,9338,60,414049,364890,84,0.0251437
126201,120107,88,40675,38891,82,1342,1222,11,2260,2257,25,4619,4159,38,6735,6230,47,235144,224904,82,0.0402299
279840,207916,110,92155,67297,105,3227,2546,34,6368,4474,52,13263,10102,71,17212,12214,79,596089,477492,104,0.0402299
296078,222272,130,132814,98287,123,3580,2692,36,6212,4608,47,14165,10743,74,21100,15111,85,685499,536851,120,0.0452586
147422,138590,89,56658,53880,85,2018,2028,23,3512,3350,32,8028,7670,49,10607,9895,62,353038,326922,91,0.0462644
155904,144087,87,46460,42124,85,1868,1729,20,3447,3147,32,7962,7254,50,10649,9338,59,395665,377000,88,0.0502874
138022,130563,92,44554,41363,86,1681,1744,19,3123,2913,30,7472,7058,47,10661,9280,62,361848,346486,86,0.0512931
137229,127751,87,42985,40546,84,1567,1624,15,1901,2128,23,6460,5881,45,9282,8282,52,303880,282813,79,0.0553161
143008,132302,90,58472,53683,86,1270,1423,13,2914,2688,30,7418,6647,48,8784,8297,51,323088,309912,80,0.0613506
170595,155563,89,62805,57997,87,1634,1303,17,2971,2511,30,6923,6297,44,10271,8526,57,321067,289659,89,0.0663793
155829,144055,93,52261,48075,87,2038,1738,19,3448,2973,32,7792,7217,51,10256,9288,52,372921,355798,86,0.0673851
157438,147822,93,61371,57500,87,1543,1426,19,2450,2776,25,6854,5861,46,9550,9008,56,325908,299441,89,0.0673851
210535,187375,96,129496,118822,97,3330,2821,35,5142,4894,38,12506,11519,58,17222,15146,67,595613,523407,98,0.0673851
145001,136319,98,69552,65955,87,968,1152,9,2928,2548,28,6046,5622,43,9851,8995,50,300646,279032,89,0.0693965
169262,150945,92,83592,75622,91,2241,1918,25,3281,2858,33,8589,7644,51,13472,11178,68,415055,365119,91,0.0704023
287728,224611,134,133389,107042,121,4235,3452,38,7574,6525,53,17946,15259,71,25247,20426,82,848060,741753,115,0.071408
161219,150961,89,58550,54145,86,2001,1804,21,2642,2594,30,6887,6077,46,9910,9332,52,329736,295666,86,0.0724138
140176,125987,89,45858,40561,86,1495,1300,18,2365,2417,26,6441,5577,47,9618,8889,56,315229,300415,88,0.0764368
117879,112277,84,47508,45766,82,1258,1337,14,1384,1759,15,5158,4931,39,6823,6508,43,235438,222926,85,0.0784483
204100,165367,101,82924,65975,99,1878,1572,24,3759,3183,38,9959,8402,56,12680,10507,61,460899,396073,94,0.0864943
305374,211566,133,103498,69019,130,3347,2392,34,6852,5363,47,14294,9867,66,22605,15202,85,733319,513935,127,0.0875
152829,141157,93,79064,73910,87,1756,1403,21,2761,3330,32,7336,7001,46,10946,9637,57,351580,328311,84,0.0905172
164846,147400,92,72475,63254,90,1762,1724,22,3088,2799,38,8044,7505,45,10443,9606,50,373628,343117,91,0.0945402
296136,226857,126,95270,73985,115,3449,2785,32,7104,5832,47,16108,13148,71,25229,20448,104,807302,702093,112,0.095546
73739,73829,76,29288,29397,74,361,545,0,1156,1066,7,2073,1819,23,3052,2840,33,108832,107828,74,0.095546
125054,118348,91,52874,50607,82,1333,1096,14,2576,2367,30,6201,5971,41,6197,6168,42,244319,230562,80,0.095546
304723,232297,120,88778,64242,118,3835,2699,36,7389,5442,57,16692,12604,76,21424,15970,94,732503,543924,108,0.0975575
216196,165682,105,88905,68761,99,1849,1616,22,3647,3174,35,9414,7242,63,11609,9363,66,431377,354759,100,0.100575
196215,159917,103,67553,55083,94,2469,2014,26,4583,3723,39,10674,8973,57,11844,9505,61,441413,388615,97,0.10158
192472,160610,97,71592,59377,93,2136,1860,23,3718,2912,38,8673,7247,55,11139,9322,67,385369,336641,92,0.103592
110195,108446,82,51977,50182,81,1145,1162,10,2943,3037,27,5858,5476,41,6336,6059,42,258560,249534,83,0.108621
321842,224230,126,126125,86804,124,3493,2405,34,6730,4335,51,15092,10839,70,23072,15946,89,698780,514821,123,0.108621
186903,163767,93,67886,58322,90,1931,1843,21,3664,3323,32,7726,7016,50,12223,10559,61,395061,353565,108,0.108621
145997,135003,102,51291,48123,84,1407,1344,14,2381,1986,29,5777,5548,40,9502,8352,58,286382,265840,78,0.109626
218181,183821,103,69697,58714,97,2440,1675,28,4769,3692,35,9543,8020,53,15050,13260,64,478460,428524,99,0.110632
139394,133836,88,84856,81559,85,1676,1711,19,4321,3930,32,8023,7555,48,8846,8085,50,329414,319968,83,0.110632
287578,201490,119,260830,210949,115,8225,6385,45,14086,11132,64,34261,27179,105,48364,36955,110,1.04858e+06,1.0385e+06,121,0.110632
173536,158460,98,44122,41914,86,2095,1911,25,3981,3639,32,8377,7692,48,11344,10958,59,409081,369999,91,0.111638
197542,174095,98,84764,73721,94,2573,1915,29,4025,3548,37,9961,9218,50,14576,12539,71,474647,434873,96,0.113649
151641,142408,88,64552,60398,87,1802,1557,19,3475,3395,29,7190,7155,44,11334,10395,61,356103,328073,87,0.115661
156910,142296,93,61712,57061,88,1732,1560,22,3078,3169,30,6589,5731,46,10604,9795,57,303654,269476,87,0.116667
310326,221964,127,107895,73112,126,3135,2199,34,5680,4137,45,11812,8763,63,20592,15039,82,644284,482933,124,0.116667
142751,128475,99,59870,54770,87,1348,1225,13,3460,2577,32,6943,6126,49,10199,9705,54,343338,321955,85,0.117672
172355,151778,94,62778,55051,91,1844,1661,21,3401,3510,32,9112,8266,54,10780,10583,59,387694,361835,88,0.12069
375135,233140,156,171930,103832,151,4161,2315,39,7666,5086,56,18427,11852,87,28119,18139,105,870563,557703,145,0.12069
153873,137378,93,64945,55679,92,1655,1180,17,2871,2647,28,7152,6337,48,8634,7513,59,326369,301538,89,0.126724
161610,141901,93,52957,46267,89,1713,1343,19,3117,2434,36,7624,6404,51,8489,7667,51,318169,269309,82,0.126724
140159,131128,88,61083,57615,85,1629,1652,20,2507,2465,29,7073,6792,44,8360,7510,54,320353,304047,81,0.12773
149568,140082,92,41607,39128,84,2055,1847,22,3349,3276,34,7887,7404,48,11537,10943,65,392343,361758,86,0.129741
212821,190118,94,110568,99141,93,2009,2001,22,5065,4657,38,12299,11527,63,15197,14252,70,531439,499581,92,0.131753
182917,152751,93,64012,51859,92,1523,1014,8,2854,2237,32,6988,5957,47,10310,8350,62,345892,293236,109,0.131753
56095,57275,74,24080,24189,65,185,364,0,766,823,0,1683,1883,21,2192,2173,25,78578,76964,74,0.131753
124061,120105,85,45006,43988,82,1265,1258,15,2270,2123,24,4748,4270,38,8171,7773,47,259034,243051,82,0.131753
151463,140745,105,60399,57157,87,1595,1579,17,2787,2232,35,6875,6430,42,9059,7562,57,304308,282042,90,0.138793
182199,164609,96,79828,73678,93,2528,2330,25,3164,2997,32,9241,8401,53,14014,12275,67,435791,391878,99,0.140805
142558,137961,87,83964,81745,83,2008,1529,24,3488,3448,34,7769,7214,48,11297,10471,58,389527,357509,86,0.140805
196782,168403,98,81978,71004,92,2059,1726,19,4275,3813,34,9261,7902,50,14704,12902,65,448705,406333,99,0.14181
246860,190674,109,107009,81431,107,2726,2144,29,4788,4130,40,11893,9383,61,13896,10511,73,534948,432926,112,0.14181
168492,152877,91,64481,57507,89,1805,1574,19,3512,3179,32,6919,6515,44,10442,9780,56,358051,318244,87,0.142816
