"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
108000,103640,82,43170,41958,81,987,993,0,2515,2111,29,5362,5498,37,6142,5465,46,221628,213667,88,0
95292,91143,88,52954,51236,81,1549,1632,16,2444,2395,29,5469,4972,44,7115,6817,44,183718,176498,90,0
61567,60593,75,24309,23637,74,596,703,0,1163,1069,5,2880,2783,29,3393,3450,30,90238,86165,84,0.00083091
37050,36464,72,18978,19052,54,644,463,0,624,965,0,1138,1320,11,2094,2117,25,52168,51890,75,0.00166182
78568,72452,81,41591,38612,80,1132,1232,10,1781,2033,21,4017,3622,37,5329,4412,43,163101,147526,89,0.00166182
92847,86467,84,33408,30406,81,679,805,0,1418,1224,14,3866,3819,34,5014,4800,39,129724,121629,87,0.00249273
217916,165704,101,81915,60566,99,2564,1962,29,5222,4426,45,11826,8981,60,14909,11550,64,531441,410302,108,0.00249273
119358,112368,85,56420,52838,84,1651,1591,20,2648,2376,29,6145,6204,40,8808,8360,46,209855,201628,90,0.00249273
180294,151559,96,62982,53350,92,2001,1518,24,3410,2975,33,7364,6896,45,8251,6840,51,317213,280506,101,0.00249273
38693,38329,73,14819,14874,48,242,193,0,487,659,0,1202,1142,12,1407,1404,17,44814,45033,71,0.00332364
45556,44141,76,17863,17957,54,149,401,0,672,1042,4,1950,2072,22,2323,2701,26,80570,82023,81,0.00332364
124062,117122,90,59408,56432,83,1711,1525,19,3038,3080,29,8266,8028,47,9246,9219,46,343945,313436,91,0.00332364
187847,160645,99,109405,97036,95,3297,2708,30,5416,4298,41,10662,9458,53,15205,13460,74,374949,344858,100,0.00415455
104322,102051,86,72955,71665,80,1455,1392,19,3007,2996,33,7344,6764,46,9339,9202,53,332798,324316,89,0.00415455
70953,67024,84,23295,21893,79,769,812,0,1450,1327,14,3267,2948,31,4481,4221,36,113328,98694,95,0.00415455
105174,93498,86,37385,33234,83,1054,1088,8,1881,1980,23,4796,4042,40,6944,6293,48,174180,149253,81,0.00415455
109569,97049,86,53441,47835,85,1566,1427,19,2745,2453,28,5425,4813,44,7488,6631,51,189288,174680,92,0.00415455
127590,114080,87,53110,47648,84,1132,1088,7,1856,1845,24,3649,3126,35,5483,4402,47,156819,132679,80,0.00498546
30098,29774,70,12488,12856,44,262,250,0,569,473,0,1136,1022,4,1300,1507,15,46614,45347,73,0.00498546
103258,97701,86,52341,50908,81,1156,1036,5,2355,1937,29,5085,5054,38,7596,7464,48,263472,247266,91,0.00498546
78923,74273,95,19803,18619,57,909,1051,5,1344,1599,19,3460,3397,30,4758,4482,39,119084,115964,86,0.00498546
46410,45535,76,14415,14356,50,591,551,0,663,700,0,1750,1627,19,3163,3211,30,58586,58363,76,0.00581637
59261,58473,75,32086,31958,75,428,474,0,1538,1284,16,3057,3218,30,3910,3707,36,112661,108048,79,0.00664728
123778,111509,86,49519,43619,86,1510,1403,15,2292,2164,25,5662,5246,40,7647,6684,53,197830,187327,93,0.00664728
68421,68076,78,26705,26254,75,801,696,0,1491,1254,11,2804,2683,31,3945,3113,38,109221,106445,85,0.0083091
131392,118058,95,69563,63305,85,2084,1867,21,3431,3427,33,6899,6538,47,10191,8869,58,258085,239442,91,0.0083091
84919,81425,85,33193,32076,78,734,725,0,1729,1514,17,3402,3352,33,4905,4664,37,130569,128780,84,0.00914001
124021,115258,85,51513,48944,83,1869,1677,20,2695,2950,27,7102,6754,46,8267,7717,49,293711,272659,88,0.00997092
72538,70090,78,34450,33566,77,1295,1122,9,1692,1872,20,3270,2935,33,4876,4786,41,126332,123436,80,0.00997092
108043,105033,85,57696,55747,80,1663,1710,19,3194,3075,34,5617,5283,39,6247,6368,42,186477,177514,83,0.00997092
131970,122325,89,48984,45488,87,1531,1633,20,3667,3078,35,8309,7848,47,10093,9926,58,341797,328869,90,0.00997092
45979,49161,63,19515,19775,54,382,368,0,674,978,0,1531,1430,16,1954,1807,24,67593,67409,68,0.00997092
199805,162744,99,92855,75069,96,2433,1967,27,5616,4908,46,12002,9839,63,14206,11808,71,484289,416761,101,0.0108018
85822,81548,89,38005,37223,78,1339,1055,9,1965,1915,22,4945,4692,39,7060,6563,47,177509,173668,79,0.0108018
116825,111510,85,45949,44526,81,1439,1477,16,2580,2370,28,6295,6074,42,8024,7411,48,274566,259743,87,0.0116327
120485,111434,91,48943,43686,85,1484,1306,17,2246,2287,25,5647,5198,40,8059,7450,45,198407,184458,87,0.0116327
132469,112505,95,59445,51851,89,1759,1592,22,2237,2327,30,6032,5363,46,8590,7555,56,217355,199143,88,0.0116327
122883,114534,85,67873,63115,86,1577,1504,20,3493,2820,41,8352,7919,51,10040,9403,53,360003,340075,91,0.0124636
72098,68692,93,32945,32621,76,755,799,0,1613,1306,17,2690,2763,29,3500,3390,30,103820,101244,78,0.0132946
127403,119567,87,43574,41361,83,1354,1498,14,2473,2723,28,5751,5137,43,7342,7679,41,198546,186232,85,0.0132946
103800,101283,81,56655,55856,81,976,1111,8,2081,1761,20,4068,3713,38,5628,4991,44,142402,127872,80,0.0141255
172586,156117,95,82917,73978,90,2709,2483,27,3835,3419,37,9178,8122,50,10404,9038,60,356499,334169,93,0.0141255
