"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
130902,94369,100,74936,54483,95,3607,2651,36,7159,5939,50,12006,10310,64,14364,11280,67,307101,341773,54,0.171429
79723,79581,85,31600,31093,77,695,679,0,2364,2472,25,3171,3024,31,2311,2339,26,88150,87638,69,0.221554
110642,99058,91,52032,47125,84,2117,1862,22,2464,2415,27,4772,4300,40,7171,6848,50,183038,178081,84,0.37594
188089,158059,115,71768,61915,98,2996,2550,29,3726,3443,38,8692,7270,54,11611,10130,55,306533,279880,97,0.43609
84698,79758,81,26666,25223,78,1476,1420,15,2049,2237,23,4102,3997,36,5821,5663,41,145438,138704,78,0.457143
104643,93286,98,35526,31588,84,1765,1639,20,2072,1955,25,4723,4058,41,6136,5569,44,153823,146202,80,0.478195
32022,30362,72,14742,14807,48,563,671,0,496,489,0,1415,1514,17,1985,1946,26,42759,43771,63,0.697744
110482,106229,81,44577,42848,81,1129,1381,12,2765,2596,28,6027,5802,41,7428,6934,47,252192,246281,87,0.78797
47965,45583,76,10548,10447,43,422,290,0,1506,1392,15,2149,2004,25,2528,2044,29,59504,58370,71,1.06667
125173,118555,84,71502,68229,85,1709,1700,18,3815,3517,33,7672,7629,48,9153,9218,56,315370,300547,82,1.09273
50967,49532,77,12743,12623,46,813,847,0,1282,1191,10,1894,2050,22,3266,3357,31,80861,81711,74,1.19599
33500,35136,66,14769,14703,49,595,562,0,836,979,0,1454,1449,18,2183,2051,25,51712,52479,55,1.24311
280061,203120,111,109812,78733,110,5710,4225,43,7592,6024,51,15903,12007,71,21534,16004,89,501017,401652,107,1.26216
124642,109926,100,65679,57534,87,1896,1438,23,3391,2765,33,5461,5261,39,7696,6555,51,184324,174276,79,1.32231
63922,58482,82,24535,22115,76,733,590,0,1180,1550,15,3007,2668,31,4119,3719,35,101545,94003,71,1.32932
66754,62510,81,23575,22245,75,1267,1144,13,1488,1774,20,3002,2925,30,3980,4105,33,111858,112788,71,1.76642
22109,20944,61,6975,7024,38,297,284,0,506,960,0,1153,1182,12,773,613,0,31774,32995,56,1.90376
52630,53203,75,13290,13098,46,828,724,0,870,999,0,2041,2020,24,3454,3024,34,75994,74361,72,1.90677
65649,62022,79,37474,35701,78,948,856,0,1527,1338,17,3159,3089,33,4731,4692,38,115704,118272,69,2.02506
63035,60723,79,18687,18188,53,1204,1024,4,1406,1333,16,3009,2881,32,4042,3996,35,87920,84339,70,2.58947
326646,186727,102,1.04858e+06,1.00016e+06,152,17059,5889,152,35450,14410,152,6095,3265,75,6741,3124,73,7340,7672,46,5.97193
150152,98034,90,-65536,141337,25,-1134,279,0,101,481,0,400,244,0,716,466,0,5535,2283,69,5.97393
32659,32861,63,14847,14607,48,243,241,0,1063,764,0,1606,1467,16,2307,2380,25,51032,53228,54,6.40501
73173,69463,89,37117,36165,77,1123,1133,8,1746,1831,21,4545,4566,36,4959,4370,39,183157,181412,64,6.41504
73789,71780,82,31562,30697,76,1336,1455,14,1475,1656,16,3330,3207,32,4862,4993,37,116127,112876,69,6.4391
58521,59478,67,16201,15695,52,1058,937,0,889,1214,12,3221,3187,30,4494,4431,37,103089,102540,71,6.4401
52770,51355,84,34031,32643,76,722,806,0,1275,1135,10,1851,1708,25,2632,2398,29,84428,84156,56,6.44411
108209,96190,87,53168,47788,83,1533,1167,19,2679,2086,28,5697,4874,46,8110,6905,53,182953,158341,76,6.44511
45626,46237,66,15073,14692,49,816,863,0,667,867,0,2232,2178,25,3051,3417,31,70814,76263,55,6.44612
64584,63459,78,32838,32101,76,784,687,0,1129,1367,13,2709,2829,31,3789,3769,33,87201,89696,57,6.44712
30497,30679,68,9037,9147,40,288,260,0,1061,700,0,1687,1692,21,1724,1923,21,54059,54597,64,6.45013
76878,69183,81,41973,37289,81,892,804,0,1505,1750,18,3373,3084,34,4915,4482,41,111115,104967,64,6.45213
120106,102210,87,35244,30442,84,1744,1483,22,1804,1538,24,4805,4121,42,7506,6538,58,170922,139516,70,6.45413
143950,117212,94,58366,47195,93,1995,1550,22,2617,2175,32,5839,4846,43,7931,6240,58,195535,162282,83,6.45413
40728,42381,71,16054,15891,51,585,569,0,248,679,0,1674,1503,20,2749,2536,27,51007,50519,70,6.45413
180900,139783,102,61760,48699,97,2675,2145,28,3050,2445,35,7135,5728,50,10160,8131,59,245751,194597,88,6.45514
132447,107179,90,56281,45656,90,2455,1962,27,3471,2863,38,6526,5034,52,9827,8170,57,211131,183739,71,6.45614
91520,81336,86,33214,29427,82,1594,1396,16,1242,1224,12,3312,2778,34,4783,4576,36,109155,103056,72,6.45614
