"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
66854,64961,77,28502,28331,75,563,746,0,1192,1456,15,2674,2606,28,2911,3299,28,105608,104683,61,0.00409508
45530,42209,86,14304,14414,48,195,244,0,860,993,0,1732,1734,21,2004,1807,25,70983,70504,66,0.00409508
131519,124829,86,64954,62060,84,1466,1485,17,3316,3336,32,7844,6988,52,8848,7949,49,316738,292923,75,0.00409508
116796,110725,88,51500,49310,83,948,1176,10,3217,3011,33,6670,6175,43,7728,7889,47,246880,235440,82,0.00716638
126591,121390,87,54457,51854,82,1693,1715,19,3633,3286,34,7810,7407,50,8165,7922,50,305997,301110,72,0.00716638
168175,145727,97,101189,91769,91,2050,1730,20,4774,4381,41,8863,8155,51,9609,8339,54,378472,349239,88,0.00819015
289941,200431,124,116272,81206,118,4095,2660,40,9266,6361,58,18466,13794,81,19784,13679,95,685600,516819,118,0.00921392
140301,129479,89,64140,59474,85,1605,1209,16,3778,3414,34,7793,7028,49,7679,7392,46,303102,288704,90,0.0112615
169122,147360,93,69753,60747,92,2204,1947,25,4656,4078,36,9715,8721,54,10711,9370,59,407656,380499,91,0.013309
123748,117451,84,57957,55944,84,1297,1344,14,3731,3685,32,7024,6584,43,7679,7306,47,315718,302948,86,0.0153565
108332,104269,88,61948,60070,82,1603,1575,18,3192,3024,31,6815,6647,41,7051,6304,52,275821,262968,86,0.0174041
170776,154366,93,68905,62328,91,2168,1954,24,4351,4378,36,9988,9093,53,10609,9925,58,396241,373826,92,0.0204754
153012,139837,88,64608,60990,87,2889,2580,27,5392,4981,45,11014,10221,57,12600,11733,66,433154,396105,92,0.0245705
214019,180160,110,95995,83963,97,2596,2060,29,6881,5956,49,11771,9600,68,14630,11868,73,490721,397994,96,0.0276418
158483,137323,91,70521,61313,90,1587,1418,15,3883,3764,36,8978,8179,53,10430,9359,56,379230,338958,92,0.0327606
91086,90591,83,32791,32054,77,876,1019,4,2201,1623,29,3623,3503,35,4351,4411,35,154196,148438,70,0.0368557
