"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
110869,107442,84,47192,45438,82,1104,1006,2,1671,1866,20,5196,5072,37,5324,4650,39,195521,183823,82,0.00200334
33610,30845,72,15256,15515,49,259,158,0,376,521,0,1176,1287,14,1017,1158,8,49870,49664,70,0.00400668
191418,163323,110,71782,60061,93,1863,1571,20,4029,3893,36,9250,8332,50,10099,9076,58,368912,333047,94,0.00601002
56928,57325,78,26546,26602,74,466,472,0,1093,578,0,2079,1986,24,2337,2425,28,84264,81393,74,0.00701169
134995,116491,99,42419,36225,88,1487,1438,16,3258,2622,34,6685,5845,47,7604,6797,50,277235,255335,88,0.00801336
21189,23049,44,10195,10438,43,164,269,0,114,369,0,990,979,0,1443,1291,16,45151,46582,57,0.00801336
245661,189912,107,77519,59622,104,2682,2305,28,4608,3860,43,11187,9034,62,12305,9643,58,462340,380083,110,0.00901502
25285,26096,62,5779,5728,36,359,419,0,518,895,0,1460,1353,16,1521,1275,16,58867,61321,70,0.0100167
164027,134173,96,58725,49214,92,1479,1164,18,3016,2809,34,7268,6311,50,8125,6687,51,317409,274130,97,0.01202
29934,30781,67,14251,14095,47,-104,146,0,717,881,0,1220,1319,13,1424,1194,12,49066,48554,67,0.0130217
230765,168049,110,86414,60700,103,2001,1270,23,4338,3689,40,10212,7793,63,11370,8471,70,422654,320918,110,0.0140234
79206,77723,81,36960,36861,77,687,777,0,1362,1513,14,4116,4082,36,4092,3519,39,144122,144715,79,0.0140234
122744,113868,88,49867,45862,85,1325,1120,11,1940,1811,24,6316,6273,43,7438,7041,52,272421,257508,87,0.0160267
170849,142824,97,67599,56760,93,1586,1530,19,3679,3447,32,8508,7473,52,9312,8228,51,350807,311787,96,0.0170284
36081,35617,70,14514,14594,48,144,178,0,765,847,0,1327,1321,13,1456,1112,8,55910,54486,67,0.0200334
361373,247358,140,224150,164470,137,5188,3981,41,10172,7052,58,26937,20224,110,28461,21268,89,1.04858e+06,826802,133,0.0200334
278009,179684,121,107201,68613,117,3279,2182,33,6562,4430,54,15006,9892,71,18292,11596,81,631230,420907,120,0.0240401
82974,78771,83,36208,35367,79,712,689,0,1585,1796,21,3529,3591,32,3732,3955,31,138686,138045,69,0.0250417
135709,114723,92,56179,47372,88,761,702,0,1828,2089,22,4822,3828,44,5588,4617,41,210573,179356,87,0.0270451
218664,187278,103,134948,120073,97,3208,2796,30,7006,6118,47,17457,15969,75,19300,17136,83,659644,587798,95,0.0270451
142577,124134,90,60580,49814,91,1414,1115,9,3483,2989,34,8730,7984,54,8434,7367,51,332683,302728,90,0.0280467
127868,120008,85,76121,71208,87,1279,1118,11,3042,2551,30,7073,6401,47,7451,6493,49,278646,253787,92,0.0310518
52772,54361,75,28822,29349,73,648,584,0,1475,1407,12,2126,2223,23,1627,1926,20,92218,90039,77,0.0330551
35174,33884,85,16758,16894,53,453,251,0,481,644,0,1412,1419,15,1203,1351,15,57578,57901,68,0.0360601
129374,119279,88,50277,45935,85,1432,1317,12,2330,2399,26,6034,5791,42,6644,6068,45,263466,253680,87,0.0370618
56035,56179,73,17575,17372,52,441,406,0,1140,967,0,2177,1972,24,2253,2158,25,89660,86282,76,0.0400668
54911,55668,76,21483,21571,63,251,319,0,1143,1128,10,2203,2293,24,2529,2628,26,87397,89346,78,0.0420701
24188,25366,64,11689,11948,45,105,257,0,244,233,0,1207,1291,14,1302,1330,11,46697,48846,70,0.0430718
199254,158596,101,67983,54001,94,1640,1446,19,4029,3584,39,10213,8563,58,10551,8548,66,411597,357252,99,0.0440735
91422,86652,95,52578,51835,79,1124,1280,13,1850,2263,22,5883,5566,41,6671,6483,45,247235,236998,84,0.0450751
160997,143258,92,82607,72650,92,1721,1471,19,3160,3267,33,8511,8222,49,9709,9032,52,352588,326681,94,0.0460768
148915,139026,103,60082,56409,85,1311,1156,14,3129,2829,31,8213,7897,51,9349,8657,56,337209,317811,82,0.0480801
148105,136898,91,59791,56288,86,1896,1839,19,3254,2835,36,8372,7752,54,8250,7447,53,337080,310273,89,0.0480801
218205,173190,106,105246,79893,104,2379,2073,25,5788,4768,44,14695,12451,66,15807,12086,76,601241,495619,107,0.0490818
175760,131722,98,76871,55600,98,1735,1368,19,3946,3012,37,10015,7655,62,11281,8777,63,395660,306703,114,0.0490818
131370,124393,86,88330,86090,85,2320,2171,24,4163,3872,40,10172,9718,55,11438,10494,53,424626,395582,86,0.0490818
30995,30268,64,10874,9647,67,283,267,0,730,763,0,1735,1707,18,1612,1425,15,70265,61144,82,0.0490818
18772,19000,56,7282,7640,38,259,210,0,584,682,0,1111,856,0,1232,1098,10,35392,35204,67,0.0500835
266286,174739,121,129464,82479,115,2753,1732,35,5019,3873,47,14391,9704,75,15068,10495,70,575775,410544,114,0.0500835
47578,45983,75,17278,16884,56,560,370,0,945,853,0,1528,1712,20,2089,2118,26,73954,73475,72,0.0530885
43296,42474,87,20227,20037,57,307,310,0,849,766,0,1730,1677,22,2155,2164,23,73428,74664,63,0.0550918
116897,110700,92,40538,39128,81,1440,1113,15,2613,2351,26,6094,5795,44,6363,5622,45,255784,239306,79,0.0560935
50833,50422,74,20229,19911,54,394,413,0,1150,1096,7,2080,2010,23,2374,2242,28,82025,82432,68,0.0560935
