"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
81249,77439,82,24930,24652,75,739,857,0,1604,1635,22,4408,4568,34,5276,4888,39,174624,168608,84,0.00723253
126318,120602,100,37234,36094,80,1136,1410,12,2926,2793,29,8161,7897,49,10295,9704,55,351258,335434,90,0.00826574
102024,96191,83,32828,31329,80,910,973,0,2425,2033,32,5356,5341,41,6745,6306,46,251148,239119,84,0.0175647
151506,140105,103,40432,37960,87,1838,1482,19,4446,3774,38,11947,11059,61,14513,13644,75,502139,470994,91,0.0175647
149948,138900,94,50421,46600,85,1499,1728,17,3585,2995,31,8881,8092,54,10206,9632,57,376999,350151,80,0.0206644
143229,122428,97,42336,36161,87,1202,1103,13,2309,2084,28,8194,7090,53,10232,9181,56,356589,316337,91,0.023764
312616,210581,130,125734,90536,124,3418,2538,34,8877,6300,56,21622,15198,91,26264,19318,102,919194,676571,129,0.0351294
107598,106597,80,35322,34502,79,1149,980,0,2900,2836,31,6567,6193,46,8262,7548,46,290697,277775,88,0.0402955
182211,146638,97,52611,42328,92,1540,1281,16,3931,2673,39,10282,8051,57,13076,9709,63,450681,362996,99,0.0413287
144156,132010,87,42619,38154,87,1771,1516,20,3605,3396,33,8951,8647,52,11350,10270,60,390546,360600,89,0.0537273
105657,101103,83,41011,39197,81,1149,1170,10,2099,1949,27,5347,4825,44,6896,6759,42,251992,236342,85,0.0619931
118137,112770,96,45286,43493,81,952,1000,1,2652,2841,25,6242,6036,42,7415,6952,48,276977,256672,87,0.0640595
159536,141325,92,42738,37505,87,1754,1465,22,3201,2748,32,8065,7811,49,10221,10203,52,377249,363029,87,0.066126
150756,119082,93,52030,40991,92,1457,1315,13,2886,2240,30,7097,5518,48,9588,7410,53,338399,269219,99,0.0702588
286328,193898,134,85009,58345,125,2821,1894,32,7096,5208,50,17227,11744,74,20984,14699,82,705512,490872,132,0.0723253
